node,sector,has_exogenous_revenue,in_core_scc,in_robust_core,circularity_ratio
AI data centers,other,True,False,False,0.0
AI data-center SPVs / hyperscaler projects,other,True,False,False,0.0
AMD,chip_vendor,True,True,True,0.0
Amazon,hyperscaler,True,True,True,1.0
AntGroup,other,True,False,False,0.0
Anthropic,ai_lab,False,True,True,0.643
Anthropic AI infrastructure,other,True,False,False,0.0
Apollo,private_credit,True,False,False,0.0
Apollo_Blackstone,private_credit,True,False,False,0.0
Apple,hyperscaler,True,False,False,0.0
Binance,other,True,False,False,0.0
BlackRock,private_credit,True,False,False,0.0
Blackstone,private_credit,True,False,False,0.0
BlueOwl,private_credit,True,False,False,0.0
Boeing,other,True,False,False,0.0
Broadcom,chip_vendor,True,False,False,0.0
ByteDance,other,True,False,False,0.0
CZ,other,True,False,False,0.0
Canary,other,True,False,False,0.0
Chainlink,other,True,False,False,0.0
Coinbase,other,True,False,False,0.0
ColibriTD,other,True,False,False,0.0
ConsenSys,other,True,False,False,0.0
CoreWeave,neocloud,False,True,True,0.632
Creditors,other,True,False,False,0.0
Crusoe,neocloud,False,True,True,1.0
Defense_Primes,defense,True,False,False,0.0
Dell,other,True,False,False,0.0
DeutscheTelekom,other,True,False,False,0.0
Disney,ip_rightsholder,True,False,False,0.0
Disney_Studios_Coalition,ip_rightsholder,True,False,False,0.0
EeroQ,other,True,False,False,0.0
FDIC,other,True,False,False,0.0
Fairshake,other,True,False,False,0.0
FinCEN,other,True,False,False,0.0
First_Brands,other,True,False,False,0.0
GIC,financier,True,False,False,0.0
Georgia_MoJ,other,True,False,False,0.0
Google,hyperscaler,True,False,False,0.0
Government_of_Gujarat,other,True,False,False,0.0
HKDA,other,True,False,False,0.0
Hashgraph_Association,other,True,False,False,0.0
Hedera,other,True,False,False,0.0
Hiero_LFDT,other,True,False,False,0.0
IBM,other,True,False,False,0.0
ICALPS,other,True,False,False,0.0
Intel,chip_vendor,True,False,False,0.0
JPMorgan,bank,True,False,False,0.0
Jefferies,other,True,False,False,0.0
Kaynes_SemiCon,other,True,False,False,0.0
Kraken,other,True,False,False,0.0
LBRY,other,True,False,False,0.0
LG,other,True,False,False,0.0
LSEG,other,True,False,False,0.0
Lambda,neocloud,False,True,True,1.0
Lazarus,other,True,False,False,0.0
MGX,financier,True,False,False,0.0
MP_Materials,critical_minerals,True,False,False,0.0
Meta,hyperscaler,True,False,False,0.0
Meta_Hyperion_SPV,spv,False,False,False,0.0
Microsoft,hyperscaler,True,True,True,0.956
Midjourney,ai_lab,False,False,False,0.0
Miraex,other,True,False,False,0.0
Mistral,ai_lab,False,False,False,0.0
MtGox,other,True,False,False,0.0
NSE_India,other,True,False,False,0.0
NVIDIA,chip_vendor,True,True,True,0.921
Nebius,neocloud,False,False,False,0.0
Neoclouds,other,True,False,False,0.0
Netherlands,other,True,False,False,0.0
Next-gen data centers / AI infrastructure,other,True,False,False,0.0
Nokia,telecom,True,False,False,0.0
Nomura,other,True,False,False,0.0
Nondepository financial institutions,other,True,False,False,0.0
Nscale,neocloud,False,False,False,0.0
OFAC,other,True,False,False,0.0
Oklo,other,True,False,False,0.0
OpenAI,ai_lab,False,True,True,0.93
Oracle,hyperscaler,True,True,True,0.923
PBoC,other,True,False,False,0.0
PIMCO,private_credit,True,False,False,0.0
Pertsev,other,True,False,False,0.0
Private credit / venture debt lenders,other,True,False,False,0.0
Private-credit funds,other,True,False,False,0.0
Private-credit funds / asset managers,other,True,False,False,0.0
Private-credit market,other,True,False,False,0.0
Ripple,other,True,False,False,0.0
RomanStorm,other,True,False,False,0.0
SBI,other,True,False,False,0.0
SDNY,other,True,False,False,0.0
SEALCOIN,other,True,False,False,0.0
SEALKAYNESQ,other,True,False,False,0.0
SEALSQ,other,True,False,False,0.0
SEALSQ_Murcia_Hub,other,True,False,False,0.0
SEC,other,True,False,False,0.0
SINK_backlog,sink,True,False,False,0.0
SINK_bondmarket,sink,True,False,False,0.0
SINK_capex,sink,True,False,False,0.0
SINK_debt,sink,True,False,False,0.0
SINK_investors,sink,True,False,False,0.0
SINK_lenders,sink,True,True,True,0.199
SamouraiWallet,other,True,False,False,0.0
ScaleAI,other,True,False,False,0.0
SilverLake,other,True,False,False,0.0
SoftBank,financier,True,False,False,0.0
SpaceX,space_real_economy,True,True,False,0.171
SpaceX_IPO_Public,exogenous_source,True,False,False,0.0
Spanish_Government_SETT,other,True,False,False,0.0
StandardBank,other,True,False,False,0.0
Stargate,spv,False,False,False,0.0
Starlink_Subscribers,exogenous_source,True,False,False,0.0
Swift,other,True,False,False,0.0
TikTok_US,other,True,False,False,0.0
TornadoCash,other,True,False,False,0.0
Treasury,other,True,False,False,0.0
Trump,other,True,False,False,0.0
UBS_OConnor,other,True,False,False,0.0
USD1,other,True,False,False,0.0
US_Banks,bank,True,False,False,0.0
US_Government,state,True,False,False,0.0
VanLoon,other,True,False,False,0.0
Vantage,neocloud,False,False,False,0.0
WISeART,other,True,False,False,0.0
WISeSat,other,True,False,False,0.0
WeCan_Group,other,True,False,False,0.0
a16z,other,True,False,False,0.0
xAI,ai_lab,False,False,False,0.0
