id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/2a1a6b8f-1f9c-4a1b-9059-7b2f8cc93ed9,Alyse Galvin,Independent,14,lower,Alyse,Galvin
ocd-person/7db414a5-dd7e-48a9-aba2-9c0204f93a5c,Andi Story,Democratic,3,lower,Andi,Story
ocd-person/822df52b-f962-478d-8bf5-3bbe3c9dd811,Andrew Gray,Democratic,20,lower,Andrew,Gray
ocd-person/e1989648-fdd3-4e88-a0f0-9e27e75c0f03,Andy Josephson,Democratic,13,lower,Andy,Josephson
ocd-person/1ac31dd3-6e42-43b1-91b0-4da4a1399543,Ashley Carrick,Democratic,35,lower,Ashley,Carrick
ocd-person/a160c8f2-f8a9-4429-9bc2-e14831545503,Becky Schwanke,Republican,36,lower,Becky,Schwanke
ocd-person/bfdc2ee2-7760-4119-9d68-4962f1e1a285,Bert Stedman,Republican,A,upper,Bert,Stedman
ocd-person/354dc869-cbaf-4298-89cd-c691c0f52a1e,Bill Elam,Republican,8,lower,Bill,Elam
ocd-person/57554431-caac-4074-a8d8-40a4e6289ec1,Bill Wielechowski,Democratic,K,upper,Bill,Wielechowski
ocd-person/b097e069-345d-42da-b821-0c2c9747ccfc,Bryce Edgmon,Independent,37,lower,Bryce,Edgmon
ocd-person/8ed150a0-45be-4844-abe5-d921c9f5a435,Calvin Schrage,Independent,12,lower,Calvin,Schrage
ocd-person/c9bf1b47-3ed8-49e8-9535-2a7094c52d1a,Carolyn Hall,Democratic,16,lower,Carolyn,Hall
ocd-person/4ac9a4bf-e2d9-4257-a360-9e91dc234deb,Cathy Giessel,Republican,E,upper,Cathy,Giessel
ocd-person/f1816065-31d1-4757-b8b9-714e15daeccf,Cathy Tilton,Republican,M,upper,Cathy,Tilton
ocd-person/7474d172-6c90-47f9-aae1-9f66c9518be2,Chuck Kopp,Republican,10,lower,Chuck,Kopp
ocd-person/7dcdf7b8-530a-4b81-85b6-745af9224eb1,Dan Saddler,Republican,24,lower,Dan,Saddler
ocd-person/e1a32811-98f9-484f-8d4b-12df7eab4183,David Nelson,Republican,18,lower,David,Nelson
