id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/4cb1aeb5-d822-4f2c-a7e6-ae2a132acf17,Adline Clarke,Democratic,97,lower,Adline,Clarke
ocd-person/cb2488d5-f0b6-4e9f-948b-ff7e9f4e1907,Alan Baker,Republican,66,lower,Alan,Baker
ocd-person/3f96a690-e9a3-4774-8484-49a5a079b18c,Allen Treadaway,Republican,51,lower,Allen,Treadaway
ocd-person/84d43460-8578-4b85-b2ee-7f6849e270d8,Andrew Jones,Republican,10,upper,Andrew,Jones
ocd-person/c128ed12-dd1b-4b5f-8c64-9d86bf9d6580,Andy Whitt,Republican,6,lower,Andy,Whitt
ocd-person/95f7541d-5429-41aa-85e5-7fc9cf33d688,Anthony Daniels,Democratic,53,lower,Anthony,Daniels
ocd-person/15ebe01e-1447-4bdb-8dfb-e9d5948b872d,April Weaver,Republican,14,upper,April,Weaver
ocd-person/02655110-0839-4b2e-9f4b-b3a43788e275,Arnold Mooney,Republican,43,lower,Arnold,Mooney
ocd-person/b38546ec-f8fb-4e99-8e0c-46715b2e8578,Arthur Orr,Republican,3,upper,Arthur,Orr
ocd-person/474c3552-b3cd-4015-ac15-3c6301a0ce0e,A.J. McCampbell,Democratic,71,lower,A.J.,McCampbell
ocd-person/a1033b9f-f53e-46b8-ab4e-508d87e0d8e8,Barbara Boyd,Democratic,32,lower,Barbara,Boyd
ocd-person/375419e1-4626-4a9a-92ed-15962de5be09,Barbara Drummond,Democratic,103,lower,Barbara,Drummond
ocd-person/a2413268-fe7d-4a14-839c-14e9723da23a,Ben Harrison,Republican,2,lower,Ben,Harrison
ocd-person/7da5c799-bd67-458a-b3b1-a0cdda8f474e,Ben Robbins,Republican,33,lower,Ben,Robbins
ocd-person/a5d0ab78-e643-4ea1-86f2-2dad948b498a,Berry Forte,Democratic,84,lower,Berry,Forte
ocd-person/f470053d-6f95-4ed1-b641-5d0e7b236ed5,Bill Lamb,Republican,62,lower,Bill,Lamb
ocd-person/03d6bca3-9630-4173-a3c0-4ab4b5aaaedb,Bob Fincher,Republican,37,lower,Bob,Fincher
ocd-person/6e6d5e12-363b-42dc-b0d1-191c82aa6493,Bobby Singleton,Democratic,24,upper,Bobby,Singleton
ocd-person/def57a9e-a907-4e62-b990-41dc19661c06,Brett Easterbrook,Republican,65,lower,Brett,Easterbrook
ocd-person/aaffbe89-25dd-4454-85f7-81e4ed89c749,Brock Colvin,Republican,26,lower,Brock,Colvin
ocd-person/ed6f9cbb-3180-4e8e-b9c1-c56dd888ce38,Bryan Brinyark,Republican,16,lower,Bryan,Brinyark
ocd-person/60ec1e11-da78-43be-90e5-5d850bf3edc7,Chad Robertson,Republican,40,lower,Chad,Robertson
ocd-person/04a1794d-93f0-435f-8c68-1b435f2fc1a0,Chip Brown,Republican,105,lower,Chip,Brown
ocd-person/6b644492-bb54-496c-8ad3-22ec002056d4,Chris Blackshear,Republican,80,lower,Chris,Blackshear
ocd-person/67479855-f23e-4119-b886-91dddc09a47a,Chris Elliott,Republican,32,upper,Chris,Elliott
ocd-person/b57cc6b9-3627-431f-8a01-4c3c7ba973d4,Chris England,Democratic,70,lower,Chris,England
ocd-person/f4133b43-f822-4d95-b1e0-a0a524de56f6,Chris Pringle,Republican,101,lower,Chris,Pringle
ocd-person/39a26498-6bb6-4627-8c49-d9c453c9aab8,Chris Sells,Republican,90,lower,Chris,Sells
ocd-person/cbfd2b4e-f512-4176-b2f6-1df9d2d9c99c,Cindy Myrex,Republican,12,lower,Cindy,Myrex
ocd-person/d1307771-6d50-4d56-9995-b5d799917d7b,Clyde Chambliss,Republican,30,upper,Clyde,Chambliss
ocd-person/3b1a631d-35d4-47bd-a37c-a98fed7a5bd4,Corley Ellis,Republican,41,lower,Corley,Ellis
ocd-person/63e7d9b8-136c-4ebc-bb87-19660eb7b624,Craig Lipscomb,Republican,30,lower,Craig,Lipscomb
ocd-person/583c130d-a97a-48c9-9a18-03e94aa93930,Curtis Travis,Democratic,72,lower,Curtis,Travis
ocd-person/c58c02cd-0f5c-4454-b5d9-6eb0e604ea25,Dan Roberts,Republican,15,upper,Dan,Roberts
ocd-person/749e2cb2-e087-4920-aea3-b40d28f56db5,Danny Crawford,Republican,5,lower,Danny,Crawford
ocd-person/4aab5f96-d36a-4274-9591-9922a353c10b,Danny Garrett,Republican,44,lower,Danny,Garrett
ocd-person/9b9fd235-1045-4935-a097-bd5e51d2c592,David Faulkner,Republican,46,lower,David,Faulkner
ocd-person/fa2c59ea-1a07-429d-85e4-9c60652919aa,David Sessions,Republican,35,upper,David,Sessions
ocd-person/0efb60b3-60e6-4248-a264-41a2a1d35036,David Standridge,Republican,34,lower,David,Standridge
ocd-person/ef19bb65-dc3c-4815-ac71-b1ffd9abf28b,Donna Givens,Republican,64,lower,Donna,Givens
ocd-person/c1ce8b3f-ea56-4c8f-ab74-2a02b8d10063,Donnie Chesteen,Republican,29,upper,Donnie,Chesteen
ocd-person/9ec989cb-f503-46c1-aa2a-2913e2bc16bd,Ed Oliver,Republican,81,lower,Ed,Oliver
ocd-person/5658aa05-6ffa-4774-a8a4-f49c169769d2,Ernie Yarbrough,Republican,7,lower,Ernie,Yarbrough
ocd-person/3bc2e263-71cf-41e2-80c5-3f97cad999ff,Frances Holk-Jones,Republican,95,lower,Frances,Holk-Jones
ocd-person/cf025dad-05a0-4a54-ba0b-bbeecb87c10e,Garlan Gudger,Republican,4,upper,Garlan,Gudger
ocd-person/adbf5614-9045-4cb7-86eb-2d88f25a357a,Gerald Allen,Republican,21,upper,Gerald,Allen
ocd-person/08fce57e-b511-4572-bcb8-7c712d8e7d05,Ginny Shaver,Republican,39,lower,Ginny,Shaver
ocd-person/7b9adc85-fd70-470a-b1bf-44ed412f3ba0,Greg Albritton,Republican,22,upper,Greg,Albritton
ocd-person/319cc74b-3113-4053-8bda-0e1903227207,Greg Barnes,Republican,13,lower,Greg,Barnes
ocd-person/de4c986e-ec06-437e-8d3d-b7ca591606bc,Heath Allbright,Republican,11,lower,Heath,Allbright
ocd-person/2e9b60b3-d931-412e-a9f6-803aa7c7b085,Van Smith,Republican,42,lower,Van,Smith
ocd-person/bdfa9580-2ce0-4828-8f9e-52e6f066fbce,Jabo Waggoner,Republican,16,upper,Jabo,Waggoner
ocd-person/a7e333c5-03f2-4343-9981-956bcc1ea38e,Jack Williams,Republican,34,upper,Jack,Williams
ocd-person/d54b8dfc-7921-4f35-ad22-ad2efdaad100,James Lomax,Republican,20,lower,James,Lomax
ocd-person/390ee0ed-0b5e-4f45-a740-63511c4fa3fd,Jamie Kiel,Republican,18,lower,Jamie,Kiel
ocd-person/d581a562-c33c-44c0-a707-c21dddf140aa,Jay Hovey,Republican,27,upper,Jay,Hovey
ocd-person/70d0256c-91eb-4338-b86d-181e1db4d8f7,Jeana Ross,Republican,27,lower,Jeana,Ross
ocd-person/18af5645-53f2-4571-b24d-3173abf2b567,Jeff Sorrells,Republican,87,lower,Jeff,Sorrells
ocd-person/48d9f4e1-ec8b-4353-9207-a70db34449a9,Jennifer Fidler,Republican,94,lower,Jennifer,Fidler
ocd-person/15372a5d-6a78-40f2-aebf-fd7692c41cb0,Jeremy Gray,Democratic,83,lower,Jeremy,Gray
ocd-person/8394a967-dcf1-4901-a8d5-9ca120da382e,Jerry Starnes,Republican,88,lower,Jerry,Starnes
ocd-person/0d7f5989-df17-4c90-8267-4914f5598712,Jim Carns,Republican,48,lower,Jim,Carns
