id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/7dff69f1-609b-4230-9937-b8bbc239f5b5,Aaron Pilkington,Republican,45,lower,Aaron,Pilkington
ocd-person/6448d3df-2802-44a1-a142-7c3cc136d0a5,Alan Clark,Republican,7,upper,Alan,Clark
ocd-person/54b2621c-cc79-4a5b-95bf-d9113525624e,Alex Holladay,Democratic,70,lower,Alex,Holladay
ocd-person/4dc31c5c-a5a5-417f-bbaa-d99442259b4f,Alyssa Brown,Republican,41,lower,Alyssa,Brown
ocd-person/5143965d-c539-411e-8a15-74ebbcbb7cd7,Andrew Collins,Democratic,73,lower,Andrew,Collins
ocd-person/0e0e799b-70de-4472-b289-4a0c2aba3a26,Ashley Hudson,Democratic,75,lower,Ashley,Hudson
ocd-person/30ea7268-a48a-424e-aadf-007b61874985,Austin McCollum,Republican,8,lower,Austin,McCollum
ocd-person/0dee8795-58dd-48a8-980e-044d8d2ac646,Bart Hester,Republican,33,upper,Bart,Hester
ocd-person/4f5cafe6-850c-42b3-8a75-cd13c8871baf,Bart Schulz,Republican,28,lower,Bart,Schulz
ocd-person/821d4077-0022-48a9-86b1-eb4d3bdef2e7,Ben Gilmore,Republican,1,upper,Ben,Gilmore
ocd-person/6bbe436a-67bc-4003-80eb-1ce79c52413f,Blake Johnson,Republican,21,upper,Blake,Johnson
ocd-person/d1286114-790d-404b-ac09-ef86b7fa6556,Brad Hall,Republican,24,lower,Brad,Hall
ocd-person/24a8e487-fca2-4d84-999c-4877ab721136,Brad Simon,Republican,26,upper,Brad,Simon
ocd-person/9bce7e7f-cd90-4b10-a557-c37d82923be2,Brandon Achor,Republican,71,lower,Brandon,Achor
ocd-person/2eebf3d3-1e64-4c5b-b5fc-62924bc324fd,Breanne Davis,Republican,25,upper,Breanne,Davis
ocd-person/a1614a7c-f5f0-4fe1-a2b1-c8390e4bf106,Brian Evans,Republican,68,lower,Brian,Evans
ocd-person/0fc23ae8-f37f-4684-b8f5-083c8e36e19d,Brit McKenzie,Republican,7,lower,Brit,McKenzie
ocd-person/49608f14-5f53-40fc-b662-0d48a2aa1340,Bruce Cozart,Republican,91,lower,Bruce,Cozart
ocd-person/ac9a90a0-dfba-4bf0-a07d-ca2232b21a90,Bryan King,Republican,28,upper,Bryan,King
ocd-person/8b544682-2d9b-4759-bdc1-e560cced87fa,Cameron Cooper,Republican,57,lower,Cameron,Cooper
ocd-person/247b430e-d46a-474a-87bc-24d03c636fd8,Carol Dalby,Republican,100,lower,Carol,Dalby
ocd-person/53cecb4b-96b5-4cbe-bc72-6eab07cbdeea,Chad Puryear,Republican,25,lower,Chad,Puryear
ocd-person/c0936ba9-d863-4262-8fd1-3e08fb1013c8,Cindy Crawford,Republican,51,lower,Cindy,Crawford
ocd-person/cdb599f1-f956-430d-9ba2-87ce18d3fd53,Clarke Tucker,Democratic,14,upper,Clarke,Tucker
ocd-person/6c773215-c5d7-4039-bcb2-d2abe9053e39,Clint Penzo,Republican,31,upper,Clint,Penzo
ocd-person/fea1d80a-0cfb-4b26-9123-2a6c2e951d60,Dan Sullivan,Republican,20,upper,Dan,Sullivan
ocd-person/4b6071ae-58c1-4400-a49f-416579c6371e,David Ray,Republican,69,lower,David,Ray
ocd-person/f009d442-b840-4308-b48e-f38591e5d0d4,Dave Wallace,Republican,19,upper,Dave,Wallace
ocd-person/7c229d62-dd8f-491c-8aab-15118335cfe9,David Whitaker,Democratic,22,lower,David,Whitaker
ocd-person/b165a0c6-fe5a-4505-9f6f-aaafce582b6a,DeAnn Vaught,Republican,87,lower,DeAnn,Vaught
ocd-person/44cca040-d890-4cf3-9a00-bc8f6f3ac3fc,Denise Ennett,Democratic,80,lower,Denise,Ennett
ocd-person/e8e66020-d749-42e0-9e4e-35962d7f31f4,Denise Garner,Democratic,20,lower,Denise,Garner
ocd-person/4afdc38b-6ea9-4aa9-a8a1-0975c1147cfc,Diana Gonzales Worthen,Democratic,9,lower,Diana,Gonzales Worthen
ocd-person/50cdb325-0c04-483e-87cb-d6a9037d9bc9,Dolly Henley,Republican,88,lower,Dolly,Henley
ocd-person/38a8f4c9-1138-461c-a8a1-ac853c79d3ca,Dwight Tosh,Republican,38,lower,Dwight,Tosh
ocd-person/f3fd86cb-bfa0-47e0-8318-d53b2958c19c,Fran Cavenaugh,Republican,30,lower,Fran,Cavenaugh
ocd-person/b325559c-79b9-4ce3-a548-4c0c4116815e,Fred Allen,Democratic,77,lower,Fred,Allen
ocd-person/b35d0a49-a7f2-4013-83f0-a2feb42adba3,Fred Love,Democratic,15,upper,Fred,Love
ocd-person/192e3368-5acb-4ace-9909-fdc02ff2c3d3,Glenn Barnes,Democratic,65,lower,Glenn,Barnes
ocd-person/afd73d93-f65e-480d-ba40-3bc65f4fe95b,Greg Leding,Democratic,30,upper,Greg,Leding
ocd-person/72ce8f2a-95f2-4c1c-8e91-203653d0610a,Harlan Breaux,Republican,6,lower,Harlan,Breaux
ocd-person/8f4c182b-d257-45b7-8c34-c4c1f12bb4f6,Hope Duke,Republican,12,lower,Hope,Duke
ocd-person/95d21faa-0431-4285-8cee-36fc918959b6,Howard Beaty,Republican,95,lower,Howard,Beaty
ocd-person/acc25f3e-2151-45ae-8c48-26e598718a47,Jack Ladyman,Republican,32,lower,Jack,Ladyman
ocd-person/43843e57-ce6c-45a5-877c-eca55b1c14e6,James Eaton,Republican,26,lower,James,Eaton
ocd-person/71affd8a-77ef-45b1-96ab-c5724f34dfa5,Jamie Scott,Democratic,12,upper,Jamie,Scott
ocd-person/627a5f2e-efc6-4084-982e-b165a79c8e21,Jane English,Republican,13,upper,Jane,English
ocd-person/8a728485-a8bf-4bf8-9197-710ee37eb5e1,Jason Nazarenko,Republican,4,lower,Jason,Nazarenko
ocd-person/65961429-87cb-4c8c-b9c9-006622ea63c7,Jay Richardson,Democratic,49,lower,Jay,Richardson
ocd-person/80a1486d-1661-4409-adf4-63aacf4df148,Jeff Wardlaw,Republican,94,lower,Jeff,Wardlaw
ocd-person/982babbb-33e1-48ad-a199-10a86e6db5e6,Jeremiah Moore,Republican,61,lower,Jeremiah,Moore
ocd-person/bbb656fb-9de4-4ee7-aad5-dd713cba2e1c,Jeremy Wooldridge,Republican,1,lower,Jeremy,Wooldridge
ocd-person/f81fdd7f-aa3e-4678-bc4f-870114f8b0ce,Jessie McGruder,Democratic,35,lower,Jessie,McGruder
ocd-person/f2259c7e-4c43-41c3-ae29-3aedd5b88eef,Jim Dotson,Republican,34,upper,Jim,Dotson
ocd-person/6b90e69a-b1af-402f-a219-daacb99f3926,Jim Petty,Republican,29,upper,Jim,Petty
ocd-person/3016494b-fa9f-4f79-8530-7bd26120a31e,Jim Wooten,Republican,59,lower,Jim,Wooten
ocd-person/5b260e70-f46b-4d1f-83d9-bd242c11a645,Jimmy Gazaway,Republican,31,lower,Jimmy,Gazaway
ocd-person/c083823a-b0f6-43dd-87b9-f1f398b84a00,Jimmy Hickey,Republican,4,upper,Jimmy,Hickey
ocd-person/99d5591e-13f9-40af-90f4-97c5f958031a,Joey Carr,Republican,34,lower,Joey,Carr
ocd-person/240d9f6e-15f1-41eb-acbb-733861936e5b,John Maddox,Republican,86,lower,John,Maddox
ocd-person/dfa1d0ff-842e-49d2-baa7-41525816070e,John Carr,Republican,15,lower,John,Carr
ocd-person/2f040802-82dc-4ca8-959f-f1b66cf53b16,John Payton,Republican,22,upper,John,Payton
ocd-person/3ce18467-b330-4d64-98d6-79c31414e7ca,Johnny Rye,Republican,36,lower,Johnny,Rye
ocd-person/2920db4d-9f68-411a-bd01-9ca6e9089ef7,Jon Milligan,Republican,33,lower,Jon,Milligan
ocd-person/3220c1b9-f133-47fa-8ef9-9944493fbb2c,Jon Eubanks,Republican,46,lower,Jon,Eubanks
ocd-person/75b8a2ef-c463-4317-ba03-a368a2f203f2,Jonathan Dismang,Republican,18,upper,Jonathan,Dismang
ocd-person/e0045c85-0471-4128-ba41-0454ff1470e6,Josh Bryant,Republican,32,upper,Josh,Bryant
ocd-person/e5cf38cc-b933-4bbb-928a-8089d83a6d56,Joy Springer,Democratic,76,lower,Joy,Springer
ocd-person/1621cc3a-d18c-486f-96fb-57c6a2890da1,Julie Mayberry,Republican,92,lower,Julie,Mayberry
ocd-person/fb2fcf8c-ed42-46f0-b473-4940692f8e40,Justin Boyd,Republican,27,upper,Justin,Boyd
ocd-person/96dbbbb4-8a04-42bc-a553-e178d47ce838,Justin Gonzales,Republican,89,lower,Justin,Gonzales
ocd-person/dfbad34c-8e78-4a93-9029-9e50cb0ccb51,Karilyn Brown,Republican,67,lower,Karilyn,Brown
ocd-person/d4c881c3-3d11-4cc4-a40d-64d3d0e11c60,Keith Brooks,Republican,78,lower,Keith,Brooks
ocd-person/42e0cedc-8165-45c0-988a-d3a414a521c6,Kendon Underwood,Republican,16,lower,Kendon,Underwood
ocd-person/46a1908a-c372-4f84-8ee2-361d767b982a,Kendra Moore,Republican,23,lower,Kendra,Moore
ocd-person/58b100fe-13ff-4b17-a210-88c13cbd3217,Ken Ferguson,Democratic,64,lower,Ken,Ferguson
ocd-person/29e74f04-ceb4-45e1-a803-049e57699923,Kim Hammer,Republican,16,upper,Kim,Hammer
ocd-person/e04b2e49-1a8c-46e5-b9fc-c23d35e10393,Lane Jean,Republican,99,lower,Lane,Jean
ocd-person/4a794d08-4a71-424a-a17d-d35af3c979ae,Lee Johnson,Republican,47,lower,Lee,Johnson
ocd-person/7d85c10d-346f-4c4f-a4e5-470799f7b21c,Les Eaves,Republican,58,lower,Les,Eaves
ocd-person/5e063acb-6720-4bb0-8f6e-1df169c856e7,Les Warren,Republican,84,lower,Les,Warren
ocd-person/6e3a7643-abe7-4d0f-8d03-47b514558a67,Lincoln Barnett,Democratic,63,lower,Lincoln,Barnett
ocd-person/41f3a186-d3b7-4b46-b3dc-2da6f89c902e,Marcus Richmond,Republican,52,lower,Marcus,Richmond
ocd-person/fc30e79a-ee65-4e5b-9cb8-f27ef06c951d,Mark McElroy,Republican,62,lower,Mark,McElroy
ocd-person/927a87ee-64b3-49b8-8794-9b0857581d1c,Mark Johnson,Republican,17,upper,Mark,Johnson
ocd-person/4b44cfe9-fb9b-4c18-ba6e-34cf679ac3ef,Mark Perry,Democratic,66,lower,Mark,Perry
ocd-person/7e778aa7-3d02-4d6c-9373-42470990fdea,Mary Bentley,Republican,54,lower,Mary,Bentley
ocd-person/d1b32d51-8ec6-4493-afd2-1bc5feb44034,Matt Brown,Republican,55,lower,Matt,Brown
ocd-person/487bf09e-e78f-467c-b671-3b4c881f4341,Matt Duffield,Republican,53,lower,Matt,Duffield
ocd-person/dfe71972-1012-4330-af2a-98482d9aa3bc,Matt McKee,Republican,6,upper,Matt,McKee
ocd-person/2b67c2a6-d80e-48f4-9bc7-a40d7e5bc2bc,Matt Stone,Republican,2,upper,Matt,Stone
ocd-person/2774b34a-6b89-4ee9-b8af-32b7a7d8e174,Matthew Shepherd,Republican,97,lower,Matthew,Shepherd
ocd-person/1bf7a3a7-5871-4777-af71-dbdfd358e41b,Mike Holcomb,Republican,93,lower,Mike,Holcomb
ocd-person/5f09e022-f775-4da8-aaad-224793aa2230,Mindy McAlindon,Republican,10,lower,Mindy,McAlindon
ocd-person/d7dbf486-9ad6-411a-a2ad-a599d0606f2b,Missy Irvin,Republican,24,upper,Missy,Irvin
ocd-person/4b82405d-205f-47f7-8d9c-a7af23e9bada,Nick Burkes,Republican,14,lower,Nick,Burkes
ocd-person/c3be3a52-2646-4ea6-9aef-e4ff36a16762,Nicole Clowney,Democratic,21,lower,Nicole,Clowney
ocd-person/bd307080-d45f-4c7b-8365-2c7386e0fc3a,Paul Childress,Republican,83,lower,Paul,Childress
ocd-person/1bbfdd71-5072-4978-89bb-6aa19558c3f7,R.J. Hawk,Republican,81,lower,R.J.,Hawk
ocd-person/aaa584ee-c86a-4631-a37d-8d006ecb8a7b,Randy Torres,Republican,17,lower,Randy,Torres
ocd-person/8f012092-5f3f-4047-8047-f2520efe0fad,Rebecca Burkes,Republican,11,lower,Rebecca,Burkes
ocd-person/f148aa6d-abfe-4577-9c15-44f2ea79c707,Reginald Murdock,Democratic,9,upper,Reginald,Murdock
ocd-person/7f9f1a8b-47a7-456d-bc5d-1e6ec32e8572,Richard McGrew,Republican,85,lower,Richard,McGrew
ocd-person/f2b10588-1d21-4f8f-b313-d668bf58d967,Richard Womack,Republican,90,lower,Richard,Womack
ocd-person/5559a783-5b5f-4dc5-b800-4b9493b7148b,Rick Beck,Republican,43,lower,Rick,Beck
ocd-person/9b76655d-a7c5-474d-8a35-5a30e8bf9d3a,Rick McClure,Republican,29,lower,Rick,McClure
ocd-person/faf89935-181a-4d19-9e4b-dce4657d4d3a,Ricky Hill,Republican,11,upper,Ricky,Hill
ocd-person/c26f1f0e-232e-4bf2-99f8-be3e80bfcdcc,Robin Lundstrum,Republican,18,lower,Robin,Lundstrum
ocd-person/de934263-fe58-4281-bd70-1291fcbd0e25,Roger Lynch,Republican,60,lower,Roger,Lynch
ocd-person/c45493e9-afbd-4f5e-bb69-e6caed58936a,Ron McNair,Republican,5,lower,Ron,McNair
ocd-person/a7626d1d-fcc7-4c01-ad87-48a28faf7245,Ron Caldwell,Republican,10,upper,Ron,Caldwell
ocd-person/91123b36-1cbd-4696-b6d1-b9973c9d920f,Ryan Rose,Republican,48,lower,Ryan,Rose
ocd-person/b61d9a4f-d5d1-43b4-84b2-91cb5741b153,Scott Flippo,Republican,23,upper,Scott,Flippo
