id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/c6a181c7-b58e-4c2a-aa2d-9ca31fc6548f,Aaron Marquez,Democratic,5,lower,Aaron,Marquez
ocd-person/102ffcb1-3028-401f-b74f-6f45db25e05e,Alex Kolodin,Republican,3,lower,Alex,Kolodin
ocd-person/6dba6afa-b274-4273-b8c6-270d27214eee,Alma Hernández,Democratic,20,lower,Alma,Hernández
ocd-person/87e6206a-c16e-4038-a86f-0d5c88b993e3,Analise Ortiz,Democratic,24,upper,Analise,Ortiz
ocd-person/2e9c0206-d392-48a3-a599-7f6d226527b7,Anna Abeytia,Democratic,24,lower,Anna,Abeytia
ocd-person/81d12f3a-b635-4111-be8d-a71d2f7565f2,Betty Villegas,Democratic,20,lower,Betty,Villegas
ocd-person/77be0e97-4c93-4332-a9f9-9348560fdf98,Beverly Pingerelli,Republican,28,lower,Beverly,Pingerelli
ocd-person/5425612b-fb2c-4857-8f75-31523345eb2b,Brian Fernandez,Democratic,23,upper,Brian,Fernandez
ocd-person/c13f449f-0423-4ad5-836b-69913aad6600,Brian Garcia,Democratic,8,lower,Brian,Garcia
ocd-person/051cb7cf-e965-49a7-844a-a8830447df0c,Carine Werner,Republican,4,upper,Carine,Werner
ocd-person/6241112b-910b-4ad8-9c0d-9caad318874f,Catherine Miranda,Democratic,11,upper,Catherine,Miranda
ocd-person/b1da595a-8c97-42f8-ae58-694c17efa3f3,Cesar Aguilar,Democratic,26,lower,Cesar,Aguilar
ocd-person/9128a4e7-1464-483c-8642-0d878da05619,Chris Lopez,Republican,16,lower,Chris,Lopez
ocd-person/b2ed48a3-b9ae-42be-a2c8-22a47477acfd,Chris Mathis,Democratic,18,lower,Chris,Mathis
ocd-person/367990a3-3e02-455b-97b3-6b8dc34d9bbf,Cody Reim,Republican,3,lower,Cody,Reim
ocd-person/0a4e4b0a-a16e-475b-8aa1-75088657d8c1,Consuelo Hernandez,Democratic,21,lower,Consuelo,Hernandez
ocd-person/263ebe9c-566a-4b5c-bfbc-ea1f1d0dc3f2,Dave Farnsworth,Republican,10,upper,Dave,Farnsworth
ocd-person/51520de4-0e87-475b-91d2-99aa18addf72,David Gowan,Republican,19,upper,David,Gowan
ocd-person/6e8f2c0d-c9d3-4cb5-ae59-5264cb6d61a7,David Livingston,Republican,28,lower,David,Livingston
ocd-person/f0175b18-52a0-407d-af38-c1fe118e209d,Mitzi Epstein,Democratic,12,upper,Mitzi,Epstein
ocd-person/93db82ca-c8b1-43e4-98ce-ba52f4d0f635,Elda Luna-Nájera,Democratic,22,lower,Elda,Luna-Nájera
