id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/295965df-6c71-4e11-806f-2b7d5be5d45c,Aisha Wahab,Democratic,10,upper,Aisha,Wahab
ocd-person/6c2a35d5-c04c-44d0-8bd9-92a625e2b525,Akilah Weber Pierson,Democratic,39,upper,Akilah,Weber Pierson
ocd-person/78610d0e-c790-4fc9-ab8e-0887adbbe063,Al Muratsuchi,Democratic,66,lower,Al,Muratsuchi
ocd-person/5d0057a2-e04d-44ca-b1d5-fc55e113351a,Alex Lee,Democratic,24,lower,Alex,Lee
ocd-person/eb9c8103-ac9d-4342-9d95-5086d867a9bd,Ali Macedo,Republican,33,lower,Ali,Macedo
ocd-person/c3921173-9680-4387-a70e-ebba5c599846,Anamarie Avila Farias,Democratic,15,lower,Anamarie,Avila Farias
ocd-person/564f2203-7cae-4a40-bc93-5c05a935b98f,Angelique Ashby,Democratic,8,upper,Angelique,Ashby
ocd-person/fe462917-df55-4a43-9fd8-970541544ca6,Anna Caballero,Democratic,14,upper,Anna,Caballero
ocd-person/820619fd-d053-4915-b099-1d134a880228,Ash Kalra,Democratic,25,lower,Ash,Kalra
ocd-person/87062971-b583-4983-8ac5-4af98bef354d,Avelino Valencia,Democratic,68,lower,Avelino,Valencia
ocd-person/e725b91e-1f7f-4510-a9cc-0b9a39d283c3,Ben Allen,Democratic,24,upper,Ben,Allen
ocd-person/82cbb6e9-8486-44ec-8450-86d1e700f828,Blanca Rubio,Democratic,48,lower,Blanca,Rubio
ocd-person/f2ba8154-6bf3-4e5e-af05-9412e2a189f2,Blanca Pacheco,Democratic,64,lower,Blanca,Pacheco
ocd-person/a76028df-5730-47b0-b617-1565621def41,Bob Archuleta,Democratic,30,upper,Bob,Archuleta
ocd-person/ea5c3b3d-bbad-41f6-a912-69f60f1553a4,Brian Jones,Republican,40,upper,Brian,Jones
ocd-person/8230907e-9ae3-4ae9-b52a-c8464a157f64,Buffy Wicks,Democratic,14,lower,Buffy,Wicks
ocd-person/053d119b-847e-43bf-9a22-18b5f309067f,Carl DeMaio,Republican,75,lower,Carl,DeMaio
ocd-person/b19c0361-ca41-4cba-bcf4-b7342a67f28b,Caroline Menjivar,Democratic,20,upper,Caroline,Menjivar
ocd-person/39e3ce0f-c2e2-4480-9e99-76e1e62f366d,Catherine Blakespear,Democratic,38,upper,Catherine,Blakespear
ocd-person/3864202e-3b40-430e-a218-cfe56d83cee5,Catherine Stefani,Democratic,19,lower,Catherine,Stefani
ocd-person/434bcfb4-1279-40cc-916b-f89af5805a9c,Cecilia Aguiar-Curry,Democratic,4,lower,Cecilia,Aguiar-Curry
ocd-person/1dbf574d-4c03-40ce-8c30-a6727c4bd5ab,Celeste Rodriguez,Democratic,43,lower,Celeste,Rodriguez
ocd-person/84a80bdb-37d5-4f52-8f55-e116fb97ca58,Chris Rogers,Democratic,2,lower,Chris,Rogers
ocd-person/8833976f-b95a-45bf-bbd9-ccdb66946d20,Christopher Cabaldon,Democratic,3,upper,Christopher,Cabaldon
ocd-person/71590420-10d6-4deb-8d59-453256d625b6,Chris Ward,Democratic,78,lower,Chris,Ward
ocd-person/e351eaa3-8aa1-4f26-a8ff-2a260a0ad383,Corey Jackson,Democratic,60,lower,Corey,Jackson
ocd-person/c766abf8-06ca-4a98-9665-82b87149ca96,Cottie Petrie-Norris,Democratic,73,lower,Cottie,Petrie-Norris
ocd-person/32e06e60-77ac-4c5e-af1e-2110b602dc97,Damon Connolly,Democratic,12,lower,Damon,Connolly
ocd-person/86218623-ea63-4b2a-ab5c-7694e3f4a18a,Darsh Patel,Democratic,76,lower,Darsh,Patel
ocd-person/0fa65d2c-6020-4586-a6f1-5dfd41db38ff,Dave Cortese,Democratic,15,upper,Dave,Cortese
ocd-person/52f6ccc1-eb4a-4c09-8614-5e4022395605,David Alvarez,Democratic,80,lower,David,Alvarez
ocd-person/748ce69c-a2bc-41a7-95e2-b09fba6e5ecd,David Tangipa,Republican,8,lower,David,Tangipa
ocd-person/eddfcfb5-2d07-4e5b-81a0-88e5703dc0bb,Dawn Addis,Democratic,30,lower,Dawn,Addis
ocd-person/0c4e1b43-c3d7-4a13-87c4-92e29903cb73,Diane Dixon,Republican,72,lower,Diane,Dixon
ocd-person/20c72bef-f518-4677-bbcb-83c502c36ede,Diane Papan,Democratic,21,lower,Diane,Papan
ocd-person/e2da0f08-1bd8-4ac2-95f1-002870238527,Joaquin Arambula,Democratic,31,lower,Joaquin,Arambula
ocd-person/19f694d8-b409-40e5-9f87-d8e3e84afc7f,Eloise Reyes,Democratic,29,upper,Eloise,Reyes
ocd-person/d2a8e29a-5eac-4e2a-a686-d1bdb04927e7,Esmeralda Soria,Democratic,27,lower,Esmeralda,Soria
ocd-person/2944d19a-c288-4f32-b6a0-72e35f48e570,Gail Pellerin,Democratic,28,lower,Gail,Pellerin
ocd-person/50e55c91-8b18-45ea-a074-bf500e7a299e,Greg Wallis,Republican,47,lower,Greg,Wallis
ocd-person/57f76b8e-63ba-4aa7-93c9-0b0853ce2279,Gregg Hart,Democratic,37,lower,Gregg,Hart
ocd-person/c830a90c-8964-4c0f-b31b-729cab1144fd,Heath Flora,Republican,9,lower,Heath,Flora
ocd-person/3b125433-5362-42e2-a2b5-b608962c9481,Heather Hadwick,Republican,1,lower,Heather,Hadwick
ocd-person/66bd4b32-5536-4bae-ab55-08c0b70ca5fd,Henry Stern,Democratic,27,upper,Henry,Stern
ocd-person/e9e56c3e-1c7d-4eab-a3ac-35cfc7c6a651,Isaac Bryan,Democratic,55,lower,Isaac,Bryan
ocd-person/e7ad99fd-fda5-4114-af3e-320f5be9be3c,Jacqui Irwin,Democratic,42,lower,Jacqui,Irwin
ocd-person/156660b1-4c3f-45e3-8384-53cda60d7ea5,James Ramos,Democratic,45,lower,James,Ramos
ocd-person/5d93a1cb-7a01-43ab-a26c-a2abecdee135,James Gallagher,Republican,3,lower,James,Gallagher
ocd-person/b08199e4-63d9-4bd4-9be3-99e628fa7059,Jasmeet Bains,Democratic,35,lower,Jasmeet,Bains
ocd-person/552b5bf7-472d-48a4-bb9a-132c1f044737,Jeff Gonzalez,Republican,36,lower,Jeff,Gonzalez
ocd-person/e9733632-df5d-48b4-b4a3-4768e7dcb5f7,Jerry McNerney,Democratic,5,upper,Jerry,McNerney
ocd-person/83a64401-d95d-42c5-8cfc-03bd29e4adc8,Jesse Arreguín,Democratic,7,upper,Jesse,Arreguín
ocd-person/407f6fda-8638-4cca-9704-7aa8df7de26e,Jesse Gabriel,Democratic,46,lower,Jesse,Gabriel
ocd-person/81d9225e-7584-43c9-9e9b-f12b7e7dbd4e,Jessica Caloza,Democratic,52,lower,Jessica,Caloza
ocd-person/c7a404d9-03f7-4e82-b730-1623da31d4cc,Joe Patterson,Republican,5,lower,Joe,Patterson
