id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/a033ad21-bdb7-4af2-be2e-e21c3e4cfa24,Adrienne Benavidez,Democratic,21,upper,Adrienne,Benavidez
ocd-person/45c957a4-0017-4c0c-8650-393d656fc5a0,Alex Valdez,Democratic,5,lower,Alex,Valdez
ocd-person/34dbb5f1-239b-4924-911e-27ff91bde5cd,Amy Paschal,Democratic,18,lower,Amy,Paschal
ocd-person/278f042b-4fe3-4325-ad59-bc240e4fda0c,Andy Boesenecker,Democratic,53,lower,Andy,Boesenecker
ocd-person/561892b1-c618-43cb-9767-9237514f0a92,Tony Hartsook,Republican,44,lower,Tony,Hartsook
ocd-person/af9e96aa-fb8b-49bb-96d8-e6c2c1ceb2b5,Ava Flanell,Republican,14,lower,Ava,Flanell
ocd-person/6d1fcaf0-ed3d-4772-876f-09dc5e931556,Barbara Kirkmeyer,Republican,23,upper,Barbara,Kirkmeyer
ocd-person/ade56d2d-41d7-436d-b76b-85051f036c7a,Bob Marshall,Democratic,43,lower,Bob,Marshall
ocd-person/5a396024-8dcf-438c-beca-a730e972d9d8,Brandi Bradley,Republican,39,lower,Brandi,Bradley
ocd-person/fa9b604d-5981-4de1-97bc-9400e03909c9,Brianna Titone,Democratic,27,lower,Brianna,Titone
ocd-person/2d0d060c-6d5f-45da-a069-fe2be14547eb,Byron Pelton,Republican,1,upper,Byron,Pelton
ocd-person/5f8d1bd0-329b-4a87-8d2f-cb62b8f2e921,Carlos Barron,Republican,48,lower,Carlos,Barron
ocd-person/0ddf3b75-c450-419e-8235-553157770e49,Cathy Kipp,Democratic,14,upper,Cathy,Kipp
ocd-person/a34a6b10-12d9-4109-86d1-76c311463333,Cecelia Espenoza,Democratic,4,lower,Cecelia,Espenoza
ocd-person/faaae748-7c57-47df-bdf7-1811e0a61458,Chad Clifford,Democratic,37,lower,Chad,Clifford
ocd-person/f72691ec-a5a0-413b-a344-e452009551a2,Chris Kolker,Democratic,16,upper,Chris,Kolker
ocd-person/0c428ee3-a327-4906-96c9-c46da7dfd7f1,Chris Richardson,Republican,56,lower,Chris,Richardson
ocd-person/715df6f2-cef6-4b88-b745-0207c8ffb4ff,Cleave Simpson,Republican,6,upper,Cleave,Simpson
ocd-person/df050043-0b4f-4b51-8df0-ffd6cd6cd5b2,Dan Woog,Republican,19,lower,Dan,Woog
ocd-person/f38f9f4b-9d3a-4e79-a96f-fab94d553d89,Dusty Johnson,Republican,63,lower,Dusty,Johnson
ocd-person/4be512fb-5ebc-422c-a858-d250cb5568ad,Dylan Roberts,Democratic,8,upper,Dylan,Roberts
ocd-person/c02b7bf5-a583-43c0-b6d6-2e757c7d42b7,Eliza Hamrick,Democratic,61,lower,Eliza,Hamrick
ocd-person/bd50bf12-cf63-4a3d-a887-93008333e694,Elizabeth Velasco,Democratic,57,lower,Elizabeth,Velasco
ocd-person/c8c1a9c5-c7c2-4894-8829-fc83251bcaf2,Emily Sirota,Democratic,9,lower,Emily,Sirota
ocd-person/e0edd86c-a50d-4e78-96ac-f3e8217de4a8,Gretchen Rydin,Democratic,38,lower,Gretchen,Rydin
ocd-person/506f18ea-3611-408b-aa0e-73adf9681efe,Iman Jodeh,Democratic,29,upper,Iman,Jodeh
ocd-person/48d0af72-b21b-44a5-afc2-325b80f1c551,Jacque Phillips,Democratic,31,lower,Jacque,Phillips
ocd-person/e4e1f1a9-7134-4d90-9fed-2aa7a0e3a307,James Coleman,Democratic,33,upper,James,Coleman
