id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/b43c741a-89b2-4e46-abfc-1d75f26189fe,Aimee Berger-Girvalo,Democratic,111,lower,Aimee,Berger-Girvalo
ocd-person/3e0a00e8-0ec8-418d-a2e3-a7eef0a5d186,Al Paolillo,Democratic,97,lower,Al,Paolillo
ocd-person/ff1c4d90-5cc3-4ff9-8f31-454d03803816,Amy Morrin Bello,Democratic/Working Families,28,lower,Amy,Morrin Bello
ocd-person/9b751b3f-3f56-43dd-8eab-1cfdb81d7b34,Amy Romano,Republican,113,lower,Amy,Romano
ocd-person/e823b0bf-1132-4ed8-b860-e0febf9a275a,Andre Baker,Democratic,124,lower,Andre,Baker
ocd-person/087a813d-b14a-4205-a08f-cec795647318,Anne Dauphinais,Republican,44,lower,Anne,Dauphinais
ocd-person/ce2070f7-9487-4856-976b-9bbd6a2f1617,Anne Hughes,Democratic,135,lower,Anne,Hughes
ocd-person/c7160abf-d376-484d-b87e-600a398ab503,Anthony Nolan,Democratic,39,lower,Anthony,Nolan
ocd-person/caaba025-7a5a-401d-8714-73f627651196,Tone Felipe,Democratic,130,lower,Tone,Felipe
ocd-person/5e12bcd3-8cc0-4a0f-9c7c-4ecec6442948,Arnie Jensen,Republican,131,lower,Arnie,Jensen
ocd-person/32ad6577-b1ee-411f-9dca-e40e06226703,Aundré Bumgardner,Democratic/Working Families,41,lower,Aundré,Bumgardner
ocd-person/240d52a3-33df-495c-b1a0-142cc43f3fce,Ben McGorty,Republican,122,lower,Ben,McGorty
ocd-person/1c270bf3-7cc6-4e11-93fb-e35f5d9a1774,Billy Buckbee,Republican,67,lower,Billy,Buckbee
ocd-person/e4ee574a-8df3-46b3-93cb-3ec24cb49144,Bill Heffernan,Democratic,115,lower,Bill,Heffernan
ocd-person/7836916c-08a2-430a-99eb-580f7cf50e81,Bob Duff,Democratic,25,upper,Bob,Duff
ocd-person/97e1ed70-218e-41d6-abad-73cf8c717c5b,Bob Godfrey,Democratic,110,lower,Bob,Godfrey
ocd-person/6e4977fe-2ed9-4e1c-93ce-c837766d2896,Bobby Gibson,Democratic,15,lower,Bobby,Gibson
ocd-person/e8ce793e-671a-41fa-818a-42b534fa9c6b,Brandon Chafee,Democratic/Working Families,33,lower,Brandon,Chafee
ocd-person/fc3ba144-870e-4603-b2a4-26d3e80b5c70,Brian Lanoue,Republican,45,lower,Brian,Lanoue
ocd-person/e9c9ef28-807a-4efe-983f-d194c54ed41a,Cara Pavalock-D'Amato,Republican,77,lower,Cara,Pavalock-D'Amato
ocd-person/5e47f657-ab56-4673-bebb-5a7c1a0410db,Carol Hall,Republican,59,lower,Carol,Hall
ocd-person/aec1fe1b-02ac-4802-be69-8714ec0b848e,Cathy Osten,Democratic,19,upper,Cathy,Osten
ocd-person/5310d199-fa92-40aa-8d0b-efad6d3027b2,Ceci Maher,Democratic,26,upper,Ceci,Maher
ocd-person/3dac820b-e022-4ee6-a5d5-4b194f8988ec,Chris Aniskovich,Republican,35,lower,Chris,Aniskovich
ocd-person/fdce734b-2080-4a62-bf9c-baec09572938,Chris Stewart,Republican,51,lower,Chris,Stewart
ocd-person/88d052d8-3d97-4e23-8abd-53311294acfd,Christie Carpino,Republican,32,lower,Christie,Carpino
ocd-person/5e2acad1-d976-4a7d-997b-52b5b400a654,Christine Cohen,Democratic,12,upper,Christine,Cohen
ocd-person/7fda8e36-f73d-43e2-bf43-8365c617d94e,Chris Poulos,Democratic,81,lower,Chris,Poulos
ocd-person/ea0027a9-6952-4b74-a771-a14ced4e647e,Christopher Rosario,Democratic,128,lower,Christopher,Rosario
ocd-person/fcc3d3fa-4b4d-4d3c-b512-003a58657a85,Corey Paris,Democratic,145,lower,Corey,Paris
ocd-person/02ce0fa3-ac25-42dd-9f5e-ee44b7e9d542,Craig Fishbein,Republican,90,lower,Craig,Fishbein
ocd-person/dfc1bead-50cd-4c34-9dc6-5d80c7a09589,Cristin McCarthy Vahey,Democratic,133,lower,Cristin,McCarthy Vahey
ocd-person/cb28efe4-6e12-4488-bf75-491066cec97f,Dan Gaiewski,Democratic,40,lower,Dan,Gaiewski
ocd-person/9c30cf12-f07a-4c35-be3f-97bd3a778767,Dave DeFronzo,Democratic/Working Families,26,lower,Dave,DeFronzo
ocd-person/12835342-bb95-428a-ace3-78c51c3e8443,Dave Yaccarino,Republican,87,lower,Dave,Yaccarino
ocd-person/01bfbaf3-d536-45f0-8478-96cd8fbd4518,Dave Rutigliano,Republican,123,lower,Dave,Rutigliano
ocd-person/a33a2113-e60b-4000-9dc7-eb58a775d986,Derek Slap,Democratic,5,upper,Derek,Slap
ocd-person/56582153-80dd-4de6-9b79-2427316eeb6c,Derell Wilson,Democratic/Working Families,46,lower,Derell,Wilson
ocd-person/79d4059c-5faa-443f-a842-7b494ea2d57e,Devin Carney,Republican,23,lower,Devin,Carney
ocd-person/d4c20e08-7210-40b8-8a4c-7aac8b59af7b,Dominique Johnson,Democratic/Working Families,143,lower,Dominique,Johnson
ocd-person/63461ed0-da6d-4423-82bc-5b83c2a811cf,Donna Veach,Republican,30,lower,Donna,Veach
ocd-person/2342cde8-078f-4dd8-8879-f9fdaa036a94,Doug Dubitsky,Republican,47,lower,Doug,Dubitsky
ocd-person/83a4e876-4df7-48ef-8a84-7d7940585af9,Doug McCrory,Democratic,2,upper,Doug,McCrory
