id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/860fa95b-c737-43bd-948d-1dd6dc1b734e,Anita Bonds,Democratic,At-Large,legislature,Anita,Bonds
ocd-person/4e806a33-bba3-4484-95f8-d723769b99f1,Brianne Nadeau,Democratic,Ward 1,legislature,Brianne,Nadeau
ocd-person/bf329860-076e-4d14-bed2-969d0d13dfec,Brooke Pinto,Democratic,Ward 2,legislature,Brooke,Pinto
ocd-person/ab8e39c8-583e-4e9d-b481-0f43c21318ba,Charles Allen,Democratic,Ward 6,legislature,Charles,Allen
ocd-person/43dcb6c4-0eb1-48c7-965b-4979eb747b5b,Christina Henderson,Independent,At-Large,legislature,Christina,Henderson
ocd-person/5b179576-4f3f-453c-b40a-32917d38d751,Doni Crawford,Independent,At-Large,legislature,Doni,Crawford
ocd-person/4fc6d65b-d6d2-46d7-bdea-48b5458576ab,Janeese Lewis George,Democratic,Ward 4,legislature,Janeese,Lewis George
ocd-person/3451eb73-5042-4269-91b5-0287e527e72e,Matt Frumin,Democratic,Ward 3,legislature,Matt,Frumin
ocd-person/e3b9567d-67ff-4cc1-89eb-1ed1af646393,Phil Mendelson,Democratic,Chairman,legislature,Phil,Mendelson
ocd-person/07b9c384-a232-40d5-b445-61db9e4bb65b,Robert White,Democratic,At-Large,legislature,Robert,White
ocd-person/8c48b12b-59a2-41bb-96c5-fc3b367637aa,Trayon White,Democratic,Ward 8,legislature,Trayon,White
ocd-person/f71836b9-1112-4210-a794-40b9d2c1e648,Wendell Felder,Democratic,Ward 7,legislature,Wendell,Felder
ocd-person/30cb555a-f684-418e-8b63-8101e7a34552,Zachary Parker,Democratic,Ward 5,legislature,Zachary,Parker
