id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/e9301c44-8042-4031-8ed0-4731c64a5a66,Alonna Berry,Democratic,20,lower,Alonna,Berry
ocd-person/8b5f6201-6c2f-4847-8d69-737ae776c44b,Brian Pettyjohn,Republican,19,upper,Brian,Pettyjohn
ocd-person/f35b571a-d734-4086-b358-ff21382d802f,Bryan Townsend,Democratic,11,upper,Bryan,Townsend
ocd-person/11732933-9dce-46b4-8683-67e8449b315b,Bryan Shupe,Republican,36,lower,Bryan,Shupe
ocd-person/5a29dfb1-14b5-4535-b8ee-da8f432d0727,Bryant Richardson,Republican,21,upper,Bryant,Richardson
ocd-person/4f6f337c-16e7-4d39-a503-6b4b36650d2d,Charles Postles,Republican,33,lower,Charles,Postles
ocd-person/933a1f48-bea2-43f7-9ccb-a793ac4ac71d,Claire Snyder-Hall,Democratic,14,lower,Claire,Snyder-Hall
ocd-person/d187436c-b3d3-4512-9172-b7a868942fe4,Cyndie Romer,Democratic,25,lower,Cyndie,Romer
ocd-person/2341b6b1-2501-4aae-908a-b83346da21eb,Dan Cruce,Democratic,1,upper,Dan,Cruce
ocd-person/947a912f-49e7-4697-896e-fbcd1bcf41d3,Danny Short,Republican,39,lower,Danny,Short
ocd-person/8c5ff346-9896-489e-be96-db9d46d846da,Darius Brown,Democratic,2,upper,Darius,Brown
ocd-person/44e38555-6698-43cb-aa8b-f47de87ba4e3,Dave Lawson,Republican,15,upper,Dave,Lawson
ocd-person/0b53dd28-648e-4fe1-a05a-36a21ec12e63,Dave Wilson,Republican,18,upper,Dave,Wilson
ocd-person/25071aeb-2a5c-4e8b-b166-4a313b3ac22d,Dave Sokola,Democratic,8,upper,Dave,Sokola
ocd-person/5c5f5bf8-d155-4911-8e06-eb6cc664859e,DeShanna Neal,Democratic,13,lower,DeShanna,Neal
ocd-person/7e631da1-ef0f-4c6f-ba17-e5ae2860dad6,Debra Heffernan,Democratic,6,lower,Debra,Heffernan
ocd-person/07cb3c97-de4e-4210-8c83-b7276c001024,Ed Osienski,Democratic,24,lower,Ed,Osienski
ocd-person/fb743246-9c86-45f5-95eb-34bc1e11bef1,Eric Buckson,Republican,16,upper,Eric,Buckson
ocd-person/bfab3b33-30ff-45fc-a45f-ae796d43de68,Eric Morrison,Democratic,27,lower,Eric,Morrison
ocd-person/f94d59b8-6120-43d2-9788-b30fe945d8d2,Frank Burns,Democratic,21,lower,Frank,Burns
ocd-person/0cac3293-534b-4188-93e3-37ef6cd333ae,Frank Cooke,Democratic,16,lower,Frank,Cooke
ocd-person/7d5fb783-232d-4cc2-b7c7-fdbf4d06eb69,Gerald Hocker,Republican,20,upper,Gerald,Hocker
ocd-person/aa0846e8-7d8d-46ed-b4c9-54c9c2243d16,Jeff Hilovsky,Republican,4,lower,Jeff,Hilovsky
