id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/6a3fae94-a613-49f5-acec-355e4a2722d8,Adam Anderson,Republican,57,lower,Adam,Anderson
ocd-person/c94b1151-5034-482b-8d7b-f91f9bb5f951,Adam Botana,Republican,80,lower,Adam,Botana
ocd-person/b2fce1a8-4ba6-483b-a534-fa48cc43ee7f,Alex Rizo,Republican,112,lower,Alex,Rizo
ocd-person/7f1e874f-ae8b-42a0-90d9-fe867cf9fb45,Alexis Calatayud,Republican,38,upper,Alexis,Calatayud
ocd-person/c26599eb-5ef8-44c3-93a6-77cf23a9567e,Allison Tant,Democratic,9,lower,Allison,Tant
ocd-person/afd55a58-b8f6-4dd7-9d93-a2207b65e425,Ana Maria Rodriguez,Republican,40,upper,Ana Maria,Rodriguez
ocd-person/66c3a112-3008-4332-a6b0-8990a7d992d5,Angie Nixon,Democratic,13,lower,Angie,Nixon
ocd-person/1f8e10ad-0047-4854-b696-38e15fda7afa,Anna Eskamani,Democratic,42,lower,Anna,Eskamani
ocd-person/ad877adf-e8f2-4f31-bdd2-38a6aaf74884,Anne Gerwig,Republican,93,lower,Anne,Gerwig
ocd-person/2c62c9ae-8d1d-4dc3-a86a-fcc5dd7ba286,Ashley Gantt,Democratic,109,lower,Ashley,Gantt
ocd-person/2af7bd80-7f71-4530-8d69-ee448bc32255,Barbara Sharief,Democratic,35,upper,Barbara,Sharief
ocd-person/5c81dfe7-1cec-45e8-8044-6d9cd324f2e8,Ben Albritton,Republican,27,upper,Ben,Albritton
ocd-person/8e396afa-17d2-404c-9024-7aa8d7e00e0d,Berny Jacques,Republican,59,lower,Berny,Jacques
ocd-person/43724cbb-0b19-4fad-ae9b-1e8bcd47c16d,Bill Conerly,Republican,72,lower,Bill,Conerly
ocd-person/92e88cfe-0a68-45e1-b84c-9f181a46554e,Bill Partington,Republican,28,lower,Bill,Partington
ocd-person/8d746fc8-370b-4d12-bcf8-3dd4a4061707,Brad Yeager,Republican,56,lower,Brad,Yeager
ocd-person/4737f2dc-8241-4329-85fc-59a9c405d7b6,Brian Hodgers,Republican,32,lower,Brian,Hodgers
ocd-person/528bc47a-e8c7-4a28-9923-aba1deefd976,Brian Nathan,Democratic,14,upper,Brian,Nathan
ocd-person/617888c1-3369-49cd-a264-18ab663d2e8a,Bruce Antone,Democratic,41,lower,Bruce,Antone
ocd-person/a4a5f92e-62cf-401b-9fc6-9d9a63498d5c,Bryan Ávila,Republican,39,upper,Bryan,Ávila
ocd-person/df1d6ab6-b2cd-4a6f-b7cc-aa5a63d8011f,Carlos Smith,Democratic,17,upper,Carlos,Smith
ocd-person/2aa3b059-b565-413d-9eac-24e34b541c1d,Chad Johnson,Republican,22,lower,Chad,Johnson
ocd-person/47cd160b-1e9e-469c-a939-002be336302f,Chase Tramont,Republican,30,lower,Chase,Tramont
ocd-person/54cd0ebc-6f93-489e-a919-3583fa32b26a,Chip LaMarca,Republican,100,lower,Chip,LaMarca
ocd-person/89d7d4d0-82e7-4535-bb79-3260a7b432b5,Christine Hunschofsky,Democratic,95,lower,Christine,Hunschofsky
ocd-person/f1eda85d-37f2-4475-a318-8278a11c9466,Clay Yarborough,Republican,4,upper,Clay,Yarborough
ocd-person/50d5881b-ceac-49a2-98db-87ef6e09438c,Colleen Burton,Republican,12,upper,Colleen,Burton
ocd-person/fca5c9b2-da9e-4836-a3d5-366a25350976,Corey Simon,Republican,3,upper,Corey,Simon
ocd-person/66308162-9b64-4d34-a8bc-fac71407f7d5,Dan Daley,Democratic,96,lower,Dan,Daley
ocd-person/767d2aef-21ee-4b6d-b64b-ed9350abaa60,Dana Trabulsy,Republican,84,lower,Dana,Trabulsy
ocd-person/5a852452-a855-44a6-aa71-1e07e48c0c89,Danny Alvarez,Republican,69,lower,Danny,Alvarez
ocd-person/ed30b061-bbdc-44f3-8a40-e574646d6cf8,Daniel Perez,Republican,116,lower,Daniel,Perez
ocd-person/55815523-33b5-4d42-9864-28e00b805e68,Danny Burgess,Republican,23,upper,Danny,Burgess
ocd-person/971fb9ac-b0f3-45df-89f0-f24b6ba9b5a3,Danny Nix,Republican,75,lower,Danny,Nix
ocd-person/3de11937-c291-4561-bee5-4f747665cb37,Darryl Rouson,Democratic,16,upper,Darryl,Rouson
ocd-person/2c1c37bb-fd17-46d6-9694-8f2757f6da3e,Daryl Campbell,Democratic,99,lower,Daryl,Campbell
ocd-person/686a3de8-6df1-4144-85bc-edaad7fe1708,David Borrero,Republican,111,lower,David,Borrero
ocd-person/e4bf077a-8468-49a6-a75c-24ee5076352e,Dave Smith,Republican,38,lower,Dave,Smith
ocd-person/c082de7e-0a73-43a6-94e7-48180a1af3d6,Dean Black,Republican,15,lower,Dean,Black
ocd-person/a41e2c13-be68-4af3-8229-3c657b8d980d,Debbie Mayfield,Republican,19,upper,Debbie,Mayfield
ocd-person/88b67b7d-e856-43b3-9ae3-90092919c4e5,Debra Tendrich,Democratic,89,lower,Debra,Tendrich
ocd-person/8407b440-b679-4d84-b642-de35869461a4,Demi Busatta,Republican,114,lower,Demi,Busatta
ocd-person/1be9ca60-ccf5-4beb-835a-3c292e04eaef,Dianne Hart-Lowman,Democratic,63,lower,Dianne,Hart-Lowman
ocd-person/c45cbed2-9b2e-4507-a6d1-3f960d330c34,Don Gaetz,Republican,1,upper,Don,Gaetz
ocd-person/bcb3b06f-882e-4012-af21-4c9ba68d093d,Dotie Joseph,Democratic,108,lower,Dotie,Joseph
ocd-person/c585b9bb-83d4-4d01-8a02-778578cfe2d6,Doug Bankson,Republican,39,lower,Doug,Bankson
ocd-person/0e375630-02a4-4e59-ac80-869f9a199b2a,Ed Hooper,Republican,21,upper,Ed,Hooper
ocd-person/e2d16b6f-6522-46c6-9817-3d4f4d1b66ce,Emily Gregory,Democratic,87,lower,Emily,Gregory
ocd-person/30a6de56-a2b6-44b4-ab5a-e1bc6d944c93,Erika Booth,Republican,35,lower,Erika,Booth
ocd-person/9cf042e6-01c0-4f8e-aab5-68508a0fda66,Erin Grall,Republican,29,upper,Erin,Grall
ocd-person/38674fed-3bec-4623-a5eb-d31e4851323f,Fabián Basabe,Republican,106,lower,Fabián,Basabe
ocd-person/1d219f7c-140b-48fd-ac39-4683c48dbc87,Felicia Robinson,Democratic,104,lower,Felicia,Robinson
ocd-person/5a138490-70a4-46fa-967e-8739d1ea7456,Fentrice Driskell,Democratic,67,lower,Fentrice,Driskell
