id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/938f2479-c51f-446a-87f0-76d4f07c61e5,Akbar Ali,Democratic,106,lower,Akbar,Ali
ocd-person/a5a0998b-3837-4c4e-a66b-a567dc2f9d77,Al Williams,Democratic,168,lower,Al,Williams
ocd-person/bb48e87c-29db-4a4d-a278-fa299be2020e,Alan Powell,Republican,33,lower,Alan,Powell
ocd-person/b001a55f-61fa-4e62-85fd-ac6c282f2711,Angela Moore,Democratic,91,lower,Angela,Moore
ocd-person/1d0deded-daaa-425b-b6aa-3612492dca5b,Angie O'Steen,Republican,169,lower,Angie,O'Steen
ocd-person/e16d6516-badc-4682-9e3a-84f30a44b060,Anne Westbrook,Democratic,163,lower,Anne,Westbrook
ocd-person/3b3da57c-2f96-4a94-a7bc-eb6a814cc627,Arlene Beckles,Democratic,96,lower,Arlene,Beckles
ocd-person/fd2717f1-6294-4601-a027-8fc41195372c,Ben Watson,Republican,1,upper,Ben,Watson
ocd-person/e4e40f68-0970-4392-b739-3c68f749bcdc,Beth Camp,Republican,135,lower,Beth,Camp
ocd-person/8b4b00cb-6f78-4b69-b788-796b19d94752,Bethany Ballard,Republican,147,lower,Bethany,Ballard
ocd-person/c2c81ffc-f4b1-40f4-96b0-6309f89902ee,Betsy Holland,Democratic,54,lower,Betsy,Holland
ocd-person/4dc87191-fa52-4c2f-bc9c-8823a8b4c882,Bill Cowsert,Republican,46,upper,Bill,Cowsert
ocd-person/f2444048-8c14-45b2-b700-37f7899fa5bb,Bill Fincher,Republican,23,lower,Bill,Fincher
ocd-person/4a9ef816-9130-4510-a19e-3124e3f2aeed,Bill Hitchens,Republican,161,lower,Bill,Hitchens
ocd-person/adefd0ba-43cd-4aae-9321-12f67e57ac8a,Bill Werkheiser,Republican,157,lower,Bill,Werkheiser
ocd-person/23dfc274-73d1-45df-b381-67e597cf0b84,Bill Yearta,Republican,152,lower,Bill,Yearta
ocd-person/449db918-10b7-4fa7-a047-eb9de416dce3,Billy Hickman,Republican,4,upper,Billy,Hickman
ocd-person/96307d79-07d4-4f59-9dd3-b7f994d566d5,Billy Mitchell,Democratic,88,lower,Billy,Mitchell
ocd-person/e9c5a2fc-3354-49e1-ac29-783502155fe7,Blake Tillery,Republican,19,upper,Blake,Tillery
ocd-person/60bb96c4-f20c-4918-b88b-d7857341e5f4,Bo Hatchett,Republican,50,upper,Bo,Hatchett
ocd-person/933a841a-19d6-42c2-a046-991ff9903a23,Brad Thomas,Republican,21,lower,Brad,Thomas
ocd-person/c0b205e2-1542-4802-896d-fa7b2b6fc4d9,Brent Cox,Republican,28,lower,Brent,Cox
ocd-person/a53e6bbd-a5b8-436b-94ae-bebf957c5b61,Brian Prince,Democratic,132,lower,Brian,Prince
ocd-person/3a5721a0-d848-40d0-a48a-66b797e7d7d9,Brian Strickland,Republican,42,upper,Brian,Strickland
ocd-person/13b7af1b-5b56-481b-a81a-2001846188a6,Bruce Williamson,Republican,112,lower,Bruce,Williamson
ocd-person/b1187e7a-8cea-4e91-9c9f-7c7c61df3c85,Bryce Berry,Democratic,56,lower,Bryce,Berry
ocd-person/d40576ac-fbc0-4b42-98ee-f6362063784d,Buddy DeLoach,Republican,167,lower,Buddy,DeLoach
ocd-person/842218b5-88ae-4ba8-8395-756bf3340e16,Butch Parrish,Republican,158,lower,Butch,Parrish
ocd-person/98850c9f-1c37-4177-9ad8-17d2b4d3c8d4,Carden Summers,Republican,13,upper,Carden,Summers
ocd-person/562e162f-2a60-441c-956b-11db12eef266,Carl Gilliard,Democratic,162,lower,Carl,Gilliard
ocd-person/3646e872-85a6-4383-97c5-36ff96ca7113,Carmen Rice,Republican,139,lower,Carmen,Rice
ocd-person/0f5a9273-2fc6-458f-af59-b75070a1dc76,Carolyn Hugley,Democratic,141,lower,Carolyn,Hugley
ocd-person/72370a62-92f4-46f1-ab7b-193a643085b8,Carter Barrett,Republican,24,lower,Carter,Barrett
