id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/0ce91900-de38-4ab2-a6fe-089b04b20b74,Adrian Tam,Democratic,24,lower,Adrian,Tam
ocd-person/cb860f85-2006-4d5b-b1a8-1c56c1def2d7,Amy Perruso,Democratic,46,lower,Amy,Perruso
ocd-person/442e3aac-61ca-4efe-bbb8-716654554597,Andrew Garrett,Democratic,22,lower,Andrew,Garrett
ocd-person/d31a4d99-d6f1-42f8-b902-b6bff3c667e8,Angus McKelvey,Democratic,6,upper,Angus,McKelvey
ocd-person/22139704-8a26-4f4a-8a03-989990c21f37,Brandon Elefante,Democratic,16,upper,Brandon,Elefante
ocd-person/be1149eb-5b0c-48fb-b9f2-9bee875479cc,Brenton Awa,Republican,23,upper,Brenton,Awa
ocd-person/ca85a087-4a1f-450b-9386-11c13eb8c280,Carol Fukunaga,Democratic,11,upper,Carol,Fukunaga
ocd-person/3484e323-b1a2-4c41-ad9f-8153445f8cd4,Chris Lee,Democratic,25,upper,Chris,Lee
ocd-person/1a5995d1-114e-4e7e-a53f-d91017df2bc3,Chris Muraoka,Republican,45,lower,Chris,Muraoka
ocd-person/6f62978c-5c1e-4a93-b182-caa7b97d45e0,Chris Todd,Democratic,3,lower,Chris,Todd
ocd-person/00c3bae0-1087-4a2f-bee8-af0fbd2c6cf6,Cory Chun,Democratic,35,lower,Cory,Chun
ocd-person/6003933a-c572-4df8-8ad8-d3a4f8e70882,Cov Ratcliffe,Democratic,28,lower,Cov,Ratcliffe
ocd-person/801d5517-e486-41e4-8c3d-53528a3a8bef,Daisy Hartsfield,Democratic,36,lower,Daisy,Hartsfield
ocd-person/76c9a0ff-a9f0-47ac-bf3d-9f8ee134c411,Darius Kila,Democratic,44,lower,Darius,Kila
ocd-person/fca91474-67f3-4b01-a985-6b0ddbfb2227,David Tarnas,Democratic,8,lower,David,Tarnas
ocd-person/21e33d30-ecf0-431b-ad89-429f026efc24,David Alcos,Republican,41,lower,David,Alcos
ocd-person/587a16dd-bb53-4164-829b-5e1703e06201,Dee Morikawa,Democratic,17,lower,Dee,Morikawa
ocd-person/b3a0c91b-d6fd-4a54-9a34-2ba48cc53984,Della Belatti,Democratic,26,lower,Della,Belatti
ocd-person/810a94e5-8524-4de9-bdf2-2e0d6c64b7f2,Diamond Garcia,Republican,42,lower,Diamond,Garcia
ocd-person/f196e943-c8d6-4a35-96c2-252171c6529a,Donna Kim,Democratic,14,upper,Donna,Kim
ocd-person/0a9ef1d8-8fec-48f4-963c-50f39332cfa7,Donovan Dela Cruz,Democratic,17,upper,Donovan,Dela Cruz
ocd-person/e75469cc-851a-4e63-9908-9e63b5215448,Dru Kanuha,Democratic,3,upper,Dru,Kanuha
ocd-person/313f96df-c94e-45d7-8cc6-19465ad40612,Elijah Pierick,Republican,39,lower,Elijah,Pierick
ocd-person/f7bd1cdd-c131-47eb-ab96-1a7c0599bfa7,Elle Cochran,Republican,14,lower,Elle,Cochran
ocd-person/9019d5ea-bfe8-4cca-9254-7960319a15bc,Garner Shimizu,Republican,32,lower,Garner,Shimizu
ocd-person/5ef4a0ba-e9b0-4a62-9ac7-42d88308f3df,Glenn Wakai,Democratic,15,upper,Glenn,Wakai
ocd-person/33584899-9773-4fa2-96aa-869a6da7cf19,Gregg Takayama,Democratic,34,lower,Gregg,Takayama
ocd-person/d56e9f60-c26e-4437-90d7-4414957e737d,Greggor Ilagan,Democratic,4,lower,Greggor,Ilagan
ocd-person/ff0ea974-b3aa-4261-aa1b-fa9cf74b3728,Tim Richards,Democratic,4,upper,Tim,Richards
ocd-person/2f96974d-decf-46e2-8aed-adf60e072e1e,Ikaika Hussey,Democratic,29,lower,Ikaika,Hussey
ocd-person/c5582fc0-ff8a-4c69-85f9-efd464e1a482,Ikaika Olds,Democratic,23,lower,Ikaika,Olds
ocd-person/451d1a20-20d4-4c75-95b9-ca4ba6dd3d1d,Jackson Sayama,Democratic,21,lower,Jackson,Sayama
ocd-person/07ed1559-820e-4ea1-803e-024ce5359a87,Jarrett Keohokalole,Democratic,24,upper,Jarrett,Keohokalole
ocd-person/47a7e8c6-361d-4854-9253-e311b58d9e1c,Jeanné Kapela,Democratic,5,lower,Jeanné,Kapela
ocd-person/928645f2-46ed-4153-ab60-5b7a8250dab3,Jenna Takenouchi,Democratic,27,lower,Jenna,Takenouchi
ocd-person/06d54403-a57b-40f8-96a6-94b58f4b2a0c,Joe Gedeon,Republican,18,lower,Joe,Gedeon
ocd-person/cac74229-bacc-4358-8208-23cdac57d57c,Joy San Buenaventura,Democratic,2,upper,Joy,San Buenaventura
ocd-person/7d6cf0c1-16d4-4c56-bba5-a50c3c5c18ce,Julie Reyes Oda,Republican,40,lower,Julie,Reyes Oda
ocd-person/5d9e6c9d-a94b-4ff6-9828-ed2ce8ceeab0,Justin Woodson,Democratic,9,lower,Justin,Woodson
ocd-person/207b309f-9e03-4834-85cb-083725f7a7ab,Kanani Souza,Republican,43,lower,Kanani,Souza
ocd-person/099756de-3b84-4531-b5da-6d1c5d4c89ee,Karl Rhoads,Democratic,13,upper,Karl,Rhoads
ocd-person/824eca2b-d968-4807-a48b-7b3df400a904,Kim Coco Iwamoto,Democratic,25,lower,Kim Coco,Iwamoto
ocd-person/b6d9dda7-d2e1-443e-a19b-ee44ed891cad,Kirstin Kahaloa,Democratic,6,lower,Kirstin,Kahaloa
ocd-person/e6bafd21-a2de-41b8-8139-fcbf5ea94cf4,Kurt Fevella,Republican,20,upper,Kurt,Fevella
ocd-person/51f31e1a-2fe4-4029-b49c-c3affa0b848d,Kyle Yamashita,Democratic,12,lower,Kyle,Yamashita
ocd-person/8562d0d7-9915-4559-98bc-ac9c456efd02,Lauren Matsumoto,Republican,38,lower,Lauren,Matsumoto
ocd-person/94e42ecd-2e4d-4502-8b50-c1c6324617f1,Les Ihara,Democratic,10,upper,Les,Ihara
ocd-person/546ef7bf-9015-4a09-b8d3-f37fd87ed97f,Linda Ichiyama,Democratic,31,lower,Linda,Ichiyama
ocd-person/1d8bd1da-7126-4248-8a1e-dce56626b746,Lisa Kitagawa,Democratic,48,lower,Lisa,Kitagawa
ocd-person/c4ea2b48-612d-42f4-b396-6f13c86bfe5b,Lisa Marten,Democratic,51,lower,Lisa,Marten
ocd-person/77991a5e-d7df-4282-b1cc-2398c56c18cc,Lorraine Inouye,Democratic,1,upper,Lorraine,Inouye
ocd-person/128214ae-53bd-4dfe-88e6-ad3a70c6a83d,Luke Evslin,Democratic,16,lower,Luke,Evslin
ocd-person/d76e8f2c-2e55-4d2a-94e4-c13cc0a9e5e2,Lynn DeCoite,Democratic,7,upper,Lynn,DeCoite
ocd-person/c6f087db-713b-43c2-b557-7306f62ee15c,Mahina Poepoe,Democratic,13,lower,Mahina,Poepoe
ocd-person/f2d1de1a-c206-46f7-8c5f-a6193229642f,Mark Hashem,Democratic,19,lower,Mark,Hashem
ocd-person/fb23dd18-ee42-45da-9fc5-8379ced56c88,Matthias Kusch,Democratic,1,lower,Matthias,Kusch
ocd-person/511d674b-1e98-4a1f-8af2-24f986a165d9,Michelle Kidani,Democratic,18,upper,Michelle,Kidani
ocd-person/9f87e7d6-a307-45ab-b384-96a8599dab56,Mike Gabbard,Democratic,21,upper,Mike,Gabbard
ocd-person/12d661c2-2391-4504-973d-e905022d3134,Mike Lee,Democratic,50,lower,Mike,Lee
ocd-person/aa2e4b09-2c1e-4fa2-b135-7d2427dca5b4,Nadine Nakamura,Democratic,15,lower,Nadine,Nakamura
ocd-person/43795702-8cb7-40a5-945d-80fca537e085,Nicole Lowen,Democratic,7,lower,Nicole,Lowen
ocd-person/19b5116e-d2b7-4f4b-8d7d-f4dfcbcbe1d6,Rachele Lamosao,Democratic,19,upper,Rachele,Lamosao
ocd-person/3ca1b2e5-0c68-4be1-ba5b-b0d935b85e6f,Ron Kouchi,Democratic,8,upper,Ron,Kouchi
ocd-person/cbf4fe33-42cf-41c2-b689-5e4c0ff150f6,Sam Kong,Democratic,33,lower,Sam,Kong
ocd-person/8a60db8b-b07f-45da-8169-46ddd043ce02,Samantha DeCorte,Republican,22,upper,Samantha,DeCorte
ocd-person/78cc3d2c-31b6-421f-a666-5a96ca3fe65a,Scot Matayoshi,Democratic,49,lower,Scot,Matayoshi
ocd-person/078931f6-9caa-4ba0-9f53-2b27e13ed400,Sean Quinlan,Democratic,47,lower,Sean,Quinlan
ocd-person/7e04af29-c684-402f-a7b0-bdde0591197c,Sharon Moriwaki,Democratic,12,upper,Sharon,Moriwaki
ocd-person/58181d36-e194-462d-a3cb-b3ab7615fbf9,Shirley Templo,Democratic,30,lower,Shirley,Templo
ocd-person/d6359473-e0b5-4040-8d7f-9d95a0518650,Stanley Chang,Democratic,9,upper,Stanley,Chang
ocd-person/6311f34d-9611-42be-be12-017fcc0f7aa6,Sue Lee Loy,Democratic,2,lower,Sue,Lee Loy
ocd-person/3c16b940-790f-43f2-946d-998b6177dc5a,Terez Amato,Democratic,11,lower,Terez,Amato
ocd-person/bce62096-6c4d-4923-8826-7f67a6aaf35d,Tina Grandinetti,Democratic,20,lower,Tina,Grandinetti
ocd-person/9957f6f1-9231-45b3-940f-2122c1caf3f7,Trish La Chica,Democratic,37,lower,Trish,La Chica
ocd-person/3b99a717-698f-4bcf-a630-183bb63e623e,Troy Hashimoto,Democratic,5,upper,Troy,Hashimoto
ocd-person/6fb71afb-6ce8-4f21-ad16-a7255ca2bfec,Tyson Miyake,Democratic,10,lower,Tyson,Miyake
