id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/c29c02a4-8429-4846-bc19-817f545f3935,Adam Zabner,Democratic,90,lower,Adam,Zabner
ocd-person/9788064e-fad9-4130-9084-69e829884d9c,Adrian Dickey,Republican,44,upper,Adrian,Dickey
ocd-person/e0883366-eaba-4dc1-9a66-4c35cb1d0290,Aime Wichtendahl,Democratic,80,lower,Aime,Wichtendahl
ocd-person/0ed1d7f1-1471-4055-b674-582bf19c28b3,Amy Nielsen,Democratic,85,lower,Amy,Nielsen
ocd-person/8e969687-4903-4f3c-a76f-2e35a2232d09,Amy Sinclair,Republican,12,upper,Amy,Sinclair
ocd-person/17e291e9-2484-4e94-a99f-0c12d6269349,Angel Ramirez,Democratic,78,lower,Angel,Ramirez
ocd-person/f8bf5332-b8b7-4d55-8652-e9b883cae35e,Ann Meyer,Republican,8,lower,Ann,Meyer
ocd-person/79eacd35-8caf-466e-b75f-0d878dcf5221,Annette Sweeney,Republican,27,upper,Annette,Sweeney
ocd-person/57925a0b-3010-440d-a012-c8465535c13e,Art Staed,Democratic,40,upper,Art,Staed
ocd-person/9aa42801-ba2e-4f2e-9448-cf5e6114fba7,Austin Baeth,Democratic,36,lower,Austin,Baeth
ocd-person/3dea807e-b6b5-4531-a5d6-d51ae8811aca,Austin Harris,Republican,26,lower,Austin,Harris
ocd-person/5aa1870f-0eb7-4a82-9788-7b159d28a287,Barb Kniff McCulla,Republican,37,lower,Barb,Kniff McCulla
ocd-person/5c955d7c-30ce-4930-9d96-588735b89dc2,Beth Wessel-Kroeschell,Democratic,49,lower,Beth,Wessel-Kroeschell
ocd-person/7ebd4346-a560-458d-b010-3ddd82d1cf38,Bill Gustoff,Republican,40,lower,Bill,Gustoff
ocd-person/16d3e647-2d71-4eb0-beb3-1c6e0294fd7d,Blaine Watkins,Republican,100,lower,Blaine,Watkins
ocd-person/bdd055a7-677f-4df3-ba42-72c09d75a2ad,Bob Kressig,Democratic,75,lower,Bob,Kressig
ocd-person/657c7d2d-2444-4809-93fb-d1701d77f528,Bobby Kaufmann,Republican,82,lower,Bobby,Kaufmann
ocd-person/29efffba-9a8b-473f-a66e-8be5441cbb83,Brent Siegrist,Republican,19,lower,Brent,Siegrist
ocd-person/e34f4bba-5e1f-4e99-8654-d35140a5470b,Brett Barker,Republican,51,lower,Brett,Barker
ocd-person/e0d66082-fd49-47ff-acd7-2f8106bc9837,Brian Lohse,Republican,45,lower,Brian,Lohse
ocd-person/141dec61-26f0-4155-a86b-9b2179c9546c,Brian Meyer,Democratic,29,lower,Brian,Meyer
ocd-person/942429d9-5b4a-4ad7-8da7-d43eb7828dff,Brooke Boden,Republican,21,lower,Brooke,Boden
ocd-person/9b68d2a2-ead2-401e-a225-1edae68f6099,Carrie Koelker,Republican,33,upper,Carrie,Koelker
ocd-person/e7b268b8-c922-4e66-8327-cc4c49854d5e,Carter Nordman,Republican,47,lower,Carter,Nordman
ocd-person/96941816-29ce-4c03-ab43-efa1ef2930ab,Catelin Drey,Democratic,1,upper,Catelin,Drey
ocd-person/3d113997-b440-47db-97d2-3dca3a2b431a,Chad Behn,Republican,48,lower,Chad,Behn
ocd-person/623b4ac1-3411-4109-b0eb-31bec2780313,Chad Ingels,Republican,68,lower,Chad,Ingels
ocd-person/1a5372b1-e23d-4877-a614-a32f552c58b4,Charley Thomson,Republican,58,lower,Charley,Thomson
ocd-person/006bcadf-1173-4661-a28e-25fbf1a5c423,Charlie McClintock,Republican,42,upper,Charlie,McClintock
ocd-person/f4803b48-80d4-43aa-86cd-fe78d268e77a,Cherielynn Westrich,Republican,13,upper,Cherielynn,Westrich
ocd-person/08e97c3c-42e2-47f7-b186-0b5099161d4e,Christian Hermanson,Republican,59,lower,Christian,Hermanson
ocd-person/6729badd-57a5-484c-bb4c-23afa6e96cdf,Cindy Golding,Republican,83,lower,Cindy,Golding
ocd-person/84279bc7-04df-475e-8d6f-9f9703c73101,Cindy Winckler,Democratic,49,upper,Cindy,Winckler
ocd-person/63ec798f-401b-4512-9f56-b162eb96bfe9,Craig Johnson,Republican,67,lower,Craig,Johnson
ocd-person/cf98b8af-97b3-46d8-9cc8-4695aab1ae30,Craig Williams,Republican,11,lower,Craig,Williams
ocd-person/79384252-69ca-43c7-bda1-46b6abe5873e,Dan Dawson,Republican,10,upper,Dan,Dawson
ocd-person/d9b64ebb-2332-4ab8-b21f-e697f08759d3,Dan Gehlbach,Republican,46,lower,Dan,Gehlbach
ocd-person/63c59e95-ff5f-40b3-871e-3569f6ad8425,Dan Gosa,Democratic,81,lower,Dan,Gosa
ocd-person/3fa8bceb-666f-4480-a957-1928e2b5fec6,Dan Zumbach,Republican,34,upper,Dan,Zumbach
ocd-person/b261b6a8-cb30-4808-b750-df2e7963d6c8,Dave Sires,Republican,38,upper,Dave,Sires
ocd-person/6c2b2d09-de80-47ca-af67-e646f20ba5fa,David Blom,Republican,52,lower,David,Blom
ocd-person/93e9ba73-a053-4661-8b8b-e8e2f25d0596,Dave Rowley,Republican,5,upper,Dave,Rowley
ocd-person/e0df02a4-7910-4538-8c3b-8152fb8f657c,David Young,Republican,28,lower,David,Young
ocd-person/55c46119-e6fa-4b22-ade6-18990aeacf0c,Dave Jacoby,Democratic,86,lower,Dave,Jacoby
ocd-person/7e4913e9-9219-461f-9842-2a96813e009e,David Sieck,Republican,16,lower,David,Sieck
ocd-person/fe90f2b2-0892-4abd-9d6d-4b2ac1dae632,Dawn Driscoll,Republican,46,upper,Dawn,Driscoll
ocd-person/a4832927-060d-4e15-82d7-795f6f9cc78f,Dean Fisher,Republican,53,lower,Dean,Fisher
ocd-person/1e11235a-f4c8-4124-9f3a-3bb7a219636d,Dennis Guth,Republican,28,upper,Dennis,Guth
ocd-person/5dbb36a6-f191-4201-9cbe-20d7aada4d4c,Derek Wulf,Republican,76,lower,Derek,Wulf
ocd-person/60f3c355-fa56-48db-8379-14234d427148,Devon Wood,Republican,17,lower,Devon,Wood
ocd-person/a38725e7-bec0-4a5d-bc71-d039bcb8ec04,Doug Campbell,Republican,30,upper,Doug,Campbell
ocd-person/258e0f31-d71a-42b5-98ff-3f2263f95f65,Eddie Andrews,Republican,43,lower,Eddie,Andrews
ocd-person/6ce3e40a-3eee-4a3f-acf3-ddee38e37e6f,Elinor Levin,Democratic,89,lower,Elinor,Levin
ocd-person/75ee3e5c-bf95-4f36-8366-264872631c3c,Elizabeth Wilson,Democratic,73,lower,Elizabeth,Wilson
ocd-person/8e424b53-9531-4b76-bd44-a8008f34b539,Eric Gjerde,Democratic,74,lower,Eric,Gjerde
ocd-person/98672aab-5ba5-4994-964a-f53d8bcdd108,Gary Mohr,Republican,93,lower,Gary,Mohr
ocd-person/831144f3-e67d-4706-a018-abec3c492269,Hans Wilz,Republican,25,lower,Hans,Wilz
ocd-person/e927adb7-9b5c-41a8-8daf-c9a8620741f5,Heather Hora,Republican,92,lower,Heather,Hora
ocd-person/ba713234-dc5e-4646-9f74-c25d84f648cc,Heather Matson,Democratic,42,lower,Heather,Matson
