id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/c77bc461-d0fe-47b4-8999-72e4eda69da1,Ali Rabe,Democratic,16,upper,Ali,Rabe
ocd-person/a0ccdf84-6300-4f9d-bca3-30b3299fece5,Annie Henderson Haws,Democratic,16B,lower,Annie,Henderson Haws
ocd-person/c8c374b3-22b8-4221-a65a-6a4616cb107d,Barbara Ehardt,Republican,33A,lower,Barbara,Ehardt
ocd-person/02a86541-b10a-42cc-b260-0d0f5e3226c0,Ben Adams,Republican,12,upper,Ben,Adams
ocd-person/cd9538d6-3ed0-4c87-8e0d-d524e8861157,Ben Fuhriman,Republican,30B,lower,Ben,Fuhriman
ocd-person/a0bec144-a980-4ce8-9e02-ada83079a300,Ben Toews,Republican,4,upper,Ben,Toews
ocd-person/59fc8cd0-bec0-4df6-a3e6-99ea305c7100,Brandon Mitchell,Republican,6B,lower,Brandon,Mitchell
ocd-person/42e5ac22-a35c-4e0e-80fb-05bab9093b28,Brandon Shippy,Republican,9,upper,Brandon,Shippy
ocd-person/81d4b890-9bf4-44e0-99b2-eda866f02d48,Brent Crane,Republican,13A,lower,Brent,Crane
ocd-person/e89ea88e-7519-48fe-8cb9-65ea18d0dd7b,Brian Lenney,Republican,13,upper,Brian,Lenney
ocd-person/df313cc3-ceb2-4fb0-bb36-b2f9cb9e959d,Britt Raybould,Republican,34B,lower,Britt,Raybould
ocd-person/50e557e4-e7b6-4765-a636-1638a675189c,Brooke Green,Democratic,18B,lower,Brooke,Green
ocd-person/e8eea4c8-b669-4609-b991-13ef3a6ff10b,Bruce Skaug,Republican,10B,lower,Bruce,Skaug
ocd-person/f67b55ee-1cc0-431b-b950-4b5dfca332ad,Scott Grow,Republican,14,upper,Scott,Grow
ocd-person/6a0fc69b-9842-4d47-b509-f555fee240e6,Camille Blaylock,Republican,11,upper,Camille,Blaylock
ocd-person/a1af9e8e-8f2c-4b6a-a7ca-708a0d0bf6f2,Carl Bjerke,Republican,5,upper,Carl,Bjerke
ocd-person/34bec23f-67e3-4940-8f5e-29850f0e9170,Carrie Semmelroth,Democratic,17,upper,Carrie,Semmelroth
ocd-person/e3d1a2f1-913b-40ec-8256-36eba043156b,Charlie Shepherd,Republican,7B,lower,Charlie,Shepherd
ocd-person/dbc641db-1cb7-4110-9121-96ddf5d877d7,Chris Bruce,Republican,23A,lower,Chris,Bruce
ocd-person/7e3f625c-e56e-409a-9989-b07cd77344f6,Chris Mathias,Democratic,19B,lower,Chris,Mathias
ocd-person/adb43503-bebd-4a83-8fa6-e6416576de2f,Christy Zito,Republican,8,upper,Christy,Zito
ocd-person/4f02e826-da06-4286-8aaf-b89ef3f659bc,Cindy Carlson,Republican,7,upper,Cindy,Carlson
ocd-person/1bef63af-a339-47dd-872d-ef1c94a72900,Clay Handy,Republican,27B,lower,Clay,Handy
ocd-person/39fe1103-009e-4594-8ae1-107ba5ffd388,Clint Hostetler,Republican,24A,lower,Clint,Hostetler
ocd-person/bd3c88a6-3476-4aa8-b267-a5c30d454cac,Codi Galloway,Republican,15,upper,Codi,Galloway
ocd-person/a41cd894-d64d-406e-99cd-f1935e40a812,Cornel Rasor,Republican,1B,lower,Cornel,Rasor
ocd-person/d9426884-2195-45ee-8130-4a8cf0d61adf,Dale Hawkins,Republican,2B,lower,Dale,Hawkins
ocd-person/bae06244-d892-41b2-a4a5-beaaa6cba0da,Dan Garner,Republican,28B,lower,Dan,Garner
ocd-person/04ccb3bd-ae8d-4a64-a6c2-1b63a6f94d15,Dan Foreman,Republican,6,upper,Dan,Foreman
ocd-person/fdcf0c8e-5794-4c3c-a092-a64ee5cab9d3,Dave Lent,Republican,33,upper,Dave,Lent
ocd-person/140cefcc-8d67-4b5d-9051-c7892072bc38,David Leavitt,Republican,25B,lower,David,Leavitt
ocd-person/20fe3cd5-d9e1-4d03-9247-9a1ccde862d3,David Cannon,Republican,30A,lower,David,Cannon
ocd-person/51cc52d2-b23d-4b37-b8fd-2bc53941ee47,Don Hall,Republican,25A,lower,Don,Hall
ocd-person/3caa9714-29b4-4851-b530-b696c1a87b41,Dori Healey,Republican,15B,lower,Dori,Healey
ocd-person/db1a3f87-5a7e-4133-a36d-5b319d28d38c,Doug Okuniewicz,Republican,3,upper,Doug,Okuniewicz
ocd-person/2960c6c4-abca-4406-9d9d-4734fec3f68d,Doug Ricks,Republican,34,upper,Doug,Ricks
ocd-person/6dbb9465-3ef5-4754-a482-08ae17c4cb9b,Doug Pickett,Republican,27A,lower,Doug,Pickett
ocd-person/f7a93a62-fa0b-4d95-a9ad-10a938fd47a0,Dustin Manwaring,Republican,29A,lower,Dustin,Manwaring
ocd-person/ceec86a5-6519-452a-ba13-9f7ba2da84e5,Ted Hill,Republican,14A,lower,Ted,Hill
ocd-person/f6437e18-b7fb-4e53-8c40-a2423d82853d,Elaine Price,Republican,4B,lower,Elaine,Price
ocd-person/13b5078f-aaaf-4222-a0ae-c8afcbdf3757,Erin Bingham,Republican,32B,lower,Erin,Bingham
ocd-person/d54c2ad2-bd9d-499f-9046-b6d1eaebbef1,Faye Thompson,Republican,8B,lower,Faye,Thompson
ocd-person/7ba08b82-5bfc-4b36-b036-28b04c0d8bd2,Glenneda Zuiderveld,Republican,24,upper,Glenneda,Zuiderveld
ocd-person/bd967aaf-a9d5-4bec-bf7c-cf0aa19d72ca,Heather Scott,Republican,2A,lower,Heather,Scott
ocd-person/8b37fbb7-bc05-4fd5-be33-a8940e489195,Ilana Rubel,Democratic,18A,lower,Ilana,Rubel
ocd-person/6e4d92d8-1f64-4284-95cf-d9c50e3d5730,Jack Nelsen,Republican,26B,lower,Jack,Nelsen
ocd-person/bcb4f50c-1f70-484a-90c2-65652b6a1133,James Ruchti,Democratic,29,upper,James,Ruchti
ocd-person/28827442-9341-4768-86ea-a9186d718be0,James Holtzclaw,Republican,20B,lower,James,Holtzclaw
ocd-person/07e5711c-2e3d-4d26-a82a-6c710ed9bf3b,James Petzke,Republican,21A,lower,James,Petzke
ocd-person/c3b6822b-8900-408d-8745-7066b79e1e52,Janie Ward-Engelking,Democratic,18,upper,Janie,Ward-Engelking
ocd-person/da5babc3-b974-4f3c-a750-8989ab3a122b,Jaron Crane,Republican,12B,lower,Jaron,Crane
ocd-person/9808edb1-15b0-4b9b-91d9-91a97ff7bb4b,Jason Monks,Republican,22B,lower,Jason,Monks
ocd-person/a0b66388-5039-4a2c-b022-ac2ece0ce865,Jeff Ehlers,Republican,21B,lower,Jeff,Ehlers
ocd-person/42d3b7d7-1a3a-4d58-ae68-a84cbaaf7ad0,Jeff Cornilles,Republican,12A,lower,Jeff,Cornilles
ocd-person/0147a633-d6d2-4005-9eb9-35dcf205718b,Jerald Raymond,Republican,31A,lower,Jerald,Raymond
ocd-person/e2a8fbe1-e9dc-4569-865f-450fa5f13665,Jim Guthrie,Republican,28,upper,Jim,Guthrie
ocd-person/76cd07b1-e4de-4e1b-bd7c-a3153493ac5f,Jim Woodward,Republican,1,upper,Jim,Woodward
ocd-person/561516c4-4e4f-45bc-b1d0-6ed359006597,Joe Alfieri,Republican,4A,lower,Joe,Alfieri
ocd-person/ed09bbbc-7b10-4ee8-be6b-a4dfcd7330ec,Joe Palmer,Republican,20A,lower,Joe,Palmer
ocd-person/048117e1-cf54-4ebf-9afc-f244d023e039,John Gannon,Democratic,17A,lower,John,Gannon
ocd-person/7fb821ae-d24a-4e5c-b7bf-70c04b00b269,John Shirts,Republican,9A,lower,John,Shirts
ocd-person/ed9290a6-47b1-4b24-8b61-0c0de9b45c73,John Vander Woude,Republican,22A,lower,John,Vander Woude
ocd-person/4501fe8d-11d8-43ee-a9bd-5ba3a82eb5d4,Jon Weber,Republican,34A,lower,Jon,Weber
ocd-person/9cbfadc5-8393-444c-bb39-b1c79390d01b,Jordan Redman,Republican,3B,lower,Jordan,Redman
ocd-person/b01dc4f2-6477-4386-ba9b-eb0c3a2c2c8b,Josh Keyser,Republican,20,upper,Josh,Keyser
ocd-person/7ea55825-b942-4464-bb86-878113e524fe,Josh Kohl,Republican,25,upper,Josh,Kohl
ocd-person/188ce2db-4021-4af8-b562-c90bfab83ebf,Josh Tanner,Republican,14B,lower,Josh,Tanner
ocd-person/647e5e14-6813-4fc7-a20d-be175157ffb0,Josh Wheeler,Republican,35B,lower,Josh,Wheeler
ocd-person/bcaace10-c9c4-4018-a87c-6112eeb33346,Judy Boyle,Republican,9B,lower,Judy,Boyle
ocd-person/8efc94ea-7306-48f5-8d45-5bed5f5e1f85,Julie VanOrden,Republican,30,upper,Julie,VanOrden
ocd-person/9577c53b-0d84-4d3b-9c5b-7d38227c8e32,Kelly Anthon,Republican,27,upper,Kelly,Anthon
ocd-person/c92ba4ff-72aa-4985-b8c0-bb3178187c81,Kent Marmon,Republican,11A,lower,Kent,Marmon
ocd-person/9134f853-f2da-47e8-a11f-9fbe77849414,Kevin Cook,Republican,32,upper,Kevin,Cook
ocd-person/0c646770-75cb-4f65-b2af-fd7c933dfe24,Kyle Harris,Republican,7A,lower,Kyle,Harris
ocd-person/d3ee525f-429f-4ac6-ba52-e947881a3e6c,Lori Den Hartog,Republican,22,upper,Lori,Den Hartog
ocd-person/5c049d3c-e605-4f3f-9eba-c91949d5f9f4,Lori McCann,Republican,6A,lower,Lori,McCann
ocd-person/f51cb798-c8e6-4cb7-954c-6507c0d3d054,Lucas Cayler,Republican,11B,lower,Lucas,Cayler
ocd-person/a9af8eba-9dc3-4961-9305-fa325cb86948,Marco Erickson,Republican,33B,lower,Marco,Erickson
ocd-person/84d9ffa4-35f6-4baf-acdd-c3bafee537e7,Mark Harris,Republican,35,upper,Mark,Harris
ocd-person/92364a5c-40fe-4350-9604-5257be00caab,Mark Sauter,Republican,1A,lower,Mark,Sauter
ocd-person/7abc0666-30bd-4e16-ba86-304b1750ac8e,Megan Egbert,Democratic,17B,lower,Megan,Egbert
ocd-person/c6b06b7d-05f8-45a3-8415-4cd1e76c5642,Melissa Wintrow,Democratic,19,upper,Melissa,Wintrow
ocd-person/060e3496-76ff-4895-9637-4ff7bbe7a05e,Mike Moyle,Republican,10A,lower,Mike,Moyle
ocd-person/d8c564c8-3499-4e44-b4b9-df1c0bb52ab4,Mike Pohanka,Republican,26A,lower,Mike,Pohanka
ocd-person/ca69eadf-b5f3-4f48-8ce1-8507af44f50e,Mike Veile,Republican,35A,lower,Mike,Veile
ocd-person/b3878069-33ec-4ecc-8236-f9d0de68f5da,Monica Church,Democratic,19A,lower,Monica,Church
ocd-person/202344ed-fa6e-4d6d-b746-516abb5c962d,Phil Hart,Republican,2,upper,Phil,Hart
ocd-person/bb03d309-94c3-4d63-bb69-ede616be8c72,Rick Cheatum,Republican,28A,lower,Rick,Cheatum
ocd-person/6d7d44ab-22ce-4a46-b6d0-643cc3af3d0b,Rob Beiswenger,Republican,8A,lower,Rob,Beiswenger
ocd-person/70eb5f7f-381b-400d-87b2-2bdeb6a1c7e7,Rod Furniss,Republican,31B,lower,Rod,Furniss
ocd-person/1024a2b6-d36f-4c1f-86a0-826ec9120fe0,Ron Taylor,Democratic,26,upper,Ron,Taylor
ocd-person/71489ac3-457d-41ec-b285-a099648b601b,Ron Mendive,Republican,5A,lower,Ron,Mendive
ocd-person/0ad2781c-7d8f-4e19-9fb2-74c8f9033ef9,Shawn Dygert,Republican,23B,lower,Shawn,Dygert
ocd-person/b5b4cf71-98db-47f1-84ec-087a4b46641a,Soñia Galaviz,Democratic,16A,lower,Soñia,Galaviz
ocd-person/94248975-397a-4e5c-a544-40cb7a3f06d0,Stephanie Mickelsen,Republican,32A,lower,Stephanie,Mickelsen
ocd-person/0c413128-0ec7-4228-aa8b-93572d153c6f,Steve Berch,Democratic,15A,lower,Steve,Berch
ocd-person/0e6ffb72-a52a-4cac-90a0-ae54a3dfe1a2,Steve Tanner,Republican,13B,lower,Steve,Tanner
ocd-person/983607b1-0987-4efe-8547-de1c5d262e5f,Steve Miller,Republican,24B,lower,Steve,Miller
ocd-person/846c0e7d-ec02-4f49-afb9-3604dd27da98,Tammy Nichols,Republican,10,upper,Tammy,Nichols
ocd-person/7255260c-8991-427e-acd7-5ef985041199,Tanya Burgoyne,Republican,29B,lower,Tanya,Burgoyne
ocd-person/0b894582-b3d6-4600-a401-ed874e8c632d,Todd Lakey,Republican,23,upper,Todd,Lakey
ocd-person/ee4e19dc-d39c-4a93-b466-346b2e822f86,Tony Wisniewski,Republican,5B,lower,Tony,Wisniewski
ocd-person/562def54-c2da-4b6a-bdfa-5038a4c04e0c,Treg Bernt,Republican,21,upper,Treg,Bernt
ocd-person/2a8943d8-c4fe-4286-8b26-6240d9ff26f8,Van Burtenshaw,Republican,31,upper,Van,Burtenshaw
ocd-person/1abcdba2-7ed6-4871-889e-9e4c47c4d000,Vito Barbieri,Republican,3A,lower,Vito,Barbieri
