id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/a76e0c0e-81d3-4f3b-8cc8-b8360d3cecb4,Aarón Ortíz,Democratic,1,lower,Aarón,Ortíz
ocd-person/4101db1f-a913-4d16-88fb-001f120bb092,Abdelnasser Rashid,Democratic,21,lower,Abdelnasser,Rashid
ocd-person/9729745e-386d-4f4b-8d04-0e762dcd87b2,Adam Niemerg,Republican,102,lower,Adam,Niemerg
ocd-person/e4e9607b-dd1b-4c3d-b3a3-f09927800864,Adriane Johnson,Democratic,30,upper,Adriane,Johnson
ocd-person/b13c7ff5-806e-426d-afd5-181f53e9fed1,Amy Elik,Republican,111,lower,Amy,Elik
ocd-person/f8dc94db-66cf-4d5e-b1af-0b6307140524,Amy Grant,Republican,47,lower,Amy,Grant
ocd-person/9def23d3-81e9-4baf-b0c8-eeb4e5587778,Andrew Chesney,Republican,45,upper,Andrew,Chesney
ocd-person/8b2bc102-d62b-47b2-91d8-5f9b3a172cea,Angie Guerrero-Cuellar,Democratic,22,lower,Angie,Guerrero-Cuellar
ocd-person/02f2799d-4633-48e9-b5ab-379d48e70b40,Ann Williams,Democratic,11,lower,Ann,Williams
ocd-person/f38a2b8a-b0e4-4e7d-92cf-7855d42e9c2d,Anna Moeller,Democratic,43,lower,Anna,Moeller
ocd-person/8dfe2e37-8a40-4be0-b44d-0bf65861f4e0,Anne Stava,Democratic,81,lower,Anne,Stava
ocd-person/aecf9fb4-3e54-4963-941f-8dc6b4658584,Anthony DeLuca,Democratic,80,lower,Anthony,DeLuca
ocd-person/fb481641-3999-4fe4-9bac-878becdde97d,Barbara Hernandez,Democratic,50,lower,Barbara,Hernandez
ocd-person/500ffee4-de06-4a0b-b4df-f8e6f52c4e96,Blaine Wilhour,Republican,110,lower,Blaine,Wilhour
ocd-person/55a824f4-04c7-4834-8a5d-d204ca3bece5,Bob Morgan,Democratic,58,lower,Bob,Morgan
ocd-person/e05f1a87-b75d-450e-9cd1-3b7a66cb703e,Brad Halbrook,Republican,107,lower,Brad,Halbrook
ocd-person/be767c3e-58d9-41c0-b930-79c0f47b9960,Brad Fritts,Republican,74,lower,Brad,Fritts
ocd-person/49c0fac1-8cf0-48d2-8166-811afe9ac5c5,Brad Stephens,Republican,20,lower,Brad,Stephens
ocd-person/8c6f0ed1-f28f-408a-9b59-156fa7a7f1e0,Brandun Schweizer,Republican,104,lower,Brandun,Schweizer
ocd-person/384c08f3-49fd-45a7-bb7b-5689bdeae7a7,C.D. Davidsmeyer,Republican,100,lower,C.D.,Davidsmeyer
ocd-person/a51455ff-b0ae-47f6-b3ee-2722adbe38c2,Camille Lilly,Democratic,78,lower,Camille,Lilly
ocd-person/bc409660-f360-4624-914f-ba785bbf9b7b,Carol Ammons,Democratic,103,lower,Carol,Ammons
ocd-person/013d012f-a50e-43c8-af40-f12aa852a0da,Celina Villanueva,Democratic,12,upper,Celina,Villanueva
ocd-person/b748f1e8-6cfd-47d6-9398-5817aa879f39,Chapin Rose,Republican,51,upper,Chapin,Rose
ocd-person/c425f2ef-cad0-4dad-93c4-be11b80af613,Charlie Meier,Republican,109,lower,Charlie,Meier
ocd-person/fe9dc27f-4e47-4cb0-a008-df80642f6be0,Chris Balkema,Republican,53,upper,Chris,Balkema
ocd-person/f5a10a95-3160-4cac-9f4e-ba31e5362e7b,Chris Miller,Republican,101,lower,Chris,Miller
ocd-person/ce79408a-9923-4ab4-9c3a-805a2b4162d5,Christopher Belt,Democratic,57,upper,Christopher,Belt
ocd-person/07e2527a-ae7d-4c58-b20b-ea2266a03a9e,Craig Wilcox,Republican,32,upper,Craig,Wilcox
ocd-person/f5add4b7-0c7e-4909-8e31-3042698f5b49,Cristina Castro,Democratic,22,upper,Cristina,Castro
ocd-person/7a4c9172-6836-453c-94a8-1254b76fa08f,Curtis Tarver,Democratic,25,lower,Curtis,Tarver
ocd-person/4c05af2c-7756-4002-a45d-cc9f2f5acbfd,Dee Avelar,Democratic,85,lower,Dee,Avelar
ocd-person/ab6db17a-e7dc-43c8-9770-32c1da1d7f40,Dan Ugaste,Republican,65,lower,Dan,Ugaste
ocd-person/c5786e99-12fd-41eb-b40e-372187dde261,Dan Didech,Democratic,59,lower,Dan,Didech
ocd-person/6e9ee3b5-fb44-49f3-81f6-5a470bfaf009,Dan Swanson,Republican,71,lower,Dan,Swanson
ocd-person/3249a901-9d57-4623-a9a0-4cbb1240f2a1,Darby Hills,Republican,26,upper,Darby,Hills
ocd-person/cbbd1430-7c0b-4be0-9d45-deabdb0c3d0f,Dave Severin,Republican,116,lower,Dave,Severin
ocd-person/d02beb7e-1f30-48f2-8418-4c9287452562,Dave Syverson,Republican,35,upper,Dave,Syverson
ocd-person/5da7b2ff-c086-49cd-80bc-9802e426cc00,Dave Vella,Democratic,68,lower,Dave,Vella
ocd-person/abda0ae5-9ecb-4363-9a6a-487f1cf8899e,David Friess,Republican,115,lower,David,Friess
ocd-person/997e8947-dadd-4c8d-9538-0b58c077a812,Dave Koehler,Democratic,46,upper,Dave,Koehler
ocd-person/e1d4b5b4-34b8-4d91-ab9f-08c8a361e12a,Debbie Meyers-Martin,Democratic,38,lower,Debbie,Meyers-Martin
ocd-person/13dc4688-95d1-4a5d-abc7-fb9a46a432c8,Dennis Tipsword,Republican,105,lower,Dennis,Tipsword
ocd-person/d5c22b1c-8057-40bf-aea6-0298070ad67b,Diane Blair-Sherlock,Democratic,46,lower,Diane,Blair-Sherlock
ocd-person/15c56180-21e1-492d-874f-25d511f804ee,Don Harmon,Democratic,39,upper,Don,Harmon
ocd-person/c4a1e37c-3c81-448c-9349-199a8fa5c2d3,Don DeWitte,Republican,33,upper,Don,DeWitte
ocd-person/5db8d260-f850-406c-8e26-d618762c10cd,Doris Turner,Democratic,48,upper,Doris,Turner
ocd-person/e8bba8fb-50a8-4ddd-9bed-785c5f1bb70d,Edgar González,Democratic,23,lower,Edgar,González
ocd-person/50ad4838-140d-4cb7-80cb-46da37a8827f,Elgie Sims,Democratic,17,upper,Elgie,Sims
ocd-person/b6ebf45f-ac97-423b-b5c3-eba0a5766a8d,Lisa Hernandez,Democratic,2,lower,Lisa,Hernandez
ocd-person/00cc6415-b2a7-45ab-8f69-be5c3ca6752a,Chris Welch,Democratic,7,lower,Chris,Welch
ocd-person/05030c23-9600-4d1c-ab77-46c17aec2059,Emil Jones,Democratic,14,upper,Emil,Jones
ocd-person/4dadb374-d534-4ba0-8323-6e41a19933f5,Erica Harriss,Republican,56,upper,Erica,Harriss
ocd-person/01201203-526d-4d02-b6fc-cbe5a749b6ab,Eva-Dina Delgado,Democratic,3,lower,Eva-Dina,Delgado
ocd-person/3806ac4f-5290-4eb7-ba30-aa406036dd7a,Fred Crespo,Democratic,44,lower,Fred,Crespo
ocd-person/95d8f5ae-4cc9-483b-913f-ccd07aa73e13,Graciela Guzmán,Democratic,20,upper,Graciela,Guzmán
ocd-person/26a0642d-d0b6-450f-9438-018a36b04cbf,Gregg Johnson,Democratic,72,lower,Gregg,Johnson
ocd-person/1574a50f-6d50-4d7d-87ee-db0254e5093e,Harry Benton,Democratic,97,lower,Harry,Benton
ocd-person/c7156dc3-31a6-4582-bf3a-b325c9dc868f,Hoan Huynh,Democratic,13,lower,Hoan,Huynh
ocd-person/5da74880-f9e4-4c20-bc17-74d88526a7a4,Jackie Haas,Republican,79,lower,Jackie,Haas
ocd-person/c0d481c5-9d31-4780-b2b0-bc5327291d6b,Jaime Andrade,Democratic,40,lower,Jaime,Andrade
ocd-person/dc08395b-8a74-4795-b104-d7b11c1e42ca,Janet Yang Rohr,Democratic,41,lower,Janet,Yang Rohr
ocd-person/4a588ccf-b32f-4b66-978a-3415f71d2774,Jason Bunting,Republican,106,lower,Jason,Bunting
ocd-person/d868bc8f-f51c-4f5b-a9a3-3608b8b44b29,Jason Plummer,Republican,55,upper,Jason,Plummer
ocd-person/caf27c44-2fec-4e26-a102-e6a30ca56be0,Javier Cervantes,Democratic,1,upper,Javier,Cervantes
ocd-person/b79ed17d-30a6-4d03-af90-ad3b34610395,Omar Williams,Democratic,10,lower,Omar,Williams
ocd-person/21e2f7d1-8073-4ee1-a5b5-b32ccdd321d5,Jay Hoffman,Democratic,113,lower,Jay,Hoffman
ocd-person/a9c919a3-8fba-4bad-8589-315491cd9b0e,Jed Davis,Republican,75,lower,Jed,Davis
ocd-person/1055f952-0000-4628-9584-c2a3fc9e991c,Jeff Keicher,Republican,70,lower,Jeff,Keicher
ocd-person/968d7e1e-e0e8-47f0-a258-586eb6cfbac9,Jehan Gordon-Booth,Democratic,92,lower,Jehan,Gordon-Booth
ocd-person/cf97f459-e1cd-474b-8306-3c55d7c009b0,Jen Gong-Gershowitz,Democratic,17,lower,Jen,Gong-Gershowitz
ocd-person/0069021e-b341-44fd-9d02-d876839c5c23,Jennifer Sanalitro,Republican,48,lower,Jennifer,Sanalitro
ocd-person/be85f354-7f46-48aa-afc7-850502fda3cb,Jil Tracy,Republican,50,upper,Jil,Tracy
ocd-person/6471a51f-0707-4966-b122-9597554d3c19,Joe Sosnowski,Republican,69,lower,Joe,Sosnowski
ocd-person/cb63cb04-f84b-4fc9-91cf-05c4e1f93345,John Curran,Republican,41,upper,John,Curran
ocd-person/b442db35-fab4-4318-a07b-0e88c314fbaa,John Cabello,Republican,90,lower,John,Cabello
ocd-person/96f00b4c-0a56-4fe0-bd59-7d49eb93531c,Joyce Mason,Democratic,61,lower,Joyce,Mason
ocd-person/1e106d7c-5aba-40d1-932b-760b599c70ae,Julie Morrison,Democratic,29,upper,Julie,Morrison
ocd-person/afff2974-37d0-428c-be7a-0240395544f6,Justin Cochran,Democratic,55,lower,Justin,Cochran
ocd-person/c296134a-f9b3-4c65-9ed5-3ecccde59386,Justin Slaughter,Democratic,27,lower,Justin,Slaughter
ocd-person/8b7174cd-4081-4717-8ba9-184518f7b31e,Kam Buckner,Democratic,26,lower,Kam,Buckner
ocd-person/ca80672a-9d02-4287-9cd2-d2a7d08f604a,Karina Villa,Democratic,25,upper,Karina,Villa
ocd-person/ceb7f558-3a2c-4041-bf3b-f5a9a511e8b3,Katie Stuart,Democratic,112,lower,Katie,Stuart
ocd-person/e1652f78-fa2e-46de-8630-f3e1e69040a3,Kelly Cassidy,Democratic,14,lower,Kelly,Cassidy
ocd-person/c2c8c6a1-ef1b-4a38-92fa-bde7563b7f23,Kevin Olickal,Democratic,16,lower,Kevin,Olickal
ocd-person/266780c2-6b08-469e-9d78-10d618e16f4e,Kevin Schmidt,Republican,114,lower,Kevin,Schmidt
ocd-person/595f7bf4-5bd7-4238-94a3-e14d8b6d4545,Kimberly Lightford,Democratic,4,upper,Kimberly,Lightford
ocd-person/3b2af944-b2b7-4b13-87db-1c8cdd45de3c,Kimberly Du Buclet,Democratic,5,lower,Kimberly,Du Buclet
ocd-person/6f9e28df-bdf5-4493-aac1-68f1b7be39cb,Kyle Moore,Republican,99,lower,Kyle,Moore
ocd-person/91164a3d-fc17-4252-a31f-a8d0d113b74b,La Shawn Ford,Democratic,8,lower,La Shawn,Ford
ocd-person/37f0e4e6-fd0c-4bae-8def-f0ab80f722ff,Lakesia Collins,Democratic,5,upper,Lakesia,Collins
ocd-person/9bc8c9e8-ed36-42a1-ae80-4b2dfe591839,Laura Ellman,Democratic,21,upper,Laura,Ellman
ocd-person/f0ab36db-6498-4d90-9b11-0191637421d2,Laura Faver Dias,Democratic,62,lower,Laura,Faver Dias
ocd-person/0ce44c13-37aa-4560-8489-67c309da913a,Laura Fine,Democratic,9,upper,Laura,Fine
ocd-person/55be467f-1dd9-4cb7-96b8-050c113f5975,Laura Murphy,Democratic,28,upper,Laura,Murphy
ocd-person/9eda7be9-b2c6-45e6-bea6-098bd7f47595,Larry Walsh,Democratic,86,lower,Larry,Walsh
ocd-person/8f61ddbc-3976-49b0-8c80-1d24cca80dc0,Li Arellano,Republican,37,upper,Li,Arellano
ocd-person/256a1090-5fef-4f0c-b016-263735573c77,Lilian Jiménez,Democratic,4,lower,Lilian,Jiménez
ocd-person/8d0beff8-000c-470a-a6c8-a05e1b6816cb,Linda Holmes,Democratic,42,upper,Linda,Holmes
ocd-person/ea4595af-64f9-4d91-9c12-48accdc04ff8,Lindsey LaPointe,Democratic,19,lower,Lindsey,LaPointe
ocd-person/607e0b8f-4f4a-46ae-bfac-24b179d67542,Lisa Davis,Democratic,32,lower,Lisa,Davis
ocd-person/4e02286b-b560-4837-8b9c-efa2c679e437,Marcus Evans,Democratic,33,lower,Marcus,Evans
ocd-person/adf823d2-7e3e-4a4d-898c-2dd404679012,Margaret Croke,Democratic,12,lower,Margaret,Croke
ocd-person/9e3e61af-e205-47a0-8d7c-d50475941ba8,Margaret DeLaRosa,Democratic,42,lower,Margaret,DeLaRosa
ocd-person/d1c2870a-8fee-47bf-a48e-4320311f06fd,Mark Walker,Democratic,27,upper,Mark,Walker
ocd-person/035b25c2-e97c-413e-8d84-d5c618f6a2fa,Marti Deuter,Democratic,45,lower,Marti,Deuter
ocd-person/eb9a9c6e-1173-4c03-848e-167eb2762673,Marty McLaughlin,Republican,52,lower,Marty,McLaughlin
ocd-person/48d73b90-0109-4fb2-8689-57e803c8294a,Mary Beth Canty,Democratic,54,lower,Mary Beth,Canty
ocd-person/1a1cd310-b42c-4da3-b9ac-6278b1e95a02,Mary Edly-Allen,Democratic,31,upper,Mary,Edly-Allen
ocd-person/f2231f6c-1ed7-4106-8909-1d87557b2f04,Mary Gill,Democratic,35,lower,Mary,Gill
ocd-person/14b940c9-8843-4709-97a9-9faee25bb201,Matt Hanson,Democratic,83,lower,Matt,Hanson
ocd-person/879afbe3-9394-4a84-b57f-af36ca92cb14,Mattie Hunter,Democratic,3,upper,Mattie,Hunter
ocd-person/ef519ea9-e143-44e0-95b2-49d37c4ea3c8,Maura Hirschauer,Democratic,49,lower,Maura,Hirschauer
ocd-person/77906cdf-58a8-4329-bb24-c65e6e38342f,Maurice West,Democratic,67,lower,Maurice,West
ocd-person/d218f82f-ce03-4277-9408-119857d1e61f,Meg Loughran Cappel,Democratic,49,upper,Meg,Loughran Cappel
ocd-person/fb433923-65ca-475a-b106-7293c3483c57,Mike Hastings,Democratic,19,upper,Mike,Hastings
ocd-person/8021b51f-4acc-459e-a038-786ebaca8666,Mike Halpin,Democratic,36,upper,Mike,Halpin
ocd-person/868db7f8-5f9e-48a4-83ba-a5404b87276a,Mike Coffey,Republican,95,lower,Mike,Coffey
ocd-person/c98bae02-b0dd-40ea-96a8-8a5fa994d211,Michael Kelly,Democratic,15,lower,Michael,Kelly
ocd-person/394eec6a-ad20-447e-b72c-f09d76e66fa2,Michelle Mussman,Democratic,56,lower,Michelle,Mussman
ocd-person/08699f92-8a4f-4dfa-8e8c-8bf129fb08d0,Mike Crawford,Democratic,31,lower,Mike,Crawford
ocd-person/4666ba31-e78b-48f5-9d88-f4823527df6b,Mike Porfirio,Democratic,11,upper,Mike,Porfirio
ocd-person/0125b0ac-65ba-443e-b418-53cdf42b9f85,Mike Simmons-Gessesse,Democratic,7,upper,Mike,Simmons-Gessesse
ocd-person/d717abc0-a4ec-4ce9-bd24-cbda0a48c361,Murri Briel,Democratic,76,lower,Murri,Briel
ocd-person/3115335b-b84e-49e5-b0ed-8ee2ab139784,Nabeela Syed,Democratic,51,lower,Nabeela,Syed
ocd-person/f8e78760-4ec7-44f4-a00f-54f42fb834d5,Napoleon Harris,Democratic,15,upper,Napoleon,Harris
ocd-person/d7b735a6-3b70-4a3d-ae53-948fde86e4e7,Natalie Manley,Democratic,98,lower,Natalie,Manley
ocd-person/b676c70e-0bc2-45d2-bd4c-9f3fa70bf60e,Neil Anderson,Republican,47,upper,Neil,Anderson
ocd-person/a5e32db2-c1a9-4b4a-b42e-d2d541bd5825,Nick Smith,Democratic,34,lower,Nick,Smith
ocd-person/3846d812-409f-4726-8e46-3624bfe92812,Nicole La Ha,Republican,82,lower,Nicole,La Ha
ocd-person/0394df12-4d09-4844-80aa-269ccc9c1d54,Nicolle Grasse,Democratic,53,lower,Nicolle,Grasse
ocd-person/cce820c8-7ce2-4b30-8ebd-4734eab16a94,Norine Hammond,Republican,94,lower,Norine,Hammond
ocd-person/c0d6eed8-422f-4e17-a4df-5e546b704e91,Norma Hernandez,Democratic,77,lower,Norma,Hernandez
ocd-person/436c1e53-1203-4ce3-9931-d22f9e3c406a,Omar Aquino,Democratic,2,upper,Omar,Aquino
ocd-person/1ae7c123-b1a4-4c6e-b4d3-dc22db461e44,Patrick Joyce,Democratic,40,upper,Patrick,Joyce
ocd-person/075c5ab4-12bf-4573-8091-1539a081256e,Patrick Sheehan,Republican,37,lower,Patrick,Sheehan
ocd-person/6cb9bc2c-97b3-4dd1-b5ba-36a644360057,Patrick Windhorst,Republican,117,lower,Patrick,Windhorst
ocd-person/8392abef-edd4-4e47-b649-ce4ac82ebb21,Paul Faraci,Democratic,52,upper,Paul,Faraci
ocd-person/2febe0de-8b57-43c9-b8cd-a5363af4eae3,Paul Jacobs,Republican,118,lower,Paul,Jacobs
ocd-person/ed666567-961a-43f1-8ca3-ddd29e07f8af,Rachel Ventura,Democratic,43,upper,Rachel,Ventura
ocd-person/d01a10b0-e391-4c65-ba1f-304ee6130f5c,Ram Villivalam,Democratic,8,upper,Ram,Villivalam
ocd-person/8d81a4e9-f895-4a60-8064-2ddd2bd785c8,Regan Deering,Republican,88,lower,Regan,Deering
ocd-person/749cc87c-81a8-48ba-9cee-a6be77e1d333,Rick Ryan,Democratic,36,lower,Rick,Ryan
ocd-person/cb9d1283-1029-46cf-8507-1e7ed6937606,Rita Mayfield,Democratic,60,lower,Rita,Mayfield
ocd-person/4a3645fe-2a56-400f-ae2a-18e50f2b0bea,Rob Martwick,Democratic,10,upper,Rob,Martwick
ocd-person/86ee52dd-dc32-4895-bf16-746eb76df012,Robert Peters,Democratic,13,upper,Robert,Peters
ocd-person/3ce631a4-7a4f-4905-a959-574f1f0d3d6d,Bob Rita,Democratic,28,lower,Bob,Rita
ocd-person/7d68f174-3504-4479-80c5-e3fbe69fd354,Robyn Gabel,Democratic,18,lower,Robyn,Gabel
ocd-person/139cce29-08b9-4731-a7e9-bdeec8129eaa,Ryan Spain,Republican,73,lower,Ryan,Spain
ocd-person/cb406eb3-673a-4715-8d87-d5963220ad6b,Sally Turner,Republican,44,upper,Sally,Turner
ocd-person/6c0069de-c064-412e-ae45-9e87d6ee3dae,Sara Feigenholtz,Democratic,6,upper,Sara,Feigenholtz
ocd-person/0b9e2838-eeb0-4d10-8292-64a9e9f54dc1,Seth Lewis,Republican,24,upper,Seth,Lewis
ocd-person/95032a7e-18c4-40be-b89f-1f61b132533a,Sharon Chung,Democratic,91,lower,Sharon,Chung
ocd-person/8a39d16f-edbf-454b-8a77-33030fa9a8c2,Sonya Harper,Democratic,6,lower,Sonya,Harper
ocd-person/0ecdbb3f-7593-4959-8b27-4a03a925d927,Stephanie Kifowit,Democratic,84,lower,Stephanie,Kifowit
ocd-person/d3450848-4552-4b8f-97dc-fb3c26c2566c,Steve McClure,Republican,54,upper,Steve,McClure
ocd-person/ba9c4927-bf9b-4bd5-879f-c515a12a046c,Steve Stadelman,Democratic,34,upper,Steve,Stadelman
ocd-person/56914fff-eda2-403a-869a-895764908cd9,Steve Reick,Republican,63,lower,Steve,Reick
ocd-person/a1ac69ba-49db-4529-926f-999e73ef9654,Sue Rezin,Republican,38,upper,Sue,Rezin
ocd-person/e9bf3918-daaa-4fa4-b58d-538c147335dd,Sue Scherer,Democratic,96,lower,Sue,Scherer
ocd-person/68505842-e93c-42ce-adc8-9354f4a0db7a,Suzanne Ness,Democratic,66,lower,Suzanne,Ness
ocd-person/16483678-e06e-4551-8cec-266335b56fff,Suzy Glowiak Hilton,Democratic,23,upper,Suzy,Glowiak Hilton
ocd-person/372be8dc-8177-47e7-b128-1e6a81621f3a,Terri Bryant,Republican,58,upper,Terri,Bryant
ocd-person/a38c9ab5-48b6-417c-baf1-bae5e8f3b7c0,Thaddeus Jones,Democratic,29,lower,Thaddeus,Jones
ocd-person/c1ebba3c-4fc2-4b66-9ecc-e20aa4f793a9,Theresa Mah,Democratic,24,lower,Theresa,Mah
ocd-person/ba3dd226-a1c6-47af-917a-e12696d5aae5,Tom Weber,Republican,64,lower,Tom,Weber
