id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/b5e2b0b8-ae2a-4852-9c40-c9bf4a32fe1a,Aaron Freeman,Republican,32,upper,Aaron,Freeman
ocd-person/3564d02c-d1d7-4c46-87b7-dbc1c5f1dc14,Alaina Shonkwiler,Republican,29,lower,Alaina,Shonkwiler
ocd-person/ea9905ae-ca94-4184-853c-d7d622dd46ee,Alex Burton,Democratic,77,lower,Alex,Burton
ocd-person/7daef9db-7675-4d8e-8e78-b943a24fd5b7,Alex Zimmerman,Republican,67,lower,Alex,Zimmerman
ocd-person/f22b3c5a-950d-4e0c-83c8-bf9a7c005c73,Andrea Hunley,Democratic,46,upper,Andrea,Hunley
ocd-person/27343a14-0487-4a7a-8ddd-1e0991c4a694,Andrew Ireland,Republican,90,lower,Andrew,Ireland
ocd-person/a8ed53f7-00fb-428b-a629-7532efaf902d,Beau Baird,Republican,44,lower,Beau,Baird
ocd-person/172ba652-d80a-45cd-a387-f072925561f7,Becky Cash,Republican,25,lower,Becky,Cash
ocd-person/ea2c35cb-7071-43de-8dc6-e91756d03f11,Ben Smaltz,Republican,52,lower,Ben,Smaltz
ocd-person/a1002ff1-ffd8-4d82-8db9-3a8295ca5e06,Blake Doriot,Republican,12,upper,Blake,Doriot
ocd-person/5fd5f8d8-b47c-4b69-ba1a-d89f0fb106a7,Blake Johnson,Democratic,100,lower,Blake,Johnson
ocd-person/6629fcea-f482-4e63-872d-d2f8734502ca,Brad Barrett,Republican,56,lower,Brad,Barrett
ocd-person/08d4ca65-7f96-4df8-80cf-33b1cb156a47,Brett Clark,Republican,24,upper,Brett,Clark
ocd-person/0482a330-c9fb-4f41-b136-88a4aef2de6a,Brian Buchanan,Republican,7,upper,Brian,Buchanan
ocd-person/fe83212e-72d8-4d9c-80cb-338c7f318f09,Bruce Borders,Republican,45,lower,Bruce,Borders
ocd-person/ec6a3cce-3eca-4020-8809-a7a1875e1663,Carey Hamilton,Democratic,87,lower,Carey,Hamilton
ocd-person/16ded3c5-7034-4910-b5d1-76efa7b2f02f,Carolyn Jackson,Democratic,1,lower,Carolyn,Jackson
ocd-person/17fd494d-905d-4c82-a828-6d975cbf02f3,Chuck Moseley,Democratic,10,lower,Chuck,Moseley
ocd-person/8db4d04c-3afe-44c1-940b-7761cd035800,Cherrish Pryor,Democratic,94,lower,Cherrish,Pryor
ocd-person/a2b2e61b-e27c-4ead-8c81-6703ea817037,Chris Campbell,Democratic,26,lower,Chris,Campbell
ocd-person/dc07e0d2-7372-46c2-967c-878ec522879d,Chris Garten,Republican,45,upper,Chris,Garten
ocd-person/8f56f62b-e700-4fdc-b35a-bba408d3e6cf,Chris Jeter,Republican,88,lower,Chris,Jeter
ocd-person/35824e09-976c-44b7-9825-0787030f0e4e,Chris Judy,Republican,83,lower,Chris,Judy
ocd-person/f1571a79-9c64-42b2-82d2-ec9f512722eb,Chris May,Republican,65,lower,Chris,May
ocd-person/e3cfa300-8d75-4217-9cc4-371aca7f77dd,Cindy Ledbetter,Republican,75,lower,Cindy,Ledbetter
ocd-person/e4588f99-2084-4b0f-9260-f73a8f6aeb62,Cory Criswell,Republican,54,lower,Cory,Criswell
ocd-person/006e6bcf-0a2c-4eef-92e3-44714f31aa4e,Craig Haggard,Republican,57,lower,Craig,Haggard
ocd-person/d9c1cb89-9943-4afd-9353-8c771dcac356,Craig Snow,Republican,22,lower,Craig,Snow
ocd-person/f15e7d77-05df-4875-88a3-0a1aa40822ec,Cyndi Carrasco,Republican,36,upper,Cyndi,Carrasco
ocd-person/da8afc87-2b9a-4544-8fb9-2f03f426a451,Dale DeVon,Republican,5,lower,Dale,DeVon
ocd-person/bb961150-43c0-4535-bc67-a63127c90047,Dan Dernulc,Republican,1,upper,Dan,Dernulc
ocd-person/7403f289-e044-47ad-b594-05d174ec486e,Danny Lopez,Republican,39,lower,Danny,Lopez
ocd-person/06fded2a-c138-46b5-9966-7662c0f28c41,Daryl Schmitt,Republican,48,upper,Daryl,Schmitt
ocd-person/e1599f41-bd7d-45c4-8a43-c25d8b519f53,Dave Hall,Republican,62,lower,Dave,Hall
ocd-person/ed771fd3-4bd9-4c99-bb42-4bd9f5d1ff8d,Dave Heine,Republican,85,lower,Dave,Heine
ocd-person/a080b584-c899-4694-a797-73cca22610fe,David Abbott,Republican,18,lower,David,Abbott
ocd-person/1fad6d9f-7d2c-4b2e-a74f-26a2ea44f371,David Niezgodski,Democratic,10,upper,David,Niezgodski
ocd-person/5b58dd7d-acb3-4554-9e4e-c1281155f4ab,Doug Miller,Republican,48,lower,Doug,Miller
ocd-person/e0aaea95-033f-49d8-9be6-3875fc3b8efe,Earl Harris,Democratic,2,lower,Earl,Harris
ocd-person/ce2c81c3-e2d6-4394-b960-8787d896bfe5,Ed Charbonneau,Republican,5,upper,Ed,Charbonneau
ocd-person/3fbcc2a9-c620-456c-b38f-03e0f9063c3f,Ed Soliday,Republican,4,lower,Ed,Soliday
ocd-person/d01b6bbc-9c5e-4479-afd6-3e7410946367,Ed Clere,Independent,72,lower,Ed,Clere
ocd-person/45d8ea46-0d3f-4a80-bf4e-ca016bd458a8,Ed DeLaney,Democratic,86,lower,Ed,DeLaney
ocd-person/fafeb171-4592-4254-bb59-788745371b7b,Elizabeth Rowray,Republican,35,lower,Elizabeth,Rowray
ocd-person/2d517236-2a88-435f-bc1f-ce09de86c6f9,Eric Bassler,Republican,39,upper,Eric,Bassler
ocd-person/a7974310-0d01-4bc1-9c14-29561ec68a60,Eric Koch,Republican,44,upper,Eric,Koch
ocd-person/bab7e849-4075-4199-b251-34d5f35cc157,Ethan Lawson,Republican,53,lower,Ethan,Lawson
ocd-person/bdae77c7-d89e-426d-b6f6-52e1a48bc87a,Ethan Manning,Republican,23,lower,Ethan,Manning
ocd-person/ba72879f-42bd-4735-a3e0-d5edd0358f98,Fady Qaddoura,Democratic,30,upper,Fady,Qaddoura
ocd-person/552456a4-62fc-4f94-a9f9-1c5dd8ebe57a,Garrett Bascom,Republican,68,lower,Garrett,Bascom
ocd-person/aa12c3a4-7207-4474-af92-7a1f9dcf62a3,Gary Byrne,Republican,47,upper,Gary,Byrne
ocd-person/a5c26055-cf9f-4d9c-979a-f8964c48c4da,Greg Goode,Republican,38,upper,Greg,Goode
ocd-person/39798614-3cb2-40b7-adad-4f5c53ff59e5,Greg Taylor,Democratic,33,upper,Greg,Taylor
ocd-person/0bee6f8c-db8b-4e92-8bd4-799c71c55c2c,Greg Walker,Republican,41,upper,Greg,Walker
