id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/052c229e-ad06-4b61-abec-4e64858b3a3b,Abi Boatman,Democratic,86,lower,Abi,Boatman
ocd-person/c1802270-0126-4be5-b7e7-1a9a472f5fd7,Adam Smith,Republican,120,lower,Adam,Smith
ocd-person/2c46aedb-f7a4-4f9a-bade-5ae192acc2a3,Adam Thomas,Republican,23,upper,Adam,Thomas
ocd-person/d7dd1de1-73e2-438a-bf25-c70e12ede30d,Adam Turk,Republican,117,lower,Adam,Turk
ocd-person/f3a06f5c-fe9a-42c9-ad04-82e1532b6979,Alexis Simmons,Democratic,58,lower,Alexis,Simmons
ocd-person/47445ee6-4c28-496c-b5a2-2f666fc62d46,Allen Reavis,Republican,63,lower,Allen,Reavis
ocd-person/372f4e97-d36e-41c3-aae3-fd69da828ee5,Angel Roeser,Republican,67,lower,Angel,Roeser
ocd-person/a587476a-1201-4d9f-b8b7-ac6f74b3f6ce,Angela Martinez,Democratic,103,lower,Angela,Martinez
ocd-person/e0cddd71-639c-4b74-8dea-bc189418034d,Angela Stiens,Republican,39,lower,Angela,Stiens
ocd-person/4544fc4e-fff8-4bbe-bc29-4e28c6be3179,Avery Anderson,Republican,72,lower,Avery,Anderson
ocd-person/3bf41768-e1b5-4017-8ab5-8d1fb1d6521c,Barbara Ballard,Democratic,44,lower,Barbara,Ballard
ocd-person/7aac5ab6-1590-4cfe-8c02-d61f292497c8,Barb Wasinger,Republican,111,lower,Barb,Wasinger
ocd-person/35630402-1f6a-4a3e-b6cf-48c1b93bd6ae,Beverly Gossage,Republican,9,upper,Beverly,Gossage
ocd-person/463dcd61-1bf6-4182-ae6f-a840e43ea7fe,Bill Clifford,Republican,39,upper,Bill,Clifford
ocd-person/d01abc3e-cce3-450e-8d2c-41491b5bbde6,Bill Rhiley,Republican,80,lower,Bill,Rhiley
ocd-person/dc23fc2c-0f64-4fab-96ec-951f0efbe7bb,Bill Sutton,Republican,43,lower,Bill,Sutton
ocd-person/38998536-e18f-44bb-8e80-01bfee04e991,Blake Carpenter,Republican,81,lower,Blake,Carpenter
ocd-person/05ca3b77-c9d8-4d8e-92bf-603b2f71eda6,Bob Lewis,Republican,123,lower,Bob,Lewis
ocd-person/cb7f246f-5619-4086-8e6a-79614bcbaca6,Brad Barrett,Republican,76,lower,Brad,Barrett
ocd-person/2b66826b-7af3-4053-8d3b-90dbcf4f0740,Brad Starnes,Republican,22,upper,Brad,Starnes
ocd-person/c56cf970-39c2-4821-8723-a85dfe09cd6b,Brandon Woodard,Democratic,108,lower,Brandon,Woodard
ocd-person/57c530cc-4575-431e-9118-11f64fa3a573,Brenda Dietrich,Republican,20,upper,Brenda,Dietrich
ocd-person/ca3f1bf6-44e0-4d67-b242-3cd29905723c,Brett Fairchild,Republican,113,lower,Brett,Fairchild
ocd-person/ee28d684-dc5b-4923-a56f-7fef74c9ef67,Brian Bergkamp,Republican,93,lower,Brian,Bergkamp
ocd-person/7191d22a-a111-4e14-b3d2-87c4084bea1b,Brooklynne Mosley,Democratic,46,lower,Brooklynne,Mosley
ocd-person/71b474cb-1732-41fc-b525-4d53911cbbbe,Carl Turner,Republican,28,lower,Carl,Turner
ocd-person/f1e5ad82-52f7-4a6a-b028-40df8a3f929b,Carolyn Caiharr,Republican,33,lower,Carolyn,Caiharr
ocd-person/cc84252c-b7c6-484d-a036-dd38a90b1b04,Caryn Tyson,Republican,12,upper,Caryn,Tyson
ocd-person/8b617466-af12-4848-8cca-ed088fb196da,Chuck Smith,Republican,3,lower,Chuck,Smith
ocd-person/e9245d69-ed9f-456c-9c78-01fc5a1f4244,Charlotte Esau,Republican,14,lower,Charlotte,Esau
ocd-person/c0c78c6c-d725-4f3b-8ae5-11446753d9a7,Chase Blasi,Republican,26,upper,Chase,Blasi
ocd-person/bb92c4f1-d89e-4147-9b09-5fc1f56fca1c,Chip VanHouden,Republican,26,lower,Chip,VanHouden
ocd-person/e0cd5e74-7229-4c04-be9e-aa688868e703,Chris Croft,Republican,8,lower,Chris,Croft
ocd-person/9c36b31f-b9e7-43cd-8aab-6148c8f6cac8,Cindy Holscher,Democratic,8,upper,Cindy,Holscher
ocd-person/eafd24b5-d096-4fa0-92c4-3b4ced58c40f,Cindy Neighbor,Democratic,18,lower,Cindy,Neighbor
ocd-person/3df522a5-5542-4ad4-b1bf-54736e60c601,Clarke Sanders,Republican,69,lower,Clarke,Sanders
ocd-person/3618106c-5f38-4df6-bf12-d58576bd7c93,Courtney Sappington,Republican,5,lower,Courtney,Sappington
ocd-person/b4963502-06af-4855-bc95-8db7972d2e04,Craig Bowser,Republican,1,upper,Craig,Bowser
ocd-person/c333ddca-e5a2-4638-910c-a816bcddd666,Cyndi Howerton,Republican,98,lower,Cyndi,Howerton
ocd-person/9972db5e-e19b-48ab-9d3a-10983c96fc5c,Dale Helwig,Republican,1,lower,Dale,Helwig
ocd-person/2d7cf122-fd6c-406c-a158-de6c61ff0afa,Dan Goddard,Republican,7,lower,Dan,Goddard
ocd-person/d9b94e4b-d2b0-4139-8135-cba9ff03e8b7,Dan Osman,Democratic,48,lower,Dan,Osman
ocd-person/26eb8f32-d499-4b8b-82c6-8fef014633a3,Dan Hawkins,Republican,100,lower,Dan,Hawkins
ocd-person/0a2abc46-725c-4637-bf38-dc83cb7f90fd,Dave Buehler,Republican,40,lower,Dave,Buehler
ocd-person/0a700e33-0ae7-4627-936c-982317c26b9d,David Haley,Democratic,4,upper,David,Haley
ocd-person/39cab563-99a8-4412-8112-7b88b0911714,Dawn Wolf,Republican,107,lower,Dawn,Wolf
ocd-person/549c712e-1cc1-4ca7-9ef7-b09bb36d7229,Dinah Sykes,Democratic,21,upper,Dinah,Sykes
ocd-person/050b34c6-14a3-4998-a67a-13c02217a666,Doug Blex,Republican,12,lower,Doug,Blex
