id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/e46eb488-2e34-4f33-840f-917496473c64,Aaron Reed,Republican,7,upper,Aaron,Reed
ocd-person/1439bad2-f18b-49e2-94ca-21f2b563dfdd,Aaron Thompson,Republican,98,lower,Aaron,Thompson
ocd-person/e7f7a316-4eb0-4be9-adf9-e7067b20dcfc,Adam Bowling,Republican,87,lower,Adam,Bowling
ocd-person/1ce736fd-c1ca-4366-a235-9509fdb2dcaf,Adam Moore,Democratic,45,lower,Adam,Moore
ocd-person/943724d5-5e02-4d0f-bd79-a74e30f18d1a,Adrielle Camuel,Democratic,93,lower,Adrielle,Camuel
ocd-person/dfaa3769-decc-4c1c-9c0b-7195153ab6c8,Al Gentry,Democratic,46,lower,Al,Gentry
ocd-person/7c03bd44-8541-49b0-9794-a9e606c292ce,Amanda Bledsoe,Republican,12,upper,Amanda,Bledsoe
ocd-person/f7bb262c-026f-4af2-9e17-939692c96e89,Amy Neighbors,Republican,21,lower,Amy,Neighbors
ocd-person/2b9ac6b5-8979-40b1-b2d1-8241b93061a7,Anne Donworth,Democratic,76,lower,Anne,Donworth
ocd-person/6bc2a8c3-3370-4586-b0b7-a5028f336d12,Ashley Laferty,Democratic,95,lower,Ashley,Laferty
ocd-person/c8a9f2cf-9a79-45f6-94df-346b546e1d9b,Beverly Chester-Burton,Democratic,44,lower,Beverly,Chester-Burton
ocd-person/91eec267-436a-49a5-9d41-b6b2632d0a51,Bill Wesley,Republican,91,lower,Bill,Wesley
ocd-person/22e056d2-728a-425a-a0a1-19e0e5cc59cb,Bobby McCool,Republican,97,lower,Bobby,McCool
ocd-person/209d5334-d4a2-45f3-b910-0cd52f96dd4e,Brandon Smith,Republican,30,upper,Brandon,Smith
ocd-person/257271f3-68b1-4481-94e5-f98300493413,Brandon Storm,Republican,21,upper,Brandon,Storm
ocd-person/70d58905-dd36-4e9a-b281-639600e6b945,Candy Massaroni,Republican,50,lower,Candy,Massaroni
ocd-person/8dbecabb-ef15-4925-8e50-26331e738a05,Cassie Armstrong,Democratic,19,upper,Cassie,Armstrong
ocd-person/51dc7033-7377-44d4-a5d8-7bd36b371896,Chad Aull,Democratic,79,lower,Chad,Aull
ocd-person/db36edd8-6c2f-4441-aa30-5b4dc48b3357,Chris Freeland,Republican,6,lower,Chris,Freeland
ocd-person/6843e90b-a30a-4dbf-885c-7321ccc8f73f,Chris Fugate,Republican,84,lower,Chris,Fugate
ocd-person/7da80b33-fc71-4d7f-8c96-e6068bd4c19b,Chris Lewis,Republican,29,lower,Chris,Lewis
ocd-person/b32a95c9-42ba-449b-8581-97b9cef73c6a,Chris McDaniel,Republican,23,upper,Chris,McDaniel
ocd-person/3109e3ae-10c1-417e-bf7f-bf4f539bd3c8,Craig Richardson,Republican,3,upper,Craig,Richardson
ocd-person/ed9307f1-cd95-4004-9e72-46970ea64adf,D.J. Johnson,Republican,13,lower,D.J.,Johnson
ocd-person/d93e2493-49a8-4395-b7e0-5842893344e1,Daniel Elliott,Republican,54,lower,Daniel,Elliott
ocd-person/c88c6162-de24-4d8b-98a9-f1788390d043,Dan Fister,Republican,56,lower,Dan,Fister
ocd-person/d4dd968d-1508-476b-bde1-7504a47288f0,Daniel Grossberg,Democratic,30,lower,Daniel,Grossberg
ocd-person/0ec7d376-4235-44e7-a6d7-d63962dff167,Danny Carroll,Republican,2,upper,Danny,Carroll
ocd-person/ebd5f90d-e3cc-45ef-97ff-d51ff1685bcc,David Hale,Republican,74,lower,David,Hale
ocd-person/3643503c-1da8-4a57-90f1-54f063b1d25e,David Meade,Republican,80,lower,David,Meade
ocd-person/bf8bfdc3-66f2-417c-8178-9ed16bf8843f,David Osborne,Republican,59,lower,David,Osborne
ocd-person/5594a97f-7358-427e-af84-43150a21c97e,David Givens,Republican,9,upper,David,Givens
ocd-person/96ab59e2-44c2-4c3d-ac8a-1ee24acc5b55,Deanna Gordon,Republican,81,lower,Deanna,Gordon
ocd-person/60ef609e-8aed-4698-a626-664f536a6122,Derek Lewis,Republican,90,lower,Derek,Lewis
ocd-person/a7cd8577-c315-4bf0-b95f-3259ab7dfce7,Don Douglas,Republican,22,upper,Don,Douglas
ocd-person/67b233b8-474d-49ce-81a8-7f48eec3c79a,Emily Callaway,Republican,37,lower,Emily,Callaway
ocd-person/4ce23404-165d-4c96-9130-56acaf2e73a7,Erika Hancock,Democratic,57,lower,Erika,Hancock
ocd-person/4342be62-2791-4d48-b601-43949239cd94,Felicia Rabourn,Republican,47,lower,Felicia,Rabourn
ocd-person/2d6a7358-f685-4476-aa31-b92cf72b11ec,Gary Boswell,Republican,8,upper,Gary,Boswell
ocd-person/b0cb8f76-4b91-472c-97e2-106ef21f3342,Gary Clemons,Democratic,37,upper,Gary,Clemons
