id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/0d1a7b74-9ed8-4d8c-a1fc-f2caafc3d364,Adam Bass,Republican,36,upper,Adam,Bass
ocd-person/5d1fade2-4678-406c-b4ed-657baed1db2b,Adrian Fisher,Democratic,16,lower,Adrian,Fisher
ocd-person/3937cef1-8c62-428c-8837-aa6a6a8b60e7,Aimee Freeman,Democratic,98,lower,Aimee,Freeman
ocd-person/5032448a-7275-4a02-8dc1-d251cdde8ad9,Alan Seabaugh,Republican,31,upper,Alan,Seabaugh
ocd-person/967fa557-fcdc-4a75-a13e-dabf05b85905,Alonzo Knox,Democratic,93,lower,Alonzo,Knox
ocd-person/a6a9544c-d12b-44cc-a52d-f2ec0e01f556,Annie Spell,Republican,45,lower,Annie,Spell
ocd-person/bd179bf7-f90d-4e3a-baea-a590c3002586,Barbara Freiberg,Republican,70,lower,Barbara,Freiberg
ocd-person/ad514eed-2832-4ae3-a0c5-62d8f2721297,Barbara Carpenter,Democratic,63,lower,Barbara,Carpenter
ocd-person/cbe53992-3b3c-4ec0-a94a-58ddf96e6edd,Beryl Amedée,Republican,51,lower,Beryl,Amedée
ocd-person/5d15439d-4139-448a-8f61-25ab54e68b19,Beth Billings,Republican,56,lower,Beth,Billings
ocd-person/b6e8a5cf-ec5c-494b-b9ff-efa0fb92e1c1,Beth Mizell,Republican,12,upper,Beth,Mizell
ocd-person/20547e38-711f-4012-9217-b739f4450b91,Bill Wheat,Republican,37,upper,Bill,Wheat
ocd-person/8574f94d-93ed-49b0-a5f6-aa1832b5542a,Blake Miguez,Republican,22,upper,Blake,Miguez
ocd-person/7dac3861-2ffb-45ba-b690-a8e199eb2acd,Bob Hensgens,Republican,26,upper,Bob,Hensgens
ocd-person/cfe19d33-7048-4fb7-9d56-0fa0f5f985f5,Bob Owen,Republican,1,upper,Bob,Owen
ocd-person/92439b80-4646-445b-939f-5414e309f183,Brach Myers,Republican,23,upper,Brach,Myers
ocd-person/9ffd05e6-a127-4896-b60e-fc2722fa8779,Brett Geymann,Republican,35,lower,Brett,Geymann
ocd-person/96385d4e-bfae-4929-9845-502fd2ed2cc7,Brian Glorioso,Republican,90,lower,Brian,Glorioso
ocd-person/90b6f6c3-9620-4fbb-8c23-f8ab7b163de7,Bryan Fontenot,Republican,55,lower,Bryan,Fontenot
ocd-person/20def39d-ba5c-45d7-ba6c-5cf43590d4b0,Denise Marcelle,Democratic,61,lower,Denise,Marcelle
ocd-person/871d5c01-9710-46f4-aeba-b321bdf11e30,Travis Johnson,Democratic,21,lower,Travis,Johnson
ocd-person/75f165af-66d1-464e-99b0-4176b8636501,Caleb Kleinpeter,Republican,17,upper,Caleb,Kleinpeter
ocd-person/85a96a1b-a8a0-4ddd-acd7-9452b48f5ace,Candace Newell,Democratic,99,lower,Candace,Newell
ocd-person/a31429da-4cde-4dbe-9510-af2dfa8ab2ed,Chad Boyer,Republican,46,lower,Chad,Boyer
ocd-person/75101b55-81b9-465a-8ec6-297fa75cdd07,Chance Henry,Republican,42,lower,Chance,Henry
ocd-person/2a4d4c31-ee06-4f32-a67b-c55db60502e4,Chuck Owen,Republican,30,lower,Chuck,Owen
ocd-person/c58cdaf8-5e0d-4a0c-ac40-7e95c38ac83e,Chasity Martinez,Democratic,60,lower,Chasity,Martinez
ocd-person/a07b757e-a57b-4dda-aa6a-7bf5e6b3561d,Chris Turner,Republican,12,lower,Chris,Turner
ocd-person/1175d9fd-94fc-4988-98ee-de8d0029de06,Dana Henry,Democratic,100,lower,Dana,Henry
ocd-person/dc59ede6-164c-4fd4-adc1-7e080309776b,Danny McCormick,Republican,1,lower,Danny,McCormick
ocd-person/2ace9f60-8f90-43ab-a45d-d1c64bdb7462,Daryl Deshotel,Republican,28,lower,Daryl,Deshotel
ocd-person/aefc2237-5913-4b96-9354-18fb7e58884c,Debbie Villio,Republican,79,lower,Debbie,Villio
ocd-person/d107ae2b-6cb6-4545-a185-d63408f46033,Delisha Boyd,Democratic,102,lower,Delisha,Boyd
ocd-person/a900feca-75c7-434e-8d00-dd67170f2b01,Dennis Bamburg,Republican,5,lower,Dennis,Bamburg
ocd-person/d3cae3e7-f6eb-4a9c-8c63-8719902f771d,Dixon McMakin,Republican,68,lower,Dixon,McMakin
ocd-person/4661fe94-874c-4884-99a2-c60516c811ff,Dodie Horton,Republican,9,lower,Dodie,Horton
ocd-person/c725a955-93ff-415e-91df-a7398f823474,Doyle Boudreaux,Republican,39,lower,Doyle,Boudreaux
ocd-person/dcf2c7e1-e124-424c-ac0c-8d1e6600e970,Dustin Miller,Democratic,40,lower,Dustin,Miller
ocd-person/9a91a848-9d01-46b6-84f1-cc868681e912,Ed Larvadain,Democratic,26,lower,Ed,Larvadain
ocd-person/807a71ac-5657-4933-add4-024d35529e38,Ed Murray,Democratic,97,lower,Ed,Murray
ocd-person/c89a156e-8426-4001-8364-94a179482d76,Eddie Lambert,Republican,18,upper,Eddie,Lambert
ocd-person/efdf7ee4-4d37-4e57-8f0c-e0db52ee7f70,Edmond Jordan,Democratic,29,lower,Edmond,Jordan
ocd-person/1899dc2e-bac6-4951-b3fc-87ea5e2d4969,Ed Price,Democratic,2,upper,Ed,Price
ocd-person/9661594c-df1e-402a-b2c5-fe2c88366506,Emily Chenevert,Republican,66,lower,Emily,Chenevert
ocd-person/040e17ea-a4d0-47ce-8f45-527a6bdc83a7,Foy Gadberry,Republican,15,lower,Foy,Gadberry
