id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/c3d23eba-caa6-4d2a-bbd2-5b8b2ca184ae,Aaron Saunders,Democratic,7th Hampden,lower,Aaron,Saunders
ocd-person/4183f327-e2a6-4b1a-9d23-161da1b5e261,Aaron Michlewitz,Democratic,3rd Suffolk,lower,Aaron,Michlewitz
ocd-person/d2a82a0d-fbd1-4448-be2d-b786a7e11168,Adam Gómez,Democratic,Hampden,upper,Adam,Gómez
ocd-person/804c5518-7fdf-43c9-ba24-f2c24eb3b0ab,Adam Scanlon,Democratic,14th Bristol,lower,Adam,Scanlon
ocd-person/f8772f1e-29f7-42e2-8a8c-ab4005153b05,Adrian Madaro,Democratic,1st Suffolk,lower,Adrian,Madaro
ocd-person/300d40b3-9479-43c0-99d3-18f94e1110cc,Adrianne Ramos,Democratic,14th Essex,lower,Adrianne,Ramos
ocd-person/6e81dcb7-4a04-4a88-b5f2-728a3336cf9d,Alan Silvia,Democratic,7th Bristol,lower,Alan,Silvia
ocd-person/2a9569a0-feaf-431d-8a8d-012d8ebccbf8,Alice Peisch,Democratic,14th Norfolk,lower,Alice,Peisch
ocd-person/bed31f9a-e759-41a5-80b6-8b6bb9a64762,Alyson Sullivan-Almeida,Republican,7th Plymouth,lower,Alyson,Sullivan-Almeida
ocd-person/adb7ebb2-480f-4215-859e-3a1194e9a598,Amy Sangiolo,Democratic,11th Middlesex,lower,Amy,Sangiolo
ocd-person/c1f81bec-d032-4f41-940c-ca32f2b5af12,Andy Vargas,Democratic,3rd Essex,lower,Andy,Vargas
ocd-person/8302648f-4ed2-454e-ad1e-d7389e25b8dc,Angelo Puppolo,Democratic,12th Hampden,lower,Angelo,Puppolo
ocd-person/59aed143-c5c1-4760-ac55-eab18600c451,Tony Cabral,Democratic,13th Bristol,lower,Tony,Cabral
ocd-person/49397268-3fc9-4c83-a385-f55be18597f4,Barry Finegold,Democratic,Second Essex and Middlesex,upper,Barry,Finegold
ocd-person/368c3f95-1124-4f0a-9ab5-7361cb2805d3,Brad Jones,Republican,20th Middlesex,lower,Brad,Jones
ocd-person/99c9c9e7-f0e3-480b-ad38-de297e6c635a,Brandy Fluker-Reid,Democratic,12th Suffolk,lower,Brandy,Fluker-Reid
ocd-person/77994b2c-f88c-4a5f-bf9d-7abd1875d8dc,Brendan Crighton,Democratic,Third Essex,upper,Brendan,Crighton
ocd-person/503a0888-f086-4b52-b03c-c5293378bc51,Brian Ashe,Democratic,2nd Hampden,lower,Brian,Ashe
ocd-person/66e7c819-cd52-4034-bace-bfec476c106d,Brian Murray,Democratic,10th Worcester,lower,Brian,Murray
ocd-person/2b6d0884-6638-410e-87b7-243c7ca18a16,Bridget Plouffe,Democratic,9th Plymouth,lower,Bridget,Plouffe
ocd-person/429f87cf-f7a1-4201-ade4-9efeb9149d03,Bruce Tarr,Republican,First Essex and Middlesex,upper,Bruce,Tarr
ocd-person/f81b07bd-cc43-47be-95ea-dca26f19a647,Bruce Ayers,Democratic,1st Norfolk,lower,Bruce,Ayers
ocd-person/b23dd64e-a05c-4fe1-8562-c29436ca79bb,Bud Williams,Democratic,11th Hampden,lower,Bud,Williams
ocd-person/c4d03c0e-713d-4195-ba23-1394f225494b,Carlos González,Democratic,10th Hampden,lower,Carlos,González
ocd-person/b9a91cec-bad7-43a7-8fd2-60cd704bd7ab,Carmine Gentile,Democratic,13th Middlesex,lower,Carmine,Gentile
ocd-person/af41924a-7c46-4b6b-b71b-bba683c62c5f,Carole Fiola,Democratic,6th Bristol,lower,Carole,Fiola
