id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/5037901c-64bd-472c-a440-a440841cbb13,Aaron Kaufman,Democratic,18,lower,Aaron,Kaufman
ocd-person/a1a2b050-266e-4d44-9463-be3a02e16e41,Adrian Boafo,Democratic,23,lower,Adrian,Boafo
ocd-person/4bf0680f-fd5c-48a1-b6d3-73672f71048a,Adrienne Jones,Democratic,10,lower,Adrienne,Jones
ocd-person/311ecab9-74b4-4c0f-849b-c077dfbb291f,Aletheia McCaskill,Democratic,44B,lower,Aletheia,McCaskill
ocd-person/0ddc9257-e4a4-4414-b21d-3467c8285806,Alonzo Washington,Democratic,22,upper,Alonzo,Washington
ocd-person/ecb19095-2750-4bef-bb87-1f646818a9b1,Andre Johnson,Democratic,34A,lower,Andre,Johnson
ocd-person/7636786f-1db3-4094-8527-e339576314d6,Andrea Harrison,Democratic,24,lower,Andrea,Harrison
ocd-person/7c57193f-f7af-4f7b-9b5f-cf17a7f51f25,Andrew Pruski,Democratic,33A,lower,Andrew,Pruski
ocd-person/7bcb723d-68c2-4826-acab-0437aa27471f,Anne Healey,Democratic,22,lower,Anne,Healey
ocd-person/88aa2d42-9bca-4df7-b961-1516d5c1f73a,Anne Kaiser,Democratic,14,lower,Anne,Kaiser
ocd-person/2b26dc52-cb0c-4750-af6b-9c00e12eef29,Antonio Hayes,Democratic,40,upper,Antonio,Hayes
ocd-person/ce14f02f-4b1e-407e-b8e5-57eb78c8d557,April Miller,Republican,4,lower,April,Miller
ocd-person/76812cdb-3d6d-458a-b864-feb72f363a8e,April Rose,Republican,5,lower,April,Rose
ocd-person/ad59d051-2efb-495f-b032-524d21a95e50,Arthur Ellis,Democratic,28,upper,Arthur,Ellis
ocd-person/61ddb821-9c47-454b-8185-b68c47dcb144,Ashanti Martínez,Democratic,22,lower,Ashanti,Martínez
ocd-person/515dbb17-6f5d-482a-8799-a2490be688fb,Barrie Ciliberti,Republican,4,lower,Barrie,Ciliberti
ocd-person/c1495953-153b-4316-ad04-58a12b2b7fd9,Barry Beauchamp,Republican,38B,lower,Barry,Beauchamp
ocd-person/0e4cb257-11b9-4772-b323-624ef28fb8b6,Ben Barnes,Democratic,21,lower,Ben,Barnes
ocd-person/4e1fee1d-1f1c-416b-9615-4171d4074db8,Ben Brooks,Democratic,10,upper,Ben,Brooks
ocd-person/f43bc1a5-01e8-416f-86ca-bd857bf6ed80,Ben Kramer,Democratic,19,upper,Ben,Kramer
ocd-person/c5a06a0d-f611-4526-8674-23e035caab74,Bernice Mireku-North,Democratic,14,lower,Bernice,Mireku-North
ocd-person/86f0d40f-05f4-46a2-9c24-21ff52fdc6fe,Bill Ferguson,Democratic,46,upper,Bill,Ferguson
ocd-person/de3cab57-1771-4805-b984-618ad887e38e,Bonnie Cullison,Democratic,19,lower,Bonnie,Cullison
ocd-person/395603e6-0fdf-4cf6-bacb-18d98c848990,Brian Chisholm,Republican,31,lower,Brian,Chisholm
ocd-person/c3ce882c-89d3-453c-a70f-b0ef9046fcf3,Brian Feldman,Democratic,15,upper,Brian,Feldman
ocd-person/d9828ed6-bdb0-414e-ba12-486b78362842,Brian Crosby,Democratic,29B,lower,Brian,Crosby
ocd-person/b0d22b6f-68c0-4dd0-892c-7844e6830693,Bryan Simonaire,Republican,31,upper,Bryan,Simonaire
ocd-person/bbf4a659-f7a7-4db7-8cb1-4dc654db53e3,Anthony Muse,Democratic,26,upper,Anthony,Muse
ocd-person/ab6c2e37-3818-467c-ad60-997274e897d0,C.T. Wilson,Democratic,28,lower,C.T.,Wilson
ocd-person/4eb57c5a-70c0-4b16-a247-53cf291bc38a,Carl Jackson,Democratic,8,upper,Carl,Jackson
ocd-person/3c9356a4-fd55-43ff-809f-65568d0a8e53,Cathi Forbes,Democratic,43B,lower,Cathi,Forbes
ocd-person/d0ca1dc9-5ac3-42ea-8ec5-c86a229ccba5,Caylin Young,Democratic,45,lower,Caylin,Young
ocd-person/6bfe5c90-c168-41e5-a36d-6dcab4c0f5be,Chao Wu,Democratic,9A,lower,Chao,Wu
ocd-person/0f51a760-22e6-4a05-8be0-983dffe30e42,Charlotte Crutchfield,Democratic,19,lower,Charlotte,Crutchfield
ocd-person/3b21ad36-c0bc-4341-9f55-c4529affc7f5,Cheryl Kagan,Democratic,17,upper,Cheryl,Kagan
