id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/906cd606-c6ff-41e5-87a6-e038b711fa61,Aaron Dana,Independent,Passamaquoddy Tribe,lower,Aaron,Dana
ocd-person/b6cdaab7-6aec-4c65-a239-e18c6e839fbc,Abden Simmons,Republican,45,lower,Abden,Simmons
ocd-person/513edd6e-0d85-4ad6-8852-577cd5c0ee02,Abigail Griffin,Republican,34,lower,Abigail,Griffin
ocd-person/dff0e200-fd8c-4ada-ac3d-e014a529dd59,Adam Lee,Democratic,89,lower,Adam,Lee
ocd-person/4bc2b129-52c1-4dfd-99af-dd38f620183a,Alicia Collins,Republican,61,lower,Alicia,Collins
ocd-person/82b51bea-5f96-46d6-bbcf-4d973f701b27,Allison Hepler,Democratic,49,lower,Allison,Hepler
ocd-person/1e7a6a8f-7160-4bee-80d1-b1dc47b3db4f,Amanda Collamore,Republican,68,lower,Amanda,Collamore
ocd-person/8f61f208-cf99-489a-aa36-847438b0ed60,Ambureen Rana,Democratic,21,lower,Ambureen,Rana
ocd-person/20082672-8aa7-4d49-bad7-fe5a92d1720d,Amy Arata,Republican,104,lower,Amy,Arata
ocd-person/d9825f86-280b-4b70-9a6e-2bb7f02e239a,Amy Kuhn,Democratic,111,lower,Amy,Kuhn
ocd-person/42c79801-802e-4f3d-8917-f3f956766e50,Amy Roeder,Democratic,23,lower,Amy,Roeder
ocd-person/8646c09c-1d84-4065-bcf2-8be6a8baf494,Ann Fredericks,Republican,143,lower,Ann,Fredericks
ocd-person/187c138c-d84d-4813-884e-553b8a9354f1,Ann Matlack,Democratic,43,lower,Ann,Matlack
ocd-person/db11e611-94a4-4451-8486-f941a532789d,Pinny Beebe-Center,Democratic,12,upper,Pinny,Beebe-Center
ocd-person/50f75f0e-328c-413c-8733-de2872c5b7b0,Anne Carney,Democratic,29,upper,Anne,Carney
ocd-person/56960ccd-b154-42ae-9fb3-c323e07c23b1,Anne-Marie Mastraccio,Democratic,142,lower,Anne-Marie,Mastraccio
ocd-person/2f7e7649-5c68-4f8f-8c9a-7993b66d383a,Annie Graham,Democratic,105,lower,Annie,Graham
ocd-person/7777fc5c-d508-4332-aac4-ec4799cf1721,Art Bell,Democratic,103,lower,Art,Bell
ocd-person/28891c40-a850-4e37-a339-4f60976ab515,Artie Mingo,Republican,9,lower,Artie,Mingo
ocd-person/72cc3b25-8e1e-4095-93be-216ee191572c,Barbara Bagshaw,Republican,106,lower,Barbara,Bagshaw
ocd-person/f52b3788-349b-4b6c-84a3-72d02a953616,Ben Hymes,Republican,38,lower,Ben,Hymes
ocd-person/43c2650b-6248-46f9-a553-8c2bd0bab294,Billy Bob Faulkingham,Republican,12,lower,Billy Bob,Faulkingham
ocd-person/72193c8f-2b94-4e56-bff4-482bde6037eb,Brad Farrin,Republican,3,upper,Brad,Farrin
ocd-person/81ab0331-83cd-4551-bf74-b732623c86b8,Brian Reynolds,Independent,Houlton Band of Maliseet Indians,lower,Brian,Reynolds
ocd-person/0b3965de-8fe2-42b4-bc21-115d6b2b470f,Bruce Bickford,Republican,20,upper,Bruce,Bickford
ocd-person/cf1f0a32-7107-44ea-96f2-1f3c604d87cc,Caldwell Jackson,Republican,80,lower,Caldwell,Jackson
ocd-person/38a3d5d7-cc62-4479-bfba-03d40099e7cd,Cameron Reny,Democratic,13,upper,Cameron,Reny
ocd-person/e1e7623e-aee4-4631-942c-e65c56d514c3,Cassie Julia,Democratic,65,lower,Cassie,Julia
ocd-person/1793f579-da58-422f-bc22-36da20ce246c,Chad Perkins,Republican,31,lower,Chad,Perkins
ocd-person/d87034c7-fd93-4ba1-a61b-f4ea810506c9,Charles Skold,Democratic,119,lower,Charles,Skold
ocd-person/cef7caa9-828c-4272-a694-2aa16a5397ea,Cheryl Golek,Democratic,99,lower,Cheryl,Golek
ocd-person/bdb29bb6-c6a2-461a-8527-06ac1ba20049,Christina Mitchell,Democratic,110,lower,Christina,Mitchell
ocd-person/14000c75-b0e9-451c-a081-9121970897de,Christopher Kessler,Democratic,121,lower,Christopher,Kessler
ocd-person/5a475e6f-5277-425e-bb09-1c55facbc736,Craig Hickman,Democratic,14,upper,Craig,Hickman
ocd-person/49a5c100-0379-4ce8-af49-de4c4f817abc,Dani O'Halloran,Democratic,20,lower,Dani,O'Halloran
ocd-person/eb5efd36-8020-46f1-a6ef-6dac6873f692,Dan Ankeles,Democratic,100,lower,Dan,Ankeles
ocd-person/43e6cd5d-1e16-4099-b46b-1b6883e679b6,Dan Shagoury,Democratic,55,lower,Dan,Shagoury
ocd-person/f9010476-1b1e-4407-b672-b81cd0ee8ae6,Dan Sayre,Democratic,135,lower,Dan,Sayre
ocd-person/1e9dcfd4-a93c-49e3-9099-fa4a85f732d0,Dave Rollins,Democratic,59,lower,Dave,Rollins
ocd-person/8dd63807-ac15-408c-97de-c8e9195a6a42,David Sinclair,Democratic,50,lower,David,Sinclair
ocd-person/30414bf4-13ad-4bd5-a1d9-3cf11be6464d,Woody Woodsome,Republican,139,lower,Woody,Woodsome
ocd-person/b3f3ab98-9169-42f8-b7d7-c04b3bdfb545,David Haggan,Republican,10,upper,David,Haggan
ocd-person/f338ea4f-b539-450c-bca4-161c427bb81a,David Boyer,Republican,87,lower,David,Boyer
ocd-person/8bc14822-ff62-4ffe-bf42-4114bd5bd99b,Dean Cray,Republican,69,lower,Dean,Cray
ocd-person/0321d169-de06-4377-8cd5-6cdb51471393,Denise Tepler,Democratic,24,upper,Denise,Tepler
ocd-person/3080d13f-59de-437a-b405-a2313be6ee89,Deqa Dhalac,Democratic,120,lower,Deqa,Dhalac
ocd-person/1b986e08-1270-49ba-b6d0-941a950d3008,Donald Ardell,Republican,6,lower,Donald,Ardell
ocd-person/d071215f-4839-4c4c-ab4d-f3c7179004a6,Donna Bailey,Democratic,31,upper,Donna,Bailey
ocd-person/81123167-ba38-419a-92e5-fe0102d6a553,Drew Gattine,Democratic,126,lower,Drew,Gattine
ocd-person/03370150-e682-4bce-9989-4a8b73f10042,Dylan Pugh,Democratic,114,lower,Dylan,Pugh
ocd-person/65c05666-3d38-4098-b2fc-6a519f21f71f,Ellie Sato,Democratic,109,lower,Ellie,Sato
ocd-person/1e34b996-ad95-4a32-866c-dd65ee82e3f4,Flavia DeBrito,Democratic,64,lower,Flavia,DeBrito
ocd-person/7893adc7-d4fb-42e4-bae0-1258ce673096,Gary Drinkwater,Republican,27,lower,Gary,Drinkwater
ocd-person/55262df3-ff33-4e9e-a504-912ac2558ede,Gary Friedmann,Democratic,14,lower,Gary,Friedmann
ocd-person/6d397c09-c2d3-41ff-b33a-c42efae4f187,Chip Curry,Democratic,11,upper,Chip,Curry
ocd-person/f6eea224-7845-41b1-8e05-030ef3d8d886,Grayson Lookner,Democratic,113,lower,Grayson,Lookner
ocd-person/90989c27-4cd8-409e-8325-9bd50dac9cf4,Gregg Swallow,Republican,7,lower,Gregg,Swallow
ocd-person/bd417e77-81d9-4e60-8b2a-b940da10bc37,Trey Stewart,Republican,2,upper,Trey,Stewart
ocd-person/050d357e-3b22-4647-942f-56c9d8755194,Henry Ingwersen,Democratic,32,upper,Henry,Ingwersen
ocd-person/468ba602-86c5-4293-85b2-45e87313c1c3,Holly Stover,Democratic,48,lower,Holly,Stover
ocd-person/cd08563e-987c-4c06-9487-4a22015e18a9,Holly Eaton,Democratic,15,lower,Holly,Eaton
ocd-person/82f5c446-4f81-4c54-98ae-7b302003d39d,Holly Sargent,Democratic,147,lower,Holly,Sargent
ocd-person/e603c478-27c7-4f68-ba31-4ef3732ab916,Irene Gifford,Republican,28,lower,Irene,Gifford
ocd-person/e4f0e3da-2e65-4986-96ad-1ef21f9da73d,Jim Thorne,Republican,35,lower,Jim,Thorne
ocd-person/a3281b8a-e758-4804-a964-e8db96d043a8,Jim Dill,Democratic,26,lower,Jim,Dill
ocd-person/54f9af68-0a59-4cd7-a448-40725e8781ab,Jim White,Republican,30,lower,Jim,White
ocd-person/32c9dbd7-beb7-481e-b0f4-22f3eaa00e50,Jim Libby,Republican,22,upper,Jim,Libby
ocd-person/b7b97724-7abc-44fb-bace-d3606d3fadb2,Jan Dodge,Democratic,39,lower,Jan,Dodge
ocd-person/3ef077c6-482d-4dc2-92ef-69ac2a09bf06,Jeff Timberlake,Republican,17,upper,Jeff,Timberlake
ocd-person/2288cf22-64f4-4f1f-b5e3-b1ada5c72914,Jeff Adams,Republican,144,lower,Jeff,Adams
ocd-person/b873e7d2-9103-47e9-8c25-df94056f728d,Jennifer Poirier,Republican,70,lower,Jennifer,Poirier
ocd-person/c2268745-e66c-42d5-93bf-3b52819006e9,Jill Duson,Democratic,27,upper,Jill,Duson
ocd-person/8f4aa04f-f106-456f-a09f-e901c78939b6,Joe Martin,Republican,19,upper,Joe,Martin
