id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/788d408d-cb80-43fd-802a-4778a930894d,Alabas Farhat,Democratic,3,lower,Alabas,Farhat
ocd-person/81da0894-0569-4c8d-9c4e-befd39650fee,Alicia St. Germaine,Republican,62,lower,Alicia,St. Germaine
ocd-person/5f160dff-1ce1-4606-a469-fdd08125beb4,Amos O'Neal,Democratic,94,lower,Amos,O'Neal
ocd-person/527d59db-a346-4a91-8f98-e1b57947b58c,Angela Rigas,Republican,79,lower,Angela,Rigas
ocd-person/0db39d07-a543-4e52-82b0-457f406855e8,Angela Witwer,Democratic,76,lower,Angela,Witwer
ocd-person/3a9d71dc-da5b-4bd3-8062-c8387292dc52,Ann Bollin,Republican,49,lower,Ann,Bollin
ocd-person/6d11944d-f19f-4697-811c-0c9dca750c57,Aric Nesbitt,Republican,20,upper,Aric,Nesbitt
ocd-person/80ccf9a5-7303-4218-be3e-0ab6f8e90eee,Betsy Coffia,Democratic,103,lower,Betsy,Coffia
ocd-person/5355f558-55bb-4f29-81eb-89179f55d69a,Bill Schuette,Republican,95,lower,Bill,Schuette
ocd-person/04a88313-6387-44ab-972c-b000b3c316f4,Brad Paquette,Republican,37,lower,Brad,Paquette
ocd-person/38c62407-9471-40de-8a1c-44142573c79a,Brad Slagh,Republican,85,lower,Brad,Slagh
ocd-person/0019e62f-6671-4085-b2d3-55d3c4a23717,Brenda Carter,Democratic,53,lower,Brenda,Carter
ocd-person/172b6e7c-3765-4978-bc03-3d19a92d5164,Brian BeGole,Republican,71,lower,Brian,BeGole
ocd-person/c925c469-552f-448d-a89f-ef456e15da21,Bryan Posthumus,Republican,90,lower,Bryan,Posthumus
ocd-person/60ae519b-a739-4dc5-80bb-c0161269607a,Cam Cavitt,Republican,106,lower,Cam,Cavitt
ocd-person/86812673-e63a-4f36-aa3e-26de84380657,Carol Glanville,Democratic,84,lower,Carol,Glanville
ocd-person/2f75473d-b2e6-49fd-914e-1e552ebc38a6,Carrie Rheingans,Democratic,47,lower,Carrie,Rheingans
ocd-person/b5b41ca8-2f16-4df4-9808-66b2a13bfecc,Chedrick Greene,Democratic,35,upper,Chedrick,Greene
ocd-person/b0804883-3f8c-4341-bbc1-26a0346b37c4,Curt VanderWall,Republican,102,lower,Curt,VanderWall
ocd-person/7e3c6932-35bd-43f6-b1ca-d8fd6d5c0040,Cynthia Neeley,Democratic,70,lower,Cynthia,Neeley
ocd-person/30afc35e-fa35-448c-b303-e0f6cc456c77,Dan Lauwers,Republican,25,upper,Dan,Lauwers
ocd-person/5d2fbcb4-0e27-4cb5-99bf-f94693b3aa12,Darrin Camilleri,Democratic,4,upper,Darrin,Camilleri
ocd-person/95434509-a8fd-4e25-9f04-a952416d6da3,David Martin,Republican,68,lower,David,Martin
ocd-person/addfe9a4-4b73-4dec-95a9-4bb7cd0d6bd2,Dave Prestin,Republican,108,lower,Dave,Prestin
ocd-person/f266a938-3705-4c7c-994f-859b2b6024dc,Dayna Polehanki,Democratic,5,upper,Dayna,Polehanki
ocd-person/7e4be084-8c26-421f-ab31-81893f7ac525,Denise Mentzer,Democratic,61,lower,Denise,Mentzer
ocd-person/36e87b55-c5db-4331-8088-8fe1dbc544f9,Donavan McKinney,Democratic,11,lower,Donavan,McKinney
ocd-person/4a5a14f9-56b4-4f7a-ad0c-bfe3750912a3,Donni Steele,Republican,54,lower,Donni,Steele
ocd-person/2e512bae-42f3-4ce8-b565-df48469da08a,Doug Wozniak,Republican,59,lower,Doug,Wozniak
ocd-person/07ff51f1-6cd0-4004-b618-bc70e5a2e551,Dylan Wegela,Democratic,26,lower,Dylan,Wegela
ocd-person/4fc7e235-2446-405d-9a56-5e010017f617,Ed McBroom,Republican,38,upper,Ed,McBroom
ocd-person/10e1b0b6-8c1d-4f2b-b29a-08770991b1d4,Emily Dievendorf,Democratic,77,lower,Emily,Dievendorf
