id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/09493dc0-a224-4cf6-a859-1384ffeda8a0,Aisha Gomez,Democratic-Farmer-Labor,62A,lower,Aisha,Gomez
ocd-person/1a50d8e6-64c4-4c8f-87ee-dedde17c1c2c,Alex Falconer,Democratic-Farmer-Labor,49A,lower,Alex,Falconer
ocd-person/c5f2a744-0a3e-481f-9224-e4d5a58b9c9d,Alice Mann,Democratic-Farmer-Labor,50,upper,Alice,Mann
ocd-person/5604b347-d9b5-40b6-844d-8bc5246283d3,Liish Kozlowski,Democratic-Farmer-Labor,8B,lower,Liish,Kozlowski
ocd-person/8300aa36-f818-4ae8-ad31-f9373e396e08,Amanda Hemmingsen-Jaeger,Democratic-Farmer-Labor,47,upper,Amanda,Hemmingsen-Jaeger
ocd-person/aabdca28-85ec-41e4-be90-726acaaa0cff,Andrew Mathews,Republican,27,upper,Andrew,Mathews
ocd-person/bba68b5b-90ac-4465-bdd2-fdf23c33b87a,Andrew Myers,Republican,45A,lower,Andrew,Myers
ocd-person/3e1cd4f3-2c37-4531-b2cb-ca875c82d773,Andrew Lang,Republican,16,upper,Andrew,Lang
ocd-person/41cf59c9-a2c3-442d-85f1-7d6ec8de1a97,Andy Smith,Democratic-Farmer-Labor,25B,lower,Andy,Smith
ocd-person/ec588921-873b-4335-8fa1-2e3485008d3e,Ann Rest,Democratic-Farmer-Labor,43,upper,Ann,Rest
ocd-person/4749e0fb-4f41-46e3-a8b4-19fdbbbde113,Ann Johnson Stewart,Democratic-Farmer-Labor,45,upper,Ann,Johnson Stewart
ocd-person/8c85da58-235b-4769-be5f-dcf5b7c66c75,Anquam Mahamoud,Democratic-Farmer-Labor,62B,lower,Anquam,Mahamoud
ocd-person/20c89480-8cde-4106-8b3d-54183371960a,Aric Putnam,Democratic-Farmer-Labor,14,upper,Aric,Putnam
ocd-person/9f56bc31-f522-4e29-af62-cdc616babc88,Athena Hollins,Democratic-Farmer-Labor,66B,lower,Athena,Hollins
ocd-person/f8d52f8b-1b8c-454d-87be-42edd3100511,Ben Bakeberg,Republican,54B,lower,Ben,Bakeberg
