id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/ba6eb394-0402-49ba-9917-c5618d8a1589,Aaron Crossley,Democratic,29,lower,Aaron,Crossley
ocd-person/f436aa10-c006-4128-9748-050bf50c4e21,Adam Schnelting,Republican,23,upper,Adam,Schnelting
ocd-person/f2e657d5-999a-4d77-98e3-b06a7c3771f4,Adrian Plank,Democratic,47,lower,Adrian,Plank
ocd-person/b11b5a8d-08e8-4cf3-802c-42a842102cfa,Alex Riley,Republican,134,lower,Alex,Riley
ocd-person/048bc29f-0bab-4fa1-8a1e-647b0eba4dcd,Angela Mosley,Democratic,13,upper,Angela,Mosley
ocd-person/fff43ce1-d209-4556-ba74-32f9ba46d3c0,Ann Kelley,Republican,127,lower,Ann,Kelley
ocd-person/a5cc5083-e44a-4379-b4db-74c4a930821b,Anthony Ealy,Democratic,36,lower,Anthony,Ealy
ocd-person/1ff1dec0-c449-4ff8-aa22-0830817c2070,Ashley Aune,Democratic,14,lower,Ashley,Aune
ocd-person/de8806cc-fa03-4745-ae1e-198c56492f9a,Barbara Washington,Democratic,9,upper,Barbara,Washington
ocd-person/54f9145f-2529-448e-8238-b00d049a782c,Barry Hovis,Republican,146,lower,Barry,Hovis
ocd-person/483aaa6b-d64a-48d0-8bc4-bca6c252f8dc,Becky Laubinger,Republican,117,lower,Becky,Laubinger
ocd-person/c44ce433-7957-40b8-98dd-221b2f7d1436,Ben Brown,Republican,26,upper,Ben,Brown
ocd-person/1f082953-c9f5-4a72-a281-cdb9fe4bda5e,Ben Keathley,Republican,101,lower,Ben,Keathley
ocd-person/9c485ac1-4ad5-4466-9392-a9014827ef56,Bennie Cook,Republican,143,lower,Bennie,Cook
ocd-person/55b3b80d-f69c-4f9f-aaed-4d1e5cd2634d,Betsy Fogle,Democratic,135,lower,Betsy,Fogle
ocd-person/7472aac6-4730-456b-8e2f-3b79e45da74c,Bill Allen,Republican,17,lower,Bill,Allen
ocd-person/28245e55-fddc-46db-85a7-ce9ca55da6d7,Bill Falkner,Republican,10,lower,Bill,Falkner
ocd-person/6b7c5c9c-05ba-4a2e-8f23-117edbf2969b,Bill Hardwick,Republican,121,lower,Bill,Hardwick
ocd-person/21a85544-7b2f-4d34-9654-a1ebfaa34881,Bill Irwin,Republican,55,lower,Bill,Irwin
ocd-person/720cb5cb-6d39-4cdf-be60-020493ac19d9,Bill Lucas,Republican,115,lower,Bill,Lucas
