id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/c012fed5-c753-4a01-9c3c-9924d178c24d,Albert Butler,Democratic,37,upper,Albert,Butler
ocd-person/80fca1ba-017c-4941-990c-a5e2ff34aea0,Andy Berry,Republican,35,upper,Andy,Berry
ocd-person/95d25b69-8eb7-44cd-a789-54351e17970c,Andy Boyd,Republican,37,lower,Andy,Boyd
ocd-person/4004cf9a-6d23-4323-b158-00f22078d2b4,Angela Hill,Republican,40,upper,Angela,Hill
ocd-person/83f9f72e-ec2d-4351-a227-d8a6aec18eed,Angela Cockerham,Independent,96,lower,Angela,Cockerham
ocd-person/74d0c9b2-58a2-41a7-b2a0-582924a45adf,Angela Turner-Ford,Democratic,16,upper,Angela,Turner-Ford
ocd-person/3b2b3cb2-3ef8-400d-b395-6b0895ea7631,Bradford Blackmon,Democratic,21,upper,Bradford,Blackmon
ocd-person/5f65f3a3-db2a-4573-a5c8-59b6cc0dbf40,Bart Williams,Republican,15,upper,Bart,Williams
ocd-person/4b865b47-4811-4437-be08-0f3bf10d461c,Becky Currie,Republican,92,lower,Becky,Currie
ocd-person/ba13036f-790b-4745-b008-eeb74f1c86a1,Ben Suber,Republican,8,upper,Ben,Suber
ocd-person/27f187c6-8755-4a18-a32a-dd5b5d7831c8,Beth Waldo,Republican,15,lower,Beth,Waldo
ocd-person/af66e7a0-2b1a-4fa0-a66c-e6e7a2541cb1,Bill Kinkade,Republican,52,lower,Bill,Kinkade
ocd-person/2fed984f-0f51-40d2-9881-ec16131a6a2f,Bill Pigott,Republican,99,lower,Bill,Pigott
ocd-person/15f21051-d36c-4a2a-aa96-100bb8cb693b,Billy Adam Calvert,Republican,83,lower,Billy Adam,Calvert
ocd-person/b8541474-47fd-4dd2-8576-53b7fe911039,Bo Brown,Democratic,70,lower,Bo,Brown
ocd-person/7fe0478b-3777-490c-93cb-20f83baf3d3f,Bob Evans,Democratic,91,lower,Bob,Evans
ocd-person/487214e9-b0e2-4741-8bd4-a043a1dd19a5,Brad Mattox,Republican,2,lower,Brad,Mattox
ocd-person/307ab2ac-eafb-4d68-8e02-1fff040f50e4,Brent Anderson,Republican,122,lower,Brent,Anderson
ocd-person/222077fd-0e92-4437-a156-59521d7faffa,Brent Powell,Republican,59,lower,Brent,Powell
ocd-person/77852654-cea4-4555-899c-641494605220,Brian Rhodes,Republican,36,upper,Brian,Rhodes
ocd-person/7e27e9e0-fe62-4fc0-b8b0-c2ac9c9ce28d,Brice Wiggins,Republican,52,upper,Brice,Wiggins
ocd-person/0d191683-0d9c-408f-812b-5d986a3030a6,Bryant Clark,Democratic,47,lower,Bryant,Clark
ocd-person/796d8875-e1a2-4274-bdba-2e689d99929c,Scott Bounds,Republican,44,lower,Scott,Bounds
ocd-person/6e50b530-8c0e-485a-a568-6d40ba83127d,Carl Mickens,Democratic,42,lower,Carl,Mickens
ocd-person/7e340127-bea2-48af-95a8-368b99160880,Carolyn Crawford,Republican,121,lower,Carolyn,Crawford
ocd-person/7f1357e0-62b5-412c-b121-6cb5a5aced0e,Casey Eure,Republican,116,lower,Casey,Eure
ocd-person/379b9fd9-2da7-4e20-b0ed-4319ead3a1db,Cedric Burnett,Democratic,9,lower,Cedric,Burnett
ocd-person/c854a4e7-61d0-4c5e-8623-694a38f0ad20,Celeste Hurst,Republican,75,lower,Celeste,Hurst
ocd-person/17a5d5bb-d52b-4d53-a6a0-bcaa7c5538d7,Chad McMahan,Republican,6,upper,Chad,McMahan
ocd-person/74ef0a3e-35c9-4729-b6fd-2c07c165864d,Cheikh Taylor,Democratic,38,lower,Cheikh,Taylor
ocd-person/20510bb3-edcd-4cb8-a41a-e0114e6215c9,Chris Johnson,Republican,44,upper,Chris,Johnson
ocd-person/5aa9d603-5bb2-4c1d-9a0b-1baaf91c425d,Chris Bell,Democratic,65,lower,Chris,Bell
ocd-person/4a046f0b-1286-4bb3-aea0-7284adab76fd,Chuck Blackwell,Republican,88,lower,Chuck,Blackwell
ocd-person/c22d208a-59c7-4e90-bbe0-37b953a00b41,Chuck Younger,Republican,17,upper,Chuck,Younger
ocd-person/0c9a7d35-4b91-42c7-8af2-39b6514c23d8,Clay Deweese,Republican,12,lower,Clay,Deweese
ocd-person/bb9ba950-b671-4c41-b851-4a2c86d2059d,Clay Mansell,Republican,56,lower,Clay,Mansell
ocd-person/48567f29-ec70-4ff5-bda5-873f2e42933b,Dan Eubanks,Republican,25,lower,Dan,Eubanks
ocd-person/22afa0b0-e76a-4ac0-af9a-fa158c55daea,Dana McLean,Republican,39,lower,Dana,McLean
ocd-person/32153f0b-aa40-4989-9787-e2608c55a87e,Daniel Sparks,Republican,5,upper,Daniel,Sparks
ocd-person/da9d953d-a95f-4166-9b94-e6c5e5b40c86,Daryl Porter,Democratic,98,lower,Daryl,Porter
ocd-person/c8e4b4c1-6c8f-4b95-9b48-c73997b3f518,David Blount,Democratic,29,upper,David,Blount
ocd-person/d1572354-a456-47fa-aa21-58be9884a3bb,Dean Kirby,Republican,30,upper,Dean,Kirby
ocd-person/8c139a04-43ed-48c5-98cc-e2d308efa65b,Dennis DeBar,Republican,43,upper,Dennis,DeBar
ocd-person/3ea1bab4-64f2-4ff3-b0a9-e04a8caa3e9f,Derrick Simmons,Democratic,12,upper,Derrick,Simmons
ocd-person/7051aea6-71cf-4c6e-a3f7-5eebe826aa44,Doc Harris,Republican,28,lower,Doc,Harris
ocd-person/035cf383-3d6b-401c-955e-2dcc3a95e4a5,Don Hartness,Republican,42,upper,Don,Hartness
ocd-person/fd1a4542-8537-4af3-90c8-4052be561c66,Donnie Bell,Republican,21,lower,Donnie,Bell
ocd-person/2118023c-ed1d-455f-b3a6-faeefd0e87b5,Donnie Scoggin,Republican,89,lower,Donnie,Scoggin
ocd-person/4fa41145-35bf-442b-bdfe-cf54ea53da69,Earle Banks,Democratic,67,lower,Earle,Banks
ocd-person/c38da14f-37fd-48fd-9903-e63ce18c1215,Lawrence Blackmon,Democratic,57,lower,Lawrence,Blackmon
ocd-person/bb2a876e-ca55-46dd-842d-9b89a910848d,Elliot Burch,Republican,105,lower,Elliot,Burch
ocd-person/706088db-555c-4dac-b9c4-ca6574241ca4,Fabian Nelson,Democratic,66,lower,Fabian,Nelson
ocd-person/002bdecd-2374-44d8-8280-e0636c5f4897,Fred Shanks,Republican,60,lower,Fred,Shanks
ocd-person/dcae79b5-ddc5-48e8-86c2-54d5c47f0656,Gary Brumfield,Democratic,38,upper,Gary,Brumfield
ocd-person/2fe9c09d-6213-4576-b0e4-6e89330f41bc,Gene Newman,Republican,61,lower,Gene,Newman
ocd-person/c38f3e52-9594-4580-a280-bdaa11a33b66,Greg Haney,Republican,118,lower,Greg,Haney
ocd-person/9b5e1a7c-98cd-448e-9f75-d59a5591f1a4,Gregory Elliott,Democratic,82,lower,Gregory,Elliott
ocd-person/745b9724-e66d-46ec-874a-d658f01b78a6,Greg Holloway,Democratic,76,lower,Greg,Holloway
ocd-person/4ead62fd-15e5-4662-8f9b-21a8b0fa8ebe,Hank Zuber,Republican,113,lower,Hank,Zuber
ocd-person/3a2e8f7d-e657-45e2-93d7-2f5e8499ccfd,Hester Jackson-McCray,Democratic,40,lower,Hester,Jackson-McCray
ocd-person/92659a52-eda2-41a1-9300-40ca7fc3a46b,Hillman Frazier,Democratic,27,upper,Hillman,Frazier
ocd-person/717de4df-c8b0-4387-a767-4d37b577f370,Hob Bryan,Democratic,7,upper,Hob,Bryan
ocd-person/61c65e25-07c9-445c-8cef-1e6d53cbbfb3,Walter Michel,Republican,25,upper,Walter,Michel
ocd-person/8a829f4e-388e-41c5-bbc6-9e4292ff9539,Jansen Owen,Republican,106,lower,Jansen,Owen
ocd-person/c664f98f-0d57-4d32-abf1-a95dcec7fa31,Jason Barrett,Republican,39,upper,Jason,Barrett
ocd-person/fa29dc4f-e4cb-45dd-a450-a1911d529801,Jason White,Republican,48,lower,Jason,White
ocd-person/7674b0fc-99c4-44a7-85ec-7edd5e6e85a0,Jay McKnight,Republican,95,lower,Jay,McKnight
ocd-person/ffba30ff-86d3-42db-ab94-0028df181da1,Jeff Hale,Republican,24,lower,Jeff,Hale
ocd-person/9839c663-7ae3-4437-82d8-c985975309d8,Jeff Tate,Republican,33,upper,Jeff,Tate
ocd-person/73fee1dd-f8c0-40a7-a4f9-e7576b4ecc3f,Jeffery Harness,Democratic,85,lower,Jeffery,Harness
ocd-person/249c4603-1fce-4c28-84be-5fa6fc5420b4,Jeffrey Hulum,Democratic,119,lower,Jeffrey,Hulum
ocd-person/c5ec6885-a7dc-48f4-a2e4-7aa85397f337,Jeff Guice,Republican,114,lower,Jeff,Guice
ocd-person/29c08356-5e03-4aed-8518-28da6090a14b,Jeramey Anderson,Democratic,110,lower,Jeramey,Anderson
ocd-person/33ffa85f-af2b-41bc-89ce-3c59341d17ab,Jeremy England,Republican,51,upper,Jeremy,England
ocd-person/52d3da6f-c397-4795-9bd8-5a3f17657129,Jerry Turner,Republican,18,lower,Jerry,Turner
ocd-person/922a1ebe-1f17-497b-af99-5f14b6b0f66a,Jill Ford,Republican,73,lower,Jill,Ford
ocd-person/822c7153-6b04-4db2-bec4-b6f9d074fb75,Jim Estrada,Republican,33,lower,Jim,Estrada
ocd-person/af90acc6-0f51-4638-9b7a-51afc5acb0a3,Jimmy Fondren,Republican,111,lower,Jimmy,Fondren
ocd-person/f4bd4ab9-cb95-4b3e-95cb-68312eda5b16,Jody Steverson,Republican,4,lower,Jody,Steverson
ocd-person/cc55837a-0a3e-4bcf-8255-b8786fc2b43f,Joel Carter,Republican,49,upper,Joel,Carter
