id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/1f3a2599-a310-46f5-9b72-ea57f7b59c9b,Alanah Griffith,Democratic,60,lower,Alanah,Griffith
ocd-person/817877aa-a3ac-40a7-9f32-f40204840abf,Amy Regier,Republican,6,lower,Amy,Regier
ocd-person/2dcaf4be-0227-4ced-b01c-aacd8376c45a,Andrea Olsen,Democratic,48,upper,Andrea,Olsen
ocd-person/06fef2c8-9695-47b2-9015-999a5dd3bded,Anthony Nicastro,Republican,50,lower,Anthony,Nicastro
ocd-person/69cfa3aa-7091-4752-a99c-b6a42c70b17b,Barry Usher,Republican,19,upper,Barry,Usher
ocd-person/f87d7b76-3065-48f4-bc3b-50bf00926180,Becky Beard,Republican,38,upper,Becky,Beard
ocd-person/94db4829-5bc5-433b-9617-f1e9740ad694,Becky Edwards,Democratic,61,lower,Becky,Edwards
ocd-person/ad9a1852-425f-4f4b-9b6e-270f2c282024,Bob Carter,Democratic,96,lower,Bob,Carter
ocd-person/cf7f704c-87ac-4bcd-821a-9377bbbee43f,Bob Phalen,Republican,17,upper,Bob,Phalen
ocd-person/e46e64b0-2c6e-4581-b281-bc4c0993fa5b,Brad Barker,Republican,55,lower,Brad,Barker
ocd-person/578dada9-9f18-470a-ae8f-e8516a5e9635,Brandon Ler,Republican,33,lower,Brandon,Ler
ocd-person/8664c246-dc7e-48aa-9db1-9e33055dcb67,Braxton Mitchell,Republican,5,lower,Braxton,Mitchell
ocd-person/733ea07d-29e9-4259-b489-6ae30bc76bce,Brian Close,Democratic,65,lower,Brian,Close
ocd-person/0bb87197-276c-4ea7-9e93-cf782879e010,Butch Gillespie,Republican,9,upper,Butch,Gillespie
ocd-person/b6bacabc-6ff6-4bc6-9631-fbbf067f9f0e,Caleb Hinkle,Republican,68,lower,Caleb,Hinkle
ocd-person/8cf123ff-85f6-4652-922a-87c0cb474573,Carl Glimm,Republican,3,upper,Carl,Glimm
ocd-person/83bac865-b5d7-4797-ae5a-2cb5d29e9626,Chip Fitzpatrick,Democratic,42,lower,Chip,Fitzpatrick
ocd-person/ab04d84a-c320-4d82-b211-d36206213195,Chris Pope,Democratic,33,upper,Chris,Pope
ocd-person/d640b7b9-98c0-48f4-820d-24440c180667,Connie Keogh,Democratic,92,lower,Connie,Keogh
ocd-person/a7c31f94-f7bd-4d2c-b149-f26928cc934e,Cora Neumann,Democratic,30,upper,Cora,Neumann
ocd-person/db529569-d550-4ed9-b371-b5a1cae9e007,Courtenay Sprunger,Republican,7,lower,Courtenay,Sprunger
ocd-person/81d4b739-eb62-4dae-85db-9e053fb0d886,Curt Cochran,Republican,90,lower,Curt,Cochran
ocd-person/72eca5f2-a7b5-463d-b49d-681eaf30ffea,Curtis Schomer,Republican,48,lower,Curtis,Schomer
ocd-person/ab3accc3-6794-45c1-9f78-27d524aecc00,Daniel Emrich,Republican,11,upper,Daniel,Emrich
ocd-person/afffd4a2-fd6b-4cc5-8eff-8aa1f696db3a,Daniel Zolnikov,Republican,22,upper,Daniel,Zolnikov
ocd-person/9c542cad-1c8f-4dfd-b41f-12468fd2d806,Dave Fern,Democratic,2,upper,Dave,Fern
ocd-person/8583c5f0-fc55-4f5b-9664-19d44f7f25b3,Dave Bedey,Republican,86,lower,Dave,Bedey
ocd-person/cf8ab221-3027-4ab8-81bc-66bc28e342fb,Debo Powers,Democratic,3,lower,Debo,Powers
ocd-person/9b4883f0-d68f-48df-b4f1-de6d401e420e,Denise Baum,Democratic,45,lower,Denise,Baum
ocd-person/482e35af-a664-4010-a5db-33f21d902045,Denise Hayman,Democratic,32,upper,Denise,Hayman
ocd-person/d0749550-4529-4d4b-8278-41e6a1a8da42,Denise Joy,Democratic,46,lower,Denise,Joy
ocd-person/e5cf63ad-879c-435f-819e-a3326862b1b8,Denley Loge,Republican,45,upper,Denley,Loge
ocd-person/0fd1ad64-349c-42d9-ae46-4ff7d3eb9495,Dennis Lenz,Republican,25,upper,Dennis,Lenz
ocd-person/ec4cdcd7-d8b8-4c37-84ce-a99749b22ca3,Derek Harvey,Democratic,37,upper,Derek,Harvey
ocd-person/228fbd51-8789-433e-a790-52e395da0dd0,Donavon Hawk,Democratic,72,lower,Donavon,Hawk
ocd-person/370cab6e-1802-49f1-938f-1b0d1c036cd8,Ed Byrne,Republican,11,lower,Ed,Byrne
ocd-person/29b81d32-dc72-49d8-8bef-ca4b60fe9c87,Ed Buttrey,Republican,21,lower,Ed,Buttrey
ocd-person/4e6ad74d-1e72-4d2b-ac0d-557f429b3e9a,Ellie Boldman,Democratic,47,upper,Ellie,Boldman
ocd-person/86031b2b-034f-4791-8c0e-b0dd4d776eb6,Emma Kerr-Carpenter,Democratic,23,upper,Emma,Kerr-Carpenter
ocd-person/3d8ef86d-689a-40ed-a09d-2f612a7ecf6a,Eric Albus,Republican,28,lower,Eric,Albus
ocd-person/1cc82ae1-087a-497e-9f01-6a96201815e3,Eric Matthews,Democratic,66,lower,Eric,Matthews
ocd-person/02b6c314-f7d8-4573-9747-b5d97d5b3960,Eric Tilleman,Republican,23,lower,Eric,Tilleman
ocd-person/e47950ef-92f1-41d1-8f1c-5b579fb80e57,Fiona Nave,Republican,56,lower,Fiona,Nave
ocd-person/40c484e9-cba9-4fd5-8f99-7bcaf25fc4ac,Forrest Mandeville,Republican,28,upper,Forrest,Mandeville
ocd-person/e9b6d4cf-9585-4cc4-8802-598065431e0e,Frank Smith,Democratic,31,lower,Frank,Smith
ocd-person/5492c1bb-9eb1-4cf9-a689-0de78812382f,Gary Parry,Republican,35,lower,Gary,Parry
ocd-person/29925f97-152a-473e-951e-27d55dba532e,Gayle Lammers,Republican,21,upper,Gayle,Lammers
ocd-person/0602a63c-7e36-4bb5-9a8a-21b7f684ff75,George Nikolakakos,Republican,22,lower,George,Nikolakakos
ocd-person/e085c6ea-bb53-4daf-8a02-5268818158bd,Greg Hertz,Republican,7,upper,Greg,Hertz
ocd-person/d5507f4a-a8ab-4249-a9ae-3ea728a6728b,Greg Kmetz,Republican,36,lower,Greg,Kmetz
ocd-person/8641b3dd-3687-4665-a96c-2e406740affc,Greg Oblander,Republican,38,lower,Greg,Oblander
ocd-person/947a4007-eb7a-43c7-9519-8e77fb3a6919,Greg Overstreet,Republican,88,lower,Greg,Overstreet
ocd-person/419a79a5-8153-4a77-9533-0833b8b57fad,Gregg Hunter,Republican,15,upper,Gregg,Hunter
ocd-person/06134a1a-df5e-43c6-9622-ca7f946faa88,Jacinda Morigeau,Democratic,46,upper,Jacinda,Morigeau
ocd-person/098c3584-23ff-4de0-a002-94955787083b,Jade Sooktis,Democratic,41,lower,Jade,Sooktis
ocd-person/6fa7b921-7111-45a9-a5f9-1be6cc8ba2ea,James Reavis,Democratic,47,lower,James,Reavis
ocd-person/f04b91d7-0281-486a-abce-e96b5b1e5659,Jamie Isaly,Democratic,58,lower,Jamie,Isaly
ocd-person/60009e1c-4fef-4511-b59b-02b39b406a1d,Jane Gillette,Republican,77,lower,Jane,Gillette
ocd-person/19740d5e-e86e-4099-9121-9e70e6277775,Jane Weber,Democratic,19,lower,Jane,Weber
ocd-person/2062cc82-e160-435d-ab16-c57305a13db4,Janet Ellis,Democratic,41,upper,Janet,Ellis
ocd-person/f68bf624-cad5-4db2-9c74-a49a33348018,Jason Ellsworth,Republican,43,upper,Jason,Ellsworth
ocd-person/8274985f-2a84-4d59-a4e4-d1ba9555e64b,Jedediah Hinkle,Republican,67,lower,Jedediah,Hinkle
ocd-person/9da66594-712c-4dee-9ed9-7cff10abc43a,Jennifer Lynch,Democratic,73,lower,Jennifer,Lynch
ocd-person/b51a470c-840d-404c-aebe-a7cb47c3edff,Jeremy Trebas,Republican,10,upper,Jeremy,Trebas
ocd-person/d6bca004-d3ef-4015-9c88-b4d536110436,Jerry Schillinger,Republican,34,lower,Jerry,Schillinger
ocd-person/51c3b0b8-ee51-48bb-8b83-b50ea6f670ec,Jill Cohenour,Democratic,83,lower,Jill,Cohenour
