id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/837ec59b-a7db-41dc-9e9f-a7a83b462213,Reece Pyrtle,Republican,65,lower,Reece,Pyrtle
ocd-person/559521af-e5f9-43c3-a75e-de9b242d364f,Abe Jones,Democratic,38,lower,Abe,Jones
ocd-person/9f9d7fb9-9981-412d-b3e2-45c7f67d189a,Aisha Dew,Democratic,107,lower,Aisha,Dew
ocd-person/6ca8b8ee-96ed-4b21-94cf-d67e49f9c1c8,Alan Branson,Republican,59,lower,Alan,Branson
ocd-person/95a533af-7933-4992-aea6-dfdc626b7ca6,Allen Buansi,Democratic,56,lower,Allen,Buansi
ocd-person/fc3772c1-d98a-4325-a6c8-96b9da492ed6,Allen Chesser,Republican,25,lower,Allen,Chesser
ocd-person/785927b3-34ca-4a2d-bc1c-df4cc8e16c47,Allison Dahle,Democratic,11,lower,Allison,Dahle
ocd-person/5f309927-de7a-4fd4-930b-a369dd10fec8,Amanda Cook,Democratic,60,lower,Amanda,Cook
ocd-person/628fc48c-a48b-4128-87f1-2391ab795e0a,Amber Baker,Democratic,72,lower,Amber,Baker
ocd-person/46275779-8191-48be-8b0b-8373376fa23d,Amos Quick,Democratic,58,lower,Amos,Quick
ocd-person/8be9deca-bbd6-404f-8726-0aecaeb19ca7,Amy Galey,Republican,25,upper,Amy,Galey
ocd-person/5ca31513-814c-44b9-9206-aae55c05d056,Anna Ferguson,Republican,119,lower,Anna,Ferguson
ocd-person/064a56b9-d616-43a1-a3f2-ffd4938740d3,Ray Jeffers,Democratic,2,lower,Ray,Jeffers
ocd-person/367ad234-14bc-4d86-95ee-ab1176890d6e,Becky Carney,Democratic,102,lower,Becky,Carney
ocd-person/fdc7d25a-085c-4100-b5f4-a8ae51979292,Ben Moss,Republican,52,lower,Ben,Moss
ocd-person/0c960acb-381f-4ce9-b9d3-313fd882b6e1,Benton Sawrey,Republican,10,upper,Benton,Sawrey
ocd-person/cf469ccf-d24e-4ccd-a2fb-041806933b93,Beth Gardner Helfrich,Democratic,98,lower,Beth,Gardner Helfrich
ocd-person/ac7e8e60-b5cb-41c2-92f9-1bdf9204f79a,Bill Rabon,Republican,8,upper,Bill,Rabon
ocd-person/f1d726fb-535d-456b-9712-b689afcb7763,Bill Ward,Republican,5,lower,Bill,Ward
ocd-person/b558be80-96b1-4df6-8714-fcba387f8abc,Blair Eddins,Republican,94,lower,Blair,Eddins
ocd-person/0104c116-78b6-4a91-af98-464fdbf12904,Bob Brinson,Republican,3,upper,Bob,Brinson
ocd-person/8911db0d-01aa-4e61-a0f5-727d07a5d232,Bobby Hanig,Republican,1,upper,Bobby,Hanig
ocd-person/dfacde1f-3324-4ebe-bc96-ae473548e951,Brad Overcash,Republican,43,upper,Brad,Overcash
ocd-person/4142addf-2eb1-4557-b3d3-bcea559cbbd3,Brandon Lofton,Democratic,104,lower,Brandon,Lofton
ocd-person/1e419504-9efe-4b1f-b1e0-6e8d7d8c74a9,Brenden Jones,Republican,46,lower,Brenden,Jones
ocd-person/23f1da0b-34b2-4347-adb4-f5fc26e0475d,Brent Jackson,Republican,9,upper,Brent,Jackson
ocd-person/c476ab83-c1f7-44a7-b7c9-4cfa4679bed8,Brian Biggs,Republican,70,lower,Brian,Biggs
ocd-person/19c32795-3313-4f2f-a1d2-b79ff1dd81fb,Brian Echevarria,Republican,82,lower,Brian,Echevarria
ocd-person/0229944f-1584-4c3c-9a7b-5c97b6785a6f,Brian Turner,Democratic,116,lower,Brian,Turner
ocd-person/e596d2ce-a208-475c-a9c1-15e25ccb3404,Bryan Cohn,Democratic,32,lower,Bryan,Cohn
ocd-person/a2013778-1144-4936-a0fa-895ad190649f,Caleb Theodros,Democratic,41,upper,Caleb,Theodros
ocd-person/91615553-5509-4625-ab20-7a81896438e0,Carl Ford,Republican,33,upper,Carl,Ford
ocd-person/f1ba290a-c2a5-453a-884c-6d03a2c8e83a,Carla Cunningham,Independent,106,lower,Carla,Cunningham
ocd-person/80495071-4aea-43ff-9548-09860c77cc90,Carolyn Logan,Democratic,101,lower,Carolyn,Logan
ocd-person/6f78b8a8-f77c-4aef-bfa4-b3dac3312e33,Carson Smith,Republican,16,lower,Carson,Smith
ocd-person/51b17197-aa93-4c8f-821d-81a32b41e2ae,Celeste Cairns,Republican,13,lower,Celeste,Cairns
ocd-person/2736ade6-4cc1-4833-ab0d-cf1953227726,Charles Smith,Democratic,44,lower,Charles,Smith
ocd-person/311f0605-29d2-4608-a964-323768582198,Charlie Miller,Republican,19,lower,Charlie,Miller
ocd-person/fdf6de7b-aad3-403b-96c3-a6a007b11ccd,Chris Humphrey,Republican,12,lower,Chris,Humphrey
ocd-person/9dfc9308-ec16-4da8-b5c7-8a9cc55df534,Chris Measmer,Republican,34,upper,Chris,Measmer
ocd-person/702adc2f-f401-4ab4-ac8e-8fcf1a14376b,Cody Huneycutt,Republican,67,lower,Cody,Huneycutt
ocd-person/a5d3d142-3601-429e-954c-fdb98b0e628a,Cynthia Ball,Democratic,49,lower,Cynthia,Ball
ocd-person/06dca4de-5217-45fc-b78a-fc7870ae7faf,Dan Blue,Democratic,14,upper,Dan,Blue
ocd-person/93fbb331-6fe5-427f-802d-09881d4913d3,Dana Jones,Republican,31,upper,Dana,Jones
ocd-person/91f238a6-29fd-4b65-bc48-1464da11786b,Danny Britt,Republican,24,upper,Danny,Britt
ocd-person/d0cbde92-5f2b-4177-822a-f100613a9b30,Dante Pittman,Democratic,24,lower,Dante,Pittman
ocd-person/7074c9f6-6a8e-4c63-b0b3-ae43b9cfba0d,Dave Craven,Republican,29,upper,Dave,Craven
ocd-person/6b06a564-763d-421d-bc9b-4779f4dbc1a4,David Willis,Republican,68,lower,David,Willis
ocd-person/1c0d5d12-7bc0-4296-a148-423e4faa7dae,DeAndrea Salvador,Democratic,39,upper,DeAndrea,Salvador
ocd-person/ffdbb3fa-0445-460a-9501-18b5028fbe50,Dean Arp,Republican,69,lower,Dean,Arp
ocd-person/cab978f1-1c91-41e4-9f2e-69af3c89bbf8,Deb Butler,Democratic,18,lower,Deb,Butler
ocd-person/fcff21e8-b2a0-4fe5-8fb9-1b1c084a26e1,Dennis Riddell,Republican,64,lower,Dennis,Riddell
ocd-person/636555c9-b55c-47f8-9fcc-c9cb93b27f50,Destin Hall,Republican,87,lower,Destin,Hall
ocd-person/034ed56d-8058-4489-be3e-3d4b9977ac4b,Diane Wheatley,Republican,43,lower,Diane,Wheatley
ocd-person/7e1cb220-ff5e-4543-bc51-f44ba7ee0a2b,Donna White,Republican,26,lower,Donna,White
ocd-person/d7308aed-454d-4091-b32c-606f516e9421,Donnie Loftis,Republican,109,lower,Donnie,Loftis
ocd-person/dd2200c1-2bdb-4afc-a557-ebcbb5f1eee8,Donny Lambeth,Republican,75,lower,Donny,Lambeth
ocd-person/0573192d-0557-449a-9c3e-8462844a79ab,Dudley Greene,Republican,85,lower,Dudley,Greene
ocd-person/b560f232-dfa2-49f7-81c8-42000cc9027b,Buck Newton,Republican,4,upper,Buck,Newton
ocd-person/b4b6f0a7-baca-4062-947a-989cb9f98356,Eddie Settle,Republican,36,upper,Eddie,Settle
ocd-person/10d93679-f5f4-496f-8b7c-89f923038ac0,Ed Goodwin,Republican,1,lower,Ed,Goodwin
ocd-person/8c10abe1-4b81-404a-9164-9823e023cd2b,Eric Ager,Democratic,114,lower,Eric,Ager
ocd-person/ea801bb0-b3bd-4dbc-9164-25e7f4e63f84,Erin Paré,Republican,37,lower,Erin,Paré
ocd-person/1a32e77b-9880-467c-88c8-6aeb738f6525,Frances Jackson,Democratic,45,lower,Frances,Jackson
ocd-person/f75593f8-b178-47f1-8e72-e403f04dfb5d,Frank Iler,Republican,17,lower,Frank,Iler
ocd-person/1ba9c7a6-3a28-47ec-9704-6f3437463845,Gale Adcock,Democratic,16,upper,Gale,Adcock
ocd-person/32edee21-40a5-491f-b28e-316ba7262360,Garland Pierce,Democratic,48,lower,Garland,Pierce
ocd-person/af3f63da-d39a-4542-b0f2-41f118d96f55,Gladys Robinson,Democratic,28,upper,Gladys,Robinson
ocd-person/d2ab7bb8-d0d6-4824-a42e-d180c2644f9e,Gloristine Brown,Democratic,8,lower,Gloristine,Brown
ocd-person/aca7632d-5a2a-470c-bb83-6cf374c68172,Grant Campbell,Republican,83,lower,Grant,Campbell
ocd-person/940d4a15-ee12-4a3b-a7b5-70b9dea38379,Harry Warren,Republican,76,lower,Harry,Warren
ocd-person/e94fc39b-d33c-4d24-81c7-2cd2cc5aa997,Haseeb Fatmi,Democratic,18,upper,Haseeb,Fatmi
ocd-person/d01232af-826f-441e-85c0-efaedd1ba422,Heather Rhyne,Republican,97,lower,Heather,Rhyne
ocd-person/9b6a3a48-9827-421f-9925-4717340110ab,Howard Penny,Republican,53,lower,Howard,Penny
ocd-person/f7ffa24f-4c1f-416f-bf1d-30d762d9c6c3,Hugh Blackwell,Republican,86,lower,Hugh,Blackwell
ocd-person/11c5404c-5cb6-4f99-84a5-711a23e6295f,Jake Johnson,Republican,113,lower,Jake,Johnson
ocd-person/4547831d-14b9-4d9d-9e3c-15b66c389054,James Roberson,Democratic,39,lower,James,Roberson
ocd-person/1a75f967-8f35-40aa-8b0a-990a135e70cb,Jay Adams,Republican,96,lower,Jay,Adams
ocd-person/75860d99-3e31-4c38-b511-734f76477c9b,Jay Chaudhuri,Democratic,15,upper,Jay,Chaudhuri
ocd-person/f3f10d50-4117-41f8-b2af-c9273d3c425e,Jeff Zenger,Republican,74,lower,Jeff,Zenger
ocd-person/09d4ccb5-4456-4f33-aea7-36f3e2ef9e43,Jeff McNeely,Republican,84,lower,Jeff,McNeely
ocd-person/1c0b287a-2695-47e3-8c7a-1868db5c8d5c,Jennifer Balkcom,Republican,117,lower,Jennifer,Balkcom
ocd-person/9793e1e4-641c-4a5c-b1bc-7f6d0a65a655,Jim Burgin,Republican,12,upper,Jim,Burgin
ocd-person/2fdb425d-47c9-4683-943e-15a566f3552b,Jimmy Dixon,Republican,4,lower,Jimmy,Dixon
ocd-person/cb059250-c895-4a14-bfa2-997aed42155e,John Torbett,Republican,108,lower,John,Torbett
ocd-person/3a96a66b-58e9-4ce5-bc6c-803b19c2746d,John Blust,Republican,62,lower,John,Blust
ocd-person/7d07a14d-a5dc-46a9-8277-85fee42921a1,John Lowery,Republican,47,lower,John,Lowery
ocd-person/cc410819-75a4-46dd-a3d5-edbd80d9f861,John Bell,Republican,10,lower,John,Bell
ocd-person/bde014bb-27c1-42a3-909f-c5d96cca5c3f,John Sauls,Republican,51,lower,John,Sauls
ocd-person/3622ded7-77d3-46f8-a62b-dad1c8f3e589,Jonah Garson,Democratic,23,upper,Jonah,Garson
ocd-person/a8fb7327-cfc3-4951-a15f-5a60ba05dcba,Jonathan Almond,Republican,73,lower,Jonathan,Almond
ocd-person/196e72cf-7987-4847-8e2f-03b540064e86,Jordan Lopez,Democratic,112,lower,Jordan,Lopez
ocd-person/50435516-ccee-4b72-9075-e27a0bfe0a72,Joe Pike,Republican,6,lower,Joe,Pike
ocd-person/3e8067e6-6232-4ebb-979c-d077ab968446,Joyce Waddell,Democratic,40,upper,Joyce,Waddell
ocd-person/5318144e-d466-40ea-8e35-f0f09bf57760,Julia Howard,Republican,77,lower,Julia,Howard
ocd-person/e9c35f8c-48f0-46e3-bd47-2e9481abc971,Julia Greenfield,Democratic,100,lower,Julia,Greenfield
