id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/3735ca02-1a6a-4f2f-b13b-1a5118d78ae2,Adam Goldwyn,Democratic,11,lower,Adam,Goldwyn
ocd-person/9c0f35c1-03de-443e-97bd-5cdf77581897,Alisa Mitskog,Democratic,25,lower,Alisa,Mitskog
ocd-person/6fbb2691-956f-4427-8927-66309b08ed68,Andrew Marschall,Republican,16,lower,Andrew,Marschall
ocd-person/c40382fd-ce08-46af-8649-afd1f5e04091,Anna Novak,Republican,33,lower,Anna,Novak
ocd-person/860892bd-92d1-4a30-a5e6-3b5f2359e9df,Austen Schauer,Republican,13,lower,Austen,Schauer
ocd-person/7b99ceee-cc27-4b30-96f9-b29845bacdf8,Austin Foss,Democratic,44,lower,Austin,Foss
ocd-person/9335be7e-11ff-4577-af89-e61195143354,Ben Koppelman,Republican,16,lower,Ben,Koppelman
ocd-person/3f885f7e-14b0-4ee7-b1fd-71ddbd72c539,Bernie Satrom,Republican,12,lower,Bernie,Satrom
ocd-person/7ba931d2-cba2-4913-92fa-f5b0c3a8baf0,Bert Anderson,Republican,2,lower,Bert,Anderson
ocd-person/50e4864c-095a-43a6-9486-3b071e02ca09,Bill Tveit,Republican,33,lower,Bill,Tveit
ocd-person/f8720088-51ae-4178-87f8-abbb73faf444,Bob Martinson,Republican,35,lower,Bob,Martinson
ocd-person/983f512c-6f3f-4243-b6c8-b83d9d4f3696,Bob Paulson,Republican,3,upper,Bob,Paulson
ocd-person/86d15ce1-f1e9-40f8-894c-490f3d960e15,Brad Bekkedahl,Republican,1,upper,Brad,Bekkedahl
ocd-person/0bae2d8b-4e48-4f31-9e23-9f438ccac477,Brandy Pyle,Republican,22,lower,Brandy,Pyle
ocd-person/57dff80c-9579-411d-a55e-b76846f15fd8,Carrie McLeod,Republican,45,lower,Carrie,McLeod
ocd-person/f503a00c-951e-43c6-a5e5-8aff9bda4a6a,Christina Wolff,Republican,38,lower,Christina,Wolff
ocd-person/43e25c66-8935-4938-8634-b8666bfdb876,Chuck Walen,Republican,4,upper,Chuck,Walen
ocd-person/00d22ac4-d0e4-4b26-a521-729b177b3a01,Claire Cory,Republican,42,upper,Claire,Cory
ocd-person/0e57f5ef-a6aa-4019-bce7-da50c23b3a7a,Clayton Fegley,Republican,4B,lower,Clayton,Fegley
ocd-person/3b75961c-1c9e-4150-84ee-965ffb59fafa,Cole Conley,Republican,12,upper,Cole,Conley
ocd-person/7c99cb12-9158-4ddc-8bff-8ecca64cc8fa,Collette Brown,Democratic,9,lower,Collette,Brown
ocd-person/74e50305-a021-46bd-9d0d-dcd872645cfd,Craig Headland,Republican,29,lower,Craig,Headland
ocd-person/ffc100fb-2fbe-47d1-bfde-a2e4b0acae3c,Dale Patten,Republican,26,upper,Dale,Patten
ocd-person/47e7d979-3c08-4c17-bd54-d9cb06f31d9e,Dan Johnston,Republican,24,lower,Dan,Johnston
ocd-person/a78a22ef-aefe-43ee-a40e-86026b341381,Dan Ruby,Republican,38,lower,Dan,Ruby
ocd-person/bd6e2ebb-5fc3-4a04-9def-d9e581c39783,Dan Vollmer,Republican,6,lower,Dan,Vollmer
ocd-person/62c94736-93a5-43a9-af8d-5a37b65159c6,Dave Rustebakke,Republican,20,lower,Dave,Rustebakke
ocd-person/e93f45b9-72c9-4e10-bc05-4896381f29f4,David Clemens,Republican,16,upper,David,Clemens
ocd-person/e911d1c9-258a-47c6-acd4-d0f8a3befc2f,David Hogue,Republican,38,upper,David,Hogue
ocd-person/5d387655-8234-48d2-a1dd-dd2f4a83ca6f,Dave Monson,Republican,19,lower,Dave,Monson
ocd-person/633a61c8-9424-445f-b844-b0b40fc1781a,David Richter,Republican,1,lower,David,Richter
ocd-person/5938951d-3c45-4913-8612-aa70ba790f88,Dawson Holle,Republican,31,lower,Dawson,Holle
ocd-person/cc65fd55-6d87-4ef9-95ff-b98592bebc8f,Dean Rummel,Republican,37,upper,Dean,Rummel
ocd-person/4e998af9-35f0-457c-8f37-b2fdaa914dbd,Dennis Nehring,Republican,23,lower,Dennis,Nehring
ocd-person/6c9076a0-42ad-4045-81da-7f463d0e57b5,Desiree Morton,Republican,46,lower,Desiree,Morton
ocd-person/4d0233df-e907-42eb-9682-fa31578f52b7,Desiree Van Oosting,Republican,36,upper,Desiree,Van Oosting
ocd-person/9844a188-809c-4711-8147-2c30206721ee,Diane Larson,Republican,30,upper,Diane,Larson
ocd-person/65381298-5fe3-49d8-9739-8678016f8383,Dick Anderson,Republican,6,lower,Dick,Anderson
ocd-person/afb1de56-a1cf-439a-8a9f-3fcaa73c691a,Dick Dever,Republican,32,upper,Dick,Dever
ocd-person/95e4c82b-ae91-4bc6-a3f1-14ad9b8758ce,Don Vigesaa,Republican,29,lower,Don,Vigesaa
ocd-person/93c8011d-d8c2-4e7e-80ee-3b1cab991039,Don Schaible,Republican,31,upper,Don,Schaible
ocd-person/da7774ec-8498-4094-b7d7-87d301911015,Donald Longmuir,Republican,2,lower,Donald,Longmuir
