id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/03ee8938-314f-4db4-ac76-9507d85fc03c,Ashlei Spivey,Nonpartisan,13,legislature,Ashlei,Spivey
ocd-person/01d5ca17-53a1-463a-b2f6-74fe24833c0f,Barry DeKay,Nonpartisan,40,legislature,Barry,DeKay
ocd-person/3da787e9-f6ed-4069-bd74-58ec7c015efb,Beau Ballard,Nonpartisan,21,legislature,Beau,Ballard
ocd-person/bfc9dd37-6a7b-4ea2-acf5-c8e161a27764,Ben Hansen,Nonpartisan,16,legislature,Ben,Hansen
ocd-person/db002bad-ee6a-4e22-b5c5-840c665ecad4,Bob Andersen,Nonpartisan,49,legislature,Bob,Andersen
ocd-person/cc0182c9-3cfe-46b1-8fd2-03e90385c6d5,Bob Hallstrom,Nonpartisan,1,legislature,Bob,Hallstrom
ocd-person/a98b3cf6-9bf8-40a3-94f3-1c196e233ebd,Brian Hardin,Nonpartisan,48,legislature,Brian,Hardin
ocd-person/ecf3913e-8e18-4aec-8991-12549df820cd,Carolyn Bosn,Nonpartisan,25,legislature,Carolyn,Bosn
ocd-person/fdac2d3a-3497-4e34-8247-af670c901dd8,Christy Armendariz,Nonpartisan,18,legislature,Christy,Armendariz
ocd-person/40eb4961-5467-4d1b-af44-59a2e4de6fae,Dan Lonowski,Nonpartisan,33,legislature,Dan,Lonowski
ocd-person/d3b8ad26-4cf1-4abf-ae4e-0f7a65f92fe6,Dan Quick,Nonpartisan,35,legislature,Dan,Quick
ocd-person/bf280e36-3547-4d6a-b5aa-d6c32bb5547a,Danielle Conrad,Nonpartisan,46,legislature,Danielle,Conrad
ocd-person/25c29fce-5de4-46cd-97f0-887033d446ce,Dave Murman,Nonpartisan,38,legislature,Dave,Murman
ocd-person/54fe68ba-6857-483f-b2ae-ba3233a548c4,Dunixi Guereca,Nonpartisan,7,legislature,Dunixi,Guereca
ocd-person/5e6ca662-d4e3-405b-a060-d0150546eede,Eliot Bostar,Nonpartisan,29,legislature,Eliot,Bostar
ocd-person/5868ed3b-2931-4080-a7c2-9b4eb0e3d487,Fred Meyer,Nonpartisan,41,legislature,Fred,Meyer
ocd-person/14507b1b-007f-4f87-adbb-a5e4669efba8,George Dungan,Nonpartisan,26,legislature,George,Dungan
ocd-person/dae0883f-3a53-4873-99df-b0e10ea64066,Glen Meyer,Nonpartisan,17,legislature,Glen,Meyer
ocd-person/967bf436-18bf-444e-bd2f-d83e5ec78995,Jana Hughes,Nonpartisan,24,legislature,Jana,Hughes
ocd-person/0f176ff3-ed75-4605-9e8b-5bb5a3d3c4cf,Jane Raybould,Nonpartisan,28,legislature,Jane,Raybould
ocd-person/356c7606-4eaa-4494-83a5-68dbaf3e77f6,Jared Storm,Nonpartisan,23,legislature,Jared,Storm
ocd-person/dda3cdbe-5e52-439e-ac68-02588b6d7cab,Jason Prokop,Nonpartisan,27,legislature,Jason,Prokop
ocd-person/f5d27385-af4c-4c08-8654-3e27ef120d94,John Arch,Nonpartisan,14,legislature,John,Arch
ocd-person/0436186a-3b62-46f1-8f36-55e09fca3e77,John Cavanaugh,Nonpartisan,9,legislature,John,Cavanaugh
ocd-person/30b4a401-6f6b-4367-80c2-b9d60d7c527f,John Fredrickson,Nonpartisan,20,legislature,John,Fredrickson
ocd-person/9d6fd408-5497-4038-9716-c1f487e348d2,Kathleen Kauth,Nonpartisan,31,legislature,Kathleen,Kauth
ocd-person/2ad42fad-ae37-44a6-8933-0a942f7a85f7,Loren Lippincott,Nonpartisan,34,legislature,Loren,Lippincott
ocd-person/fd6e1947-c274-4ff5-b2ee-5e5a79d6a729,Machaela Cavanaugh,Nonpartisan,6,legislature,Machaela,Cavanaugh
ocd-person/e586486b-002b-4dfb-8eec-a209c915dc95,Margo Juarez,Nonpartisan,5,legislature,Margo,Juarez
ocd-person/1b988941-ec1a-4f87-b17a-51fb0309dea0,Megan Hunt,Nonpartisan,8,legislature,Megan,Hunt
ocd-person/3c015cf9-e3de-42cf-a364-64607ecc70ce,Merv Riepe,Nonpartisan,12,legislature,Merv,Riepe
ocd-person/70b3f826-87f3-43c6-9762-27a178156a55,Mike Jacobson,Nonpartisan,42,legislature,Mike,Jacobson
ocd-person/471fb0d6-b798-4c0c-bac1-021db8b68801,Mike Moser,Nonpartisan,22,legislature,Mike,Moser
ocd-person/4a8d555a-4bba-4f76-a3e1-88eee6030413,Myron Dorn,Nonpartisan,30,legislature,Myron,Dorn
ocd-person/0ae0ba8c-757e-459f-aecc-4a0501a25cbb,Paul Strommen,Nonpartisan,47,legislature,Paul,Strommen
ocd-person/63d2956a-a0be-40db-a0e3-6c32743951ab,Brad von Gillern,Nonpartisan,4,legislature,Brad,von Gillern
ocd-person/62ccba1d-4200-41c7-a051-21fa421a206a,Rick Holdcroft,Nonpartisan,36,legislature,Rick,Holdcroft
ocd-person/de8d4e0a-36dd-4a84-96ee-e4b7bc4cf69d,Rita Sanders,Nonpartisan,45,legislature,Rita,Sanders
ocd-person/809c0698-2669-426a-819a-275a0773ff84,Rob Clements,Nonpartisan,2,legislature,Rob,Clements
ocd-person/a9cc86ff-602c-453f-9d6c-fd1567c7fbd7,Robert Dover,Nonpartisan,19,legislature,Robert,Dover
ocd-person/4bfe5183-1afc-42fa-92c1-7ffe5cbb1080,Stan Clouse,Nonpartisan,37,legislature,Stan,Clouse
ocd-person/70751bb8-56af-4fd1-b2dc-21943dc7bb2d,Tanya Storer,Nonpartisan,43,legislature,Tanya,Storer
ocd-person/374b6dc4-5b90-4028-814c-84895a293c84,Teresa Ibach,Nonpartisan,44,legislature,Teresa,Ibach
ocd-person/27784792-d54f-4a64-8408-a4a1ce0c26b1,Terrell McKinney,Nonpartisan,11,legislature,Terrell,McKinney
ocd-person/37ed5b35-3aea-40a2-95ed-ecc5120fbe82,Tom Brandt,Nonpartisan,32,legislature,Tom,Brandt
ocd-person/7093e661-0dbc-4c75-91e0-09a3e171caf1,Tony Sorrentino,Nonpartisan,39,legislature,Tony,Sorrentino
ocd-person/1e43a5b4-e63c-434a-977c-592174c2c635,Victor Rountree,Nonpartisan,3,legislature,Victor,Rountree
ocd-person/bc906a77-5932-4042-9ede-a13b24924236,Wendy DeBoer,Nonpartisan,10,legislature,Wendy,DeBoer
ocd-person/86a9643e-4777-48d4-a79a-5ed192fb7f70,Woody Wordekemper,Nonpartisan,15,legislature,Woody,Wordekemper
