id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/e60aed5e-cbb4-4b27-ab1b-2ce1dd787dac,Aboul Khan,Republican,Rockingham 30,lower,Aboul,Khan
ocd-person/e6d39a32-9602-4a87-905b-a86eeefe9ae1,Adam Presa,Republican,Hillsborough 12,lower,Adam,Presa
ocd-person/540cbe60-cc65-4ff6-8c78-5d54488e5ed8,Aidan Ankarberg,Independent,Strafford 7,lower,Aidan,Ankarberg
ocd-person/3ab49eaa-77a6-4e6e-85a5-24812e78ae7a,Alexis Simpson,Democratic,Rockingham 33,lower,Alexis,Simpson
ocd-person/ef4b9cee-5a72-452c-8720-a59d5d5ca9ef,Alice Wade,Democratic,Strafford 15,lower,Alice,Wade
ocd-person/36eee284-6fc9-4b03-9b5c-012b5fdd6995,Alicia Gregg,Democratic,Hillsborough 7,lower,Alicia,Gregg
ocd-person/f809a410-5a03-4ebc-a0ab-32507705c479,Alissandra Murray,Democratic,Hillsborough 20,lower,Alissandra,Murray
ocd-person/69b94b6a-d5d5-430b-a4b9-c62c8414cb75,Allan Howland,Democratic,Strafford 20,lower,Allan,Howland
ocd-person/0bc83772-75ee-453c-868c-8d2a034788b1,Allison Knab,Democratic,Rockingham 12,lower,Allison,Knab
ocd-person/e3a1815a-a84c-4bd1-9e20-b73b07d2576f,Alvin See,Republican,Merrimack 26,lower,Alvin,See
ocd-person/47ad413d-8b61-4b5b-8be6-9c999fb1a682,Amy Malone,Democratic,Strafford 9,lower,Amy,Malone
ocd-person/da5fb901-d16d-430f-b5cb-7ab556f8d4ee,Andrew Prout,Republican,Hillsborough 13,lower,Andrew,Prout
ocd-person/a028512b-5d61-4d23-9e28-dec7038577d6,Anita Burroughs,Democratic,Carroll 2,lower,Anita,Burroughs
ocd-person/4f07f5aa-c410-481b-b570-36ae37d64e24,Arnie Davis,Republican,Coos 2,lower,Arnie,Davis
ocd-person/3e0ee111-2332-4742-b073-a23cc37a8b51,Barbara Comtois,Republican,Belknap 7,lower,Barbara,Comtois
ocd-person/a8bcce41-eef2-4b18-b99f-8bb34c7f94ea,Barry Faulkner,Democratic,Cheshire 10,lower,Barry,Faulkner
ocd-person/49453d65-a175-4c22-bc1f-878d02ea3d45,Beth Richards,Democratic,Merrimack 17,lower,Beth,Richards
ocd-person/6f592f37-cac8-4bf0-b12c-3a86f9b444dc,Bill Boyd,Republican,Hillsborough 12,lower,Bill,Boyd
ocd-person/d3c437bd-532d-458b-961f-4f6dccec1e4b,Bill Gannon,Republican,23,upper,Bill,Gannon
ocd-person/9839219c-e885-4957-99e8-01ebb78583de,Bill Ohm,Republican,Hillsborough 10,lower,Bill,Ohm
ocd-person/6d4386a3-50ff-437f-bf9e-50faea1fd774,Bill Bolton,Democratic,Grafton 8,lower,Bill,Bolton
ocd-person/1c179bc8-d192-44c1-aed6-4801e9d6b338,Billie Butler,Democratic,Strafford 12,lower,Billie,Butler
ocd-person/ce46c52e-8598-4888-8a1f-d16b283a7238,Bob Lynn,Republican,Rockingham 17,lower,Bob,Lynn
ocd-person/4dadf712-9f7e-4120-bd9a-455bf619f757,Bobbi Boudman,Democratic,Carroll 7,lower,Bobbi,Boudman
ocd-person/e0dbb769-2677-4939-adc5-e1d2b253150f,Brian Cole,Republican,Hillsborough 26,lower,Brian,Cole
ocd-person/a04ceb08-3ec9-43b6-87d2-014313ada4a1,Brian Labrie,Republican,Hillsborough 2,lower,Brian,Labrie
ocd-person/4c78e7fc-43a2-467b-abe3-6ba04ad8853e,Brian Sullivan,Democratic,Sullivan 1,lower,Brian,Sullivan
ocd-person/c8d8a204-038c-4544-ad17-e12a5af19cd6,Brian Nadeau,Republican,Rockingham 4,lower,Brian,Nadeau
ocd-person/b12abcbf-fbbe-4464-854e-6960b024e62a,Brian Seaworth,Republican,Merrimack 12,lower,Brian,Seaworth
ocd-person/8297edd2-5298-4cef-b2ab-75d4f9fa5a31,Brian Taylor,Republican,Carroll 8,lower,Brian,Taylor
ocd-person/cee0d2c5-0580-4fa6-bc84-43fa5f54144f,Bryan Morse,Republican,Merrimack 3,lower,Bryan,Morse
ocd-person/214295d3-da3e-45cb-89bc-80de2be1a071,Buzz Scherr,Democratic,Rockingham 26,lower,Buzz,Scherr
ocd-person/205741ac-701b-416e-9716-c725bc7d7665,Calvin Beaulier,Republican,Grafton 1,lower,Calvin,Beaulier
ocd-person/ae3d6133-98b5-444e-b95e-2edc2f5302dc,Carol McGuire,Republican,Merrimack 27,lower,Carol,McGuire
ocd-person/810aefbf-2c1d-448d-824a-a848d5d05910,Carrie Sorensen,Democratic,Rockingham 28,lower,Carrie,Sorensen
ocd-person/74d3b542-b2d0-426f-9835-0de12d5e4895,Carry Spier,Democratic,Hillsborough 6,lower,Carry,Spier
ocd-person/711423e3-ff28-4150-8a89-ec568a4f2c5d,Cassandra Levesque,Democratic,Strafford 4,lower,Cassandra,Levesque
ocd-person/db105051-1a17-4bff-a3a3-46332533ac8a,Cathy Kenny,Republican,Hillsborough 13,lower,Cathy,Kenny
ocd-person/5223be3f-79ec-4442-8164-588d2ccc77e0,Catherine Rombeau,Democratic,Hillsborough 2,lower,Catherine,Rombeau
ocd-person/36fb226e-9ed4-483f-a254-141baf18d295,Catherine Sofikitis,Democratic,Hillsborough 7,lower,Catherine,Sofikitis
ocd-person/c15709b9-8514-4e8f-8a52-6b464eb8484d,Cathryn Harvey,Democratic,Cheshire 6,lower,Cathryn,Harvey
ocd-person/28d59199-5bae-46fe-99f3-ec78e330cdeb,Charles McMahon,Republican,Rockingham 17,lower,Charles,McMahon
ocd-person/2cc808df-0763-4807-9a67-b53a1764f84c,Charlie Foote,Republican,Rockingham 13,lower,Charlie,Foote
ocd-person/66ba1045-a0e7-4602-b228-e68dea8be29e,Charlie Melvin,Republican,Rockingham 20,lower,Charlie,Melvin
ocd-person/643751f4-6db0-4021-bf76-b8f2483d640d,Charlie St. Clair,Democratic,Belknap 5,lower,Charlie,St. Clair
ocd-person/0dbeb05f-3510-48d3-9918-a929a6069ac2,Chris Muns,Democratic,Rockingham 29,lower,Chris,Muns
ocd-person/28ef2003-b65a-4c46-92f1-b777498c5a00,Chris McAleer,Democratic,Carroll 2,lower,Chris,McAleer
ocd-person/84fef36b-d3a0-4bb1-9458-7e7b165a51ff,Christal Lloyd,Democratic,Hillsborough 8,lower,Christal,Lloyd
ocd-person/a05c5eab-d5d5-475d-a66a-39b8b514b8e6,Christine Seibert,Democratic,Hillsborough 21,lower,Christine,Seibert
ocd-person/7eb393f4-db93-4fbd-95bc-3491d9a6ca93,Chris Herbert,Democratic,Hillsborough 24,lower,Chris,Herbert
ocd-person/24af30d5-efc3-40b2-9493-b9ef94217ada,Cindy Bennett,Republican,Rockingham 4,lower,Cindy,Bennett
ocd-person/f3e949ce-6d98-4826-bbca-08039cea4ea4,Cindy Rosenwald,Democratic,13,upper,Cindy,Rosenwald
ocd-person/bfecb4c6-509b-4c23-9c69-0e21483c44d3,Claudine Burnham,Republican,Strafford 2,lower,Claudine,Burnham
ocd-person/2bf4a05c-14f0-4916-964b-48bdb20f4fdd,Clayton Wood,Republican,Merrimack 13,lower,Clayton,Wood
ocd-person/8171a035-7cc1-4a7f-b086-9bdb800782da,Connie Lane,Democratic,Merrimack 16,lower,Connie,Lane
ocd-person/e4ac4259-d405-4839-af31-6c409719065c,Cy Aures,Republican,Merrimack 13,lower,Cy,Aures
ocd-person/87ac63e4-d144-451e-a13b-0b834f1ef81b,Dale Girard,Republican,Sullivan 6,lower,Dale,Girard
ocd-person/89af0a16-e17b-490b-96d1-8d445071cec2,Dale Swanson,Democratic,Hillsborough 5,lower,Dale,Swanson
ocd-person/4ae310b1-b493-47b9-888e-e318a5ea0e76,Dan Bergeron,Democratic,Hillsborough 16,lower,Dan,Bergeron
ocd-person/f67d5fcc-0dac-4bf0-b1ab-b63f73162d0b,Dan McGuire,Republican,Merrimack 14,lower,Dan,McGuire
