id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/d358cf84-b9ae-4bce-bb28-aa083fe082b4,Al Abdelaziz,Democratic,35,lower,Al,Abdelaziz
ocd-person/525b3307-b007-4cfa-8166-efb0810fcda7,Al Barlas,Republican,40,lower,Al,Barlas
ocd-person/fc986c0e-c1cd-422f-80c1-4d3691f34f28,Alex Sauickie,Republican,12,lower,Alex,Sauickie
ocd-person/b5f9d8c9-0f98-4d89-8a5f-82152f41687d,Alixon Collazos-Gill,Democratic,27,lower,Alixon,Collazos-Gill
ocd-person/acf3b54e-9725-4867-aaa5-9275ada21b37,Andrea Katz,Democratic,8,lower,Andrea,Katz
ocd-person/bd2c37cd-6c84-406e-9e38-95bd83f20f0f,Andrew Macurdy,Democratic,21,lower,Andrew,Macurdy
ocd-person/7782ffcd-73df-41b5-9857-fd7b10953bf3,Andrew Zwicker,Democratic,16,upper,Andrew,Zwicker
ocd-person/d8c826c4-95c7-465b-8448-1f05495bfc45,Angela McKnight,Democratic,31,upper,Angela,McKnight
ocd-person/ec370db8-c51e-4022-9868-5cad9c38e97d,Annette Quijano,Democratic,20,lower,Annette,Quijano
ocd-person/21b098a3-5f30-40c7-9169-1d4b92402a99,Anthony Angelozzi,Democratic,8,lower,Anthony,Angelozzi
ocd-person/f321f20f-b8af-4d0b-85ba-e7b8dcf9ae03,Tony Bucco,Republican,25,upper,Tony,Bucco
ocd-person/c6d61a12-eeb5-4400-943d-68a81b0728f0,Anthony Verrelli,Democratic,15,lower,Anthony,Verrelli
ocd-person/4ebe8d6e-9814-4f68-aa9f-148c0942eaab,Antwan McClellan,Republican,1,lower,Antwan,McClellan
ocd-person/03aa8bec-9d7e-41e7-ad20-b5ba1991cab6,Aura Dunn,Republican,25,lower,Aura,Dunn
ocd-person/4dab8e3a-93be-4ad7-8cb1-5009e4c7d232,Avi Schnall,Democratic,30,lower,Avi,Schnall
ocd-person/a189187b-df3f-4f10-8e5c-744ad7071787,Balvir Singh,Democratic,7,lower,Balvir,Singh
ocd-person/18fa38fc-954e-43d9-a294-a2068828216e,Benjie Wimberly,Democratic,35,upper,Benjie,Wimberly
ocd-person/177d44ba-0c93-4e26-b245-84aa2239f7b4,Bob Smith,Democratic,17,upper,Bob,Smith
ocd-person/006c1bd9-54e9-49be-9d02-12dda1119149,Brian Bergen,Republican,26,lower,Brian,Bergen
ocd-person/d6731a7f-a22e-48dd-8bba-fd2c155c16c3,Brian Rumpf,Republican,9,lower,Brian,Rumpf
ocd-person/6f616307-dafe-44ca-a6b3-5f9516d21f89,Brian Stack,Democratic,33,upper,Brian,Stack
ocd-person/707e3027-d06f-4346-8c11-3ff1becbe725,Britnee Timberlake,Democratic,34,upper,Britnee,Timberlake
ocd-person/0f0e1edc-6ab5-4fca-8999-2db3229c5d19,Carmen Amato,Republican,9,upper,Carmen,Amato
ocd-person/38f2061a-a83f-45bc-92a2-817f44d6b377,Carmen Morales,Democratic,34,lower,Carmen,Morales
ocd-person/c33b5f2b-0494-414f-aa84-d2286ae46095,Carol Murphy,Democratic,7,lower,Carol,Murphy
ocd-person/383fdfc0-c14a-433f-8f1d-a29e6350c5ca,Chigozie Onyema,Democratic,28,lower,Chigozie,Onyema
ocd-person/33050562-f29d-4c4f-9e21-022822792a5c,Chris DePhillips,Republican,40,lower,Chris,DePhillips
ocd-person/c5469bd6-29bd-4054-9ac0-3577d17422d4,Cleopatra Tucker,Democratic,28,lower,Cleopatra,Tucker
ocd-person/5475b510-25ec-4354-abb5-f1f03c3ea2c3,Clinton Calabrese,Democratic,36,lower,Clinton,Calabrese
ocd-person/fab6547d-4f37-4c02-a738-dc4fb0b707e7,Cody Miller,Democratic,4,lower,Cody,Miller
ocd-person/9d1ae08a-66b3-4d68-bafe-956d4eaeb57f,Craig Coughlin,Democratic,19,lower,Craig,Coughlin
ocd-person/fa6aa5c6-0479-4d12-88c0-75480bfbe3a5,Dan Hutchison,Democratic,4,lower,Dan,Hutchison
ocd-person/64a8c09d-24a2-4d4c-a071-d09f0a30c79f,Dave Bailey,Democratic,3,lower,Dave,Bailey
ocd-person/790ac0bd-71fa-4446-b1fa-b013e4b4f33e,Dawn Fantasia,Republican,24,lower,Dawn,Fantasia
ocd-person/ac044b70-7745-435a-9c38-c4af013d0b0e,Declan O'Scanlon,Republican,13,upper,Declan,O'Scanlon
ocd-person/df880b40-1e96-49d0-92bc-70732a1cce32,Don Guardian,Republican,2,lower,Don,Guardian
ocd-person/2798197f-1516-44ef-9933-99e5b23f19c8,Doug Steinhardt,Republican,23,upper,Doug,Steinhardt
ocd-person/c17427d2-58a7-45f5-aa6c-a70ca914f8de,Ed Rodriguez,Democratic,20,lower,Ed,Rodriguez
ocd-person/6056438b-65d3-4db4-b0ad-c367074bd47e,Eliana Pintor Marin,Democratic,29,lower,Eliana,Pintor Marin
ocd-person/e5da04d8-e25f-4ab3-a453-84e692fe89c4,Ellen Park,Democratic,37,lower,Ellen,Park
ocd-person/df6d2d1f-3fb0-4e93-93cf-26665cae9a23,Erik Peterson,Republican,23,lower,Erik,Peterson
ocd-person/7f9ebe1c-d4fa-4dd0-8948-7cf6248ffb6d,Erik Simonsen,Republican,1,lower,Erik,Simonsen
ocd-person/2078f4b2-3e69-4e01-aada-3ccf21ba6173,Gabe Rodriguez,Democratic,33,lower,Gabe,Rodriguez
ocd-person/93a1a3ce-eb52-4e71-b01c-346f41b6bde4,Gary Schaer,Democratic,36,lower,Gary,Schaer
ocd-person/4323bf03-63e6-4f8b-9b2e-3554df7723bf,Gerry Scharfenberger,Republican,13,lower,Gerry,Scharfenberger
ocd-person/53fe6716-2bdb-4926-993f-4a2cf002ad51,Gordon Johnson,Democratic,37,upper,Gordon,Johnson
ocd-person/85863833-b5e6-40f2-aafc-5a0fc5f790d0,Greg Myhre,Republican,9,lower,Greg,Myhre
ocd-person/2ac520a3-ae36-4936-a9c3-6842401b6c83,Greg McGuckin,Republican,10,lower,Greg,McGuckin
ocd-person/5d619c98-5127-433c-99c6-adb888ab407b,Heather Simmons,Democratic,3,lower,Heather,Simmons
ocd-person/57fe7d05-af12-4f44-b143-e19814f2cfa2,Holly Schepisi,Republican,39,upper,Holly,Schepisi
ocd-person/87714b2b-1868-4d3f-aa3f-a3d25db0fbc6,Jim Beach,Democratic,6,upper,Jim,Beach
ocd-person/d80f0df2-57cd-436b-a250-7413ec11fe27,Jim Kennedy,Democratic,22,lower,Jim,Kennedy
ocd-person/32e625c0-5e22-40b4-a6a3-4040d10e6ff0,Jim Holzapfel,Republican,10,upper,Jim,Holzapfel
ocd-person/dbe67894-e4cd-46ea-bb59-877a8b4f26d0,Jay Webber,Republican,26,lower,Jay,Webber
ocd-person/cbdafb85-539d-4ef4-a3ee-30f4985969fa,Jerry Walker,Democratic,31,lower,Jerry,Walker
ocd-person/03acbfd3-a81b-4461-aff4-db7ecf5e8e48,Joe Danielsen,Democratic,17,lower,Joe,Danielsen
ocd-person/86641d6d-4538-453d-974f-aec40c42a33d,John Azzariti,Republican,39,lower,John,Azzariti
ocd-person/dce6ec3a-7d62-4b33-8693-259364c85285,John DiMaio,Republican,23,lower,John,DiMaio
ocd-person/1fec06e0-00df-4d84-8c9a-18e80a6f29e2,John McKeon,Democratic,27,upper,John,McKeon
ocd-person/1b726d76-851a-487b-a6e6-42ee4fa5c050,John Burzichelli,Democratic,3,upper,John,Burzichelli
ocd-person/08a758f9-92fb-4e59-ac8f-edc75aaf3390,Jon Bramnick,Republican,21,upper,Jon,Bramnick
ocd-person/90a0a109-2ce3-4a55-8761-1e07ff875703,Joe Lagana,Democratic,38,upper,Joe,Lagana
ocd-person/97fba3ff-adc8-4323-bf77-37acfe18b735,Joe Vitale,Democratic,19,upper,Joe,Vitale
ocd-person/5dcef6ac-7dbe-4c65-a53b-670c89a615e7,Joe Cryan,Democratic,20,upper,Joe,Cryan
ocd-person/4bf4c8e4-5a97-4100-b34d-cb01da6ab266,Joe Pennacchio,Republican,26,upper,Joe,Pennacchio
ocd-person/a04dc132-6a91-4e1b-a336-ede062d06884,Katie Brennan,Democratic,32,lower,Katie,Brennan
ocd-person/0bf3c2a3-9004-40cb-8d3a-eeeca4b0b967,Kenyatta Stewart,Democratic,35,lower,Kenyatta,Stewart
ocd-person/59c25089-5752-4eb9-a96b-a005c1c46743,Kevin Egan,Democratic,17,lower,Kevin,Egan
ocd-person/0880a4b0-8e91-484b-aa12-6e0444838c44,Kristin Corrado,Republican,40,upper,Kristin,Corrado
ocd-person/036d00b8-5e0b-4bc0-ae46-f0bf5e1b9a73,Larry Wainstein,Democratic,33,lower,Larry,Wainstein
ocd-person/0e989cd5-91f8-4595-8346-bbac4f3d2c9e,Latham Tiver,Republican,8,upper,Latham,Tiver
