id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/be61f240-c0ad-4a98-8ad5-d30f4c5f4a06,Alan Martinez,Republican,23,lower,Alan,Martinez
ocd-person/c4caca3c-faa3-445f-91e0-cce9edd53a5a,Andi Reeb,Republican,64,lower,Andi,Reeb
ocd-person/ed0ba54a-4fc3-4c50-aa0d-f74b1f0e86f6,Andrea Romero,Democratic,46,lower,Andrea,Romero
ocd-person/948ee9a0-a718-46f1-a1fe-35eb97f01fad,Angel Charley,Democratic,30,upper,Angel,Charley
ocd-person/ea2a9403-248c-4474-aea0-47b45265e0be,Angelica Rubio,Democratic,35,lower,Angelica,Rubio
ocd-person/75986bbd-3629-4520-a770-f86c46f423ab,Angelita Mejia,Republican,58,lower,Angelita,Mejia
ocd-person/ee127909-55b5-4854-b3c6-2e45e19b7156,Anita Gonzales,Democratic,70,lower,Anita,Gonzales
ocd-person/02d806fd-fb8f-4d66-b9b8-6dacd2bd9656,Ant Thornton,Republican,19,upper,Ant,Thornton
ocd-person/3dcac810-1d9b-4a4d-9e82-8b6e49eba735,Antoinette Sedillo Lopez,Democratic,16,upper,Antoinette,Sedillo Lopez
ocd-person/2913173a-2bfe-4474-8bdc-d145f868c4de,Moe Maestas,Democratic,26,upper,Moe,Maestas
ocd-person/057c7d79-a168-4b7b-ae96-66cf41e4f115,Art De La Cruz,Democratic,12,lower,Art,De La Cruz
ocd-person/145aba4a-89ba-4c17-b1ec-2f4b568f5048,Benny Shendo,Democratic,22,upper,Benny,Shendo
ocd-person/e0e4fcc9-1e0c-49f8-894d-223c863d61f8,Bill Hall,Republican,3,lower,Bill,Hall
ocd-person/05f3609c-c2a6-42fc-bf6a-5141f8050ff8,Brian Baca,Republican,8,lower,Brian,Baca
ocd-person/46464f19-1bda-489f-93cf-3772d0445407,Candy Ezzell,Republican,32,upper,Candy,Ezzell
ocd-person/83df260f-2110-4d39-8e19-6a2edc33491d,Carrie Hamblen,Democratic,38,upper,Carrie,Hamblen
