id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/6fee4c5a-f125-46bc-b11a-d254e40428e4,Alexis Hansen,Republican,32,lower,Alexis,Hansen
ocd-person/d95b3a70-9bb4-43b8-a376-9d3151f9c44d,Angie Taylor,Democratic,15,upper,Angie,Taylor
ocd-person/11f44d71-88c1-4022-a2f5-f8ca9b8795f2,Bert Gurr,Republican,33,lower,Bert,Gurr
ocd-person/b89aa9d2-1550-4e73-8981-ffa49b7113ad,Blayne Osborn,Republican,39,lower,Blayne,Osborn
ocd-person/20c9828b-8026-440a-9328-0c2cbcbad016,Brian Hibbetts,Republican,13,lower,Brian,Hibbetts
ocd-person/287d0078-78f3-4717-8493-9f77d0eb57d6,Brittney Miller,Democratic,5,lower,Brittney,Miller
ocd-person/189d270a-96e5-45af-a2b8-bbcc2ad225c1,Carrie Buck,Republican,5,upper,Carrie,Buck
ocd-person/67f22a3d-05c3-4256-8260-dac682607fc7,Cecelia González,Democratic,16,lower,Cecelia,González
ocd-person/0828d1f5-5772-4e62-88d8-1650abb8b749,Cinthia Moore,Democratic,11,lower,Cinthia,Moore
ocd-person/b266a1bc-d8f5-472c-ba8d-e98e0d904ee3,Daniele Monroe-Moreno,Democratic,1,lower,Daniele,Monroe-Moreno
ocd-person/bf8b61a8-585a-4357-82f8-bd8de898262b,Danielle Gallant,Republican,23,lower,Danielle,Gallant
ocd-person/7d16a086-5877-48e9-9e76-13c5159f89ce,David Orentlicher,Democratic,20,lower,David,Orentlicher
ocd-person/6da4be55-c493-4b72-b436-5257259247d2,Dina Neal,Democratic,4,upper,Dina,Neal
ocd-person/fb919fa4-e37e-4268-9f5d-e4c3e9490475,Duy Nguyen,Democratic,8,lower,Duy,Nguyen
ocd-person/e5b06346-f5ee-4e1d-baed-342cc4a8ff36,Edgar Flores,Democratic,2,upper,Edgar,Flores
ocd-person/a76836f8-24c9-4f90-8e13-29f417a7ad9f,Elaine Marzola,Democratic,21,lower,Elaine,Marzola
