id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/dff234fa-8563-4028-982e-c0a221d99fd9,Al Stirpe,Democratic,127,lower,Al,Stirpe
ocd-person/c197076b-7dde-4f90-b04f-352053fbab94,Al Taylor,Democratic,71,lower,Al,Taylor
ocd-person/69640dce-9d99-45a3-83b5-cbdc1dc2f2e5,Alec Brook-Krasny,Republican/Conservative,46,lower,Alec,Brook-Krasny
ocd-person/9c986c4c-5371-4b77-b095-5a7283a93729,Alex Bores,Democratic/Working Families,73,lower,Alex,Bores
ocd-person/9dd382bd-0f4f-4a99-ad58-679e26114f70,Alexis Weik,Republican/Conservative,8,upper,Alexis,Weik
ocd-person/2196fbda-e731-4e6b-a221-7bf5e25b8b95,Alicia Hyndman,Democratic,29,lower,Alicia,Hyndman
ocd-person/3647609d-4772-4afe-a2c0-1f628a6c11ec,Amanda Septimo,Democratic/Working Families,84,lower,Amanda,Septimo
ocd-person/f0f08f55-cf1f-477c-a5f8-a7f2382e5fa8,Amy Paulin,Democratic,88,lower,Amy,Paulin
ocd-person/b46dbcbc-500c-4d28-ac9b-cf2a7291e79f,Andrea Bailey,Republican/Conservative,133,lower,Andrea,Bailey
ocd-person/5f3e7bcf-9e43-423b-946b-982cc6ecc154,Andrea Stewart-Cousins,Democratic/Working Families,35,upper,Andrea,Stewart-Cousins
ocd-person/ae1f415b-958c-4a4c-805b-626e6eca5fe3,Andrew Gounardes,Democratic,26,upper,Andrew,Gounardes
ocd-person/2a9aad09-337f-4fd0-8e87-70afd78ac8cc,Andrew Hevesi,Democratic,28,lower,Andrew,Hevesi
ocd-person/8dd98240-93c9-486a-b6c6-3a794b232090,Andrew Lanza,Republican/Conservative/Independence/Reform,24,upper,Andrew,Lanza
ocd-person/ba5fb3f1-a049-45a1-abd7-77b132e789d6,Andrew Molitor,Republican/Conservative,150,lower,Andrew,Molitor
ocd-person/461e374c-cde4-4865-9fec-141502275a8b,Angelo Morinello,Republican,145,lower,Angelo,Morinello
ocd-person/0193e8ea-3830-45af-86e7-34427396a7b4,Angelo Santabarbara,Democratic,111,lower,Angelo,Santabarbara
ocd-person/b4820549-d7f0-4f0f-abef-74d3b1515ed9,Anil Beephan,Republican/Conservative,105,lower,Anil,Beephan
ocd-person/edde17c2-c810-4ec8-97c3-4cc0ea2e32d0,Anna Kelles,Democratic/Working Families,125,lower,Anna,Kelles
ocd-person/f13bda4e-bfb4-49fc-a986-ba8d2b3e7e43,Tony Palumbo,Republican,1,upper,Tony,Palumbo
ocd-person/b1371ded-fa50-44d8-8fad-a8532b98406a,April Baskin,Democratic,63,upper,April,Baskin
ocd-person/38ed0365-1654-4a2d-bb23-4428736df57f,Ari Brown,Republican,20,lower,Ari,Brown
ocd-person/46209ced-aa04-4316-8a17-97fb02e83320,Aron Wieder,Democratic,97,lower,Aron,Wieder
ocd-person/8285be34-48a9-4bbe-b231-f8e5f40df301,Bill Weber,Republican/Conservative,38,upper,Bill,Weber
ocd-person/27a087c4-fad6-4245-b680-20aff5c3251c,Brian Cunningham,Democratic,43,lower,Brian,Cunningham
ocd-person/934d4a02-a27c-4682-a31f-5a8372ceaaf9,Brian Kavanagh,Democratic,27,upper,Brian,Kavanagh
ocd-person/2830bc0a-4507-4710-8c4f-17b3ac5d414b,Brian Maher,Republican/Conservative,101,lower,Brian,Maher
ocd-person/2ef71a27-afab-49e4-9c52-d3954352242f,Brian Manktelow,Republican,130,lower,Brian,Manktelow
ocd-person/ad93da57-8a9a-4dc0-bc2c-2488c0331d16,Brian Miller,Republican,122,lower,Brian,Miller
ocd-person/2049da3a-132c-47b4-b53d-c28b574fff63,Carl Heastie,Democratic,83,lower,Carl,Heastie
ocd-person/6d6f344e-39b8-401f-807e-c88924fb2793,Carrie Woerner,Democratic,113,lower,Carrie,Woerner
ocd-person/864e417d-df2e-4207-83e4-98450555f48a,Catalina Cruz,Democratic,39,lower,Catalina,Cruz
ocd-person/2a9ffeeb-e46e-4d98-8376-b07310112672,Chantel Jackson,Democratic,79,lower,Chantel,Jackson
ocd-person/5390ebc9-7fbe-4be9-91c4-b28b59f7fd2f,Charles Fall,Democratic,61,lower,Charles,Fall
ocd-person/3bb6eebd-d57b-4592-bc52-9ce338df9ccf,Charles Lavine,Democratic,13,lower,Charles,Lavine
ocd-person/35febe88-13a1-4611-b0e3-2088c719db24,Chris Burdick,Democratic/Independence/Working Families,93,lower,Chris,Burdick
ocd-person/fe66bda1-2564-4f24-8798-0cd8993a0f12,Chris Eachus,Democratic,99,lower,Chris,Eachus
ocd-person/58b03f1c-af64-4079-8c24-e76dd0028166,Chris Ryan,Democratic,50,upper,Chris,Ryan
ocd-person/4af5cab3-9d9c-4d27-8eda-d39dcaa74bd0,Chris Tague,Republican,102,lower,Chris,Tague
ocd-person/a73679bf-ac98-4319-95b8-d226bc9aba77,Chris Friend,Republican,124,lower,Chris,Friend
ocd-person/9147362c-8b83-49ff-8fab-4d48a77eebc9,Claire Valdez,Democratic/Working Families,37,lower,Claire,Valdez
ocd-person/b8a0fb1e-422b-44b7-846e-82d2998a0bf5,Clyde Vanel,Democratic,33,lower,Clyde,Vanel
ocd-person/c5c492e5-7c34-4b6f-862e-185248e89f18,Cordell Cleare,Democratic,30,upper,Cordell,Cleare
ocd-person/7638e8d0-2a84-4325-bcfd-7a2e8e604077,Crystal Peoples-Stokes,Democratic,141,lower,Crystal,Peoples-Stokes
ocd-person/3069edfe-7ff7-4a14-8223-f23b294b3a04,Dana Levenberg,Democratic/Working Families,95,lower,Dana,Levenberg
ocd-person/7bb8c8bc-0238-4fd2-8dff-e5f2b2aaa92a,Dan Stec,Republican/Conservative/Independence,45,upper,Dan,Stec
ocd-person/2e502adc-4b0e-46fa-b5d4-0d2f7696db49,Danny Norber,Republican/Conservative,16,lower,Danny,Norber
ocd-person/67c280c8-c9a5-4eff-93de-480570d6a414,Dave DiPietro,Republican,147,lower,Dave,DiPietro
ocd-person/9f3ae1c5-651b-4cc8-a1ce-9e94c414a220,Dave McDonough,Republican,14,lower,Dave,McDonough
ocd-person/df0c2fdc-3cf4-4c89-849a-b62ac2d7d2d4,David Weprin,Democratic,24,lower,David,Weprin
ocd-person/8ff653e0-5aa6-4692-ac54-25ed36e32f97,Dean Murray,Republican/Conservative,3,upper,Dean,Murray
