id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/0c6a7bcf-e990-41a0-b59c-923f05771880,Adam Bird,Republican,63,lower,Adam,Bird
ocd-person/78912d95-3dac-4487-810a-74be41508ebb,Adam Holmes,Republican,97,lower,Adam,Holmes
ocd-person/b04e2962-e7c6-46b8-9a99-d7a6d3a32717,Adam Mathews,Republican,56,lower,Adam,Mathews
ocd-person/6a1fc3b1-ebfd-47b7-adec-ddcd84d137c9,Al Cutrona,Republican,33,upper,Al,Cutrona
ocd-person/debec71d-fcfb-4422-9c9e-c6a8709cbb3a,Al Landis,Republican,31,upper,Al,Landis
ocd-person/07c054e9-9a51-41b2-994a-8f63b0148d07,Andrea White,Republican,36,lower,Andrea,White
ocd-person/c61c8eaf-1de9-419d-a5dc-c96787315578,Andrew Brenner,Republican,19,upper,Andrew,Brenner
ocd-person/4ed8184a-01ff-4bdc-a06c-cbf8b4c73fd6,Angie King,Republican,84,lower,Angie,King
ocd-person/3bfe0748-5423-4fcf-9962-905d2b747f23,Anita Somani,Democratic,8,lower,Anita,Somani
ocd-person/6d39391d-7068-4ad3-866d-4ee59890ce6e,Ashley Bryant Bailey,Democratic,26,lower,Ashley,Bryant Bailey
ocd-person/550986e6-b595-4fa8-9424-8e09327cf060,Bernie Willis,Republican,74,lower,Bernie,Willis
ocd-person/dc1a25bf-ebf6-4d5c-b5c3-32f9fdb8b2ed,Beryl Piccolantonio,Democratic,4,lower,Beryl,Piccolantonio
ocd-person/de0a6483-7c16-43e1-a76b-c0cc98a9d7ed,Beth Lear,Republican,61,lower,Beth,Lear
ocd-person/2d01ff0c-25a8-49a2-b571-ab3a7866fcf2,Beth Liston,Democratic,16,upper,Beth,Liston
ocd-person/10733ff7-ee19-4e86-9b5e-65619ddbf7bf,Bill Reineke,Republican,26,upper,Bill,Reineke
ocd-person/4cece9f3-e252-438b-8255-a2150a4ed599,Bill Roemer,Republican,31,lower,Bill,Roemer
ocd-person/cdc9f705-514e-4445-ac17-9aeac8f67e97,Bob Peterson,Republican,91,lower,Bob,Peterson
ocd-person/1895e223-ba42-4e25-8cd0-915ca5cc2829,Brian Lampton,Republican,70,lower,Brian,Lampton
ocd-person/a3ccce64-ea28-47dc-8bab-3af6ed2dd860,Brian Lorenz,Republican,60,lower,Brian,Lorenz
ocd-person/eb5ff860-2126-4ac5-8267-9d2d924c3967,Brian Chavez,Republican,30,upper,Brian,Chavez
