id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/78900b72-692c-4b5f-ac8b-290577d6abd4,Aaron Reinhardt,Republican,37,upper,Aaron,Reinhardt
ocd-person/7e356581-ff96-4e5d-b6bc-94b3c8e0005c,Adam Pugh,Republican,41,upper,Adam,Pugh
ocd-person/a91af3e5-8f27-4aa3-9c5d-6166eeb7ec8a,Aletia Timmons,Democratic,97,lower,Aletia,Timmons
ocd-person/0e3e261d-437a-4e04-8328-70adb16c82d9,Ally Seifried,Republican,2,upper,Ally,Seifried
ocd-person/8dac97e3-d74f-4f58-bb7d-83412600975f,Amanda Clinton,Democratic,71,lower,Amanda,Clinton
ocd-person/987fd457-5b14-4300-95f1-e92f7cd5f748,Andy Fugate,Democratic,94,lower,Andy,Fugate
ocd-person/3a5828d9-b8bf-491c-adfe-19f5331d1e20,Annie Menz,Democratic,45,lower,Annie,Menz
ocd-person/c1f71291-89c1-4109-a15c-2483743d333a,Anthony Moore,Republican,57,lower,Anthony,Moore
ocd-person/4d0b52d3-ad1f-45c9-b46e-3676194ef82c,Arturo Alonso,Democratic,89,lower,Arturo,Alonso
ocd-person/f2bc8c9d-050a-4531-84eb-1f233ad7042a,Avery Frix,Republican,9,upper,Avery,Frix
ocd-person/446468ba-e7a8-49ff-8edc-e9f96da9d613,Bill Coleman,Republican,10,upper,Bill,Coleman
ocd-person/246cfe54-edbd-4844-9bdc-0213c4b501e9,Bob Culver,Republican,4,lower,Bob,Culver
ocd-person/be4edaae-b522-4ce0-bc1d-98b813424f57,Brad Boles,Republican,51,lower,Brad,Boles
ocd-person/55b572a7-2951-4597-b70c-e37b51163b03,Brenda Stanley,Republican,42,upper,Brenda,Stanley
ocd-person/bc85e399-f4bc-4690-b34b-685e15242904,Brent Howard,Republican,38,upper,Brent,Howard
ocd-person/19a4841c-4571-4803-8f5d-262f664fb31a,Brian Guthrie,Republican,25,upper,Brian,Guthrie
ocd-person/03af3716-0ac4-49f5-b25a-ff757420d87d,Brian Hill,Republican,47,lower,Brian,Hill
ocd-person/a3c36ebe-151f-4632-ab04-31963f55f9d8,Bryan Logan,Republican,8,upper,Bryan,Logan
ocd-person/6cfaac2f-52af-4aad-8ec4-6373bb45bf24,Carl Newton,Republican,58,lower,Carl,Newton
ocd-person/6ecf8a12-033a-41da-9b5f-3fbcf41f4841,Carri Hicks,Democratic,40,upper,Carri,Hicks
ocd-person/8c8517c3-75ee-4b27-8d8c-3444c036ba78,Casey Murdock,Republican,27,upper,Casey,Murdock
ocd-person/c5909558-d02d-438e-9c0c-50eb8c88f862,Chad Caldwell,Republican,40,lower,Chad,Caldwell
ocd-person/442374ea-1ad4-4793-bdbc-a5db81a1d219,Chris Banning,Republican,24,lower,Chris,Banning
ocd-person/5b2d71b9-21c7-4291-ac09-e2840fee2919,Chris Kannady,Republican,91,lower,Chris,Kannady
ocd-person/f4d5b128-a016-4eda-b6c6-e298fe29bc29,Chris Sneed,Republican,14,lower,Chris,Sneed
ocd-person/b8b4337f-5741-4fad-bcf3-38c526cf6c5a,Christi Gillespie,Republican,33,upper,Christi,Gillespie
ocd-person/95f06268-cdfb-463b-aa2e-fb789fbc97c4,Chuck Hall,Republican,20,upper,Chuck,Hall
ocd-person/82e04ad9-64c8-4439-9853-cbc3e273d637,Clay Staires,Republican,66,lower,Clay,Staires
ocd-person/17d5c3a4-a468-4aca-b58c-314605214857,Cody Maynard,Republican,21,lower,Cody,Maynard
ocd-person/0cffa048-1b45-4609-a1b6-9e741ca1948c,Collin Duel,Republican,31,lower,Collin,Duel
ocd-person/f9153735-938a-418b-ac4f-6881904861ac,Cyndi Munson,Democratic,85,lower,Cyndi,Munson
ocd-person/382dfd67-bd2a-4271-bb79-62fe045102ea,Cindy Roe,Republican,42,lower,Cindy,Roe
ocd-person/74fd77d2-ffa9-42cd-9849-0b64464bcc6f,Dana Prieto,Republican,34,upper,Dana,Prieto
ocd-person/62d0d568-33cf-4ec6-b90e-5c2b45be82ba,Daniel Pae,Republican,62,lower,Daniel,Pae
ocd-person/61966500-f9d7-4f45-ad6b-761d6d839036,Danny Sterling,Republican,27,lower,Danny,Sterling
ocd-person/db2c481d-6dc5-455e-905c-2daac4bbc631,Danny Williams,Republican,28,lower,Danny,Williams
ocd-person/7143be5e-df9e-40ad-8591-dd4c9ea51261,Darcy Jech,Republican,26,upper,Darcy,Jech
ocd-person/bea1fd3e-9a8e-4cd6-bdb8-abedd9f8a888,Darrell Weaver,Republican,24,upper,Darrell,Weaver
ocd-person/3714523f-ea6d-4bd5-a801-1397dd508208,Dave Rader,Republican,39,upper,Dave,Rader
ocd-person/f7e51701-fb8a-4d48-8f61-951096c0c76d,David Bullard,Republican,6,upper,David,Bullard
ocd-person/b2857b06-9290-4141-9bc4-2a105bc51ce8,David Hardin,Republican,86,lower,David,Hardin
ocd-person/84087e63-a192-4be6-9367-64b2c93a2dcc,David Smith,Republican,18,lower,David,Smith
ocd-person/4d473c48-88f9-495a-a8da-b8e2d0310280,Dell Kerbs,Republican,26,lower,Dell,Kerbs
ocd-person/e825fe1a-a46d-4a07-b9e4-c9e82e357c90,Denise Crosswhite Hader,Republican,41,lower,Denise,Crosswhite Hader
ocd-person/a7eb5f03-0a2a-4235-b2f8-b4983e1a8cf2,Derrick Hildebrant,Republican,23,lower,Derrick,Hildebrant
ocd-person/dc094bcd-66c1-47f4-b9b0-94272636a7fe,Dick Lowe,Republican,56,lower,Dick,Lowe
ocd-person/14d6a46d-124c-4274-ae72-bfe5541a4a0a,Dillon Travis,Republican,35,lower,Dillon,Travis
ocd-person/56666b37-2788-433a-9c32-19af826613e4,Dusty Deevers,Republican,32,upper,Dusty,Deevers
ocd-person/d93c695c-f9d6-4f97-b92e-73249f89545a,Eddy Dempsey,Republican,1,lower,Eddy,Dempsey
