id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/8a65569e-4ed6-4952-86b8-d499bcbf1cae,Alek Skarlatos,Republican,4,lower,Alek,Skarlatos
ocd-person/3efec526-6660-45fa-9a10-b02716b2a779,Andrea Valderrama,Democratic,47,lower,Andrea,Valderrama
ocd-person/a22ec130-3ba7-4304-9e6f-3a950b8454cb,Anna Scharf,Republican,23,lower,Anna,Scharf
ocd-person/7a36fd6a-105a-44b3-b7e3-b3447979db49,Annessa Hartman,Democratic,40,lower,Annessa,Hartman
ocd-person/305e1426-2193-4e49-accf-6b26d224e92b,Anthony Broadman,Democratic,27,upper,Anthony,Broadman
ocd-person/571be1bf-e0ba-45a3-97be-d5df3bc98738,April Dobson,Democratic,39,lower,April,Dobson
ocd-person/a19e8e1f-4859-4d05-8dc7-6f0a352c0757,Ben Bowman,Democratic,25,lower,Ben,Bowman
ocd-person/4c9f2660-6dd3-49f5-a503-6fe5bc5c7787,Bobby Levy,Republican,58,lower,Bobby,Levy
ocd-person/a95c31b3-9bfa-4ab1-93d1-278082ead92a,Boomer Wright,Republican,9,lower,Boomer,Wright
ocd-person/e420fffb-7b56-42db-8cc4-531526ad6802,Bruce Starr,Republican,12,upper,Bruce,Starr
ocd-person/95da50da-34df-41f5-8900-ff8bec038272,Cedric Hayden,Republican,6,upper,Cedric,Hayden
ocd-person/d5d3b10e-9a5c-464a-93ad-bd824af1cbc0,Chris Gorsek,Democratic,25,upper,Chris,Gorsek
ocd-person/9c7dcacb-50b9-4338-924b-cf6d333dc43a,Christine Drazan,Republican,26,upper,Christine,Drazan
ocd-person/aa0eac5e-9089-4c72-8edb-4493e1c4a0ad,Court Boice,Republican,1,lower,Court,Boice
ocd-person/2bf5a8ca-cadb-4544-89e2-749f13673599,Courtney Neron Misslin,Democratic,13,upper,Courtney,Neron Misslin
ocd-person/1b0e1c41-4914-4f3d-8a49-fd11a019526a,Cyrus Javadi,Democratic,32,lower,Cyrus,Javadi
ocd-person/f08a3b2f-8e56-41e4-bf5f-84a43fd5aab5,Dacia Grayber,Democratic,28,lower,Dacia,Grayber
ocd-person/4b30682c-7833-4375-815b-2412cb9c61c7,Daniel Nguyen,Democratic,38,lower,Daniel,Nguyen
ocd-person/e8deb6b6-9cd0-498d-9422-81d731972da5,Darcey Edwards,Republican,31,lower,Darcey,Edwards
ocd-person/69c394b0-4299-4776-82aa-f847907f5308,Darin Harbick,Republican,12,lower,Darin,Harbick
ocd-person/26a734f0-51f9-4959-a213-bc345c1050ec,David Smith,Republican,1,upper,David,Smith
ocd-person/db52dfee-b099-4ec9-800c-075d09710ca6,David Gomberg,Democratic,10,lower,David,Gomberg
ocd-person/6c867cbf-9d0b-4dd8-9537-55e834a42dc4,Deb Patterson,Democratic,10,upper,Deb,Patterson
ocd-person/5ab0368e-6434-46c6-a7f4-7ee34b596fd1,Diane Linthicum,Republican,28,upper,Diane,Linthicum
ocd-person/5e28a30c-5ca9-4221-a331-9321267fbae6,Dick Anderson,Republican,5,upper,Dick,Anderson
ocd-person/497f7e2e-b1d8-4803-8fb8-22dc045bc0b0,Dwayne Yunker,Republican,3,lower,Dwayne,Yunker
ocd-person/709441c1-d716-47bc-8ac6-353abb1e039e,Werner Reschke,Republican,55,lower,Werner,Reschke
ocd-person/fa290a38-0cea-4dc8-a981-33ee4ff341f4,Ed Diehl,Republican,17,lower,Ed,Diehl
ocd-person/2be8d7ed-5767-4a67-a5e9-b519691c14ef,Em Levy,Democratic,53,lower,Em,Levy
ocd-person/2ef0c138-ff50-4a2b-9914-1a5edb506b49,Emily McIntire,Republican,56,lower,Emily,McIntire
ocd-person/bec9a2c9-a77c-4ac9-b649-2a7360a5c0ad,Farrah Chaichi,Democratic,35,lower,Farrah,Chaichi
ocd-person/a36ed400-bbdd-4053-9ae4-576ba52e95ca,Floyd Prozanski,Democratic,4,upper,Floyd,Prozanski
ocd-person/aba97bd3-cdf6-4860-9b2c-cbd62e825e79,Fred Girod,Republican,9,upper,Fred,Girod
ocd-person/72dc94e8-e5d5-4376-aab5-06f6b3a771c7,Greg Smith,Republican,57,lower,Greg,Smith
ocd-person/a13db125-e6e2-4621-a1a7-7de714796b90,Hai Pham,Democratic,36,lower,Hai,Pham
ocd-person/f1be7436-8ea5-48b2-8997-53dd566633b9,James Manning,Democratic,7,upper,James,Manning
ocd-person/e0ac3b1f-565d-4766-b83d-3f08d6c0116b,Jami Cate,Republican,11,lower,Jami,Cate
ocd-person/9d3f5669-f452-4926-91ec-a74a4c4a48e5,Janeen Sollman,Democratic,15,upper,Janeen,Sollman
ocd-person/47e270fe-abc4-4f5d-9bad-2b7979442f5d,Jason Kropf,Democratic,54,lower,Jason,Kropf
ocd-person/0240017c-38e7-45da-8841-c40b007965dc,Jeff Golden,Democratic,3,upper,Jeff,Golden
ocd-person/936e2bdf-97c6-4297-80e7-faef3bb2e3d7,Jeff Helfrich,Republican,52,lower,Jeff,Helfrich
ocd-person/13afc78a-1028-462e-8f98-6df3f7f028d5,John Lively,Democratic,7,lower,John,Lively
ocd-person/55ecfa8d-e89f-4a7b-af2d-6822f1025607,Jules Walters,Democratic,37,lower,Jules,Walters
ocd-person/b523dd9a-d913-4a8e-95e2-c546016f2b1a,Julie Fahey,Democratic,14,lower,Julie,Fahey
ocd-person/cc87cb36-e12e-42e1-ac5e-c2d50e1d2018,Kate Lieber,Democratic,14,upper,Kate,Lieber
ocd-person/97c2b8fd-9e87-43b7-b202-6541af36bab7,Kathleen Taylor,Democratic,21,upper,Kathleen,Taylor
ocd-person/7532bf1f-c85e-4683-a401-ca87af088e5e,Kayse Jama,Democratic,24,upper,Kayse,Jama
ocd-person/3770e09c-3492-4388-8047-e3dc83f026f3,Ken Helm,Democratic,27,lower,Ken,Helm
ocd-person/af99b8a9-452f-44e0-8404-83dfe05dbfd7,Kevin Mannix,Republican,21,lower,Kevin,Mannix
ocd-person/3b7edee5-fb20-48d2-98db-541721e24e65,Khanh Pham,Democratic,23,upper,Khanh,Pham
ocd-person/5947e2cd-aa8b-4df1-869f-961357705a3c,Kim Thatcher,Republican,11,upper,Kim,Thatcher
ocd-person/a2e34475-ba6f-41af-bf61-83c7160d6c10,Kim Wallan,Republican,6,lower,Kim,Wallan
ocd-person/c4974690-b877-4f28-a731-a29fdbd811c4,Lamar Wise,Democratic,48,lower,Lamar,Wise
ocd-person/d452f3a7-efea-4ae5-8765-cbd5533462f2,Lesly Muñoz,Democratic/Working Families,22,lower,Lesly,Muñoz
ocd-person/2256d4a8-f19b-4e1d-ba35-771cc0349b0b,Lew Frederick,Democratic,22,upper,Lew,Frederick
ocd-person/d75fd48f-fff7-4ccb-a46e-93854b4de3eb,Lisa Fragala,Democratic,8,lower,Lisa,Fragala
ocd-person/53afaba4-8ddc-4784-87c3-aaede576ac44,Lisa Reynolds,Democratic,17,upper,Lisa,Reynolds
ocd-person/20f31b04-63fd-45a8-8075-5e6e1beae485,Lucetta Elmer,Republican,24,lower,Lucetta,Elmer
ocd-person/2b313ed5-ef42-4c8f-ae67-5dbac7346118,Mari Watanabe,Democratic,34,lower,Mari,Watanabe
ocd-person/6adb2361-6526-450f-b2b1-e9f32311ca7d,Mark Gamba,Democratic,41,lower,Mark,Gamba
ocd-person/d6379fd3-d283-4c6e-864b-7dca170b593d,Mark Meek,Democratic,20,upper,Mark,Meek
ocd-person/f73d5af2-f2b6-47d0-a55a-84ac528343ff,Mark Owens,Republican,60,lower,Mark,Owens
ocd-person/fe73a3b7-97cd-43cc-bf41-26a952a9ee8f,Matt Bunch,Republican,51,lower,Matt,Bunch
ocd-person/f0091fb4-4207-4663-be23-7c9e77994048,Mike McLane,Republican,30,upper,Mike,McLane
ocd-person/dd5774a0-d6fe-44cc-86b3-b197225666eb,Nancy Nathanson,Democratic,13,lower,Nancy,Nathanson
ocd-person/5615af6a-5232-45e0-b85b-bcb41e08391e,Nathan Sosa,Democratic,30,lower,Nathan,Sosa
ocd-person/15862ba2-3cdd-4a2e-a22e-28acdea73055,Noah Robinson,Republican,2,upper,Noah,Robinson
ocd-person/ec643441-bffe-4f43-80a4-ab834ae0f1bd,Pam Marsh,Democratic,5,lower,Pam,Marsh
ocd-person/8334f7e1-d712-44b4-8570-d0d0a6d131d3,Paul Evans,Democratic,20,lower,Paul,Evans
ocd-person/dc371425-a173-439f-903c-6e2e3fd145cd,Rick Lewis,Republican,18,lower,Rick,Lewis
ocd-person/fce6eed7-4438-4f31-b47a-ee054c28d4f7,Ricki Ruiz,Democratic,50,lower,Ricki,Ruiz
ocd-person/2aa7ebf4-d8a7-42c6-8e20-1edef58aa545,Rob Nosse,Democratic,42,lower,Rob,Nosse
ocd-person/e40f7f2c-4c6a-4064-9fde-e6b380dde2aa,Rob Wagner,Democratic,19,upper,Rob,Wagner
ocd-person/10b42647-1509-4e86-9155-4622c2d17315,Sara Gelser Blouin,Democratic,8,upper,Sara,Gelser Blouin
ocd-person/77cbf3a1-387e-424d-87fc-51a46d770921,Sarah McDonald,Democratic,16,lower,Sarah,McDonald
ocd-person/4a77ea61-457a-4111-bd2e-f2ee054ab4dc,Shannon Isadore,Democratic,33,lower,Shannon,Isadore
ocd-person/52af68c5-c141-4e35-912b-11d71b83af33,Shelly Davis,Republican,15,lower,Shelly,Davis
ocd-person/0f296591-6b7e-40b0-8a92-9198dd72bd7e,Sue Rieke Smith,Democratic,26,lower,Sue,Rieke Smith
ocd-person/62f98553-cc00-497f-ac14-97e0fc0e62c2,Susan McLain,Democratic,29,lower,Susan,McLain
ocd-person/835d23bd-afb1-4e82-93c4-4b1b1822aeb4,Suzanne Weber,Republican,16,upper,Suzanne,Weber
ocd-person/c138ec96-0a6f-4dee-be06-be286b68cfbb,Tawna Sanchez,Democratic,43,lower,Tawna,Sanchez
ocd-person/52058824-2f35-4f6b-877f-d48301bd99a0,Thuy Tran,Democratic,45,lower,Thuy,Tran
ocd-person/66c4922d-6b7e-4636-85a4-565e812df7a2,Todd Nash,Republican,29,upper,Todd,Nash
ocd-person/4d850bbf-df69-4431-bad6-9444c63d4f0c,Tom Andersen,Democratic,19,lower,Tom,Andersen
ocd-person/e2a96554-b503-4aad-856c-84266386e957,Travis Nelson,Democratic,44,lower,Travis,Nelson
ocd-person/a3140c7f-befe-4b83-bc54-1451b5fe00f5,Vikki Breese Iverson,Republican,59,lower,Vikki,Breese Iverson
ocd-person/f5938046-4558-441b-9e63-6bff0e114bf4,Virgle Osborne,Republican,2,lower,Virgle,Osborne
ocd-person/21e83410-a7f5-43f1-a4ef-7cdc1d41c6b6,Willy Chotzen,Democratic,46,lower,Willy,Chotzen
ocd-person/72027f00-3e3c-47c7-ab62-cc89ebb1ed72,Wlnsvey Campos,Democratic,18,upper,Wlnsvey,Campos
ocd-person/83bbae41-6ba0-477e-a584-8ad7df1283d8,Zach Hudson,Democratic,49,lower,Zach,Hudson
