id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/d50dfedb-f016-4447-a258-a284a09cf36a,Ada Álvarez Conde,Partido Popular Democrático,At-Large,upper,Ada,Álvarez Conde
ocd-person/79ca9f1f-7684-470f-8590-a287e2240846,Adriana Gutiérrez Colón,Partido Independentista Puertorriqueño,At-Large,lower,Adriana,Gutiérrez Colón
ocd-person/f7c9b956-aed6-4512-9a3b-beb697170bb0,Adrián González Costa,Partido Independentista Puertorriqueño,At-Large,upper,Adrián,González Costa
ocd-person/eae57c88-a659-4dab-86bb-874c4d5ec8b7,Brenda Pérez Soto,Partido Nuevo Progresista,3,upper,Brenda,Pérez Soto
ocd-person/668ff3c6-68b5-4c95-b982-a03fd9c8b1a3,Johnny Méndez Núñez,Partido Nuevo Progresista,36,lower,Johnny,Méndez Núñez
ocd-person/bb7a8a74-faec-492d-87f7-a7e8d3c11ac3,Carmelo Ríos Santiago,Partido Nuevo Progresista,2,upper,Carmelo,Ríos Santiago
ocd-person/10eb7d99-1165-4a62-9972-f6dad97b4979,Carmen Medina Calderón,Partido Nuevo Progresista,37,lower,Carmen,Medina Calderón
ocd-person/77ab4f8e-7665-428c-beb8-e10a0ff913ed,Chino Ocasio,Partido Nuevo Progresista,2,lower,Chino,Ocasio
ocd-person/6dca879a-0c66-4642-90ea-3a8fc892b0d6,Chino Roque,Partido Nuevo Progresista,28,lower,Chino,Roque
ocd-person/6535f2df-5ecc-488b-bac4-6cb4126da9fc,Christian Muriel,Partido Nuevo Progresista,34,lower,Christian,Muriel
ocd-person/dee6d0ff-ee3c-429c-bfa4-6b255acd8472,Denis Márquez,Partido Independentista Puertorriqueño,At-Large,lower,Denis,Márquez
ocd-person/0bb123e5-c41d-4fb4-a6ee-7efb453d245a,Domingo Torres García,Partido Popular Democrático,25,lower,Domingo,Torres García
ocd-person/929bc23b-ebba-42aa-8335-7ddca4fef705,Eddie Charbonier,Partido Nuevo Progresista,1,lower,Eddie,Charbonier
ocd-person/597b56bd-1d81-49d1-89e4-133f75d6fa17,Edgar Robles,Partido Nuevo Progresista,14,lower,Edgar,Robles
ocd-person/43fcbc03-037f-4ecf-916f-6a5925692a79,Edgardo Feliciano,Partido Popular Democrático,12,lower,Edgardo,Feliciano
ocd-person/e747a8b3-a7e3-4f4e-afea-2dccd3ab0bdf,Eliezer Molina,Independent,At-Large,upper,Eliezer,Molina
ocd-person/a489c6db-1a98-4ed2-b951-8611ca9c2d36,Elinette González Aguayo,Partido Nuevo Progresista,11,lower,Elinette,González Aguayo
ocd-person/f65881be-58b6-45b2-b513-f2ccdb8831b4,Emilio Carlo,Partido Nuevo Progresista,20,lower,Emilio,Carlo
ocd-person/40c49980-211e-4cf8-8ea1-3c6214989f9e,Ensol Rodríguez,Partido Nuevo Progresista,23,lower,Ensol,Rodríguez
ocd-person/a5b90d78-5c49-42e3-bc1c-44e6bb6cb85d,Estrella Martínez Soto,Partido Popular Democrático,27,lower,Estrella,Martínez Soto
ocd-person/450e6fce-57c0-4a19-8162-f2977725d05c,Fernando Sanabria Colón,Partido Nuevo Progresista,30,lower,Fernando,Sanabria Colón
ocd-person/ce3e5122-1c25-4375-84c8-0fe094dbf779,Félix Pacheco,Partido Nuevo Progresista,9,lower,Félix,Pacheco
ocd-person/3916fe08-dc43-497a-a286-ffafc0b5776b,Gabriel Rodríguez Aguiló,Partido Nuevo Progresista,At-Large,lower,Gabriel,Rodríguez Aguiló
ocd-person/0a3a6a9f-8f7d-4a19-8abb-098ca272de6d,Gaby González,Partido Nuevo Progresista,3,upper,Gaby,González
ocd-person/beb1660c-fd16-4f3b-851f-1b6f40bdd62d,Gregorio Matías,Partido Nuevo Progresista,At-Large,upper,Gregorio,Matías
ocd-person/76dae9be-424c-4da4-bf9f-9842fd3da06f,Gretchen Hau,Partido Popular Democrático,29,lower,Gretchen,Hau
ocd-person/0c318d9b-2b74-42c7-8ec2-7c89ee41955e,Héctor Ferrer,Partido Popular Democrático,At-Large,lower,Héctor,Ferrer
ocd-person/38f02868-abca-42a6-8974-141a820343ee,Héctor Sánchez Álvarez,Partido Nuevo Progresista,8,upper,Héctor,Sánchez Álvarez
ocd-person/30c2fbb8-324f-4b30-a42c-7b3a8768bd9b,Jamie Barlucea,Partido Nuevo Progresista,5,upper,Jamie,Barlucea
ocd-person/aa4617e5-244d-4811-a2cf-6be1ca7f53f1,Javy Hernández Ortiz,Partido Popular Democrático,At-Large,upper,Javy,Hernández Ortiz
ocd-person/ca136080-4ad6-482c-b2dd-c2ad8c2d2824,Jeison Rosa,Partido Nuevo Progresista,4,upper,Jeison,Rosa
ocd-person/452f8ea2-8d7e-453f-abb7-4a978e81c480,Jerry Nieves,Partido Nuevo Progresista,13,lower,Jerry,Nieves
ocd-person/a67879ee-0450-4270-a99f-d186bed3f783,Joanne Rodríguez Veve,Independent,At-Large,upper,Joanne,Rodríguez Veve
ocd-person/5bc0f1ac-d5bf-4915-be70-fec1a6693174,Joel Franqui Atiles,Partido Nuevo Progresista,15,lower,Joel,Franqui Atiles
ocd-person/4b21c0ef-0e24-4e2a-92d4-5828b8d8b904,Joito Colón,Partido Nuevo Progresista,22,lower,Joito,Colón
ocd-person/4243af78-477d-4221-ad97-b22e662e86d5,Jorge Navarro Suárez,Partido Nuevo Progresista,5,lower,Jorge,Navarro Suárez
ocd-person/1ca4e7f3-fe25-4412-abe0-eba62eda6d1a,Pichy Torres Zamora,Partido Nuevo Progresista,At-Large,lower,Pichy,Torres Zamora
ocd-person/2cdd7282-81fe-4c07-b50a-b162a16c4918,José Aponte Hernández,Partido Nuevo Progresista,At-Large,lower,José,Aponte Hernández
ocd-person/65f91ca5-2401-4bd4-b146-79b08b12fad6,José Pérez Cordero,Partido Nuevo Progresista,At-Large,lower,José,Pérez Cordero
ocd-person/6f8348ec-b184-4c8d-b0dc-d82ef8dcb566,José Dalmau Santiago,Partido Popular Democrático,At-Large,upper,José,Dalmau Santiago
ocd-person/a6de4da4-59cb-4214-8753-8b92683f3df4,Conny Varela,Partido Popular Democrático,32,lower,Conny,Varela
ocd-person/8cd266da-71f0-4b96-aa14-d88569c76176,Cheíto Hernández,Partido Nuevo Progresista,3,lower,Cheíto,Hernández
ocd-person/ba0efd41-f7ff-4830-8068-054f40e2b650,Josean Jiménez,Partido Nuevo Progresista,26,lower,Josean,Jiménez
ocd-person/866332b6-4391-4b1c-b232-891a97013fe8,Josian Santiago Rivera,Partido Popular Democrático,At-Large,upper,Josian,Santiago Rivera
ocd-person/99800ecf-b7d7-43f5-ace4-53a770ee77eb,Juan Oscar Morales,Partido Nuevo Progresista,1,upper,Juan Oscar,Morales
ocd-person/f90e073c-bfbb-4695-8a4c-527aa46c54c5,Karen Román,Partido Nuevo Progresista,4,upper,Karen,Román
ocd-person/71cb1a9e-7449-4695-bec5-1f0349ad2e2c,Lilly Rosas,Partido Popular Democrático,19,lower,Lilly,Rosas
ocd-person/05dee06f-a941-43cc-a4ce-fef9f3132784,Lisie Burgos,Proyecto Dignidad,At-Large,lower,Lisie,Burgos
ocd-person/1e6e8976-02d1-40e4-a3f7-d3eab8222e81,Luis Daniel Colón La Santa,Partido Nuevo Progresista,7,upper,Luis Daniel,Colón La Santa
ocd-person/76b29cd3-7c7d-4362-90f3-0067ece6bdca,Luis Pérez,Partido Nuevo Progresista,7,lower,Luis,Pérez
ocd-person/6978a4c8-ae95-48f2-aa28-0013484df43e,Lourdes Ramos,Partido Nuevo Progresista,At-Large,lower,Lourdes,Ramos
ocd-person/f583f4dd-fabe-4211-a565-657f7e690f2c,María de Lourdes Santiago Negrón,Partido Independentista Puertorriqueño,At-Large,upper,María de Lourdes,Santiago Negrón
ocd-person/dd5cfa44-9cb3-414b-a780-ea182b4fe217,Marially González,Partido Popular Democrático,5,upper,Marially,González
ocd-person/9a9ebf96-43e3-41b9-976c-ffed31f5c0ec,Marissa Jiménez,Partido Nuevo Progresista,8,upper,Marissa,Jiménez
ocd-person/b451e173-36b4-4664-ada7-ac5057ef8c9f,Migdalia Padilla Alvelo,Partido Nuevo Progresista,2,upper,Migdalia,Padilla Alvelo
ocd-person/22c8262b-8cd8-4cd9-a362-0cef505e9fed,Nelie Lebrón Robles,Partido Independentista Puertorriqueño,At-Large,lower,Nelie,Lebrón Robles
ocd-person/02d88e4b-3717-43c5-b7fd-14e6a2224043,Nitza Morán,Partido Nuevo Progresista,1,upper,Nitza,Morán
ocd-person/26bc7931-4a5f-4f37-b79d-c050a4e2545a,Odalys González,Partido Nuevo Progresista,18,lower,Odalys,González
ocd-person/62f8c6d0-e7cd-4dd9-b1b2-ddf97cb5aa1a,Omayra Martínez,Partido Nuevo Progresista,21,lower,Omayra,Martínez
ocd-person/20b86a02-63a8-4bd4-baa2-3995871599ce,Pellé Santiago,Partido Nuevo Progresista,10,lower,Pellé,Santiago
ocd-person/ff8811ce-21b5-48db-a7cb-da94f0953105,Rafy Santos,Partido Nuevo Progresista,6,upper,Rafy,Santos
ocd-person/ae89b237-98e6-4b4c-abb4-f0ba928ccd1e,Ramón Torres,Partido Popular Democrático,At-Large,lower,Ramón,Torres
ocd-person/0c0dc0a3-60fa-4993-a93e-01c376346c79,Rey Figueroa,Partido Popular Democrático,16,lower,Rey,Figueroa
ocd-person/0dea759e-0b22-47bf-b3d1-2587d075dbf8,Roberto López,Partido Nuevo Progresista,31,lower,Roberto,López
ocd-person/c93982f8-324b-4201-9666-92f60f890817,Roberto Rivera Ruiz de Porras,Partido Popular Democrático,39,lower,Roberto,Rivera Ruiz de Porras
ocd-person/39c6f652-f65f-44c9-8440-58ae7128af99,Roxanna Soto Aguilú,Partido Nuevo Progresista,At-Large,upper,Roxanna,Soto Aguilú
ocd-person/083b3bfe-e8be-4402-a644-814e7113d28f,Sergio Estévez,Partido Nuevo Progresista,40,lower,Sergio,Estévez
ocd-person/18257138-221f-4901-89d3-948b5c914950,Sol Higgins,Partido Popular Democrático,35,lower,Sol,Higgins
ocd-person/7ca1f9cc-27d4-4fea-a2e5-ab1951065143,Swanny Vargas Laureano,Partido Popular Democrático,At-Large,lower,Swanny,Vargas Laureano
ocd-person/7a942bff-5989-4f9c-863e-0c30a5560ab8,Tatiana Pérez Ramírez,Partido Nuevo Progresista,At-Large,lower,Tatiana,Pérez Ramírez
ocd-person/3caf98b9-5210-45ab-bbde-794edfc41451,Thomas Rivera Schatz,Partido Nuevo Progresista,At-Large,upper,Thomas,Rivera Schatz
ocd-person/90109872-9f06-48fb-8118-25453deb69c7,Víctor Parés,Partido Nuevo Progresista,4,lower,Víctor,Parés
ocd-person/ebbc5719-4209-4c46-9ae5-19f0753e1259,Wanda Del Valle Correa,Partido Nuevo Progresista,38,lower,Wanda,Del Valle Correa
ocd-person/7b837260-0288-4b92-823e-1c07dc2f49d3,Wandy Soto,Partido Popular Democrático,7,upper,Wandy,Soto
ocd-person/eeb0f90f-4d9f-439a-840f-9340a4c9edae,Wilmer Reyes Berríos,Partido Nuevo Progresista,6,upper,Wilmer,Reyes Berríos
ocd-person/a8c74dd2-a9e8-44f3-9398-4b8b08f2f064,Wilson Román,Partido Nuevo Progresista,17,lower,Wilson,Román
ocd-person/8d832fa0-e534-4a0e-ad30-0251f23c8ae5,Yashira Lebrón,Partido Nuevo Progresista,8,lower,Yashira,Lebrón
ocd-person/4c98369a-5291-4b17-90da-e967d5d92657,Ángel Fourquet,Partido Popular Democrático,24,lower,Ángel,Fourquet
ocd-person/e99c49b9-28da-46d9-9f6e-4c2ea65162a4,Ángel Morey Noble,Partido Nuevo Progresista,6,lower,Ángel,Morey Noble
ocd-person/d32dffc7-d1f4-41fe-80a5-f1581d34d090,Ángel Peña Ramírez,Partido Nuevo Progresista,33,lower,Ángel,Peña Ramírez
ocd-person/ab4e4bba-4cbb-4508-a34c-203d1b18bd02,Ángel Toledo López,Partido Nuevo Progresista,At-Large,upper,Ángel,Toledo López
