id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/9dbec823-aab4-40bb-a26a-e51a896dcc1f,Alana DiMario,Democratic,36,upper,Alana,DiMario
ocd-person/7769ff96-3f6e-4747-b14b-de0a8648af61,Alex Marszalkowski,Democratic,52,lower,Alex,Marszalkowski
ocd-person/202a1def-abb3-4f77-8ef1-5c453d2d5423,Alex Finkelman,Democratic,74,lower,Alex,Finkelman
ocd-person/a857e27b-7ced-43ad-bd08-a954e5f781ac,Ana Quezada,Democratic,2,upper,Ana,Quezada
ocd-person/89fadd1c-b02c-45aa-b008-bf31d3fea4a1,Andrew Dimitri,Democratic,25,upper,Andrew,Dimitri
ocd-person/b9359c6a-fbb2-4165-af9b-a6c63290d851,Anthony DeSimone,Democratic,5,lower,Anthony,DeSimone
ocd-person/6d4c7be7-4e68-4aa1-9262-81995fcc231e,Arthur Handy,Democratic,18,lower,Arthur,Handy
ocd-person/6cb1ca03-2ea8-4ee8-9ecb-faa37f4c5966,Doc Corvese,Democratic,55,lower,Doc,Corvese
ocd-person/6ddaaa6f-48c9-468e-a744-714728251586,Brandon Potter,Democratic,16,lower,Brandon,Potter
ocd-person/f0206346-2c07-4316-a556-cee7fe595e9a,Brandon Voas,Democratic,57,lower,Brandon,Voas
ocd-person/397f8729-c37c-4882-af7e-d7235e9f06f2,Brian Newberry,Republican,48,lower,Brian,Newberry
ocd-person/632b3bf0-a3f8-4c0d-9818-d03c861318dc,Brian Kennedy,Democratic,38,lower,Brian,Kennedy
ocd-person/177cd512-2835-4b9b-b77c-60fe178ec26e,Brian Thompson,Democratic,20,upper,Brian,Thompson
ocd-person/80931d0d-c52e-492a-8b92-c191aa00c03f,Bridget Valverde,Democratic,35,upper,Bridget,Valverde
ocd-person/7daab32c-5d7f-4db2-b141-026d3595f69f,Carol McEntee,Democratic,33,lower,Carol,McEntee
ocd-person/8fad7738-c303-432e-9442-ce2b6dfe87e5,Charlene Lima,Democratic,14,lower,Charlene,Lima
ocd-person/386a8117-95b5-441f-91d0-665effac1af4,Cherie Cruz,Democratic,58,lower,Cherie,Cruz
ocd-person/4f6ac85b-f69f-4916-beaf-a30087ba1214,Chris Paplauskas,Republican,15,lower,Chris,Paplauskas
ocd-person/a9ba95ac-22f3-4aeb-8fdd-eb236675d8d4,Chris Blazejewski,Democratic,2,lower,Chris,Blazejewski
ocd-person/b12f1651-fc9e-440c-9bc3-ff326505cca4,David Bennett,Democratic,20,lower,David,Bennett
ocd-person/785df766-de25-496b-a823-e4ad64c462cb,David Place,Republican,47,lower,David,Place
ocd-person/75bd1298-3fc9-42cc-87c6-23bdc20a7b56,David Morales,Democratic,7,lower,David,Morales
ocd-person/63bb0194-1993-4149-b39d-23f229c3040e,David Tikoian,Democratic,22,upper,David,Tikoian
ocd-person/b747e057-fdd2-480a-beb9-c4ef37ae1e12,Dawn Euer,Democratic,13,upper,Dawn,Euer
ocd-person/3efcf2f9-f7f8-4441-9ec7-4f6d8c17940f,Deb Fellela,Democratic,43,lower,Deb,Fellela
ocd-person/0065fe7b-08cf-4d17-b358-c0c04ab45616,Dick Fascia,Republican,42,lower,Dick,Fascia
ocd-person/6e9979b1-f131-4d71-8146-71f10bd06e57,Earl Read,Democratic,26,lower,Earl,Read
ocd-person/e073b501-75f0-4fc6-9e61-392b9931f070,Edith Ajello,Democratic,1,lower,Edith,Ajello
ocd-person/6913b936-2e96-414a-80d6-6518f5accb7e,Elaine Morgan,Republican,34,upper,Elaine,Morgan
ocd-person/e70e3449-7587-4a64-a940-922d543f5a2d,Enrique Sanchez,Democratic,9,lower,Enrique,Sanchez
ocd-person/c5f9a1f5-502b-41b6-8848-bfa359b1bad9,Evan Shanley,Democratic,24,lower,Evan,Shanley
ocd-person/d688b16c-5bf2-41df-b1c9-e8c5de7e437c,Frank Ciccone,Democratic,7,upper,Frank,Ciccone
ocd-person/5d976bb8-2481-45d2-bae9-df4b565d9526,George Nardone,Republican,28,lower,George,Nardone
ocd-person/961061c2-4ce9-4ac4-85c4-28b20c800e9d,Gordon Rogers,Republican,21,upper,Gordon,Rogers
ocd-person/44424388-03a6-452b-992b-3c082949f62f,Grace Diaz,Democratic,11,lower,Grace,Diaz
ocd-person/4b45cbc5-99f3-4a08-a154-cac0cc90ae1a,Greg Costantino,Democratic,44,lower,Greg,Costantino
ocd-person/75750ad6-0bec-4d81-8561-85036c0d99df,Hanna Gallo,Democratic,27,upper,Hanna,Gallo
ocd-person/e9b6ecf5-de39-4026-83fa-3766ed43cc49,Jake Bissaillon,Democratic,1,upper,Jake,Bissaillon
ocd-person/c2b18728-5409-42b0-a789-d7f5bd717780,Jackie Baginski,Democratic,17,lower,Jackie,Baginski
ocd-person/cef11d28-cbbb-4ffd-b8f2-23c71e73f1b3,Jason Knight,Democratic,67,lower,Jason,Knight
ocd-person/c937560c-277e-4c48-9656-bb385a7910f3,Jenni Furtado,Democratic,64,lower,Jenni,Furtado
ocd-person/c11b7057-fe39-42b6-8a38-91d9e7349118,Jennifer Stewart,Democratic,59,lower,Jennifer,Stewart
ocd-person/32458c0f-8b82-4f49-a191-90d68c3f375f,Jennifer Boylan,Democratic,66,lower,Jennifer,Boylan
ocd-person/03fdc4f3-715d-4f83-ab31-1a63f86a4dcf,Jessica de la Cruz,Republican,23,upper,Jessica,de la Cruz
ocd-person/85b2ef21-1f02-4d9e-9f74-a40a2e942f7c,Jay Edwards,Democratic,70,lower,Jay,Edwards
ocd-person/f9877000-1919-4f5b-a8b7-f05a1092bdab,John Lombardi,Democratic,8,lower,John,Lombardi
ocd-person/a5f646b2-0370-494c-aebc-25869f019a1b,John Burke,Democratic,9,upper,John,Burke
ocd-person/89e9f600-0af5-471c-89bb-b27142def4c9,Jon Brien,Independent,49,lower,Jon,Brien
ocd-person/23ac0ada-a340-4539-a4c9-33e4c437add6,Jonathon Acosta,Democratic,16,upper,Jonathon,Acosta
ocd-person/be85e7a9-0455-4e02-92f7-834710d0e401,Jose Batista,Democratic,12,lower,Jose,Batista
ocd-person/0b700db6-fe30-4fb4-a988-05ae0d618720,Joseph Solomon,Democratic,22,lower,Joseph,Solomon
ocd-person/ce92c860-ad04-4cc5-91eb-52add74c98e5,Joseph McNamara,Democratic,19,lower,Joseph,McNamara
ocd-person/b6a9a38c-0f39-4150-b041-fd6c75f9c8ad,Joshua Giraldo,Democratic,56,lower,Joshua,Giraldo
ocd-person/6e1cd170-ab5c-4095-9fb2-8e92138f6db3,Julie Casimiro,Democratic,31,lower,Julie,Casimiro
ocd-person/9386224e-9603-4695-8f46-a1033d8534a5,June Speakman,Democratic,68,lower,June,Speakman
ocd-person/38c539f2-0698-4fa2-a761-477608365838,Justine Caldwell,Democratic,30,lower,Justine,Caldwell
ocd-person/00644fec-e128-4e7f-9af0-8e79d0903da3,Joe Shekarchi,Democratic,23,lower,Joe,Shekarchi
ocd-person/016b40cf-1be0-4e66-acdf-78a029822e1c,Karen Alzate,Democratic,60,lower,Karen,Alzate
ocd-person/bd30e693-11a2-412f-b81a-bebc78d91145,Katie Kazarian,Democratic,63,lower,Katie,Kazarian
ocd-person/570c899e-34b2-4e30-93e2-79f588ff8aef,Kathleen Fogarty,Democratic,35,lower,Kathleen,Fogarty
ocd-person/5ab817c5-d86c-4bf0-9a8f-78ca20cdc56b,Lammis Vargas,Democratic,28,upper,Lammis,Vargas
ocd-person/320f08df-f7d3-4ebe-a696-9c2b8d98f75b,Lauren Carson,Democratic,75,lower,Lauren,Carson
ocd-person/ad453635-2239-4a63-a153-a9f925b32621,Leo Felix,Democratic,61,lower,Leo,Felix
ocd-person/ef7ddd55-3351-4ca9-adfc-aef71505ec95,Lou Raptakis,Democratic,33,upper,Lou,Raptakis
ocd-person/825b006a-e38e-4f0c-81b7-4df73e2a90fa,Linda Ujifusa,Democratic,11,upper,Linda,Ujifusa
ocd-person/e676d270-0470-40c2-ab57-e8ced3471005,Lori Urso,Democratic,8,upper,Lori,Urso
ocd-person/71da5365-46a9-4f2c-abc8-308bde2577ec,Lou DiPalma,Democratic,12,upper,Lou,DiPalma
ocd-person/bc0b7591-fb22-44c1-9766-49ea0d70d894,Marie Hopkins,Republican,21,lower,Marie,Hopkins
ocd-person/580b2e15-faff-4b83-bbea-fb6110a9f975,Mark McKenney,Democratic,30,upper,Mark,McKenney
ocd-person/ed735cca-8f53-4304-a1ec-9e212744ec17,Marvin Abney,Democratic,73,lower,Marvin,Abney
ocd-person/20543a6c-f763-4297-a19b-c670fbe8a68b,Mary Ann Shallcross-Smith,Democratic,46,lower,Mary Ann,Shallcross-Smith
ocd-person/cad61cfb-b3e8-417a-934e-1add601d4cba,Mary Messier,Democratic,62,lower,Mary,Messier
ocd-person/57b194bd-2b6a-46b8-a7b4-35b629bb0b04,Matt LaMountain,Democratic,31,upper,Matt,LaMountain
ocd-person/bffdb553-5c5c-403e-8e2c-47b34a7b50f5,Matthew Dawson,Democratic,65,lower,Matthew,Dawson
ocd-person/4ad02cf0-3ead-4bc4-84e3-d1c08c3aa11a,Megan Cotter,Democratic,39,lower,Megan,Cotter
ocd-person/2cd8c21d-f576-4060-a311-0459e01ffef6,Meghan Kallman,Democratic,15,upper,Meghan,Kallman
ocd-person/e7d41b59-5619-4a67-a1ec-221fdc24e6c3,Melissa Murray,Democratic,24,upper,Melissa,Murray
ocd-person/7c4d8cad-55e5-474d-ac05-8db9a59da7fd,Mia Ackerman,Democratic,45,lower,Mia,Ackerman
ocd-person/02f4f018-3639-4fb1-aced-f8684161121d,Mike Chippendale,Republican,40,lower,Mike,Chippendale
ocd-person/8318a7d4-6d81-4825-8821-4e7aed69b4dc,Michelle McGaw,Democratic,71,lower,Michelle,McGaw
ocd-person/39bdc05c-bda5-4ea9-b4ad-4cc7172adf56,Nathan Biah,Democratic,3,lower,Nathan,Biah
ocd-person/c5991f11-e719-473e-93c4-cfc52fae3e6d,Pam Lauria,Democratic,32,upper,Pam,Lauria
ocd-person/45fd70a7-613e-405d-959f-2900eea0f264,Pat Serpa,Democratic,27,lower,Pat,Serpa
ocd-person/d28514b2-da9f-4c03-9590-781d3c1529ad,Paul Santucci,Republican,53,lower,Paul,Santucci
ocd-person/66e402e8-4f13-44f3-b029-7d1c3aab99b7,Pete Appollonio,Democratic,29,upper,Pete,Appollonio
ocd-person/181465b6-b392-4222-acec-456182d23aa5,Ramon Perez,Democratic,13,lower,Ramon,Perez
ocd-person/da9a4b15-1cbf-4645-bd98-58ce413b68e1,Raymond Hull,Democratic,6,lower,Raymond,Hull
ocd-person/dd5636ac-e9a1-4d98-8f21-6376b8977706,Rebecca Kislak,Democratic,4,lower,Rebecca,Kislak
ocd-person/53f07987-a534-4194-ba51-2fcd62f0f63e,Bob Phillips,Democratic,51,lower,Bob,Phillips
ocd-person/a6d519b0-89bd-45d5-9067-3ae0b421eee7,Robert Craven,Democratic,32,lower,Robert,Craven
ocd-person/11bc8a51-bee7-422d-8bb7-6a9177e55735,Bob Quattrocchi,Republican,41,lower,Bob,Quattrocchi
ocd-person/01ddc920-772c-4098-b9f8-8704783940e5,Bob Britto,Democratic,18,upper,Bob,Britto
ocd-person/1378a3d6-95fe-4a21-8fcb-11fefdb97d84,Ryan Pearson,Democratic,19,upper,Ryan,Pearson
ocd-person/c9229f5a-b4ac-4cf2-b227-a0b4e56cca2f,Sam Azzinaro,Democratic,37,lower,Sam,Azzinaro
ocd-person/3a4fd015-1c56-4d7b-9e57-1a2a6b9b4c9b,Sam Zurier,Democratic,3,upper,Sam,Zurier
ocd-person/8d466b6a-ea53-46bb-aa86-3131ac76533f,Sam Bell,Democratic,5,upper,Sam,Bell
ocd-person/1cd78f67-6adb-47c6-98cd-f49ca8eb603f,Scott Slater,Democratic,10,lower,Scott,Slater
ocd-person/6c7285bd-fdd3-4629-be6f-4a01d19e9c25,Sherry Roberts,Republican,29,lower,Sherry,Roberts
ocd-person/a2ff0de0-40d1-4ac1-a347-e1e9dedb6d30,Stefano Famiglietti,Democratic,4,upper,Stefano,Famiglietti
ocd-person/0b20a11e-e90b-4ff2-aa25-5334a8592071,Stephen Casey,Democratic,50,lower,Stephen,Casey
ocd-person/160de7ca-e70f-4cd4-b218-e9600c24a5aa,Susan Donovan,Democratic,69,lower,Susan,Donovan
ocd-person/bdccc3f1-4b2d-4f64-8653-ada4322d6a10,Teresa Tanzi,Democratic,34,lower,Teresa,Tanzi
ocd-person/0e459c44-8d77-408e-9db6-c0e0b79274fd,Terri Cortvriend,Democratic,72,lower,Terri,Cortvriend
ocd-person/1f8f3c9b-ba19-45de-af45-b0501d0607f0,Tom Noret,Democratic,25,lower,Tom,Noret
ocd-person/285c33e3-5c40-44d8-9c16-22e49b6a0a81,Thomas Paolino,Republican,17,upper,Thomas,Paolino
ocd-person/b3d5296c-05df-46f5-9a93-4caf96121a84,Tiara Mack,Democratic,6,upper,Tiara,Mack
ocd-person/2c3d82e7-8bdc-4da9-bbab-e42bb5e223fb,Tina Spears,Democratic,36,lower,Tina,Spears
ocd-person/9f4a0209-d8b0-42e5-9217-d4fd2f0d67e6,Todd Patalano,Democratic,26,upper,Todd,Patalano
ocd-person/c5757781-d437-4b9b-b7a1-9bb96c9b74ab,Sue Sosnowski,Democratic,37,upper,Sue,Sosnowski
ocd-person/bfb76f36-00b6-47da-89da-e1db5421ff55,Val Lawson,Democratic,14,upper,Val,Lawson
ocd-person/afeed427-2ef1-4197-840d-7ab06883e186,Victoria Gu,Democratic,38,upper,Victoria,Gu
ocd-person/037e3b02-7f48-4cab-bb04-2524aa9a883d,Walter Felag,Democratic,10,upper,Walter,Felag
ocd-person/4352dbd3-90e5-4cf3-9bf6-accff7592c33,Bill O'Brien,Democratic,54,lower,Bill,O'Brien
