id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/340b7b78-4f07-49ef-8872-dab35cf48c5c,Shane Massey,Republican,25,upper,Shane,Massey
ocd-person/0970c995-247f-4cc0-b0a3-8ee4a0e4ebcb,Adam Duncan,Republican,2,lower,Adam,Duncan
ocd-person/52d28efd-d83d-4825-8572-c9e30b8d7c77,Allen Blackmon,Republican,27,upper,Allen,Blackmon
ocd-person/86e53967-3383-4df1-b3b6-49aa2b327110,Annie McDaniel,Democratic,41,lower,Annie,McDaniel
ocd-person/dbb8fc98-5116-44c4-8009-8c91e514dec1,April Cromer,Republican,6,lower,April,Cromer
ocd-person/a45d8c37-372d-4d32-b9a5-cce96299ea3d,Beth Bernstein,Democratic,78,lower,Beth,Bernstein
ocd-person/010940bd-8041-4f17-b425-5f42c8c07526,Bill Taylor,Republican,86,lower,Bill,Taylor
ocd-person/898bb0dc-8dd1-4c29-b7a6-04f87c7cbd2d,Billy Garrett,Republican,10,upper,Billy,Garrett
ocd-person/ddb2ac02-4d91-4379-8c8b-da2353f2163a,Blake Sanders,Republican,9,lower,Blake,Sanders
ocd-person/16ba6021-423d-4b0d-b899-d2fe18778c12,Brad Hutto,Democratic,40,upper,Brad,Hutto
ocd-person/f89d05de-1f18-466c-bd51-f718a208407b,Brandon Guffey,Republican,48,lower,Brandon,Guffey
ocd-person/d09020dc-87bc-49b4-a039-2a2809ab88cc,Brandon Cox,Republican,92,lower,Brandon,Cox
ocd-person/aa158d61-1373-4c4a-9ad3-ea74bf422cc3,Brandon Newton,Republican,45,lower,Brandon,Newton
ocd-person/9f665ce8-ed4c-4bef-841f-3036ac03a181,Brian Adams,Republican,44,upper,Brian,Adams
ocd-person/d4974849-0939-472c-9862-4d760889125e,Bruce Bannister,Republican,24,lower,Bruce,Bannister
ocd-person/bbff9a4c-7b59-4538-b869-64ba0c8431ff,Cal Forrest,Republican,39,lower,Cal,Forrest
ocd-person/c3b55867-85d7-4bf2-b1a0-30dd924ae734,Carl Anderson,Democratic,103,lower,Carl,Anderson
ocd-person/b082de67-acd5-42db-bdfc-643650ad7e34,Carla Schuessler,Republican,61,lower,Carla,Schuessler
ocd-person/31de54c6-a271-4c9e-a109-35de035197ce,Carlisle Kennedy,Republican,23,upper,Carlisle,Kennedy
ocd-person/2432a9be-a476-4dae-966c-74f01e24fdbb,Chandra Dillard,Democratic,23,lower,Chandra,Dillard
ocd-person/08342d93-85d9-498e-a602-85ef9715ebf6,Charlie Hartz,Republican,81,lower,Charlie,Hartz
ocd-person/77bd81c9-3436-4635-a945-11f1cf37ead7,Chris Huff,Republican,28,lower,Chris,Huff
ocd-person/728e5331-d2ec-4c21-a271-be37ae8843ff,Chris Wooten,Republican,69,lower,Chris,Wooten
ocd-person/f9925f2e-d43e-47ff-ba74-f670b65d96e7,Chris Hart,Democratic,73,lower,Chris,Hart
ocd-person/16726551-937d-43ca-a13b-c94c608d1ba3,Cody Mitchell,Republican,65,lower,Cody,Mitchell
ocd-person/0a87faa3-3d88-4fd6-a29f-583102f8c89f,Courtney Waters,Democratic,113,lower,Courtney,Waters
ocd-person/52ab3f52-ec8b-4268-bfb2-16322df47839,Craig Gagnon,Republican,11,lower,Craig,Gagnon
ocd-person/0ed8d824-c5b2-47c6-9970-2c475cbfd9ac,Danny Verdin,Republican,9,upper,Danny,Verdin
ocd-person/fd827c3d-df23-4497-b39e-7c7ab43138fd,Daniel Gibson,Republican,12,lower,Daniel,Gibson
ocd-person/4eca904a-5153-440d-8e5c-4c9e056a1dd1,Darrell Jackson,Democratic,21,upper,Darrell,Jackson
ocd-person/0187a0b8-b72e-42f1-82ea-8fdac9b9c484,David Martin,Republican,26,lower,David,Martin
ocd-person/14b0abeb-70fd-404b-9f55-ff2e75e2c7ef,Davey Hiott,Republican,4,lower,Davey,Hiott
ocd-person/96fcbf84-e1e8-4e69-bc26-eeced30abaf4,David Vaughan,Republican,27,lower,David,Vaughan
ocd-person/08cc0e0f-26e0-4117-8591-2ac463f6fbe6,Dennis Moss,Republican,29,lower,Dennis,Moss
ocd-person/4f07a054-384b-4fc7-b60a-f5848ea514d4,Deon Tedder,Democratic,42,upper,Deon,Tedder
ocd-person/65b53c25-26eb-4478-9ddc-b46e29c20543,Dianne Mitchell,Republican,21,lower,Dianne,Mitchell
ocd-person/7a7a6119-3a67-4b02-9313-d8454421494e,Don Chapman,Republican,8,lower,Don,Chapman
ocd-person/68934441-84b3-48c7-b8a5-a694744f9e3b,Ryan McCabe,Republican,96,lower,Ryan,McCabe
ocd-person/6cabdb85-c770-42ce-9eaf-68326c9dc0aa,Ed Sutton,Democratic,20,upper,Ed,Sutton
ocd-person/a0512457-cf73-4c3a-8190-d381a90af2d8,Spencer Wetmore,Democratic,115,lower,Spencer,Wetmore
ocd-person/c699e1e2-e3f4-4b78-8aeb-7bef9374518f,Everett Stubbs,Republican,17,upper,Everett,Stubbs
ocd-person/5861846a-d293-416f-b5ab-227f8fd12b94,Fawn Pedalino,Republican,64,lower,Fawn,Pedalino
ocd-person/bc549137-780f-4b77-9438-61a92d3dce48,Murrell Smith,Republican,67,lower,Murrell,Smith
ocd-person/774393b0-877d-4c4b-81cf-daf0494328f9,Gary Brewer,Republican,114,lower,Gary,Brewer
ocd-person/2ff21c9e-e03e-4f5c-ac4e-7b1e5633969d,Chip Campsen,Republican,43,upper,Chip,Campsen
ocd-person/21d2b4a4-f5fa-415b-8394-02e9b63c4ba0,Gil Gatch,Republican,94,lower,Gil,Gatch
ocd-person/b494d1f6-d98e-4a8c-895c-6cb73ec892b8,Gilda Cobb-Hunter,Democratic,95,lower,Gilda,Cobb-Hunter
ocd-person/ef3c638d-4ad1-4d9d-abbb-1a87b5513a66,Greg Ford,Republican,98,lower,Greg,Ford
ocd-person/d09cb270-bb44-44e7-86d6-a880ce40d93d,Greg Hembree,Republican,28,upper,Greg,Hembree
ocd-person/c7b115f3-0fa8-4a8b-b01f-9b222f44018f,Hamilton Grant,Democratic,79,lower,Hamilton,Grant
ocd-person/7f424e9d-ce81-4413-9438-c5aeee1ec079,Harriet Holman,Republican,102,lower,Harriet,Holman
ocd-person/8b81073b-87da-4f5c-aacb-f387b69456cc,Harvey Peeler,Republican,14,upper,Harvey,Peeler
ocd-person/dbc0a5ad-b105-4cd9-8849-e2a7c77d23f0,Heath Sessions,Republican,46,lower,Heath,Sessions
ocd-person/814c55e9-568f-403e-9e8a-ee3859c07300,Heather Crawford,Republican,68,lower,Heather,Crawford
ocd-person/573c5456-8b53-4a00-9538-1013f0fc12c5,Heather Bauer,Democratic,75,lower,Heather,Bauer
ocd-person/10d7814d-009b-4d21-a048-2672f48fe130,David Weeks,Democratic,51,lower,David,Weeks
