id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/d3d7563b-420c-4498-8bc5-4f9d6ed90806,Aaron Aylward,Republican,6,lower,Aaron,Aylward
ocd-person/02f0edff-2879-4fbb-9b23-796358690d07,Al Novstrup,Republican,3,lower,Al,Novstrup
ocd-person/f9dd87da-ac23-450d-9574-1efa95ef0d81,Amber Arlint,Republican,12,lower,Amber,Arlint
ocd-person/ae4b500c-4a37-43ed-a3a2-dbb08071e265,Amber Hulse,Republican,30,upper,Amber,Hulse
ocd-person/169a8374-daaa-4884-9add-d1719eabd966,Arch Beal,Republican,12,upper,Arch,Beal
ocd-person/3b05e975-1b79-42ec-94e8-7a258142dd46,Bethany Soye,Republican,9,lower,Bethany,Soye
ocd-person/1e3d4ebf-2669-4b20-acd4-e339d24f73c3,Bobbi Andera,Republican,10,lower,Bobbi,Andera
ocd-person/713ca571-304b-48f0-a853-b49fa859134e,Brandei Schaefbauer,Republican,3,lower,Brandei,Schaefbauer
ocd-person/a5c12215-2e38-4d1f-a8b0-cc6ce0e859ca,Brandon Wipf,Republican,22,upper,Brandon,Wipf
ocd-person/d9d8a84f-96df-4dbf-b638-d63e216166d4,Brian Mulder,Republican,11,lower,Brian,Mulder
ocd-person/5a5c92d7-0b2c-418e-a0ce-8ba0a6e4790a,Carl Perry,Republican,3,upper,Carl,Perry
ocd-person/6dabb48d-f267-4fb3-9e8c-0a3c182d44d3,Casey Crabtree,Republican,8,upper,Casey,Crabtree
ocd-person/85616a5d-63b7-4794-8eb0-63ab7b121761,Chris Karr,Republican,11,upper,Chris,Karr
ocd-person/87c4b9d3-1e14-4c64-af35-e9a95a1f4bf3,Chris Kassin,Republican,17,lower,Chris,Kassin
ocd-person/132b0654-ebb2-4b6b-81b3-d39b41110d45,Curt Massie,Republican,33,lower,Curt,Massie
ocd-person/6dce0110-114c-467d-adb2-50e0309a8079,Curt Voight,Republican,33,upper,Curt,Voight
ocd-person/4d2f522f-336a-4794-8b89-48d65d250f6e,David Kull,Republican,2,lower,David,Kull
ocd-person/ce0a6958-a2d1-4e9e-ab06-943bc84a271a,Drew Peterson,Republican,19,lower,Drew,Peterson
ocd-person/d458ae29-45a8-4406-a5c0-c256ec743172,Dylan Jordan,Republican,4,lower,Dylan,Jordan
ocd-person/589ced64-f78f-447d-ab9a-8ead6965c61b,Eric Emery,Democratic,26A,lower,Eric,Emery
ocd-person/c123398a-d235-488f-ba5f-cc71983a66de,Erik Muckey,Democratic,15,lower,Erik,Muckey
ocd-person/85bda678-d416-4caa-b439-8a579288f2ec,Erin Healy,Democratic,10,lower,Erin,Healy
ocd-person/dda7bd46-d880-453e-b830-269e79425a9a,Ernie Otten,Republican,6,upper,Ernie,Otten
ocd-person/4d53d676-05f1-409a-8ef8-762d97143443,Glen Vilhauer,Republican,5,upper,Glen,Vilhauer
ocd-person/4a052dc7-31aa-4a24-b72d-7e922ce7bf8b,Greg Blanc,Republican,35,upper,Greg,Blanc
ocd-person/fe9a44c7-7241-4395-98e3-8445b1bc2d54,Greg Jamison,Republican,12,lower,Greg,Jamison
ocd-person/229c5337-951c-41d2-9e76-dc74878bcf89,Heather Baxter,Republican,34,lower,Heather,Baxter
ocd-person/950b0ec2-1c69-4c81-ab1d-c61464519e26,Les Heinemann,Republican,25,lower,Les,Heinemann
ocd-person/e0548110-ef50-435f-8c99-fbd53a06d8ff,Helene Duhamel,Republican,32,upper,Helene,Duhamel
ocd-person/fd692c4a-e6c1-45c1-b970-1fcdbe732cfe,Jack Kolbeck,Republican,13,lower,Jack,Kolbeck
ocd-person/bea6d77a-6773-463b-946c-b23b27f5f4c0,Jamie Smith,Democratic,15,upper,Jamie,Smith
ocd-person/3900be26-2367-48af-8083-6ec4b4f18cf1,Jana Hunt,Republican,28A,lower,Jana,Hunt
ocd-person/94fa8c46-b27a-452e-85b2-27baca009678,Jeff Bathke,Republican,20,lower,Jeff,Bathke
ocd-person/7d5691be-08ff-4684-978d-81aaa8bdd99b,Jessica Bahmuller,Republican,19,lower,Jessica,Bahmuller
ocd-person/98281de1-c8bc-4c3a-9a5b-6a45c96c6087,Jim Halverson,Republican,21,lower,Jim,Halverson
ocd-person/c8ca77f5-97e7-4604-aec3-fe4ee5e7dc31,Jim Mehlhaff,Republican,24,upper,Jim,Mehlhaff
ocd-person/2d13f154-7e05-462c-b8d9-da5c5556d8b9,John Carley,Republican,29,upper,John,Carley
ocd-person/123a6b73-d0a1-4263-96fd-a65373159918,John Hughes,Republican,13,lower,John,Hughes
ocd-person/de36e5d9-b079-4778-bd29-2d7a161488f6,John Shubeck,Republican,16,lower,John,Shubeck
ocd-person/fe5950b8-b6e8-4a95-87b5-fd569f43b286,John Sjaarda,Republican,2,lower,John,Sjaarda
ocd-person/912b0c53-5674-42b0-8f22-8ccd01c3264c,Jon Hansen,Republican,25,lower,Jon,Hansen
ocd-person/6ca3c0b7-e0d2-4d68-8b33-725c378ff130,Josephine Garcia,Republican,5,lower,Josephine,Garcia
ocd-person/3a454e94-ca27-4e34-b603-c2768c047bc3,Joy Hohn,Republican,9,upper,Joy,Hohn
ocd-person/8fabf252-4409-4c1f-b754-ab54759ea3ce,Julie Auch,Republican,18,lower,Julie,Auch
ocd-person/892b6289-0bd8-441d-94bf-30e6f1cfce49,Kadyn Wittman,Democratic,15,lower,Kadyn,Wittman
ocd-person/0baaa53b-6468-4de4-98ce-bf1e218f8d38,Kaley Nolz,Republican,20,lower,Kaley,Nolz
ocd-person/0c864308-04a8-4b22-af5b-5d718046b99f,Karla Lems,Republican,16,lower,Karla,Lems
ocd-person/f2a2616a-c0d4-45d2-8c52-2c8d7dac5e26,Kathy Rice,Republican,29,lower,Kathy,Rice
ocd-person/8125bf75-9ccc-41c4-b76b-3e84dc083c43,Kent Roe,Republican,4,lower,Kent,Roe
ocd-person/708ee344-687f-499a-9f52-48cb79686167,Keri Weems,Republican,11,lower,Keri,Weems
ocd-person/1de26fd7-bcde-486b-b290-afdee6756c7c,Kevin Jensen,Republican,16,upper,Kevin,Jensen
ocd-person/e94f9d65-3b95-40cb-b3c2-74126023b55f,Kevin Van Diepen,Republican,22,lower,Kevin,Van Diepen
ocd-person/bd74c8bf-cc11-4bfc-a721-269a01a6ccb1,Kyle Schoenfish,Republican,19,upper,Kyle,Schoenfish
ocd-person/7eefd193-a618-4a9b-b416-cd495239ead6,Lana Greenfield,Republican,22,lower,Lana,Greenfield
ocd-person/5e23171d-49a3-471f-a6f8-24b057f2d836,Larry Zikmund,Republican,14,upper,Larry,Zikmund
ocd-person/a5c8c5c0-c02e-49cf-834b-f8e9d118935a,Lauren Nelson,Republican,18,upper,Lauren,Nelson
ocd-person/81df3498-7677-4749-9753-c1ae9799e444,Liz Larson,Democratic,10,upper,Liz,Larson
ocd-person/2b581087-9814-4f0d-80e5-b29a6e7aee67,Liz May,Republican,27,lower,Liz,May
ocd-person/533da64d-d703-4d56-9d65-8bf3b730d552,Logan Manhart,Republican,1,lower,Logan,Manhart
ocd-person/04b57e8f-1cbe-4637-84a5-6b2257413d18,Mark Lapka,Republican,23,upper,Mark,Lapka
ocd-person/7dc4b8d9-148b-4622-a6de-b27dc27030be,Marty Overweg,Republican,21,lower,Marty,Overweg
ocd-person/e03644b8-7ddd-4ae0-a734-6f6e76e735ba,Mary Fitzgerald,Republican,31,lower,Mary,Fitzgerald
ocd-person/8ea8be55-3862-4034-b0c9-8aa418dfc915,Matt Roby,Republican,5,lower,Matt,Roby
ocd-person/82afbbac-f85b-47ec-aad9-c7218f35d44c,Mellissa Heermann,Republican,7,lower,Mellissa,Heermann
ocd-person/9f5c460a-6f5d-4198-8be2-e78a9d4980bf,Michael Rohl,Republican,1,upper,Michael,Rohl
ocd-person/0121d607-e75c-4427-bd76-a6e01434afca,Mike Stevens,Republican,18,lower,Mike,Stevens
ocd-person/082e4c6e-c16a-4bfa-8c17-9c46952da446,Mike Derby,Republican,34,lower,Mike,Derby
ocd-person/f611d7e5-8438-49da-a323-374bbf0af218,Mike Weisgram,Republican,24,lower,Mike,Weisgram
ocd-person/5cfb95b9-aa6a-4285-89d1-04770ae033fd,MyKala Voita,Republican,21,upper,MyKala,Voita
ocd-person/1f9d8833-6a73-4985-b33e-635b6bc194b7,Nick Fosness,Republican,1,lower,Nick,Fosness
ocd-person/00ed522e-529c-4ec7-bec2-90e124a2b3df,Nicole Uhre-Balk,Democratic,32,lower,Nicole,Uhre-Balk
ocd-person/169a02e3-c161-4cca-8adb-10e55934a94f,Paul Miskimins,Republican,20,upper,Paul,Miskimins
ocd-person/8dc5a857-0514-4a81-8215-a2f21a069075,Peri Pourier,Republican,27,lower,Peri,Pourier
ocd-person/cc4fe32a-b912-4876-96e5-32341ccdd06d,Phil Jensen,Republican,33,lower,Phil,Jensen
ocd-person/73f418c4-6d07-4ef5-924f-1664738d2b46,Randy Deibert,Republican,31,upper,Randy,Deibert
ocd-person/6ce3a563-339c-4bf4-8a70-0f5de85e5693,Rebecca Reimer,Republican,26B,lower,Rebecca,Reimer
ocd-person/d2b91681-6a72-42f8-94f6-c489309798b7,Red Dawn Foster,Democratic,27,upper,Red Dawn,Foster
ocd-person/69b0ca35-e513-4250-90fd-3a8c44dbeae8,Roger DeGroot,Republican,7,lower,Roger,DeGroot
ocd-person/3ff2f0b9-b570-4980-941f-9616ea0bbc55,Sam Marty,Republican,28,upper,Sam,Marty
ocd-person/f6efc9b6-c985-4765-bd47-8da24d06712b,Scott Moore,Republican,23,lower,Scott,Moore
ocd-person/18602d7b-fb7f-495b-bf94-2b0da2aae00f,Scott Odenbach,Republican,31,lower,Scott,Odenbach
ocd-person/138b5508-01b0-43ed-b8b6-ce9b9d07806f,Spencer Gosch,Republican,23,lower,Spencer,Gosch
ocd-person/229f3180-5808-47f9-b473-3da3c9585bc5,Stephanie Sauder,Republican,4,upper,Stephanie,Sauder
ocd-person/a86e2b88-677f-4819-9fc2-0e9ba4c04377,Steve Duffy,Republican,32,lower,Steve,Duffy
ocd-person/d8b7a70b-2c34-4319-aaaf-54112c5ca471,Steve Kolbeck,Republican,2,upper,Steve,Kolbeck
ocd-person/10c3de09-4e65-4885-bbbb-78b2903a36e2,Sue Peterson,Republican,13,upper,Sue,Peterson
ocd-person/c2149a50-34ee-42c5-8440-e1c5ddcf66e4,Sydney Davis,Republican,17,upper,Sydney,Davis
ocd-person/f06bd3c9-8cac-4cc6-be62-f949e51f28eb,Taffy Howard,Republican,34,upper,Taffy,Howard
ocd-person/e195011d-04f8-4e39-a9f9-b804495b3f2c,Tamara Grove,Republican,26,upper,Tamara,Grove
ocd-person/ba249bd9-5b3e-42f3-a367-061bf63d620a,Taylor Rehfeldt,Republican,14,lower,Taylor,Rehfeldt
ocd-person/5f9be535-0a3a-4661-a651-f65dbd39ce2b,Terri Jorgenson,Republican,29,lower,Terri,Jorgenson
ocd-person/052b96bd-7f02-4518-ba11-b1a55084149e,Tesa Schwans,Republican,9,lower,Tesa,Schwans
ocd-person/6a9db533-590a-4481-980b-b5efe3412d9b,Tim Czmowski,Republican,6,lower,Tim,Czmowski
ocd-person/e12868fa-61b7-4ad5-9f68-bcfca817057d,Tim Goodwin,Republican,30,lower,Tim,Goodwin
ocd-person/6206c534-4bec-4228-b86f-5005547c6957,Tim Reed,Republican,7,upper,Tim,Reed
ocd-person/3c82e6e9-348f-40cd-818e-76d4901d9ec5,Tim Reisch,Republican,8,lower,Tim,Reisch
ocd-person/cc78d0ae-544c-4b45-8073-4aed3ee1a513,Tim Walburg,Republican,8,lower,Tim,Walburg
ocd-person/ebadc687-f53a-4ec4-9c37-b362a2ea6842,Tina Mulally,Republican,35,lower,Tina,Mulally
ocd-person/f6b50a35-18e6-4e0c-bdd9-071f4a99bbed,Tom Pischke,Republican,25,upper,Tom,Pischke
ocd-person/a0e95faf-3b79-4657-bdd2-3a496d04e03c,Tony Kayser,Republican,14,lower,Tony,Kayser
ocd-person/74bc4404-28a3-413b-b01f-3f303da1c8a9,Tony Randolph,Republican,35,lower,Tony,Randolph
ocd-person/1e73baba-bddd-4b8c-901d-a1324f3194eb,Travis Ismay,Republican,28B,lower,Travis,Ismay
ocd-person/e7bb9291-fd90-4db8-b3e6-c90ebc41c997,Trish Ladner,Republican,30,lower,Trish,Ladner
ocd-person/46a0838c-0bb9-446a-8828-21a3f2124d1b,Will Mortenson,Republican,24,lower,Will,Mortenson
ocd-person/705bda08-a613-4be4-9c90-ac7e30eef6bf,William Shorma,Republican,17,lower,William,Shorma
