id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/b3bd4f95-946f-4b4b-b58f-ab78345847b7,Adam Lowe,Republican,1,upper,Adam,Lowe
ocd-person/6dc4d8e8-aa2c-423b-8f5c-8ed4666a27db,Aftyn Behn,Democratic,51,lower,Aftyn,Behn
ocd-person/ad23d4a9-9a62-40a5-94a5-246f7741c3e2,Andrew Farmer,Republican,17,lower,Andrew,Farmer
ocd-person/0b5b90de-2d94-424f-ab28-b434696cb5a9,Aron Maberry,Republican,68,lower,Aron,Maberry
ocd-person/592971a7-2e11-4bed-a57d-71187e174329,Becky Massey,Republican,6,upper,Becky,Massey
ocd-person/46b6a1b2-f0c0-4e9a-a506-a81e12e329f5,Bill Powers,Republican,22,upper,Bill,Powers
ocd-person/e0272220-99f1-4cfb-9d29-946b86279e0b,Bo Mitchell,Democratic,50,lower,Bo,Mitchell
ocd-person/86d5ff12-369b-41a4-9626-237425063c1b,Bo Watson,Republican,11,upper,Bo,Watson
ocd-person/c8a26be8-8de1-434b-864a-21697f8f15d4,Bob Freeman,Democratic,56,lower,Bob,Freeman
ocd-person/841e5585-a49a-4754-95d4-682d974b4ff4,Bobby Harshbarger,Republican,4,upper,Bobby,Harshbarger
ocd-person/d3f48e28-4ee5-4027-9670-0d617ca6048e,Brent Taylor,Republican,31,upper,Brent,Taylor
ocd-person/de8e2d6f-efd8-45f5-b261-5963db78b909,Brock Martin,Republican,79,lower,Brock,Martin
ocd-person/a9676141-e809-4554-9d0c-283916c36f63,Bryan Terry,Republican,48,lower,Bryan,Terry
ocd-person/1e3046c6-b44b-43dd-9cb2-937f40e97a6a,Bud Hulsey,Republican,2,lower,Bud,Hulsey
ocd-person/625050ba-cb23-4c09-b62b-818e544d987d,Caleb Hemmer,Democratic,59,lower,Caleb,Hemmer
ocd-person/421c9380-99f4-47ff-9d70-5c5eced05a89,Cameron Sexton,Republican,25,lower,Cameron,Sexton
ocd-person/0ce3dbf9-c880-480b-a623-7d9da870bb01,Charlane Oliver,Democratic,19,upper,Charlane,Oliver
ocd-person/7c874269-afdd-4d41-a9da-b0ddb903bb6f,Charlie Baum,Republican,37,lower,Charlie,Baum
ocd-person/35764262-91cb-4a03-a2ee-5c87a0f5026e,Chris Hurt,Republican,82,lower,Chris,Hurt
ocd-person/5854880e-f10d-4c24-9593-4ae567fec8d7,Chris Todd,Republican,73,lower,Chris,Todd
ocd-person/7fa67dd6-999c-4116-a136-32633710f6b0,Clark Boyd,Republican,46,lower,Clark,Boyd
ocd-person/bdfd00ac-13a8-4208-b687-e46e980d79de,Clay Doggett,Republican,70,lower,Clay,Doggett
ocd-person/311de632-eabb-46da-b547-5fbd73b97769,Dan Howell,Republican,22,lower,Dan,Howell
ocd-person/4d4a531e-1122-4155-a4e3-9c7069aaebc7,Dave Wright,Republican,19,lower,Dave,Wright
