id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/dd3e49ca-2b2b-4a83-ae63-0ade6ccef73f,A.J. Louderback,Republican,30,lower,A.J.,Louderback
ocd-person/7f748f58-e6f2-4c86-ad01-52c7ca3435ca,Adam Hinojosa,Republican,27,upper,Adam,Hinojosa
ocd-person/c55d85ff-7172-42d4-9c8f-da2f258dc19b,Aicha Davis,Democratic,109,lower,Aicha,Davis
ocd-person/1493b76f-b77d-48db-9ecd-26d0e2dfc843,Alan Schoolcraft,Republican,44,lower,Alan,Schoolcraft
ocd-person/2fd6fcd3-9676-42a4-b879-e317576ff18f,Alma Allen,Democratic,131,lower,Alma,Allen
ocd-person/4f98520b-d88b-4053-acc5-3cb2fff14660,Ana Hernandez,Democratic,143,lower,Ana,Hernandez
ocd-person/7f893a20-0547-4ad9-9a94-1084a9ef6469,Ana-Maria Rodriguez Ramos,Democratic,102,lower,Ana-Maria,Rodriguez Ramos
ocd-person/ee8cc382-84b7-47e3-824f-e05cf6455161,Andy Hopper,Republican,64,lower,Andy,Hopper
ocd-person/895887ba-73cd-4321-827d-bb06d4eedfdf,Angela Paxton,Republican,8,upper,Angela,Paxton
ocd-person/aa0d12c3-c318-4c97-a0d4-c63795ec50d9,Angelia Orr,Republican,13,lower,Angelia,Orr
ocd-person/2a9478ef-b573-4de6-ab96-bb3f6091346f,Angie Button,Republican,112,lower,Angie,Button
ocd-person/45f3ddfb-5994-4f05-b2c8-e0e3b2a99c47,Ann Johnson,Democratic,134,lower,Ann,Johnson
ocd-person/e2d786e9-5e46-4807-be42-546203016996,Mando Martinez,Democratic,39,lower,Mando,Martinez
ocd-person/3caafbc8-6561-4bf8-8247-aaf398573ba8,Armando Walle,Democratic,140,lower,Armando,Walle
ocd-person/9c37e80d-af10-4433-a78a-408b2b798fb6,Barbara Gervin-Hawkins,Democratic,120,lower,Barbara,Gervin-Hawkins
ocd-person/ba43365e-63dc-4bdc-aadc-e3939aa7465b,Ben Bumgarner,Republican,63,lower,Ben,Bumgarner
ocd-person/013d69b7-a958-490c-a4a2-7224a30efa08,Bob Hall,Republican,2,upper,Bob,Hall
ocd-person/51591894-e9ff-48d3-81c5-897ec1c5e600,Bobby Guerra,Democratic,41,lower,Bobby,Guerra
ocd-person/3475b324-1c9b-4513-90e6-063aba5ac04e,Borris Miles,Democratic,13,upper,Borris,Miles
ocd-person/e3533cbc-f3ab-46bc-a591-c68657f82527,Brad Buckley,Republican,54,lower,Brad,Buckley
ocd-person/c15c9bf3-f28a-4c01-9a10-383bc7a05cb9,Brent Hagenbuch,Republican,30,upper,Brent,Hagenbuch
ocd-person/469f1932-49dc-4a46-8341-b2cd9bc0f96d,Brent Money,Republican,2,lower,Brent,Money
ocd-person/6fde08be-f7c0-464a-83a7-430c60617beb,Brett Ligon,Republican,4,upper,Brett,Ligon
ocd-person/44a23037-5ccd-4781-9e93-c4b950f74355,Brian Birdwell,Republican,22,upper,Brian,Birdwell
ocd-person/b1bf46ac-e99e-49f6-8f40-cf07aca12187,Brian Harrison,Republican,10,lower,Brian,Harrison
ocd-person/065c24a0-401a-4dc5-a19c-e7d96dcbffc5,Briscoe Cain,Republican,128,lower,Briscoe,Cain
ocd-person/83030f8b-5f1f-4475-b564-a07ae42f6d98,Brooks Landgraf,Republican,81,lower,Brooks,Landgraf
ocd-person/8326538c-c907-43b2-a6db-76434036afd7,Bryan Hughes,Republican,1,upper,Bryan,Hughes
ocd-person/f4976334-0e0e-4474-b5b4-3264e8d73f1d,Candy Noble,Republican,89,lower,Candy,Noble
ocd-person/8f7f161e-6ef4-4c12-8eea-de88a313b36c,Carl Tepper,Republican,84,lower,Carl,Tepper
ocd-person/e78373de-6d96-44db-b552-6da34ed992fc,Carol Alvarado,Democratic,6,upper,Carol,Alvarado
ocd-person/5c40c2b0-07c1-4c73-b15b-14d0ef6df40e,Caroline Fairly,Republican,87,lower,Caroline,Fairly
ocd-person/72920206-cbe7-4429-b42b-c6fc746a1d56,Caroline Harris Davila,Republican,52,lower,Caroline,Harris Davila
ocd-person/64221b86-e3ca-4b67-b2bb-3f4f9641e133,Carrie Isaac,Republican,73,lower,Carrie,Isaac
ocd-person/f331962f-370b-4b74-876e-aa6a8e2e58e2,Cas Garcia Hernandez,Democratic,115,lower,Cas,Garcia Hernandez
ocd-person/33f871c9-15a6-4094-9181-ff822cd9eca4,Cecil Bell,Republican,3,lower,Cecil,Bell
ocd-person/e6ccd3a9-8f52-46d4-af8d-d0301a8e3a05,Charlene Ward Johnson,Democratic,139,lower,Charlene,Ward Johnson
ocd-person/41f4a5e2-a2d5-4e54-aae3-9c99f9ea5eba,Charles Cunningham,Republican,127,lower,Charles,Cunningham
ocd-person/6522ba2d-f263-455a-9470-cec0aa03033b,Charles Perry,Republican,28,upper,Charles,Perry
ocd-person/d7d0bd69-2615-4d0c-84df-4cdb75809343,Charles Schwertner,Republican,5,upper,Charles,Schwertner
ocd-person/65a42043-6243-4f79-b1e0-69b3b8b4af29,Charlie Geren,Republican,99,lower,Charlie,Geren
ocd-person/a5e2021c-8221-41ba-b45c-cc89d13b2af2,Chris Turner,Democratic,101,lower,Chris,Turner
ocd-person/26090510-8782-4d64-b981-3d1cde573090,Christian Manuel,Democratic,22,lower,Christian,Manuel
ocd-person/791e4399-56bb-4d4c-8561-71f0979fb999,Christina Morales,Democratic,145,lower,Christina,Morales
ocd-person/6feda596-fd20-429b-ae4e-bedab7e5a1c5,Claudia Ordaz,Democratic,79,lower,Claudia,Ordaz
ocd-person/baafecd4-6f74-4a97-b564-691c1e938291,Cody Harris,Republican,8,lower,Cody,Harris
ocd-person/3194ee5e-f4d8-4449-8ff6-ec47c0822a3d,Cody Vasut,Republican,25,lower,Cody,Vasut
ocd-person/43bbf34a-6bc4-41f9-9bdc-3e944c5b8495,Cole Hefner,Republican,5,lower,Cole,Hefner
ocd-person/3e0f0e51-20c0-4da4-82b5-ff81606148d0,César Blanco,Democratic,29,upper,César,Blanco
ocd-person/7952d7d7-0fe5-4712-9967-6cb9bcedff05,Dade Phelan,Republican,21,lower,Dade,Phelan
ocd-person/f602a657-8951-4dcb-9bd8-c04bcce4ba56,Daniel Alders,Republican,6,lower,Daniel,Alders
ocd-person/2d5f629c-76a7-455b-aff7-262d8c1c23f6,David Cook,Republican,96,lower,David,Cook
ocd-person/15ce6502-645c-4031-994d-b228e1c69bb4,David Lowe,Republican,91,lower,David,Lowe
ocd-person/36338558-c2b0-4b43-b656-261dccbee871,David Spiller,Republican,68,lower,David,Spiller
ocd-person/42c40e86-b355-4724-8582-995125377240,Denise Villalobos,Republican,34,lower,Denise,Villalobos
ocd-person/e05f502a-0d27-4c51-8cad-d3b5eca585b1,Dennis Paul,Republican,129,lower,Dennis,Paul
ocd-person/7847295c-78f3-4f8c-adb6-3536fca2782e,Diego Bernal,Democratic,123,lower,Diego,Bernal
ocd-person/0941f4bf-2ac8-48d0-8675-191514e06850,Don McLaughlin,Republican,80,lower,Don,McLaughlin
ocd-person/9f80cd7f-1067-4322-8777-62bc129cd6f2,Donna Campbell,Republican,25,upper,Donna,Campbell
ocd-person/349071fd-3c36-43c6-aaca-6d7f9d04322d,Donna Howard,Democratic,48,lower,Donna,Howard
ocd-person/40f0e868-e021-4453-8675-a9d2357e41e1,Drew Darby,Republican,72,lower,Drew,Darby
ocd-person/fff5eb4f-2c41-4d00-a1c5-e566a15b063e,Dustin Burrows,Republican,83,lower,Dustin,Burrows
ocd-person/c84056d0-47e0-4a0c-94e1-9f90c2d90a15,Eddie Morales,Democratic,74,lower,Eddie,Morales
ocd-person/b91e1420-1732-4063-9f3d-edcc5e71d416,Liz Campos,Democratic,119,lower,Liz,Campos
ocd-person/34590156-1109-4ab6-84bc-bbe07764f365,Ellen Troxclair,Republican,19,lower,Ellen,Troxclair
ocd-person/2cadcb59-210a-4a71-af9f-7dba9ab06112,Erin Gámez,Democratic,38,lower,Erin,Gámez
ocd-person/b55d57f4-bd06-4487-8860-0b6eeb9a1dea,Erin Zwiener,Democratic,45,lower,Erin,Zwiener
ocd-person/5ff88048-ebd8-4ac3-af9c-d02e1305ef37,Gary Gates,Republican,28,lower,Gary,Gates
ocd-person/26617394-4276-4aa7-878c-d20552b260a4,Gary VanDeaver,Republican,1,lower,Gary,VanDeaver
ocd-person/5556a81a-eca2-451d-bb29-74cfb00d1959,Gene Wu,Democratic,137,lower,Gene,Wu
ocd-person/1f9ed42e-27de-4cd1-b2bf-f890ee33cb49,Gina Hinojosa,Democratic,49,lower,Gina,Hinojosa
ocd-person/40ecf6ee-92a4-4daf-b950-ac70b6cdfeee,Giovanni Capriglione,Republican,98,lower,Giovanni,Capriglione
ocd-person/d0fbfb15-2f0c-4167-b8b4-d6135bbb6616,Greg Bonnen,Republican,24,lower,Greg,Bonnen
ocd-person/85d064ed-6f3d-4a81-93ee-1baf49c7f2c3,Harold Dutton,Democratic,142,lower,Harold,Dutton
ocd-person/92b45572-c15c-4270-8356-6c3db1846c7b,Helen Kerwin,Republican,58,lower,Helen,Kerwin
ocd-person/ef5a2ea8-61b0-484c-bbe1-b52c5ad2f075,Hillary Hickland,Republican,55,lower,Hillary,Hickland
ocd-person/5c2743d2-fe0e-41d6-969d-de830d5787f8,Hubert Vo,Democratic,149,lower,Hubert,Vo
ocd-person/a43f2db5-4b24-4dfa-af7f-a2c7cbc5ea21,J.M. Lozano,Republican,43,lower,J.M.,Lozano
ocd-person/6cbb02e6-5876-47a1-86aa-98566fe0073a,James Frank,Republican,69,lower,James,Frank
ocd-person/5e4e2fd2-e8a9-46f3-aab5-ffbc782afa8b,James Talarico,Democratic,50,lower,James,Talarico
ocd-person/a732704e-9b03-449c-b24f-f4c567b5acdd,Janie Lopez,Republican,37,lower,Janie,Lopez
ocd-person/0deb3053-0d5d-46b4-93d2-8eb9de0c4ffd,Janis Holt,Republican,18,lower,Janis,Holt
ocd-person/e926ca11-64dd-4e15-97bd-1f7b0915de36,Jared Patterson,Republican,106,lower,Jared,Patterson
ocd-person/37886d81-901f-43b4-841b-f3ffbfeeb257,Jay Dean,Republican,7,lower,Jay,Dean
ocd-person/988efb07-ace2-4419-ac40-ccec69ebe875,Jeff Barry,Republican,29,lower,Jeff,Barry
ocd-person/40a678a3-7d85-486e-bf38-5d070142aa83,Jeff Leach,Republican,67,lower,Jeff,Leach
ocd-person/8eeb1aad-24b6-487b-bbc0-31c2238b1ccd,Jessica González,Democratic,104,lower,Jessica,González
ocd-person/1997b231-45f7-4f29-a435-9f52e60ebea4,Joan Huffman,Republican,17,upper,Joan,Huffman
