id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/8487aadf-5bd8-46b1-97a3-2db855c534a0,Cory Maloy,Republican,52,lower,Cory,Maloy
ocd-person/eac36970-1c63-4b4c-81b1-3a39536bd69d,Andrew Stoddard,Democratic,40,lower,Andrew,Stoddard
ocd-person/d987aff4-abcf-4f2a-826d-b5741d065d44,Angela Romero,Democratic,25,lower,Angela,Romero
ocd-person/6b86542a-9b8a-418f-a275-6c261cdd86d2,Ann Millner,Republican,5,upper,Ann,Millner
ocd-person/7c0df02d-1ef0-4fa9-b708-ccafff35649e,Anthony Loubet,Republican,27,lower,Anthony,Loubet
ocd-person/6d3d4043-1ec3-454c-a517-4036722c50ee,Ariel Defay,Republican,15,lower,Ariel,Defay
ocd-person/8a770a9d-d24e-4468-9194-fa2ff1f422e3,Ashlee Matthews,Democratic,37,lower,Ashlee,Matthews
ocd-person/b8751ce0-ba9b-44a0-8658-9cc9dc5f4c2c,Brady Brammer,Republican,21,upper,Brady,Brammer
ocd-person/3e388e2d-1b4a-49dc-9aa5-38353166e08f,Bridger Bolinder,Republican,29,lower,Bridger,Bolinder
ocd-person/8e452a53-e405-49f9-9031-77d8a9f63bd3,Cal Roberts,Republican,46,lower,Cal,Roberts
ocd-person/036ab735-ad82-450e-a5ca-098b1436cb90,Cal Musselman,Republican,4,upper,Cal,Musselman
ocd-person/b4977f98-8a0d-4e4b-a43f-b8ee80adba2b,Candice Pierucci,Republican,49,lower,Candice,Pierucci
ocd-person/8967df77-dc79-46e0-873c-b79f9cf73e1f,Carl Albrecht,Republican,70,lower,Carl,Albrecht
ocd-person/8d06fd93-cc42-47e3-a00c-2229718b7226,Carol Moss,Democratic,34,lower,Carol,Moss
ocd-person/5d8ada2a-75c6-4aa6-b359-29720794fb7e,Casey Snider,Republican,5,lower,Casey,Snider
ocd-person/54fcc31c-a3e5-47ea-a044-d1223c6bce65,Cheryl Acton,Republican,38,lower,Cheryl,Acton
ocd-person/3acc854e-2a4d-43ff-9cfb-63d527bb8186,Chris Wilson,Republican,2,upper,Chris,Wilson
ocd-person/052622aa-50ab-47c7-84b8-175d144a9d59,Christine Watkins,Republican,67,lower,Christine,Watkins
ocd-person/12581dac-c07b-40a8-b309-3c9ea167f913,Clint Okerlund,Republican,42,lower,Clint,Okerlund
ocd-person/2fb1aaec-83c2-41f3-b98a-8a8a34e7301e,Colin Jack,Republican,73,lower,Colin,Jack
ocd-person/6540aa74-9456-4b29-9b56-cadd31104db2,Dan McCay,Republican,18,upper,Dan,McCay
ocd-person/e26d3225-27da-440d-ac85-cad08bdb5ade,Dave Shallenberger,Republican,58,lower,Dave,Shallenberger
ocd-person/78b7c95c-45a7-40cb-a82c-681db75f9529,David Hinkins,Republican,26,upper,David,Hinkins
ocd-person/ef1c9af3-b4f9-4eeb-b63d-a22f01c84262,Derrin Owens,Republican,27,upper,Derrin,Owens
ocd-person/cbfab19e-80f2-4edc-ae55-08f9e03a6d2f,Don Ipson,Republican,29,upper,Don,Ipson
ocd-person/ea11beb4-7128-4549-9174-fa7b40cacca8,Doug Fiefia,Republican,48,lower,Doug,Fiefia
ocd-person/b60609f0-e6df-42fc-bbca-9b67a2ed7254,Doug Owens,Democratic,33,lower,Doug,Owens
ocd-person/725abf07-1cca-47a5-a5a7-223d763f5da0,Doug Welton,Republican,65,lower,Doug,Welton
ocd-person/f5149921-03c9-4420-bb21-9b54c19e0c65,Emily Buss,Forward,11,upper,Emily,Buss
ocd-person/3ee27d8b-c865-4d86-b33e-9cfb34c3bac4,Evan Vickers,Republican,28,upper,Evan,Vickers
ocd-person/82be86b6-0047-471e-8983-a061e5cc91e2,Grant Miller,Democratic,24,lower,Grant,Miller
ocd-person/83efadab-9aba-4506-96d7-04a79581348c,Grant Pace,Republican,60,lower,Grant,Pace
ocd-person/650616ca-3c57-4995-a514-37644fe1fa8f,Heidi Balderree,Republican,22,upper,Heidi,Balderree
ocd-person/efcd1f01-061f-4b35-9202-407576e22e77,Hoang Nguyen,Democratic,23,lower,Hoang,Nguyen
ocd-person/5b47c889-e555-4d3c-9b30-97d52ee02960,Stuart Adams,Republican,7,upper,Stuart,Adams
ocd-person/c078ef2d-7a7a-469a-a8bc-d6e5c16203c4,Jackie Larson,Republican,64,lower,Jackie,Larson
ocd-person/e68bfc15-5c1f-4903-ac1f-eb8ca44a816a,Jake Fitisemanu,Democratic,30,lower,Jake,Fitisemanu
ocd-person/dd923550-9fd3-4476-9a43-219a199c8057,Jake Sawyer,Republican,9,lower,Jake,Sawyer
ocd-person/89b3cebe-884b-4798-b063-794d359ea891,Jim Dunnigan,Republican,36,lower,Jim,Dunnigan
ocd-person/cb6f79ec-b7b4-418e-950e-f5f066489929,Jason Kyle,Republican,8,lower,Jason,Kyle
ocd-person/d7b06a16-ad92-4d55-af46-93a1f13253e7,Jason Thompson,Republican,3,lower,Jason,Thompson
ocd-person/b32f9174-73af-4db3-877b-1c368bd4e62e,Jen Dailey-Provost,Democratic,22,lower,Jen,Dailey-Provost
ocd-person/bd870ade-5b3f-4ed3-9e6f-6bbab93a7d35,Jen Plumb,Democratic,9,upper,Jen,Plumb
ocd-person/3a04e48f-6d8c-47aa-b0aa-0e14994cd961,Jerry Stevenson,Republican,6,upper,Jerry,Stevenson
ocd-person/598a8b34-ab05-4438-b927-77b20437035d,Jill Koford,Republican,10,lower,Jill,Koford
ocd-person/b5f1d356-e619-413b-8b9a-fec2d3d48362,John Arthur,Democratic,41,lower,John,Arthur
ocd-person/0c8df9e4-cb46-4dc1-ab5b-6d181efd58e0,John Johnson,Republican,3,upper,John,Johnson
ocd-person/e214e4ef-2df9-41a2-9113-98715f5a791c,Jon Hawkins,Republican,55,lower,Jon,Hawkins
ocd-person/4fb12ece-15d9-4fd2-9b0a-e96a0dbdd2ad,Jordan Teuscher,Republican,44,lower,Jordan,Teuscher
ocd-person/0d22b3d0-94f2-4f88-95e9-b830480f4be8,Joseph Elison,Republican,72,lower,Joseph,Elison
ocd-person/3ceb7500-0ea7-46ef-9a75-d00d378b86b7,Karen Kwan,Democratic,12,upper,Karen,Kwan
ocd-person/3c2d4efe-dd4e-48cf-a83b-2a15791706a3,Karen Peterson,Republican,13,lower,Karen,Peterson
ocd-person/59eb30b5-da7b-4161-85b3-8b48c01f4c2b,Karianne Lisonbee,Republican,14,lower,Karianne,Lisonbee
ocd-person/67c6161b-0222-4702-85ce-7409bc5bc86a,Kathleen Riebe,Democratic,15,upper,Kathleen,Riebe
ocd-person/37301850-0f06-4bbd-ba85-faa7c4d39906,Katy Hall,Republican,11,lower,Katy,Hall
ocd-person/aee56bc8-022b-4351-81c0-9b5050846a8b,Kay Christofferson,Republican,53,lower,Kay,Christofferson
ocd-person/7634ce2b-d172-4852-919c-7089eaa38db8,Keith Grover,Republican,23,upper,Keith,Grover
ocd-person/c76bd4cf-9149-46e8-a001-e2c81c5942d5,Ken Ivory,Republican,39,lower,Ken,Ivory
ocd-person/a919fa9b-f3f7-480f-b578-4a49bb4b572e,Keven Stratton,Republican,24,upper,Keven,Stratton
ocd-person/c421a26f-c1c1-4398-be94-d77d312ea3fe,Kirk Cullimore,Republican,19,upper,Kirk,Cullimore
ocd-person/d428d2ed-8644-459a-b374-7535561a1482,Kristen Chevrier,Republican,54,lower,Kristen,Chevrier
ocd-person/72df7728-0455-4b7b-9432-745f4365d99e,Leah Hansen,Republican,51,lower,Leah,Hansen
ocd-person/74f25c67-1e6f-48f1-b3e3-49bbdf85539a,Lincoln Fillmore,Republican,17,upper,Lincoln,Fillmore
ocd-person/cc269dc8-cef7-4e8d-a3fc-0d658d1dcfcc,Lisa Shepherd,Republican,61,lower,Lisa,Shepherd
ocd-person/afd0bd15-a816-44ae-b28e-cecf50dda45b,Logan Monson,Republican,69,lower,Logan,Monson
ocd-person/6983c74c-3687-4e48-b462-38a80caeb260,Luz Escamilla,Democratic,10,upper,Luz,Escamilla
ocd-person/5d383c2b-0450-48db-92bf-e20977953cd8,Mark Strong,Republican,47,lower,Mark,Strong
ocd-person/ad88a882-c27b-4ceb-8476-b7a3d2a9dd19,Matt MacPherson,Republican,26,lower,Matt,MacPherson
ocd-person/861428f5-6456-4c94-b1ed-838b01a7d845,Melissa Ballard,Republican,20,lower,Melissa,Ballard
ocd-person/8ffe791d-6a74-412b-a435-ee04045e0ad0,Mike McKell,Republican,25,upper,Mike,McKell
ocd-person/656dec4e-3c95-43b1-9059-f2259300f88b,Mike Kohler,Republican,59,lower,Mike,Kohler
ocd-person/e9792114-e077-4663-96c4-94d679c66ace,Mike Petersen,Republican,2,lower,Mike,Petersen
ocd-person/d1046a0c-ddd3-4fed-be41-13da161d6231,Mike Schultz,Republican,12,lower,Mike,Schultz
ocd-person/c9f2ef36-ee69-4e91-9da9-6c9311334912,Nate Blouin,Democratic,13,upper,Nate,Blouin
ocd-person/00670b53-62f7-4c0f-b229-eb1fad6dbbbc,Nelson Abbott,Republican,57,lower,Nelson,Abbott
ocd-person/08c69398-e218-46a2-a843-9f1bfe088caa,Nicholeen Peck,Republican,28,lower,Nicholeen,Peck
ocd-person/8e36fabe-9e2a-4ccd-b29a-1395d6318560,Norm Thurston,Republican,62,lower,Norm,Thurston
ocd-person/d8c2c3ff-83a7-45f7-88bb-fb01b8cd624e,Paul Cutler,Republican,18,lower,Paul,Cutler
ocd-person/5b90793c-f90a-4b0e-b9e6-78943bfaab1c,Neil Walter,Republican,74,lower,Neil,Walter
ocd-person/dbd3789a-5040-4015-9474-ac27b4a32010,Ray Ward,Republican,19,lower,Ray,Ward
ocd-person/66ec0903-117f-4006-8e05-e7326330fc63,Rex Shipp,Republican,71,lower,Rex,Shipp
ocd-person/b68ab473-0a2e-41f5-9732-fbffd6738865,Rob Bishop,Republican,6,lower,Rob,Bishop
ocd-person/5079192a-3d15-4a00-b0c7-2cf29d320035,Ron Winterton,Republican,20,upper,Ron,Winterton
ocd-person/6944b102-0d94-4267-916f-59fbd6f2bb18,Rosalba Dominguez,Democratic,35,lower,Rosalba,Dominguez
ocd-person/9657724b-ade7-467e-b77d-b77fb98891c5,Ryan Wilcox,Republican,7,lower,Ryan,Wilcox
ocd-person/b0a5ca40-5e04-495c-80e0-2c5d3608273d,Sahara Hayes,Democratic,32,lower,Sahara,Hayes
ocd-person/8c8d32a7-32ed-4ef1-a03d-9661ca98fc5a,Sandra Hollins,Democratic,21,lower,Sandra,Hollins
ocd-person/d1a1c031-9dce-4727-a298-ec92cb34fe40,Scott Sandall,Republican,1,upper,Scott,Sandall
ocd-person/d7a3c337-4395-4e23-9e11-74cb55744f14,Scott Chew,Republican,68,lower,Scott,Chew
ocd-person/236ec233-4d24-4514-82a5-05a028c1de14,Stephanie Gricius,Republican,50,lower,Stephanie,Gricius
ocd-person/edf0f18c-4b89-4d34-a2eb-6ce79accdaa7,Stephanie Pitcher,Democratic,14,upper,Stephanie,Pitcher
ocd-person/451ecbcb-42a9-467b-98c7-e0b3e5bd32d3,Stephen Whyte,Republican,63,lower,Stephen,Whyte
ocd-person/06d334f0-dd19-4a8e-b1c9-5f1ae1d90e26,Steve Eliason,Republican,43,lower,Steve,Eliason
ocd-person/b5285658-1e71-48a2-8641-a2bc75957b24,Stewart Barlow,Republican,17,lower,Stewart,Barlow
ocd-person/faa88790-ac92-4a09-b00e-7049cc8521b6,Tom Peterson,Republican,1,lower,Tom,Peterson
ocd-person/85745a94-5b45-4ac2-a258-1a1f48dc33db,Tiara Auxier,Republican,4,lower,Tiara,Auxier
