id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/4a329580-86d3-4db3-915e-9f1af71e0a5a,Aaron Rouse,Democratic,22,upper,Aaron,Rouse
ocd-person/d0de7acb-ce8d-4bb2-b6e5-99cefe5e76a6,Adele McClure,Democratic,2,lower,Adele,McClure
ocd-person/3a48fc34-a650-4fd5-acea-e703e2b8de90,Alex Askew,Democratic,95,lower,Alex,Askew
ocd-person/ed935430-db59-4962-91f7-c0eeca2ef8e2,Alfonso Lopez,Democratic,3,lower,Alfonso,Lopez
ocd-person/7e0776e4-a915-4758-a7b3-70ca42ce3fe4,Amy Laufer,Democratic,55,lower,Amy,Laufer
ocd-person/7517f920-b2ba-4759-a80a-246816ebb09b,Andrew Rice,Republican,98,lower,Andrew,Rice
ocd-person/f747c790-f609-4da1-b125-73f1807e1430,Angelia Graves,Democratic,21,upper,Angelia,Graves
ocd-person/9fd6fbd7-5e4e-4426-9d5a-43173ab01489,Anne Ferrell Tata,Republican,99,lower,Anne Ferrell,Tata
ocd-person/38f25fcb-2f54-411a-84d5-2d1f748d4183,Atoosa Reaser,Democratic,27,lower,Atoosa,Reaser
ocd-person/72ecc30c-7175-4aef-9762-fda3ba5b451e,Barbara Favola,Democratic,40,upper,Barbara,Favola
ocd-person/a6f78488-1c78-4409-8c4a-bf0d0920e852,Betsy Carr,Democratic,78,lower,Betsy,Carr
ocd-person/ec14a514-ce1c-4fba-b053-fcf133793445,Bill DeSteph,Republican,20,upper,Bill,DeSteph
ocd-person/725be36e-2485-4f9f-a15f-86c574cc8d4b,Bonita Anthony,Democratic,92,lower,Bonita,Anthony
ocd-person/23775904-887c-4a2c-9424-0683608193ba,Briana Sewell,Democratic,25,lower,Briana,Sewell
ocd-person/adb58f21-f2fd-4830-85b6-f490b0867d14,Bryce Reeves,Republican,28,upper,Bryce,Reeves
ocd-person/77b071e3-b8fa-4455-b2e6-3d487a8145c8,Cliff Hayes,Democratic,91,lower,Cliff,Hayes
