id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/90da5348-421e-435b-8458-67123462addf,Abbey Duke,Democratic,Chittenden-17,lower,Abbey,Duke
ocd-person/24194dba-4d25-4b8c-be33-8ff50fcd8a8f,Alice Emmons,Democratic,Windsor-3,lower,Alice,Emmons
ocd-person/6c87b7e7-0047-47a6-94b4-9232ac42175f,Alicia Malay,Republican,Rutland-8,lower,Alicia,Malay
ocd-person/a366bc32-20d8-41a8-a2cf-939650b7a2c2,Alison Clarkson,Democratic,Windsor,upper,Alison,Clarkson
ocd-person/cd4ceb1c-8960-4b10-b6f8-bd0b8ae0c68c,Alyssa Black,Democratic,Chittenden-24,lower,Alyssa,Black
ocd-person/f490d01d-80b7-40ae-9577-572bd1c8567a,Amy Sheldon,Democratic,Addison-1,lower,Amy,Sheldon
ocd-person/1463485e-f279-44f6-a368-f75f213dc7cd,Andrew Perchlik,Democratic/Progressive,Washington,upper,Andrew,Perchlik
ocd-person/91f08063-02d6-4167-aa23-bbfb2289bbf1,Angela Arsenault,Democratic,Chittenden-2,lower,Angela,Arsenault
ocd-person/c34f492a-7cdf-4830-a28a-0ff2fe7c8f71,Ann Cummings,Democratic,Washington,upper,Ann,Cummings
ocd-person/5321cd58-caae-4d94-8ba0-f1df47d4e75b,Anne Donahue,Republican,Washington-1,lower,Anne,Donahue
ocd-person/70fa5e7e-8ab1-4599-a881-61d12120637c,Anne Watson,Democratic,Washington,upper,Anne,Watson
ocd-person/9a5bf877-6bb2-4135-a3de-fc344e84c1c6,Tony Micklus,Republican,Chittenden-Franklin,lower,Tony,Micklus
ocd-person/62781794-15d5-4362-82db-d6542a0e2f75,Ashley Bartley,Republican,Franklin-1,lower,Ashley,Bartley
ocd-person/26b89cd1-55b7-49ef-b47b-d3b21ed81635,Barbara Rachelson,Democratic,Chittenden-14,lower,Barbara,Rachelson
ocd-person/54f186e0-f30c-410a-bae4-bbd443611e77,Beth Quimby,Republican,Caledonia-3,lower,Beth,Quimby
ocd-person/565d034b-76cd-4303-a045-770d4be05f0a,Bram Kleppner,Democratic,Chittenden-13,lower,Bram,Kleppner
ocd-person/7ddd32be-c3f8-4861-9964-89e07127bec8,Brenda Steady,Republican,Chittenden-25,lower,Brenda,Steady
ocd-person/35504508-c008-4ecd-869f-6d8e33a4ad56,Brian Cina,Democratic/Progressive,Chittenden-15,lower,Brian,Cina
ocd-person/d4ead076-6425-4ab7-ad32-b10dce660170,Brian Collamore,Republican,Rutland,upper,Brian,Collamore
ocd-person/d44ada7b-9678-4a17-a66c-aa658b03bf38,Brian Minier,Democratic,Chittenden-11,lower,Brian,Minier
ocd-person/65f7d469-b06a-41d9-96b6-eb4e14ced390,Bridget Burkhardt,Democratic,Chittenden-8,lower,Bridget,Burkhardt
ocd-person/ec71009f-b56e-4ac5-bc77-4ba172ea59d1,Candice White,Democratic,Washington-2,lower,Candice,White
ocd-person/e9036574-9eac-4f0c-9bd2-1b425e96bb8c,Carol Ode,Democratic,Chittenden-18,lower,Carol,Ode
ocd-person/b910e00e-ce75-426a-a0cc-29948edfce5d,Carolyn Branagan,Republican,Franklin-1,lower,Carolyn,Branagan
ocd-person/704de547-43b6-4dfa-bf95-c4137f263e00,Casey Toof,Republican,Franklin-8,lower,Casey,Toof
ocd-person/8e97e883-e34f-441f-83a2-aa72526fef38,Charlie Kimbell,Democratic,Windsor-5,lower,Charlie,Kimbell
ocd-person/0f7b93b3-9e96-4e44-8bb4-9c60e4be4b72,Chea Evans,Democratic,Chittenden-5,lower,Chea,Evans
ocd-person/239a4f3b-c9b4-474b-8e2a-eda545f0ef43,Chloe Tomlinson,Democratic/Progressive,Chittenden-21,lower,Chloe,Tomlinson
ocd-person/568a47fb-6a5e-4346-800f-ac49018a9099,Chris Keyser,Republican,Rutland-7,lower,Chris,Keyser
ocd-person/482c508a-aefd-405c-a252-4d661dced9a4,Chris Pritchard,Republican,Rutland-Bennington,lower,Chris,Pritchard
ocd-person/8a7c0a35-c3bc-4b94-a1c3-c726c8ecaaae,Chris Taylor,Republican,Chittenden-Franklin,lower,Chris,Taylor
ocd-person/f930a207-e39c-47c9-b82a-d9eca94119c3,Christopher Howland,Republican,Rutland-4,lower,Christopher,Howland
ocd-person/1526326f-c2a8-4103-af27-1805f9a8e32a,Chris Mattos,Republican,Chittenden North,upper,Chris,Mattos
ocd-person/70fc16c3-0cba-429c-8616-dbcc6b9b7bf7,Chris Morrow,Democratic,Windham-Windsor-Bennington,lower,Chris,Morrow
ocd-person/526f33a9-fcbe-4963-ae6c-abccde1fe4da,Conor Casey,Democratic,Washington-4,lower,Conor,Casey
ocd-person/c7019f00-84e8-405f-9efe-055112cbb4c4,Daisy Berbeco,Democratic,Chittenden-21,lower,Daisy,Berbeco
ocd-person/95cd4184-c07f-48a5-993a-e924ad71184f,Dan Noyes,Democratic,Lamoille-2,lower,Dan,Noyes
ocd-person/46a9d6df-bd07-4fa4-b6b9-b91c0fa37f94,Dara Torre,Democratic,Washington-2,lower,Dara,Torre
ocd-person/4d489014-c6ba-41df-9f4f-d8846ee2ebba,Dave Yacovone,Democratic,Lamoille-Washington,lower,Dave,Yacovone
ocd-person/31f6e27d-151c-4878-845b-f600ea1742e2,Dave Bosch,Republican,Rutland-2,lower,Dave,Bosch
ocd-person/500ffe66-07b0-4ebd-9084-d017872daa84,David Durfee,Democratic,Bennington-3,lower,David,Durfee
ocd-person/f076a53a-1ebd-485d-8d0f-adb7cf0b00be,Dave Weeks,Republican,Rutland,upper,Dave,Weeks
ocd-person/22ae1c1b-d08d-4068-ae58-ea89fecb8a09,Debbie Dolgin,Republican,Caledonia-Essex,lower,Debbie,Dolgin
