id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/9eddb3cd-868e-42ba-831a-b415fd7ed445,Adam Bernbaum,Democratic,24,lower,Adam,Bernbaum
ocd-person/bae1dc2d-8fd6-48cb-b1d8-afa86f205a3c,Adison Richards,Democratic,26,lower,Adison,Richards
ocd-person/3f71f11c-c231-4661-af2a-629d2eb32580,Adrian Cortes,Democratic,18,upper,Adrian,Cortes
ocd-person/193dce49-ab25-4608-b4d2-65d80fd3d46c,Alex Ramel,Democratic,40,lower,Alex,Ramel
ocd-person/ad28df67-a1bf-4580-b55f-f0917c6e69b2,Alex Ybarra,Republican,13,lower,Alex,Ybarra
ocd-person/b735531c-ec99-4e19-9f43-967d951f8010,Alicia Rule,Democratic,42,lower,Alicia,Rule
ocd-person/80548fd7-06a0-44f1-b121-7caae4819ed6,Amy Walen,Democratic,48,lower,Amy,Walen
ocd-person/9c1fefff-fa5a-49aa-90ca-a9ca80b6f669,Andrew Barkis,Republican,2,lower,Andrew,Barkis
ocd-person/9a2a700c-9c13-4cc5-ab56-7e62327f0c19,Andrew Engell,Republican,7,lower,Andrew,Engell
ocd-person/50c73eec-2f66-450b-b8b4-b8bce995e221,Annette Cleveland,Democratic,49,upper,Annette,Cleveland
ocd-person/aebe068c-accc-4740-9e0d-97d20404ee95,April Berg,Democratic,44,lower,April,Berg
ocd-person/ee68f6b7-3cb2-4269-90df-ce11e4027c52,April Connors,Republican,8,lower,April,Connors
ocd-person/0bbe7652-d8a7-46aa-bdbc-90b411347343,Beth Doglio,Democratic,22,lower,Beth,Doglio
ocd-person/86f82668-8d68-45c5-bbcd-a5557b4dad54,Bob Hasegawa,Democratic,11,upper,Bob,Hasegawa
ocd-person/0f60580f-c121-4661-ae02-5acdfb3923d8,Brandy Donaghy,Democratic,44,lower,Brandy,Donaghy
ocd-person/0bf66a0a-3341-406f-83b8-000c9f4e0176,Brian Burnett,Republican,12,lower,Brian,Burnett
ocd-person/d3e64eee-6a6f-45e4-b47a-bf22e8279670,Brianna Thomas,Democratic,34,lower,Brianna,Thomas
ocd-person/b8603b1c-5df7-4c4d-a785-ed3f5b2284e4,Carolyn Eslick,Republican,39,lower,Carolyn,Eslick
ocd-person/84aaed1c-e50a-4bbc-8f63-afd22e825ec2,Chipalo Street,Democratic,37,lower,Chipalo,Street
ocd-person/a0a48572-259f-4a6c-b035-a85b80e187d6,Chris Corry,Republican,15,lower,Chris,Corry
ocd-person/1e20aaf3-ffbb-4666-82c2-374b232b41ac,Chris Gildon,Republican,25,upper,Chris,Gildon
ocd-person/248654b7-4166-4d2d-8578-cbb6d9210e06,Chris Stearns,Democratic,47,lower,Chris,Stearns
ocd-person/c7438b67-c6a5-4048-8a13-a8bc2d99cba6,Cindy Ryu,Democratic,32,lower,Cindy,Ryu
ocd-person/d2d282e4-8f73-46f9-8cb1-3beadd003b44,Claire Wilson,Democratic,30,upper,Claire,Wilson
ocd-person/04ed2bc3-648f-4924-8183-1e593572e894,Claudia Kauffman,Democratic,47,upper,Claudia,Kauffman
ocd-person/9fd9a839-0414-46a4-84b8-7ee0d2f2f09a,Clyde Shavers,Democratic,10,lower,Clyde,Shavers
ocd-person/a8e7617c-7cbb-45ed-a577-3dd7341a3bd7,Curtis King,Republican,14,upper,Curtis,King
ocd-person/faa48cee-18ae-434e-8079-c8137dfd4acf,Cyndy Jacobsen,Republican,25,lower,Cyndy,Jacobsen
