id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/22d8a510-3b36-432a-9d3d-08efe7e74d5e,Adam Neylon,Republican,15,lower,Adam,Neylon
ocd-person/c4afc94c-3bad-4e77-9f81-de613c406860,Alex Dallman,Republican,39,lower,Alex,Dallman
ocd-person/1638f0f9-1d5a-4790-aee2-63cad736b137,Alex Joers,Democratic,81,lower,Alex,Joers
ocd-person/998f8ecc-8772-44f4-a81d-622f567c0142,Amaad Rivera-Wagner,Democratic,90,lower,Amaad,Rivera-Wagner
ocd-person/5c70d5df-b7a6-471c-a766-05816ee009a5,Amanda Nedweski,Republican,32,lower,Amanda,Nedweski
ocd-person/b0101cd0-ad49-466b-a46e-8bb8671cb709,André Jacque,Republican,1,upper,André,Jacque
ocd-person/9dc4ee36-43d6-4392-b0f8-2d6b7d4121f3,Andrew Hysell,Democratic,48,lower,Andrew,Hysell
ocd-person/68856392-7181-4a63-bcc0-2c414a67045e,Angela Stroud,Democratic,73,lower,Angela,Stroud
ocd-person/e47f88fc-e402-4b8d-a253-ee77ea95847d,Angelina Cruz,Democratic,62,lower,Angelina,Cruz
ocd-person/fc8fe4ef-dfff-465c-92db-a369ac888afe,Angelito Tenorio,Democratic,14,lower,Angelito,Tenorio
ocd-person/92eb51fb-7865-4b2f-8ea1-c56b5f287b5c,Ann Roe,Democratic,44,lower,Ann,Roe
ocd-person/0580ebef-0cfa-40ae-a4ea-d960e0ea30ee,Barbara Dittrich,Republican,99,lower,Barbara,Dittrich
ocd-person/d4c9b78d-bb0b-40e8-b717-f606299c9737,Ben DeSmidt,Democratic,65,lower,Ben,DeSmidt
ocd-person/04b709c6-b487-49c1-9bcf-dfbbc7082beb,Ben Franklin,Republican,88,lower,Ben,Franklin
ocd-person/54522ac6-81ad-4b83-929f-b94e94b8acb4,Bob Donovan,Republican,61,lower,Bob,Donovan
ocd-person/1c95c957-d9c9-4905-8dc6-37b13272c1f0,Brad Pfaff,Democratic,32,upper,Brad,Pfaff
ocd-person/3089bcca-553d-4637-9b50-2d9698944d5a,Brent Jacobson,Republican,87,lower,Brent,Jacobson
ocd-person/f8f3683e-3615-4a4b-bafe-d4d042f291d0,Brienne Brown,Democratic,43,lower,Brienne,Brown
ocd-person/23c03244-880a-4263-8e2f-18c0c5556b45,Calvin Callahan,Republican,35,lower,Calvin,Callahan
