id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/76544899-58ec-4065-a3e8-4a4d8a12b4eb,Adam Burkhammer,Republican,64,lower,Adam,Burkhammer
ocd-person/c15b4eb1-1dc4-498f-9929-43ff34445317,Adam Vance,Republican,35,lower,Adam,Vance
ocd-person/57c08164-a673-4269-84d9-6017e740eaac,Amy Grady,Republican,4,upper,Amy,Grady
ocd-person/e6deff1e-fb70-4bf0-a2b6-9c30567fcd9d,Andy Shamblin,Republican,59,lower,Andy,Shamblin
ocd-person/86a1fdf7-e6af-41b4-8d69-0d0815fc9512,Anitra Hamilton,Democratic,81,lower,Anitra,Hamilton
ocd-person/37bf9de9-84b5-4983-8742-a5c3eeeca64a,Anne Charnock,Republican,17,upper,Anne,Charnock
ocd-person/de50d28d-6a58-4244-8c74-36ca3f41767a,Ben Queen,Republican,12,upper,Ben,Queen
ocd-person/ffd4b452-510d-48f0-ac07-51af538b46f0,Betsy Kelly,Republican,9,lower,Betsy,Kelly
ocd-person/4d4f0511-706a-406b-9259-05c4008d8b64,Bill Bell,Republican,8,lower,Bill,Bell
ocd-person/84ae4ee5-01d1-402d-8267-787a78dd58e5,Bill Flanigan,Republican,4,lower,Bill,Flanigan
ocd-person/8bd21671-34c1-4ba3-aced-0dcaa110029c,Bill Hamilton,Republican,11,upper,Bill,Hamilton
ocd-person/ad2e5607-a6ef-4458-88fc-bea91da19ac6,Bill Ridenour,Republican,100,lower,Bill,Ridenour
ocd-person/9f35a509-bd40-4ed2-8792-407169b7a944,Bill Roop,Republican,44,lower,Bill,Roop
ocd-person/a70a295b-82a5-44a0-ba22-a462823f7abb,Bob Fehrenbacher,Republican,11,lower,Bob,Fehrenbacher
ocd-person/be5e24ac-6372-4364-a9b0-2e9b33a1a234,Brian Helton,Republican,9,upper,Brian,Helton
ocd-person/9cdbf48f-3fd5-4147-9f26-a78632d99929,Bryan Smith,Republican,73,lower,Bryan,Smith
ocd-person/6e588e9a-4d48-444d-92b4-629e00900440,Bryan Ward,Republican,86,lower,Bryan,Ward
ocd-person/aa01a651-9834-4b98-b9c3-25aee388087a,Robbie Martin,Republican,65,lower,Robbie,Martin
ocd-person/8941d02d-cee0-47a4-9c68-de73382b20af,Charles Clements,Republican,2,upper,Charles,Clements
ocd-person/338acc2a-d910-4c29-aa94-bf39fbebdeec,Chuck Sheedy,Republican,7,lower,Chuck,Sheedy
ocd-person/7ad5da9a-c2b3-4f9b-b62c-6cd7f0564f43,Chris Anders,Republican,97,lower,Chris,Anders
ocd-person/eb6d633a-5526-413b-872d-bd36f4d9a906,Chris Phillips,Republican,68,lower,Chris,Phillips
ocd-person/9c82f11d-28f2-4167-b10c-26815533f73a,Chris Rose,Republican,2,upper,Chris,Rose
ocd-person/cdd73d73-98d4-43f0-9eec-a030c4ce080f,Chris Toney,Republican,43,lower,Chris,Toney
ocd-person/1f91d255-ce76-40b4-86fd-f9412407f869,Chuck Horst,Republican,95,lower,Chuck,Horst
ocd-person/cf728c9e-40e8-4f73-a5fa-0d46844aa38e,Clay Riley,Republican,72,lower,Clay,Riley
ocd-person/e304d393-2b0a-45c3-9f59-98455e0d73a0,Craig Hart,Republican,6,upper,Craig,Hart
ocd-person/34e1e6dd-469b-4e3d-9cc5-604bffe79730,Buck Jennings,Republican,84,lower,Buck,Jennings
ocd-person/6c7fa52c-c313-4f10-aab9-ba9cc0269743,Dana Ferrell,Republican,60,lower,Dana,Ferrell
ocd-person/32c4e5cf-81f5-4564-bb9b-568d13156dec,Daniel Linville,Republican,22,lower,Daniel,Linville
ocd-person/60b7f294-2c42-40ab-ab7d-2a639e5be5e5,Darren Thorne,Republican,15,upper,Darren,Thorne
ocd-person/9ad2e11c-daf4-4f33-9c2d-0075beaeada8,Dave Foggin,Republican,14,lower,Dave,Foggin
ocd-person/297732cd-3e12-4ce1-b6ca-7e046d8b3e46,Dave McCormick,Republican,82,lower,Dave,McCormick
ocd-person/79e71ddf-33fc-4e28-8324-dd52aaa0e653,David Cannon,Republican,89,lower,David,Cannon
ocd-person/d7f119af-3e41-40a1-9541-bfa1a1e7a9b4,Elliott Pritt,Republican,50,lower,Elliott,Pritt
ocd-person/b0526275-df8b-4f42-b16b-064aa721a858,David Green,Republican,36,lower,David,Green
ocd-person/94a511d8-31ee-4f7d-9227-005b143f9c47,Dean Jeffries,Republican,61,lower,Dean,Jeffries
ocd-person/43f0eeae-cf06-4d8b-a568-03e63c72b796,Donald Bennett,Republican,94,lower,Donald,Bennett
ocd-person/70ac0a53-79d8-426b-950b-83e9be022bf3,Doug Smith,Republican,39,lower,Doug,Smith
ocd-person/0714e7e4-9da4-46bf-a8f5-e48be1af2242,Elías Coop-González,Republican,67,lower,Elías,Coop-González
ocd-person/db5d813b-3cd2-4a6d-b656-b48624f61094,Eric Brooks,Republican,45,lower,Eric,Brooks
ocd-person/18d03332-9bd9-4070-9101-6cf93ab2105e,Eric Tarr,Republican,4,upper,Eric,Tarr
ocd-person/74fee589-c9e9-4dd7-a719-d9b165b2b2c7,Erica Moore,Republican,15,lower,Erica,Moore
ocd-person/10dbdccd-3754-49b8-ae28-8f75c4d6936f,Evan Hansen,Democratic,79,lower,Evan,Hansen
ocd-person/b875b7d6-4941-42a6-bcdf-c5da19bf0ced,Evan Worrell,Republican,23,lower,Evan,Worrell
ocd-person/405fa851-873f-4895-acd5-d394fbb06be3,Gary Howell,Republican,87,lower,Gary,Howell
ocd-person/409397ae-ceea-4b1b-bce5-b042af057232,Geno Chiarelli,Republican,78,lower,Geno,Chiarelli
ocd-person/5bb7ff93-88f4-42ec-ba11-6921dead66a1,George Miller,Republican,90,lower,George,Miller
ocd-person/2ee0335d-f067-4ca3-99ce-e10944fa8875,George Street,Republican,83,lower,George,Street
ocd-person/de2f5e4b-192a-463d-91b0-73f212e8f953,Glenn Jeffries,Republican,8,upper,Glenn,Jeffries
ocd-person/c66e0d8a-9d20-47ce-8d45-50d4b5aaa0d3,Greg Watt,Republican,48,lower,Greg,Watt
ocd-person/1495b97d-e012-4f6f-84b9-3e1d67b8a016,Guy Ward,Republican,74,lower,Guy,Ward
ocd-person/e05b927b-a702-4143-87b2-79a8c81d4eee,Corby Dillon,Republican,29,lower,Corby,Dillon
ocd-person/68163122-16de-4528-8eda-fd1f9783c45d,Hollis Lewis,Democratic,57,lower,Hollis,Lewis
ocd-person/f8921713-413e-4f72-8291-464f2cef3f7b,Ian Masters,Republican,91,lower,Ian,Masters
ocd-person/33e56ab1-3106-45fa-a992-fab181983a99,J.B. Akers,Republican,55,lower,J.B.,Akers
ocd-person/b4df4940-ac0e-4e1a-ba3c-940d604b4ad2,Jack Woodrum,Republican,10,upper,Jack,Woodrum
ocd-person/e617259d-e2c9-4043-a759-321c7e3ff7f0,Jarred Cannon,Republican,21,lower,Jarred,Cannon
ocd-person/bcbe03de-3df0-4c07-8973-0304dafa2cb8,Jason Barrett,Republican,16,upper,Jason,Barrett
ocd-person/a7ae16a1-8a1e-4280-8d00-9125719a893e,Jay Taylor,Republican,14,upper,Jay,Taylor
ocd-person/81cad520-b015-42c8-b533-64a9e4596197,Jeff Campbell,Republican,46,lower,Jeff,Campbell
ocd-person/e43a22ad-b630-496b-81f8-6b1f6ceaa13e,Jeff Eldridge,Republican,30,lower,Jeff,Eldridge
ocd-person/0092e49c-3dfe-4a2b-b053-e7a0360accf1,Jeff Stephens,Republican,6,lower,Jeff,Stephens
ocd-person/905290bd-c655-4a3d-9961-65a2f9c0e271,Jim Butler,Republican,18,lower,Jim,Butler
ocd-person/5a2928e1-3371-480d-be6f-1c3133de4609,Jimmy Willis,Republican,3,lower,Jimmy,Willis
ocd-person/fe6a6b8e-91f2-427f-9060-2cac2b9eb66c,Joe Ellington,Republican,38,lower,Joe,Ellington
ocd-person/c93039e0-7c57-4289-9447-466f56bba802,Joe Funkhouser,Republican,98,lower,Joe,Funkhouser
ocd-person/e2f71bb6-832a-46f3-8247-5e2c16685fe1,Joe Parsons,Republican,16,lower,Joe,Parsons
ocd-person/79271821-3d79-4f99-bba3-a147779bb3d0,Joe Statler,Republican,77,lower,Joe,Statler
ocd-person/387d11ce-ecf1-4c80-a338-bd8c86f52004,Joey Garcia,Democratic,13,upper,Joey,Garcia
ocd-person/642a1eab-3a94-4d91-b1ff-5fc5e720cb06,John Jordan,Republican,42,lower,John,Jordan
ocd-person/06c041be-0a45-4bfe-8e2d-49055af1205f,John Paul Hott,Republican,85,lower,John Paul,Hott
ocd-person/2c8a36d4-5afa-4b68-a6a0-1a9b170401b0,John Williams,Democratic,80,lower,John,Williams
ocd-person/e83c168f-6725-47ea-ac8d-7dbadc6736c7,Jonathan Kyle,Republican,66,lower,Jonathan,Kyle
ocd-person/a71cd621-aa1e-4338-b0bd-ca9f7a03f667,Jonathan Pinson,Republican,17,lower,Jonathan,Pinson
ocd-person/be682c29-e66f-4a19-89cc-761c60330eea,Jordan Bridges,Republican,33,lower,Jordan,Bridges
