id,name,current_party,current_district,current_chamber,given_name,family_name
ocd-person/9995703e-90eb-4d20-a2f6-bfd9542102bd,Abby Angelos,Republican,3,lower,Abby,Angelos
ocd-person/3198aa67-829e-4827-8b26-8955cbf36f4a,Andrew Byron,Republican,22,lower,Andrew,Byron
ocd-person/4665c34f-70f5-4bc0-af49-0239e0e907a1,Ann Lucas,Republican,43,lower,Ann,Lucas
ocd-person/394ba273-63d7-409d-90cd-5d183e750ea4,Art Washut,Republican,36,lower,Art,Washut
ocd-person/c6578593-1ca0-4b7d-8635-67249df87c36,Barry Crago,Republican,22,upper,Barry,Crago
ocd-person/2f0d84dc-df29-4c3d-83ea-aa56beca9839,Bill Allemand,Republican,58,lower,Bill,Allemand
ocd-person/e0c25487-a7fb-406b-b637-c3a4de3c6770,Bill Landen,Republican,27,upper,Bill,Landen
ocd-person/016465da-4d49-4ffc-8bb0-cf9528bc6d0e,Bo Biteman,Republican,21,upper,Bo,Biteman
ocd-person/8ddb8078-482c-4df5-983d-ece9e5825cc2,Bob Davis,Republican,47,lower,Bob,Davis
ocd-person/6d1c2665-46ea-444d-b88b-b22e2623e660,Bob Ide,Republican,29,upper,Bob,Ide
ocd-person/6ff4eff9-e68c-42a1-9aa5-b964daa37a89,Bob Nicholas,Republican,7,lower,Bob,Nicholas
ocd-person/cfed8eb6-ad00-4414-9ceb-bd5d46c5974f,Brian Boner,Republican,2,upper,Brian,Boner
ocd-person/0b07cbe8-73ba-4371-9acb-95cb7ecf6251,Cale Case,Republican,25,upper,Cale,Case
ocd-person/a3ddc445-efa1-4c0c-809a-d21fc383fa59,Charles Scott,Republican,30,upper,Charles,Scott
ocd-person/9fe08ab5-b31c-4f7b-bb23-c7aff3cd3e4d,Cheri Steinmetz,Republican,3,upper,Cheri,Steinmetz
ocd-person/b9414bc4-f900-474b-b99c-8f2716419683,Chip Neiman,Republican,1,lower,Chip,Neiman
ocd-person/510546dd-c3ca-4ce4-9342-f77e05712f2e,Chris Rothfuss,Democratic,9,upper,Chris,Rothfuss
ocd-person/ffe52a1f-bc33-424a-bd8c-a2df967ac83a,Chris Knapp,Republican,53,lower,Chris,Knapp
ocd-person/0df4327b-df46-4886-ab09-0c8a55639548,Clarence Styvar,Republican,12,lower,Clarence,Styvar
ocd-person/9b6e58cd-4dbc-4554-a677-b362c913c069,Cody Wylie,Republican,39,lower,Cody,Wylie
